#{"t_start": 1702388583.884328, "env_id": "None"}
r,l,t
0.0,790,1.532012
0.0,251,2.104808
0.0,1001,3.773457
0.0,1001,5.427557
0.0,1001,7.077825
0.0,1001,8.72841
0.0,50,8.998804
0.0,1001,10.629008
0.0,1001,12.263656
0.0,1001,13.916587
0.0,1001,15.589735
0.0,1001,17.929082
0.0,528,22.874256
0.0,84,23.711994
0.0,735,29.219809
0.0,994,37.051163
0.0,265,39.324039
0.0,90,40.324624
0.0,147,41.671729
0.0,683,47.000962
0.0,553,51.675204
0.0,185,53.252566
0.0,158,54.858837
0.0,954,62.240287
0.0,366,65.20753
0.0,155,66.499006
0.0,429,69.966954
0.0,340,72.671633
0.0,1001,80.231636
0.0,1001,87.817659
0.0,197,89.40867
0.0,355,92.243987
0.0,500,96.261803
0.0,219,98.109879
0.0,1001,106.21369
0.0,1001,113.977138
0.0,391,117.250326
0.0,801,124.099099
0.0,121,125.230428
0.0,380,128.481297
0.0,427,132.002074
0.0,163,133.616224
0.0,657,138.694179
0.0,496,142.843461
0.0,103,143.859388
0.0,717,149.481271
0.0,708,155.272701
0.0,1001,162.66242
0.0,194,164.393406
0.0,790,170.667444
0.0,1001,179.275968
0.0,580,184.145704
0.0,137,185.594062
0.0,245,187.878333
0.0,154,189.208376
0.0,311,191.69661
0.0,178,193.378255
0.0,231,195.564593
0.0,250,198.069181
0.0,1001,208.075032
0.0,598,214.946078
0.0,769,222.968015
0.0,119,224.464548
0.0,545,229.675862
0.0,221,231.855095
0.0,328,235.092025
0.0,157,236.78675
0.0,190,239.022282
0.0,116,240.080339
0.0,90,240.92621
0.0,31,241.349355
0.0,90,242.186696
0.0,658,247.573843
0.0,97,248.508149
0.0,539,252.896255
0.0,181,254.455688
0.0,326,257.58923
0.0,605,262.31663
0.0,172,263.882226
0.0,219,265.887256
0.0,139,267.158482
0.0,529,271.423294
0.0,70,272.178404
0.0,577,277.240134
0.0,1001,285.147938
0.0,162,286.660676
0.0,227,288.739419
0.0,64,289.480214
0.0,68,290.214145
0.0,199,291.977021
0.0,445,295.887898
