#{"t_start": 1704324692.536064, "env_id": "None"}
r,l,t
0.352044,20,0.453958
0.824097,24,0.750701
0.342693,19,1.062201
0.365335,18,1.362209
0.451499,21,1.640823
0.355126,19,1.917218
0.239129,21,2.187212
0.328994,19,2.448673
0.223245,20,2.711842
0.461347,19,2.99597
0.407309,20,3.255722
0.635551,22,3.527857
0.451957,19,3.794521
0.235511,19,4.056811
3.320353,241,5.022847
0.356161,19,5.288148
0.291586,18,5.549961
0.179713,22,5.818186
0.811171,185,6.644569
0.506121,20,6.948453
0.544297,23,7.274521
1.424315,97,7.807128
0.391183,18,8.082454
0.40878,20,8.359874
0.557757,21,8.648013
0.357099,19,8.932704
0.830124,377,10.452987
0.333156,19,10.762084
0.307172,22,11.071605
0.168229,18,11.348865
0.248527,21,11.617469
0.497585,25,11.897343
1.318622,74,12.334091
0.413432,19,12.596594
2.270228,69,13.036094
0.754124,23,13.338914
0.296363,19,13.631116
0.592125,26,13.952074
0.514617,20,14.230029
3.4869,177,15.006836
0.435674,22,15.302736
0.793697,23,15.618819
0.574757,21,15.913517
0.212479,18,16.191629
0.638146,23,16.489811
0.347197,19,16.777216
0.440061,21,17.103809
0.554355,25,17.423629
0.470709,21,17.709693
0.50165,19,17.972431
0.257181,19,18.247496
2.729638,290,19.369715
0.559226,21,19.636741
0.560038,20,19.916783
0.280663,21,20.186763
4.199557,219,21.098847
4.234344,241,22.122556
0.695504,23,22.446917
0.360477,18,22.748023
0.551767,22,23.04354
0.304859,20,23.326393
0.535537,21,23.597857
0.51882,22,23.890859
0.484948,21,24.166234
5.850436,697,26.649355
0.424876,18,26.916844
0.512799,21,27.198348
0.526771,24,27.496495
1.938377,310,29.567635
0.330073,19,29.844864
0.84506,71,30.293278
0.319165,24,30.587106
0.709579,24,30.869428
0.266247,21,31.158439
2.094616,182,31.946751
0.45818,21,32.220811
0.557054,20,32.496372
0.446023,19,32.764289
0.436709,20,33.03536
0.356651,18,33.298067
3.332653,268,34.358907
0.4107,21,34.63046
0.470414,21,34.914249
0.330363,21,35.219545
0.540484,24,35.540018
0.276463,22,35.830751
0.468993,21,36.1081
0.39607,19,36.372361
0.842998,26,36.660844
0.347815,19,36.928532
0.481336,22,37.206769
0.36524,18,37.470168
0.501691,21,37.744202
0.410541,21,38.017268
0.695072,22,38.290851
0.242134,21,38.560752
0.490902,21,38.836017
0.327083,18,39.115834
1.645579,203,39.991423
0.423186,21,40.268189
0.57019,24,40.569241
0.446408,21,40.866627
0.561201,19,41.137016
0.396597,21,41.414652
0.323256,21,41.681538
0.280729,18,41.947663
0.36878,19,42.229105
0.484031,21,42.505059
0.469583,19,42.769393
0.319445,23,43.051219
0.322264,19,43.324218
0.524392,21,43.603174
0.559242,21,43.875356
0.672456,25,44.172615
0.39561,21,44.451419
0.251487,19,44.71063
0.582472,21,44.983073
0.521909,21,45.264831
0.289419,19,45.557663
0.740322,95,46.069654
0.522816,23,46.350021
0.514024,22,46.629369
0.371173,20,46.938492
0.450992,22,47.241765
0.51483,19,47.535523
2.297676,189,48.535863
0.526921,20,48.835742
0.4269,22,49.123047
0.506687,25,49.423666
0.372121,19,49.693589
0.375503,18,49.972162
0.445801,20,50.246528
0.271256,18,50.525483
0.550446,20,50.805696
0.652165,23,51.103688
0.443321,19,51.399021
0.485212,19,51.710061
0.637332,22,52.001669
0.311525,23,52.288167
0.366465,20,52.569065
0.453729,21,52.849159
0.494169,22,53.138142
0.390106,20,53.405605
0.340923,19,53.671951
0.442989,23,53.956365
0.31967,19,54.243311
0.351093,21,54.540422
0.401384,18,54.859539
0.452425,21,55.170599
3.742931,383,56.680303
0.476684,21,56.957114
0.425312,19,57.230022
0.640533,23,57.513332
0.242912,20,57.793232
0.392338,18,58.077956
0.386766,21,58.357174
0.255993,23,58.631258
0.685957,24,58.909139
0.523877,24,59.200345
0.506455,20,59.472967
0.484477,19,59.750753
3.019543,167,60.507745
4.226842,143,61.197157
0.549392,22,61.507082
0.506012,103,62.152967
0.444461,21,62.455
0.556491,20,62.747321
0.523792,20,63.021275
0.465279,22,63.299054
0.420802,22,63.573947
0.436866,20,63.85172
0.281442,22,64.151481
0.476952,24,64.450537
4.178808,329,66.468891
2.552771,249,67.483667
0.576224,22,67.765734
0.41012,19,68.041043
0.528443,21,68.313982
0.393958,22,68.616182
0.517622,19,68.908906
0.295152,20,69.21086
0.470133,20,69.491319
0.495283,21,69.757245
0.695861,26,70.054983
0.32185,18,70.312936
1.62569,183,71.127622
0.345432,24,71.438179
0.4697,21,71.720556
0.397489,20,72.002189
0.462943,19,72.273256
1.080859,93,72.798008
0.342303,20,73.066886
0.964874,28,73.362106
2.528579,245,74.340003
0.936807,94,74.843943
0.46248,19,75.127763
2.584887,229,76.058802
1.174811,113,76.653375
0.335573,21,76.928046
0.289511,24,77.210422
2.868824,219,78.112323
0.39281,21,78.383487
0.662081,22,78.662965
0.552829,22,78.947305
5.009596,580,81.040027
2.682378,168,81.781599
0.402399,21,82.056674
0.520694,22,82.33441
1.537995,140,82.987505
0.539862,21,83.256819
0.660786,25,83.544435
0.189127,18,83.812617
0.336632,18,84.084358
0.60242,127,84.685126
0.243062,18,84.959519
0.371715,20,85.240268
0.431344,19,85.514334
0.159612,17,85.779083
1.369016,70,86.205555
0.502841,21,86.469954
0.477924,23,86.756575
0.539223,20,87.028002
0.517635,20,87.303717
1.378176,238,88.291945
0.355923,21,88.580221
0.703271,25,88.876379
0.412658,18,89.144544
0.644144,23,89.429818
0.645722,21,89.699372
1.309872,110,90.246498
0.517187,21,90.516323
0.326924,19,90.79054
0.903559,342,92.835076
0.285619,20,93.105655
0.322505,21,93.383165
0.234759,21,93.660779
0.402762,19,93.926156
0.726716,25,94.215913
0.657139,21,94.485285
0.30941,19,94.74824
0.275939,22,95.023243
0.425228,19,95.286592
0.622059,26,95.578348
2.62197,74,96.008992
0.525364,20,96.303841
0.945559,74,96.749717
9.447414,468,98.41564
1.260466,97,98.927824
0.595702,19,99.206958
0.410503,21,99.476198
0.43936,22,99.756629
3.913359,279,100.870958
0.512492,27,101.178146
0.615964,20,101.455198
4.515004,367,102.810606
2.361499,90,103.297071
0.352696,25,103.581842
0.417166,22,103.85376
0.645075,24,104.13413
0.320554,20,104.400492
0.451831,24,104.681876
0.203125,19,104.947125
0.396581,21,105.217138
0.547207,20,105.485636
0.341489,22,105.770574
0.425091,20,106.048684
0.487532,20,106.322135
0.557598,23,106.597433
0.447691,21,106.869172
0.58107,21,107.141033
0.642637,21,107.409315
0.511113,22,107.682564
0.899852,443,109.293272
1.506697,214,110.176754
0.67121,20,110.446633
1.13885,29,110.762489
0.416468,21,111.048663
0.376376,21,111.331947
2.036124,232,112.257635
0.429253,21,112.526739
0.641034,23,112.799515
2.416634,75,113.250262
0.382794,20,113.523386
1.629895,258,114.542701
0.457328,24,114.837984
0.262421,18,115.113891
0.596043,21,115.414474
0.203612,21,115.691106
0.406481,20,115.952986
0.375739,22,116.241994
0.543524,20,116.544196
5.32146,314,117.743499
0.555595,19,118.014815
0.315738,22,118.28518
7.319317,333,120.516347
0.469951,20,120.78679
0.487986,22,121.065387
4.624922,247,122.050483
6.588112,749,124.617513
0.454042,20,124.897065
1.879938,84,125.363396
2.19618,310,126.543194
0.294243,19,126.823611
3.140208,155,127.522766
0.715402,24,127.803789
0.294888,20,128.070322
0.324985,19,128.342388
0.575583,21,128.616495
0.324298,22,128.885992
0.549346,62,129.28597
0.417471,22,129.55887
0.566416,22,129.839674
0.522322,21,130.110104
0.634615,21,130.38198
4.906095,340,131.667011
0.261805,21,131.956367
0.487188,21,132.229204
0.354306,19,132.494736
0.287562,19,132.75966
0.575454,23,133.040854
0.374352,19,133.307847
2.919169,576,135.321709
0.642158,26,135.605772
0.439112,21,135.87506
0.42867,19,136.143781
0.222508,147,136.854423
0.375806,20,137.125018
1.994537,271,138.192011
0.42877,22,138.471439
0.694757,22,138.756099
0.45578,21,139.028467
0.192041,21,139.303376
0.557958,23,139.580478
0.42897,21,139.864568
0.456751,21,140.135651
0.339608,18,140.405605
0.721149,24,140.687291
0.40934,19,140.951469
0.339982,22,141.24203
0.454293,20,141.513968
0.395417,20,141.794626
7.4894,554,144.542924
1.005425,235,145.485755
0.955913,69,145.910032
1.414152,495,147.670647
0.811101,25,147.955161
0.173324,21,148.228008
0.319853,19,148.49689
0.61416,22,148.769739
0.532452,21,149.046739
1.838432,237,150.016206
1.371878,513,151.841805
0.5995,23,152.117846
0.781795,23,152.395777
7.116571,340,153.661234
0.416323,18,153.919759
0.217493,18,154.189608
0.514678,21,154.453434
0.516257,19,154.715777
0.420432,21,154.989623
0.316673,18,155.261967
0.449729,19,155.527467
4.194651,222,156.451777
0.340045,20,156.720423
0.410805,22,156.989451
4.434507,131,157.618299
2.482131,173,158.362926
0.326932,18,158.622592
0.653281,25,158.902037
4.524719,878,162.672578
0.365147,24,162.946898
0.708116,75,163.391738
0.633252,21,163.65896
2.268991,141,164.306584
0.425206,22,164.583149
0.172463,20,164.865193
0.350878,21,165.131534
0.383673,22,165.401405
1.272125,73,165.836917
0.455886,23,166.112042
0.537617,23,166.389006
0.456441,23,166.671978
0.678784,27,166.961377
4.117505,282,168.060405
1.012533,326,169.296345
0.461894,21,169.566574
1.752307,151,170.244593
0.7776,23,170.519012
0.416769,19,170.789434
4.771589,440,172.408296
0.559491,19,172.673114
2.937833,493,174.4267
0.549309,21,174.699377
1.598356,165,175.424593
0.67234,28,175.721624
1.358593,171,176.489369
0.367281,21,176.770854
0.517289,25,177.056882
3.492148,289,178.179363
0.689257,69,178.609965
4.782654,317,179.82815
2.273826,311,181.007615
0.449323,19,181.275433
0.733266,25,181.566739
1.363059,215,182.452579
2.692621,73,182.884821
0.341636,19,183.149079
0.671702,20,184.242643
0.555252,22,184.516224
0.674385,22,184.788372
0.490919,22,185.057808
2.009219,235,185.994939
0.725484,101,186.530222
0.476671,19,186.797406
0.672494,24,187.077597
3.339596,327,188.306297
0.454931,21,188.582413
0.334512,20,188.84834
3.790078,855,191.79108
0.267938,18,192.061722
0.307367,25,192.36119
0.494941,22,192.639415
4.286233,263,193.667178
5.885546,236,194.621496
3.511187,173,195.396477
0.702223,24,195.678514
0.437539,20,195.945132
2.437424,543,197.859096
2.9581,764,200.456937
1.582777,229,201.420192
3.290608,562,204.693005
0.643019,22,204.97863
0.766677,22,205.272539
3.907919,657,207.565525
0.308945,19,207.82913
0.368954,22,208.099395
1.804355,519,209.93366
2.204336,343,211.211015
0.395784,20,211.485896
0.638364,22,211.762129
0.610859,20,212.030726
1.78957,271,213.107073
1.325796,34,213.438117
0.32167,19,213.710898
0.47013,20,213.980886
1.937183,683,216.342503
1.455243,87,216.832263
0.86048,25,217.111919
5.244353,1001,221.211327
0.972766,72,221.64039
0.419713,20,221.913381
1.761073,546,223.831129
6.489796,962,227.070806
0.514614,22,227.338899
3.18022,361,228.676851
2.493589,226,229.608216
9.561374,540,231.505991
0.435908,24,231.787984
0.347294,18,232.048043
0.614223,22,232.317107
0.337933,19,232.576465
0.336972,19,232.839864
3.677989,296,233.969852
0.927123,342,235.251914
0.557109,24,235.536747
1.761726,652,238.594099
0.434447,21,238.865038
11.861806,1001,242.215421
0.432206,21,242.485347
3.542963,451,244.115612
5.39371,440,245.703218
0.404387,23,245.980393
0.391998,20,246.248826
6.314696,483,247.979013
1.456869,79,248.437308
0.413311,21,248.706793
1.748984,71,249.136465
7.672073,1001,252.501375
10.546708,1001,256.682499
4.581821,499,258.446187
2.285193,143,259.093861
12.85214,907,262.158874
3.162126,393,263.600607
7.292387,347,264.906204
0.404474,20,265.171416
0.47495,22,265.444847
7.147627,564,267.408779
5.089779,398,268.874553
4.733591,1001,273.125512
13.358872,1001,276.468817
3.451367,591,278.529512
0.322682,28,278.82247
2.524465,540,280.725142
0.57654,26,281.015166
2.616691,1001,285.202375
3.173167,564,287.182123
0.558402,23,287.462632
7.707625,1001,290.822058
0.336717,20,291.092332
5.407899,348,292.383093
10.445934,333,293.640098
9.568633,598,295.727572
0.421168,20,295.995432
4.309283,678,298.428891
0.435121,19,298.714952
15.534219,1001,302.783637
7.488191,1001,306.13578
1.686876,1001,309.547234
2.382298,692,312.221832
0.546112,28,312.540884
0.44398,21,312.888593
6.952294,1001,317.093606
0.490165,21,317.367174
6.941912,1001,321.871711
8.611183,626,324.579433
6.112845,683,327.326883
0.373332,19,327.624243
4.180483,713,330.499051
3.004726,1001,335.872848
2.722067,702,338.742424
12.72819,1001,342.854709
0.49921,68,343.418495
8.829559,556,346.037379
0.604411,23,346.375553
6.851377,1001,350.323138
9.330803,543,352.739746
9.192737,1001,357.79378
16.589028,1001,362.016887
6.779268,340,363.729452
3.743006,542,365.927606
4.468086,1001,369.488711
18.006976,1001,373.721868
25.595325,1001,377.229737
8.512009,1001,380.776591
15.089704,1001,384.166596
0.666295,26,384.465064
9.895162,401,386.794579
21.010996,1001,390.200626
6.629132,506,392.042655
18.830628,1001,395.393712
12.964018,1001,398.739792
11.988092,1001,402.944274
11.148331,1001,406.327649
17.751313,1001,409.728862
4.151894,1001,413.090263
30.397308,1001,417.248537
5.317858,1001,420.575364
24.593411,1001,423.949621
18.545271,1001,427.287688
10.144386,1001,431.619822
26.622029,974,434.920799
0.503701,22,435.193892
11.104439,1001,438.542143
34.396531,1001,442.053347
11.342937,1001,446.213217
14.66249,461,447.875452
0.384023,19,448.13807
14.525169,1001,451.48353
22.237497,1001,454.831559
9.282909,395,456.281363
17.901022,1001,460.536207
31.028158,1001,463.896421
27.26016,1001,467.249376
5.964068,404,468.714116
29.571546,1001,472.084727
15.703772,517,473.926757
27.984174,1001,478.160524
25.606606,1001,481.514313
34.118516,1001,484.883537
33.219847,1001,488.24646
32.141397,1001,492.508406
30.446298,1001,495.877946
36.348995,1001,499.23731
0.639443,23,499.519901
36.773172,1001,502.896285
12.090838,415,505.291418
33.873973,1001,508.65394
33.25241,1001,512.032143
28.130276,1001,515.433214
16.077878,1001,519.594315
29.668576,1001,522.960806
0.538852,20,523.228647
28.850566,1001,526.609464
15.907992,521,528.441563
20.675171,1001,531.811988
33.715175,929,535.796897
21.392949,1001,539.173468
38.103636,1001,542.583233
0.393611,20,542.85231
21.34502,1001,546.22376
0.498995,21,546.500633
28.242015,1001,550.835269
18.317879,1001,554.228373
32.944973,1001,557.647751
28.916517,1001,561.024835
23.18366,889,564.851213
28.858042,1001,568.233159
37.580975,1001,571.6123
25.097783,1001,574.963732
14.041497,359,576.298648
0.221269,18,576.567453
36.249112,1001,580.757671
37.63419,1001,584.118343
39.490805,1001,587.489098
16.478564,405,588.960773
22.292244,1001,592.396044
41.293283,1001,596.659045
40.190967,1001,600.059804
41.406313,1001,603.418837
33.595145,1001,606.836655
33.416085,1001,611.176088
39.858395,1001,614.551713
35.518402,1001,618.066114
32.749188,1001,621.458612
31.093711,1001,625.680197
37.26458,1001,629.04978
32.171368,1001,632.437712
37.069272,1001,635.789764
35.064841,1001,640.076588
37.054054,1001,643.44531
42.401049,1001,646.823997
21.759357,668,649.201072
38.500936,1001,653.504764
27.315267,1001,656.935897
30.781108,1001,660.386463
39.117789,1001,663.77842
0.342874,19,664.044499
32.155864,1001,667.399641
39.701756,1001,671.567834
0.570609,21,671.843414
40.615556,1001,675.29013
42.229689,1001,678.667515
28.637535,1001,682.059381
38.042119,1001,686.26394
45.893833,1001,689.629707
0.414176,20,689.910403
37.122273,1001,693.316038
33.056908,1001,696.686223
34.249959,1001,700.874539
45.083724,1001,704.239714
42.303374,1001,707.632193
38.283584,1001,711.031012
38.979345,1001,715.422704
34.283732,1001,718.79801
0.305871,21,719.073745
0.474236,20,719.346108
41.190977,1001,722.723266
24.189171,641,724.96116
0.483476,20,725.228997
35.288411,1001,729.361533
