#{"t_start": 1704351864.2890282, "env_id": "None"}
r,l,t
0.0,18,0.432012
0.004868,21,0.69964
0.0,22,0.971427
0.078494,21,1.240187
0.005527,22,1.519797
0.007151,21,1.794683
0.296093,417,3.305941
0.0,22,3.594559
0.0,21,3.865338
0.0,22,4.143953
0.004808,20,4.420875
0.09837,20,4.701679
0.017917,18,4.962301
0.0,21,5.257608
0.018856,20,5.547862
0.221611,163,6.329281
0.109355,129,6.940253
0.100269,200,7.77126
0.0,19,8.033773
0.045201,23,8.311276
0.0,19,8.580616
0.052227,174,9.433807
0.0,19,9.732868
0.029787,18,10.014523
0.093055,22,10.286064
0.019884,77,10.730428
0.008612,20,10.99778
0.026167,24,11.278018
0.002504,28,11.580139
0.049365,21,11.850124
0.0,20,12.123853
0.039215,29,12.423664
0.004649,18,12.69125
0.334779,469,14.392697
0.322048,116,14.960712
0.038144,20,15.230278
0.0,18,15.490273
0.0,20,15.75636
0.0,20,16.03192
0.0,21,16.304107
0.022623,20,16.576288
0.015789,20,16.847152
0.036158,26,17.133303
0.273976,469,18.806642
0.001522,18,19.071062
0.001871,21,19.343746
0.0,18,19.604298
0.0,21,19.881267
0.03635,18,20.148523
0.036512,20,20.420604
0.0,19,20.698405
0.0,21,20.974272
0.008086,21,21.247055
0.0,19,21.520451
0.518439,185,22.311051
0.0,23,22.588772
0.0,18,22.862353
0.009159,21,23.148842
0.0,21,23.426083
0.004934,21,23.694079
0.114242,274,24.797441
0.227417,293,26.028211
0.0,22,26.307351
0.027917,21,26.577005
0.027078,20,26.841834
0.0,20,27.106148
0.0,21,28.106529
0.000736,18,28.362883
0.0,20,28.629028
0.014343,18,28.890062
0.037558,20,29.152153
0.0,116,29.713658
0.0,20,29.980977
0.0,86,30.454836
0.088258,21,30.721022
8.8e-05,19,30.98947
0.403053,450,32.741939
0.020765,19,33.009795
0.034037,25,33.291896
0.0,19,33.551037
0.074716,110,34.100611
0.00432,19,34.362772
0.00581,20,34.627334
0.010897,21,34.898375
0.0,19,35.156818
0.190335,74,35.595287
0.025897,21,35.862731
0.0,22,36.133087
0.0,20,36.398927
0.207946,65,36.806149
0.00033,18,37.062263
0.0,20,37.328332
0.020325,23,37.607044
0.008668,29,37.902527
0.014045,21,38.169891
0.19492,24,38.463147
0.027366,21,38.735242
0.001911,21,39.015448
0.107047,250,40.01238
0.008251,20,40.29271
0.012446,24,40.58835
0.259146,271,41.641205
0.005161,89,42.122445
0.010349,20,42.390479
0.006704,94,42.883774
0.013437,20,43.145338
0.0,24,43.424059
0.004736,21,43.689246
0.0,21,43.956228
0.002934,21,44.225369
0.056533,24,44.51385
0.0,19,44.774267
0.003615,18,45.037423
0.004838,21,45.306594
0.0,19,45.578401
0.0,20,45.842183
0.20971,136,46.468069
0.0,19,46.733018
0.004697,23,47.006201
0.128853,260,48.018624
0.0,20,48.282685
0.294633,290,49.398912
0.021379,22,49.669902
0.0,18,49.932884
0.147783,21,50.200944
8e-06,22,50.473015
0.003456,20,50.737642
0.0,21,51.004778
0.0,24,51.284381
0.0,20,51.554487
0.157277,110,52.102883
0.0,21,52.376754
0.000475,21,52.644677
0.019948,63,53.067242
0.009959,20,53.338509
0.213661,280,54.414218
0.044325,20,54.689049
0.018438,22,54.974166
0.018759,136,55.599094
0.009375,21,55.869397
0.0,19,56.144064
0.0,19,56.406121
0.0,22,57.430285
0.0,202,58.264171
0.010073,21,58.530952
0.017599,21,58.802285
0.049364,21,59.090335
0.001438,22,59.361735
0.0,19,59.628259
0.012629,20,59.905017
0.028143,21,60.176837
0.009304,135,60.81096
0.044548,20,61.085539
0.041849,23,61.375414
0.08445,266,62.412315
0.004691,22,62.682049
0.011706,308,63.851936
0.000659,20,64.12341
0.111155,22,64.397599
0.0,22,64.666895
0.001198,20,64.933348
0.090592,23,65.209146
0.003431,22,65.484777
0.0,20,65.745986
0.050238,20,66.007916
0.010269,22,66.288581
0.0,19,66.557129
0.001423,102,67.078315
0.033119,21,67.342607
0.125977,26,67.626542
0.007937,21,67.893084
0.009821,19,68.154108
0.0,18,68.415753
0.0,20,68.678517
0.013838,19,68.938989
0.00403,20,69.202463
0.006259,17,69.461155
0.289132,179,70.244996
0.153647,94,70.757487
0.031665,24,71.031379
0.007559,20,71.3129
0.033927,19,71.587059
0.018921,132,72.21168
0.05449,22,72.483988
0.079977,21,72.753573
0.195257,434,74.323893
0.0,19,74.581216
0.049397,88,75.057894
0.0,21,75.321186
0.001325,20,75.591065
0.0,23,75.877589
0.0,23,76.147637
0.0,19,76.408215
0.00884,18,76.667402
0.015393,18,76.940711
0.0,19,77.205674
0.010485,123,77.794385
0.464473,234,78.728241
0.0,21,78.995433
0.0,21,79.265039
0.0,19,79.527229
0.0,22,79.795735
0.007943,20,80.064968
0.035128,17,80.320322
0.0,20,80.585579
0.02178,388,82.009239
0.000504,190,82.813813
0.006781,21,83.085624
