#{"t_start": 1704358054.932111, "env_id": "None"}
r,l,t
0.016524,24,0.507627
0.03253,22,0.798921
0.001031,131,1.488196
0.0,22,1.820743
0.056848,23,2.165153
0.0,22,2.561246
0.002012,21,2.922076
0.18378,141,3.77997
0.028237,21,4.080133
0.006568,20,4.365331
0.033801,17,4.6587
0.007726,19,4.959679
0.026258,21,5.23242
0.0085,21,5.506656
0.010221,20,5.775233
0.0,20,6.038072
0.060082,21,6.306081
0.006953,20,6.571296
0.0,22,6.850607
0.037835,23,7.127927
0.14324,164,7.909881
0.022893,20,8.210018
0.0,19,8.597277
0.0,18,8.964957
0.005709,21,9.301707
0.001814,21,9.589926
0.953437,397,11.040804
0.046287,25,11.324576
0.0,20,11.597994
0.025481,18,11.859117
0.005479,20,12.143066
0.0,22,12.423418
0.0,20,12.704262
0.0,21,12.994071
0.034638,19,13.268968
0.05189,19,13.535829
0.009417,20,13.81753
0.252661,291,15.068311
0.014838,18,15.3409
0.011286,19,15.630814
0.0,19,15.898532
0.0,20,16.182082
0.0,20,16.447697
0.069921,25,16.757892
0.055941,19,17.038418
0.0,19,17.316216
0.001108,18,17.580908
0.034487,20,17.86483
0.0,18,18.164361
0.007334,19,18.440255
0.011785,23,18.725406
0.010099,22,19.007388
0.015897,20,19.294581
0.315166,361,20.62761
0.013886,20,20.941698
0.0,22,21.259787
0.0,20,21.557014
0.035177,25,21.869513
0.0,22,22.151478
0.002873,20,22.427575
0.001892,74,22.855267
0.0,19,23.114848
0.0,23,23.386282
0.0,18,23.656945
0.105435,101,24.209817
0.002845,24,24.541357
0.033496,20,24.853029
0.006195,20,25.154061
0.046299,139,25.813677
0.030863,22,26.079884
0.0,19,26.3701
0.0,20,26.64832
0.0,20,26.913694
0.043479,22,27.180609
0.019767,20,27.441544
0.074863,186,28.248226
0.015645,18,28.511891
0.004381,18,28.777384
0.000511,24,29.053369
0.0,18,29.319723
0.0,19,29.593018
0.007646,18,29.86277
0.010106,18,30.123303
0.127192,21,30.401386
0.109336,125,31.011226
0.0,21,31.275357
0.049618,23,31.562711
0.0,17,31.826219
0.010307,22,32.112772
0.07174,238,33.070906
0.073724,27,33.35994
0.008047,23,33.652521
0.090143,21,33.927219
0.176946,147,35.357939
0.072819,24,35.647123
0.005103,20,35.910154
0.115583,255,36.921427
0.010264,23,37.200442
0.063395,202,38.06978
0.012304,20,38.350639
0.01759,20,38.614019
0.001226,120,39.20365
0.0,18,39.461156
0.001159,19,39.718565
0.038044,80,40.20182
0.026206,21,40.484394
0.023794,19,40.757143
0.242786,175,41.55252
0.0,19,41.830167
0.058775,20,42.102386
0.0,239,43.07159
0.048653,21,43.340661
0.0,19,43.600106
0.0,20,43.865057
0.081928,363,45.245242
0.0,415,46.764704
0.014544,18,47.022062
0.017754,23,47.298733
0.108842,25,47.597482
0.020176,218,48.506066
0.0,22,48.781171
0.139255,131,49.402816
0.030039,19,49.67961
0.0,18,49.952045
0.0,17,50.223244
0.0,19,50.490551
0.002886,18,50.762668
0.018938,22,51.043009
0.006056,26,51.331087
0.141725,108,51.888396
0.0,20,52.15397
0.127543,242,53.120354
0.0,19,53.39738
0.035163,22,53.679915
0.035309,18,53.950862
0.060902,23,54.234847
0.0,20,54.499775
0.002241,21,54.769725
0.0,23,55.042433
0.064194,20,55.306974
0.007639,140,55.963689
0.048045,18,56.226592
0.004184,21,56.504261
0.035418,21,56.769913
0.0,19,57.044847
0.00676,21,57.355898
0.080665,22,57.66632
0.236213,180,58.577369
0.023185,79,59.060831
0.0,21,59.325289
0.012658,138,59.967806
0.0,21,60.233736
0.02637,20,60.494981
0.033442,24,60.767897
0.245586,282,62.647794
0.007263,121,63.230822
0.060604,19,63.507217
0.0,21,63.780326
0.213965,92,64.278989
0.0,21,64.552449
0.0,66,64.961784
0.010108,19,65.230447
0.015208,19,65.500537
0.000573,19,65.770579
0.0,17,66.025611
0.20125,82,66.490736
0.867304,253,67.503902
0.0,58,67.899779
0.0,20,68.162897
0.0,19,68.425479
0.020369,19,68.689084
0.016858,20,68.952373
0.148889,111,69.519288
0.437821,331,70.768644
0.087174,236,71.714498
0.012504,24,71.994729
0.05002,21,72.276753
0.035551,20,72.550214
0.0,19,72.826088
0.0,18,73.094367
0.065964,27,73.379121
0.001324,23,73.650259
0.0,20,73.919923
0.003079,20,74.201244
0.03428,18,74.469434
0.021249,22,74.749859
0.0,23,75.040904
0.042674,18,75.309883
0.030592,19,75.58727
0.0,19,75.858013
0.062148,19,76.125923
0.035223,26,76.413555
0.004905,18,76.668369
0.0,21,76.942687
0.0,19,77.206321
0.327292,113,77.770782
0.0,21,78.065225
0.025968,22,78.340228
0.0,19,78.599135
0.0,22,78.86774
0.041815,496,80.642407
0.0,18,80.900683
0.010603,24,81.197663
0.0,19,81.469377
0.043495,244,82.441966
0.0,22,82.723179
0.00069,22,82.99528
0.341961,176,83.752828
0.000201,20,84.03368
0.008436,22,84.326192
0.0,18,84.592703
0.0,23,84.872412
0.0,18,85.129575
0.005964,23,85.402976
0.071357,22,85.681638
0.017085,20,85.945701
0.025148,178,86.704476
0.000489,20,86.970665
0.104071,23,87.261128
0.359148,162,87.974901
0.168152,21,88.240505
0.0,20,88.51466
0.240337,218,90.215564
0.003235,18,90.4806
0.01907,26,90.767671
0.0,20,91.031789
0.072057,522,92.917225
0.0,21,93.196876
0.021042,20,93.459358
0.059441,187,94.252224
0.299707,263,95.302372
0.006176,19,95.578539
0.011658,19,95.84771
0.057422,24,96.138635
0.138228,77,96.592989
0.0,93,97.096186
0.098216,22,97.379512
0.066205,112,97.942395
0.0,23,98.227793
0.006496,20,98.502876
0.0,20,98.769027
0.055663,27,99.063536
0.042361,21,99.337419
0.075894,25,99.634837
0.012643,20,99.900973
0.316361,104,100.440381
0.007388,19,100.705614
0.003666,23,100.980678
0.007422,77,101.430701
0.0,19,101.701966
0.06706,19,101.972188
0.019442,20,102.244089
0.003881,22,102.524123
0.101895,142,103.20379
0.011993,24,103.488048
0.005563,18,103.761008
0.310919,71,104.194417
0.009119,21,104.460959
0.032283,105,105.015772
0.017657,23,105.307727
0.004132,19,105.574343
0.0,18,105.839585
0.287323,540,107.783194
0.051127,22,108.063907
0.012226,18,108.325083
0.0,20,108.618973
0.087942,22,108.923242
0.063765,20,109.197177
6.3e-05,18,109.463366
0.059835,81,109.933309
0.024495,21,110.205543
0.051167,76,110.666227
0.00398,19,110.932177
0.077471,21,111.214916
0.080074,200,112.064555
0.007826,21,112.348819
0.0,19,112.62787
0.0,21,112.912711
0.041593,22,113.196761
0.011506,19,113.468072
0.0,20,113.735792
0.0,20,114.007322
0.00589,19,114.274576
0.010313,19,114.536376
0.091528,19,114.796068
0.005321,276,115.878736
0.023492,322,117.822798
0.05138,25,118.106402
0.165662,115,118.696156
0.057081,23,118.972209
0.246734,298,120.133085
0.0,21,120.404923
0.002359,19,120.683596
0.022391,20,120.950473
0.000617,19,121.208176
0.01975,24,121.487416
0.0,19,121.751759
0.037783,22,122.023285
0.0856,22,122.293159
0.014696,207,123.154026
0.032439,267,124.206318
0.0,18,124.472905
0.046979,233,125.422761
0.0,19,125.683484
0.0,18,125.958304
0.010967,20,126.223068
0.002477,21,126.490292
0.013393,19,126.765347
0.0,19,127.032651
0.0,18,127.298206
0.079162,23,127.581893
0.0,20,127.851513
0.130949,213,128.720485
0.416148,406,130.194226
0.014994,21,130.475624
0.020969,20,130.751873
0.044051,32,131.050679
0.0,18,131.309206
0.0,19,131.570968
0.03301,19,131.837638
0.023515,130,132.475705
0.0,23,132.754809
0.034837,20,133.026142
0.05922,128,133.640293
0.341085,116,134.211462
0.0,17,134.471219
0.0,27,134.758929
0.091185,26,135.039935
0.755878,335,136.294307
0.00056,20,136.555042
0.16462,242,137.521696
0.067447,229,138.466219
0.012009,18,138.730708
0.00483,28,139.03354
0.07466,22,139.327637
0.0,23,139.608274
0.022878,21,139.885612
0.009777,19,140.145228
0.000692,22,140.42864
0.0,20,140.699144
0.007601,20,140.986312
0.087618,23,141.266848
0.00442,19,141.528684
0.06914,23,142.449714
0.03651,245,143.442154
0.0,20,143.710402
0.040239,74,144.152223
0.002965,261,145.16864
0.070749,20,145.442132
0.011517,22,145.720214
0.207974,124,146.329859
0.268537,150,147.01067
0.0,18,147.271181
0.0,20,147.533514
0.0,18,147.799075
0.0,25,148.093746
0.018953,409,149.589804
0.035223,117,150.170867
0.005508,21,150.448643
0.025961,22,150.722986
0.018224,20,150.989291
0.002953,20,151.254452
0.002547,23,151.542341
0.0,23,151.824793
0.0,20,152.113347
0.0,21,152.388716
0.0,20,152.65634
0.0,18,152.912429
0.057541,242,153.88175
0.003733,20,154.145357
0.120323,20,154.425356
0.0,19,154.69384
0.0,22,154.967806
0.002867,20,155.233873
0.017868,21,155.500215
0.197024,122,156.087463
0.003619,18,156.35233
0.002606,19,156.610584
0.03261,24,156.884113
0.028597,23,157.164009
0.090942,178,157.918853
0.00614,23,158.217383
0.115407,25,158.531883
0.0,20,158.802744
0.001007,19,159.064648
0.0,21,159.329902
0.945371,291,160.450015
0.008408,20,160.714809
0.0,19,160.975087
0.019202,19,161.23948
0.057431,112,161.796064
0.073774,22,162.069277
0.809142,278,163.149738
0.0,20,163.419786
0.0,17,163.704488
0.052972,140,164.395889
0.014636,20,164.688098
0.110215,62,165.102806
0.002786,18,165.375923
0.011826,20,165.651602
0.111373,275,166.723075
0.138129,92,167.20984
0.0,20,167.473508
0.094899,179,168.959531
0.023517,18,169.24411
0.012022,21,169.533949
0.135112,21,169.811422
0.006449,21,170.092136
0.000864,132,170.710564
0.02593,20,170.989904
0.002102,502,172.773604
0.062159,100,173.293756
0.35168,175,174.046344
0.040206,21,174.326054
0.153708,127,174.930452
0.042124,21,175.216606
0.003742,22,175.501485
0.307958,117,176.089159
0.0,23,176.372454
0.021896,22,176.65283
0.002732,22,176.918388
0.026599,21,177.181926
0.142506,210,178.053125
0.237212,217,178.973398
0.027131,182,179.743656
0.0,19,180.005955
0.021854,19,180.293387
0.0,72,180.729958
0.000478,17,180.993998
0.299542,151,181.680864
0.007518,18,181.950086
0.0,19,182.212373
0.003763,24,182.509727
0.135987,585,184.572789
0.087997,20,184.841684
0.0,21,185.11392
0.031435,20,185.380742
0.197919,123,185.989205
0.180787,291,187.138809
0.028185,24,187.416888
0.132885,25,187.706876
0.013031,24,187.981442
0.022176,19,188.251805
0.031141,21,188.528086
0.011396,22,188.811872
0.032561,26,189.09361
0.00254,23,189.376877
0.004851,22,189.658485
0.001262,18,189.921663
0.0,116,190.510781
0.136949,25,190.801921
0.005872,52,191.182534
0.045339,22,191.471385
0.008328,20,191.750658
0.427447,274,193.5414
0.040364,258,194.575115
0.011407,21,194.841465
0.000429,24,195.117344
0.000558,221,196.030764
0.003332,21,196.296155
0.0,20,196.557094
0.0,25,196.845698
0.0,20,197.119799
0.052696,240,198.093669
0.0,21,198.391702
0.127906,48,198.757253
0.008654,18,199.019212
0.049908,22,199.299257
0.0,20,199.571226
0.012816,21,199.839089
0.002486,633,202.114856
0.291826,172,202.863155
0.006373,20,203.129703
0.001283,19,203.394251
0.001527,22,203.67004
0.271475,65,204.074622
0.178626,92,204.567263
0.0,20,204.829812
0.0,22,205.113413
0.0,18,205.37335
0.0,318,206.587819
0.012978,19,206.868301
0.076336,202,207.714006
0.004517,23,207.992676
0.175642,492,209.784072
0.011461,18,210.042946
0.119562,384,211.478894
0.0,23,211.760667
0.0,19,212.02199
0.0,19,212.296595
0.05962,24,212.587318
0.007896,19,212.850645
0.214684,80,213.312758
0.0,20,213.574796
0.005268,85,214.04221
0.020929,23,214.343008
0.020678,65,215.61722
0.008727,21,215.885633
0.0,19,216.143987
0.07314,182,216.930692
0.452557,349,218.258898
0.0,22,218.564778
0.0,20,218.839636
0.025963,21,219.104468
0.366219,224,220.011732
0.239398,127,220.640641
0.062278,24,220.929346
0.015047,19,221.19515
0.019544,19,221.477856
0.005891,20,221.750974
0.068801,205,222.609813
0.011548,21,222.87647
0.0,21,223.140215
0.457117,448,224.78231
0.107745,125,225.393257
0.079674,20,225.670111
0.009396,19,225.937144
