#{"t_start": 1702836153.3966944, "env_id": "None"}
r,l,t
11.607736,1001,9.96353
14.966771,646,16.442946
9.966247,649,23.036979
8.691335,1001,33.122365
12.033107,1001,45.825405
15.405949,1001,55.382046
11.077087,1001,65.318534
12.169457,617,71.69823
9.469889,1001,81.630883
28.823953,1001,94.191368
19.921815,1001,104.247157
15.560653,1001,114.113603
7.963981,1001,125.13482
12.816044,1001,138.731347
11.066008,757,146.055416
16.435385,1001,155.76147
15.276922,1001,165.186054
16.877732,760,175.905169
7.710892,340,179.390092
12.159819,1001,188.657305
8.510286,517,193.626526
16.356764,1001,202.877394
22.069787,1001,212.065913
18.537773,775,222.380607
11.678356,983,231.490822
19.250079,1001,240.80866
8.529935,1001,250.15354
11.769773,374,254.107766
11.949771,1001,266.531551
12.256405,1001,276.063606
15.490907,588,281.673441
11.266437,643,287.783787
27.244455,1001,297.051017
9.076966,321,303.506161
17.733785,1001,312.819743
20.386489,932,321.461086
10.784853,1001,330.696543
11.512261,1001,342.995347
18.655861,881,352.278838
11.749484,1001,362.701418
20.177115,1001,373.37629
9.943548,1001,382.893305
9.387668,313,389.163722
21.958548,704,396.010726
15.607817,1001,405.539656
17.637666,812,413.415892
7.098726,1001,423.329984
13.163338,1001,435.410268
15.782796,1001,444.896466
24.226269,1001,454.105628
24.994726,1001,463.314415
14.711108,1001,475.218996
10.854582,618,481.079296
9.525178,1001,490.299602
16.364998,697,496.846873
14.529487,876,505.005557
9.933817,1001,516.999892
16.377722,818,524.615381
7.505711,1001,533.826684
19.05543,1001,543.05236
17.509848,1001,554.892585
17.925485,547,560.15924
12.11417,1001,569.379627
19.968069,1001,578.607874
12.590143,518,583.60411
13.666935,1001,595.498541
23.565752,1001,604.796032
11.503835,1001,614.04816
12.559836,866,622.16801
16.036298,1001,634.062908
18.570432,1001,643.241207
9.369713,1001,652.413948
5.367439,402,656.423113
18.634187,1001,665.647107
12.491122,1001,677.531673
15.038031,1001,686.749533
10.406024,1001,695.945051
20.949769,1001,705.151938
12.967845,820,715.397483
19.611576,678,721.784788
11.080297,1001,730.976009
7.59268,1001,740.20235
20.473721,1001,749.411573
13.554219,1001,761.307614
26.050872,893,769.597958
21.227985,1001,778.829871
25.347701,796,786.481371
28.352508,993,798.421262
10.907777,1001,807.648848
19.539087,1001,816.954472
11.943061,1001,826.149717
10.936023,1001,837.994885
18.969132,967,846.872821
16.056063,1001,856.063318
2.789753,191,858.309559
15.519784,1001,867.578459
10.372,1001,879.580303
18.291461,693,886.112198
21.388132,884,894.316426
14.9064,1001,903.53613
16.2875,1001,912.772513
12.295445,1001,925.117399
17.296944,1001,934.352903
12.47546,1001,943.588205
17.768497,1001,952.808
16.515082,1001,964.997093
19.459694,449,969.466551
16.124139,1001,978.686128
18.084157,937,987.35906
21.962338,948,996.094315
7.522464,1001,1008.361278
12.186936,784,1015.674545
