#{"t_start": 1702831458.8311296, "env_id": "None"}
r,l,t
4.956574,1001,10.860931
8.912642,1001,20.19012
7.273894,612,25.987657
6.907867,1001,35.176154
7.414421,1001,47.505689
15.332805,1001,56.694337
7.271269,1001,65.851594
8.963469,1001,75.227744
10.789333,1001,87.239969
5.757186,1001,96.529603
7.152573,1001,105.788758
13.196225,1001,115.032213
11.208641,1001,126.987106
12.479229,1001,136.449987
18.954915,1001,145.716103
17.58859,1001,155.01713
10.720495,1001,167.083945
14.713894,1001,176.386961
10.119096,1001,185.65481
13.996015,1001,194.874033
6.452825,1001,206.830355
4.286408,1001,216.05591
12.423809,1001,225.322377
6.943079,394,229.250236
16.098696,1001,238.500263
3.18129,1001,250.399763
19.885072,1001,259.639207
9.533606,1001,268.873328
12.938118,1001,278.053733
8.537712,1001,289.932217
7.126251,288,292.982093
0.00024,1001,302.303699
6.635421,1001,311.939314
0.180436,1001,321.653446
27.267262,1001,333.631567
27.30456,1001,343.013448
7.239153,1001,352.271883
6.747846,1001,361.467419
4.906229,1001,373.460079
7.480404,1001,382.747984
11.550437,1001,391.93467
4.742649,1001,402.107993
5.790081,1001,415.94527
12.847376,1001,425.474279
18.333481,1001,434.733945
7.395257,1001,443.936507
18.186909,1001,455.88115
6.660782,424,460.129963
9.998423,1001,469.327792
7.807643,1001,478.52794
8.630145,1001,488.434983
8.195734,1001,500.817191
12.243935,1001,510.007363
9.255874,1001,519.360392
10.109463,1001,529.046361
8.349054,1001,540.962888
4.498398,1001,550.13565
0.818879,1001,559.302217
5.19362,1001,568.451813
5.038956,1001,580.285598
7.182059,1001,589.46619
14.003332,1001,598.708355
14.77497,1001,607.999728
0.004291,1001,619.823487
15.073912,1001,628.973542
14.929545,1001,638.171172
5.701369,1001,647.364316
24.486787,1001,659.295649
4.753035,1001,668.518975
6.136705,1001,677.904403
2.803315,1001,687.099277
16.044104,801,694.515018
6.423296,1001,706.419026
8.789395,1001,715.632677
14.529419,1001,724.910984
0.0,1001,734.095065
12.718695,1001,745.857057
7.51784,1001,755.0817
13.512947,748,762.157069
7.310729,1001,771.385525
7.425403,1001,783.240423
16.914926,1001,792.436962
7.554118,1001,801.69129
9.686578,1001,811.006197
9.113765,1001,823.014877
11.426548,1001,832.175001
3.870793,1001,841.353105
10.945275,1001,850.509539
11.320184,1001,862.605195
10.310725,1001,871.795516
9.35925,1001,880.975208
10.854842,1001,890.125513
11.392605,1001,902.038554
10.541647,1001,911.336092
4.265552,1001,920.517761
11.814761,1001,929.731313
12.976321,1001,941.59331
6.149858,1001,950.755442
10.585796,1001,959.913431
11.231958,1001,969.061574
6.798403,1001,980.822299
10.954334,1001,989.968427
9.020284,711,996.599587
14.130082,1001,1005.758583
7.882925,1001,1014.895135
9.654312,1001,1026.682021
12.392775,1001,1035.990717
