#{"t_start": 1704364285.9926982, "env_id": "None"}
r,l,t
0.656919,21,0.512846
0.580724,19,0.795234
0.58378,20,1.077691
0.477316,20,1.384842
0.496101,19,1.664837
0.513625,18,1.930891
0.485186,19,2.203546
0.571201,18,2.46746
0.794105,19,2.732202
0.423735,19,2.993313
0.741024,22,3.270225
0.645945,20,3.54152
0.535206,18,3.804669
0.576093,22,4.112611
0.593419,20,4.408752
0.549444,21,4.69448
0.645932,19,4.97937
0.668886,21,5.288558
0.578481,20,5.606114
6.723654,1001,9.215996
0.597003,19,9.575851
0.466224,20,9.945189
2.299604,261,11.135964
0.42034,20,11.446247
0.638918,19,11.76837
0.498147,19,12.082305
0.580954,17,12.362316
0.67421,20,12.639579
0.722455,23,12.931365
0.652611,20,13.199569
0.813598,22,13.468383
0.531394,18,13.73908
0.687312,20,14.008988
0.425841,20,14.275262
0.541197,20,14.561891
0.453316,20,14.856986
0.426961,18,15.133695
0.387312,22,15.438611
0.549987,19,15.747422
0.626741,18,16.047
0.702654,24,16.397385
0.376485,18,16.701436
3.997336,119,17.330053
0.800492,24,17.631124
0.541133,20,17.911704
0.426259,18,18.177871
0.507647,18,18.460825
0.609121,21,18.762803
0.480288,18,19.035321
0.521572,20,19.321511
0.339223,21,19.624544
0.689727,20,19.98814
0.548489,20,20.291901
0.635152,20,20.598075
0.544888,18,20.924784
0.607208,19,21.223128
0.730417,19,21.509621
0.572769,19,21.788641
0.933867,24,22.093935
0.462386,18,22.361834
0.499926,20,22.636901
0.428914,17,22.906698
0.443747,18,23.176588
1.014798,26,23.483158
0.386381,18,23.777374
0.566676,17,24.113725
0.55428,20,24.473645
0.34473,18,24.767473
0.493442,19,25.042708
0.570444,18,25.309995
0.435519,21,25.592581
0.4641,19,25.889979
0.673004,21,26.219033
0.458223,21,26.520841
0.511925,18,26.934571
0.792911,28,27.254613
0.458818,20,27.59327
0.586526,18,27.91818
0.465549,20,28.237336
0.841588,25,28.589502
0.902265,441,30.270752
0.532154,22,30.554243
