#{"t_start": 1702772170.501417, "env_id": "None"}
r,l,t
0.128274,46,0.512069
0.033027,49,0.860432
0.103019,45,1.188489
0.042278,48,1.526701
0.14508,45,1.868909
0.064651,49,2.225445
0.02841,44,2.563019
0.134501,52,2.925164
0.042561,49,3.275466
0.155537,50,3.639347
0.041985,47,3.988982
0.132776,49,4.363139
0.072453,47,4.716052
0.037956,47,5.079527
0.142705,50,5.446289
0.078052,50,5.794782
0.145645,44,6.129401
0.050398,47,6.47201
0.08972,41,6.79404
0.173559,52,7.167274
0.069711,46,7.51765
0.031,47,7.864615
0.136804,52,8.22162
0.166494,53,8.587844
0.032504,47,8.934688
0.122487,49,9.280968
0.086073,50,9.630403
0.089023,49,9.983943
0.086861,48,10.339317
0.053708,49,10.696858
0.126419,44,11.030787
0.080399,49,11.381326
0.060723,46,11.729667
0.088788,52,12.091298
0.07022,49,12.455981
0.052264,48,12.836305
0.118613,48,13.183337
0.039231,46,13.523527
0.0524,93,13.994445
0.04718,47,14.336543
0.085221,46,14.675806
0.059784,46,15.012065
0.049118,48,15.351376
0.082162,48,15.692423
0.075151,46,16.024454
0.039464,43,16.354522
0.129519,50,16.69841
0.138666,45,17.033533
0.044282,47,17.37338
0.097741,48,17.711911
0.033407,49,18.060598
0.132151,47,18.40348
0.145523,42,18.729057
0.060149,47,19.063755
0.05771,46,19.397492
0.043298,47,19.740897
0.024666,46,20.075319
0.052939,46,20.41002
0.147737,46,20.748962
0.072672,42,21.074327
0.140952,51,21.428772
0.105439,50,21.771592
0.089083,47,22.108665
0.041243,45,22.440817
0.079359,44,22.767347
0.150308,45,23.098299
0.038588,51,23.452201
0.055247,47,23.791209
0.105298,45,24.122054
0.104927,45,24.45571
0.103348,42,24.776421
0.079172,44,25.104841
0.075471,49,25.44929
0.025456,50,25.793849
0.06284,48,26.135607
0.058346,47,26.474315
0.075208,46,26.811315
0.061729,50,27.154069
0.094955,46,27.487608
0.070789,46,27.821202
0.118806,42,28.146977
0.174826,43,28.472067
0.064597,49,28.814066
0.04502,50,29.161984
0.075609,47,29.499842
0.068849,51,30.661946
0.120546,43,30.990898
0.149708,45,31.328395
0.041936,49,31.668526
0.027898,46,32.008845
0.060611,49,32.353376
0.064947,50,32.701158
0.116976,45,33.031847
0.04852,48,33.371392
0.035318,50,33.713258
0.103671,40,34.029702
0.031883,44,34.356574
0.103661,50,34.701122
0.169427,51,35.046906
0.110607,48,35.386406
0.161942,45,35.724517
0.065445,48,36.069923
0.036257,45,36.403292
0.164937,47,36.74129
0.038501,50,37.089232
0.13436,50,37.437278
0.100424,46,37.778516
0.087833,47,38.117386
0.160073,48,38.461499
0.148069,47,38.803541
0.132274,44,39.130056
0.121813,39,39.448974
0.130662,48,39.79182
0.029835,44,40.122233
0.098172,45,40.453875
0.161232,51,40.805686
0.107063,43,41.131032
0.129622,44,41.462608
0.126792,47,41.800734
0.040428,50,42.146988
0.079045,50,42.495895
0.069615,49,42.835335
0.125051,47,43.178555
0.074512,44,43.504918
0.072423,46,43.842841
0.093222,49,44.187769
0.069739,48,44.532849
0.040413,46,44.866749
0.134601,45,45.200463
0.16127,51,45.550904
0.092427,43,45.881903
0.139169,45,46.216412
0.082202,46,46.545572
0.154233,45,46.874701
0.027967,47,47.21556
0.031104,46,47.551831
0.074787,48,47.894221
0.1166,44,48.222721
0.168604,44,48.556613
0.138513,44,48.885675
0.03508,46,49.222737
0.164291,52,49.580019
0.129413,50,49.922819
0.077932,48,50.266435
0.056131,48,50.60759
0.163562,54,50.963376
0.058539,48,51.304804
0.144212,43,51.63298
0.077006,50,51.979384
0.074252,47,52.312183
0.120135,42,52.637984
0.168165,54,52.998147
0.190759,55,53.355242
0.043967,45,53.687826
0.158015,43,54.015859
0.053363,49,54.356513
0.243672,56,54.719305
0.169491,57,55.088071
1.007075,191,55.835974
0.148037,49,56.184861
0.061321,48,56.528736
0.061916,49,56.874502
0.142692,44,57.202936
0.129103,50,57.544249
0.154972,45,57.874239
0.091058,50,58.216885
0.060067,46,58.547719
0.061356,48,58.884587
0.075535,43,59.211502
0.057255,46,60.424313
0.037466,48,60.764353
0.074545,46,61.096359
0.115285,45,61.424452
0.111157,51,61.770479
0.168554,52,62.123614
0.0931,47,62.460952
0.131271,48,62.804043
0.098964,43,63.131235
0.141995,54,63.489765
0.098452,46,63.82207
0.118114,48,64.164086
0.175076,48,64.50551
0.148387,45,64.832734
0.168976,69,65.232696
0.153316,52,65.582139
0.086236,45,65.914615
0.171406,52,66.26564
0.043807,52,66.61844
0.064345,49,66.965555
0.128309,43,67.292182
0.11215,45,67.625389
0.144386,48,67.965891
0.031806,48,68.301544
