#{"t_start": 1704292573.8747652, "env_id": "None"}
r,l,t
0.011547,22,0.483413
0.000787,175,1.251933
0.007045,19,1.534604
0.0,19,1.800166
0.0,22,2.076893
0.008219,23,2.347978
0.0,20,2.619944
0.0,18,2.876786
0.0,19,3.134683
0.000955,22,3.403571
0.0,18,3.67129
0.026238,122,4.250584
0.0,21,4.526611
0.020204,22,4.792661
0.0,22,5.062204
0.0,18,5.325207
0.0,20,5.585012
0.0,22,5.870217
0.0,21,6.194169
0.0,21,6.503177
0.0,18,6.849932
0.0,21,7.194619
0.0,21,7.498594
0.0,22,7.805549
0.00219,21,8.101171
0.002404,287,9.674017
0.028228,345,11.063374
0.010456,19,11.3812
0.0,19,11.777229
0.011421,20,12.130594
0.00716,91,12.773204
0.0,22,13.124784
0.0,122,13.719934
0.0,21,14.001114
0.0,18,14.288378
0.0,21,14.559153
0.0,396,16.251975
0.0,22,16.649972
0.0,21,16.990199
0.0,19,17.273703
0.0,385,18.904382
0.0,23,19.217674
0.0,19,19.529939
0.000162,23,19.834734
0.0,20,20.114746
0.0,21,20.40377
0.0,20,20.711205
0.0,18,21.01101
0.0,21,21.296159
0.0,17,21.596864
0.0,22,21.934578
0.0,18,22.239167
0.015025,24,22.611467
0.0,23,22.958451
0.0,18,23.291029
0.002242,23,23.585326
0.012715,22,23.887772
0.0,23,24.206876
0.0033,19,24.496928
0.0,20,24.779048
0.016566,209,25.65582
0.0,20,25.925578
0.024633,21,26.222705
0.011511,19,26.502217
0.0,133,27.134957
0.0,21,27.41159
0.0,21,27.687681
0.0,20,27.958412
0.0,18,28.236899
0.0,19,28.508752
0.0,21,28.781952
0.0,19,29.053921
0.0,22,29.350446
0.0,21,29.62419
0.001333,22,29.923555
0.0,98,30.466845
0.0,28,30.763786
0.0,18,31.027879
0.0,24,31.325468
0.0,22,31.627797
0.0,21,31.931483
0.0,19,32.205062
0.0,18,32.483428
0.0,21,32.767622
0.05689,268,34.64218
0.0,20,34.905929
0.0,19,35.176974
0.07079,305,36.416362
0.0,19,36.73277
0.0,21,37.041289
0.0,22,37.341799
0.0,23,37.641275
0.008884,18,37.927506
0.030789,118,38.561026
0.0,19,38.845961
0.0,19,39.149479
0.0,20,39.43702
0.0,19,39.72673
0.00557,20,40.005663
0.002762,20,40.304879
0.024939,231,41.271832
