#{"t_start": 1703516619.5092287, "env_id": "None"}
r,l,t
0.0,51,1.408194
0.0,60,2.493333
0.0,63,3.551574
0.0,127,5.134291
0.0,57,6.068126
0.0,193,8.330552
0.0,76,9.472338
0.0,76,10.604963
0.0,256,13.263678
0.0,256,15.950577
0.0,92,17.17925
0.0,66,18.195093
0.0,57,19.132666
0.0,59,20.085868
0.0,51,20.98254
0.0,94,22.232636
0.0,206,24.404884
0.0,144,26.077055
0.0,347,29.411347
0.0,50,30.301915
0.0,85,31.473872
0.0,57,32.418624
0.0,57,33.35598
0.0,197,35.512594
0.0,67,36.577356
0.0,121,38.055143
0.0,317,41.149271
0.0,285,44.055785
0.0,127,45.58715
0.0,49,46.462221
0.0,63,47.446841
0.0,156,49.212603
0.008219,562,56.876155
0.0,64,57.876233
0.0,56,58.813805
0.0,43,59.64198
0.0,99,60.939366
0.0,52,61.83006
0.0,76,62.939521
0.0,109,64.300595
0.0,54,65.222333
0.0,149,66.925844
0.0,51,67.816688
0.0,59,68.76989
0.0,71,69.832473
0.0,75,70.910681
0.0,208,73.115278
0.0,133,74.677899
0.0,50,75.568593
0.0,48,76.428031
0.01402,254,78.997313
0.0,48,79.85692
0.0,175,81.763569
0.0,367,85.269757
0.0,52,86.176074
0.0,48,87.051145
0.0,56,87.988718
0.0,53,88.895179
0.0,168,90.760411
0.0,340,94.057812
0.0,160,95.849672
0.0,117,97.28728
0.00399,217,99.553219
0.0,137,101.1544
0.0,158,105.444227
0.0,103,106.788432
0.0,237,109.294902
0.0,51,110.201218
0.0,447,114.470687
0.0,326,117.634073
0.0,178,119.571846
0.0,405,123.396216
0.0,513,128.126878
0.0,51,129.017344
0.0,52,129.908041
0.0,97,131.189539
0.0,84,132.361505
0.0,235,134.771925
0.0,282,137.569256
0.0,98,138.850745
0.0,241,141.327582
0.0,154,143.062095
0.0,61,144.015463
0.0,61,144.999911
0.0,133,146.56764
0.0,59,147.520836
0.0,127,149.08361
0.0,136,153.222162
0.0,48,154.081608
0.0,55,155.016784
0.0,235,157.439806
0.0,200,159.549344
0.0,52,160.440321
0.0,51,161.338111
0.0,136,162.924814
0.0,77,164.018652
0.0,54,164.940599
0.0,193,166.993881
0.0,221,169.285406
0.0,168,171.129298
0.0,44,171.95765
0.0,53,172.86397
0.0,165,174.687256
0.0,137,176.281293
0.0,241,178.760176
0.0,48,179.619403
0.0,236,182.025996
0.0,62,183.01045
0.0,73,184.073032
0.0,190,186.106854
0.0,311,189.138477
0.0,105,190.474781
0.0,67,191.506107
0.0,55,192.443909
0.0,53,193.3346
0.0,77,194.444064
0.0,188,196.459989
0.0,64,197.44622
0.0,149,199.149477
0.0,159,200.930869
0.0,266,206.196067
0.0,69,207.24317
0.0,66,208.258874
0.0,208,210.431077
0.0,131,211.983325
0.0,640,217.863992
0.0,185,219.864147
0.0,72,220.93293
0.0,106,222.293976
0.0,51,223.2003
0.0,58,224.153499
0.0,86,225.356703
0.0,54,226.29429
0.0,142,227.937259
0.0,75,229.037699
0.0,76,230.131534
0.0,221,232.444206
0.0,52,233.350676
0.0,55,234.288248
0.0,44,235.121647
0.0,58,236.05922
0.0,56,236.996971
0.002802,162,238.804592
0.0,57,239.726538
0.008684,265,242.407187
0.0,53,243.305418
0.0,181,245.274449
0.0,149,246.973373
0.0,154,248.727546
0.0,47,249.571563
0.0,144,251.21246
0.0,474,258.885859
0.0,53,260.042361
0.0,60,261.292457
0.0,137,263.357627
0.0,46,264.357857
0.0,156,266.451771
0.0,55,267.561626
0.0,142,269.546153
0.0,192,272.024555
0.0,261,275.181213
0.0,69,276.400058
0.0,47,277.43249
0.0,61,278.510697
0.0,71,279.682722
0.0,354,283.414635
0.0,85,284.695983
0.0,63,285.774192
0.0,166,287.789975
0.0,48,288.711921
0.0,53,289.696371
0.0,56,290.712075
0.0,64,291.801492
0.0,57,292.848839
0.0,161,294.802115
0.0,58,295.833446
0.0,56,296.864776
0.000799,352,300.40846
0.0,97,301.689942
0.0,52,302.611907
0.0,306,305.656615
0.0,58,306.64107
0.0,290,309.529517
0.0,48,313.022144
0.0,111,314.444629
0.0,58,315.397831
0.0,123,316.897933
0.157528,537,321.959141
0.0,402,325.838584
0.0,66,326.854288
0.0,74,327.931704
0.0,186,329.961837
0.0,49,330.836905
0.0,56,331.79029
0.0,57,332.743493
0.0,195,334.886984
0.0,134,336.448813
0.0,152,338.183498
0.0,72,339.246127
0.0,73,340.386985
0.0,85,341.556944
0.0,61,342.541269
0.0,67,343.573795
0.0,59,344.526994
0.0,57,345.46457
0.0,306,348.478259
0.0,138,350.103389
0.0,55,351.040961
0.0,53,351.947498
0.053877,370,355.49704
0.0,136,357.090913
0.0,109,358.45039
0.0,70,359.502682
0.0,297,365.074662
0.0,154,366.809332
0.0,59,367.761712
0.0,72,368.840902
0.0,61,369.794097
0.0,228,372.153809
0.0,224,374.47988
0.0,72,375.542698
0.0,62,376.527149
0.0,195,378.589809
0.0,134,380.214211
0.0,94,381.562403
0.0,383,385.297416
0.0,238,387.767519
0.0,58,388.705092
0.0,49,389.580164
0.0,269,392.281425
0.0,167,394.140987
0.0,142,395.813137
0.0,58,396.796474
0.0,52,397.7437
0.0,137,399.345458
0.0,332,402.580388
0.0,469,406.969214
0.0,270,412.145195
0.0,78,413.285978
0.0,160,415.081095
0.017516,151,416.815476
0.0,49,417.690692
0.0,94,418.927562
0.0,62,419.896516
0.0,65,420.91222
0.004841,432,424.959754
0.0,130,426.524656
0.0,51,427.413131
0.012784,203,429.569711
0.0,44,430.413531
0.0,90,431.663909
0.0,138,433.334092
0.0,206,435.506079
0.0,47,436.36552
0.0,51,437.256204
0.0,55,438.180569
0.0,181,440.14746
0.0,343,443.462796
0.0,57,444.400364
0.0,163,446.273272
0.0,56,447.211105
0.0,145,448.867477
0.0,62,449.851935
0.0,82,450.992648
0.0,109,452.369059
0.0,147,454.056708
0.0,252,456.658407
0.0,74,457.752241
0.0,66,458.767945
0.0,156,460.533853
0.0,47,461.393299
0.0,58,464.834267
0.0,510,469.582878
0.0,64,470.582953
0.06814,432,474.646603
0.0,59,475.615428
0.0,96,476.884634
0.0,184,478.881705
0.0,189,480.928899
0.0,47,481.788553
0.0,119,483.243398
0.0,67,484.274728
0.0,58,485.22817
0.0,135,486.806576
0.0,62,487.775401
0.0,56,488.697475
0.0,138,490.320379
0.0,61,491.30483
0.0,63,492.289282
0.0,104,493.633319
0.0,69,494.664645
0.0,44,495.492955
0.0,53,496.403147
0.0,93,497.650131
0.0,60,498.603475
0.0,68,499.63482
0.0,55,500.556983
0.0,86,501.744603
0.0,58,502.697802
0.0,51,503.588499
0.0,363,507.077955
0.0,164,508.906301
0.0,135,510.482323
0.0,49,511.373013
0.0,196,513.469591
0.0,59,514.454039
0.0,154,518.812679
0.0,60,519.781504
0.0,55,520.70345
0.0,57,521.64102
0.0,216,523.891194
0.0,72,524.95164
0.0,149,526.654893
0.0,205,528.813745
0.002922,247,531.327394
0.0,236,533.752129
0.0,294,536.674718
0.0,49,537.53416
0.0,63,538.518611
0.0,205,540.691199
0.032465,239,543.129647
0.0,682,549.254685
0.0,63,550.254766
0.0,60,551.228192
0.0,55,552.150138
0.0,174,554.041055
0.0,137,555.634935
0.0,630,561.357447
0.0,51,564.765085
0.0,65,565.765177
0.0,172,567.655949
0.0,63,568.640397
0.019478,316,571.732438
0.006672,393,575.453479
0.0,209,577.782717
0.0,200,579.954264
0.0,52,580.854753
0.0,56,581.792329
0.0,60,582.776766
0.0,51,583.66747
0.0,218,585.949038
0.0,56,586.876931
0.0,44,587.712698
0.0,250,590.244829
0.0,347,593.586853
0.0,144,595.259222
0.0,65,596.259303
0.0,55,597.181392
0.0,215,599.434984
0.0,125,600.950965
0.0,199,603.076271
0.0,50,603.966964
0.0,196,606.074625
0.0,188,608.106663
0.0,70,609.140267
0.0,94,610.419704
0.0,53,611.32602
0.0,203,616.031952
0.0,62,617.032031
0.0,516,621.796001
0.0,54,622.717947
0.0,61,623.704771
0.0,79,624.828507
0.0,246,627.328851
0.0,125,628.814757
0.0,59,629.76808
0.0,95,631.031314
0.0,65,632.047154
0.0,88,633.250376
0.0,101,634.565331
0.0,69,635.612291
0.0,83,636.783689
0.0,208,638.972337
0.0,53,639.863179
0.0,74,640.941391
0.0,173,642.848885
0.0,52,643.738724
0.014292,257,646.317553
0.0,46,647.161506
0.0,60,648.114708
0.0,125,649.62833
0.0,121,651.128446
0.0,335,654.457231
0.0,456,658.689925
0.0,214,660.922799
0.0,91,664.675517
0.0,173,666.597551
0.0,62,667.587931
0.0,50,668.470585
0.0,89,669.673799
0.0,62,670.658408
