#{"t_start": 1703606753.081863, "env_id": "None"}
r,l,t
2.704976,423,4.642175
0.0,42,5.569416
0.0,75,6.727568
0.002818,80,7.919433
0.493654,124,9.564117
0.311483,113,11.018891
0.0,44,11.867441
0.100878,202,14.092378
0.035054,132,15.704705
0.0,64,16.763475
0.0,53,17.722746
0.075261,155,19.600757
0.033151,79,20.76593
0.0,98,22.083024
0.0,58,23.068078
0.445703,161,24.924843
0.0,61,25.91983
0.532724,132,27.536453
0.0,59,28.532202
3.502515,358,32.107316
0.0,105,33.476406
0.0,43,34.330789
0.0,71,35.457961
0.0,79,36.700773
0.002827,88,38.038264
0.053593,93,39.698233
0.0,68,41.023512
2.164871,243,44.752578
0.460447,190,47.322963
0.0,47,48.318693
0.788456,214,50.870069
0.0,59,51.860955
0.0,51,52.792472
0.0,91,54.074425
0.0,51,55.009409
0.0,54,55.959921
0.534953,268,62.028713
0.012742,100,63.69295
0.0,56,64.741162
0.0,61,65.852019
0.027437,60,66.990841
0.0,81,68.278843
0.00073,84,69.530442
2.189961,317,72.850312
0.0,74,73.987106
2.558387,323,77.303805
0.0,126,78.869762
0.112171,107,80.293507
0.0,63,81.320913
1.556862,280,84.242516
0.015815,58,85.238556
0.221201,232,87.751389
0.062259,155,89.624745
0.0,55,90.565734
0.0,68,91.640119
0.608842,240,94.298523
0.339051,160,96.167677
0.580702,88,97.418243
0.0,51,98.336016
4.286069,301,101.448349
0.150013,102,102.818289
2.047559,142,104.529135
0.0,54,105.472731
0.0,51,106.39007
0.048693,95,107.690424
0.005436,77,108.843951
0.0,74,109.956888
0.0,64,110.983335
0.0,121,115.111536
0.010226,65,116.154045
0.0,100,117.487313
0.23853,117,118.991941
0.485905,93,120.269093
0.008687,69,121.358601
2.416077,316,124.604306
0.0,42,125.441901
0.007865,75,126.578424
2.329391,215,128.959433
0.327667,65,130.002721
0.0,87,131.265006
0.0,52,132.207623
0.413053,70,133.296046
0.554183,273,136.182835
0.198841,72,137.281006
1.64738,210,139.612401
0.0,68,140.669622
2.777253,286,143.682928
0.098039,113,145.151647
0.023707,75,146.288327
0.0,62,147.300368
0.0,46,148.170618
2.326448,199,150.370893
0.0,93,151.661796
0.842752,106,153.037834
1.913762,263,155.816209
2.300872,187,157.926548
0.932504,149,159.699455
0.0,121,161.232635
1.420084,275,164.108775
0.0,102,168.000497
0.0,81,169.204975
0.338719,206,171.468093
0.549515,246,174.090391
0.0,44,174.966866
0.07105,58,175.951232
0.0,70,177.018591
0.172305,164,178.931378
0.0,83,180.114511
0.463,72,181.219588
0.0,60,182.215497
0.0,59,183.211433
0.0,123,184.767346
0.197247,126,186.331296
0.044646,134,187.993601
0.0,72,189.099999
0.347757,114,190.563041
0.824919,112,192.019185
0.0,57,193.006954
0.0,55,193.943584
1.552689,262,196.71276
0.0,54,197.661264
0.006733,62,198.673096
0.0,60,199.653482
0.622764,114,201.139354
3.2e-05,65,202.18231
0.472512,63,203.194113
0.558712,184,205.272231
0.295026,78,206.440382
0.0,65,207.470261
0.0,84,208.669359
0.0,42,209.524625
0.0,59,210.504998
0.0,100,211.881622
0.0,107,213.320795
2.130257,210,215.702831
0.0,53,216.636728
0.024932,84,217.847342
0.0,33,218.610951
0.0,64,219.66939
0.0,56,220.617507
0.02424,106,222.004455
0.0,58,222.984667
3.649057,279,228.478752
0.075426,70,229.58188
0.0,61,230.587182
0.0,71,231.730478
0.0,61,232.777205
0.0,58,233.767398
0.0,57,234.748161
0.349448,132,236.382602
0.0,57,237.359168
0.0,95,238.657883
0.0,51,239.585498
0.571769,207,241.871151
0.0,91,243.137408
0.017786,129,244.733075
3.885573,237,247.3088
0.000731,57,248.331677
0.051407,92,249.624454
0.763824,254,252.331215
0.576627,146,254.090751
0.020614,66,255.150759
4.062431,260,257.910048
0.303564,99,259.261324
0.0,64,260.29738
0.0,51,261.213494
0.24552,132,262.848487
0.030011,73,263.953969
0.0,45,264.809285
0.106635,143,266.530053
0.0,52,267.461993
0.235846,79,268.620499
0.53201,165,270.534393
1.242996,190,272.662446
0.0,58,273.64319
0.0,70,274.742139
0.376679,171,276.697008
0.194908,94,278.011407
0.0,67,279.07016
0.0,85,282.771429
0.195623,65,283.877533
0.0,49,284.795658
0.169396,100,286.136487
0.087935,66,287.179978
0.0,50,288.08243
0.088105,76,289.235278
1.504414,224,291.663146
0.10983,166,293.602406
0.390723,170,295.564045
0.0,56,296.537171
0.889383,127,298.117347
0.0,61,299.128767
0.305075,155,300.958748
0.112143,77,302.095358
1.241975,201,304.324114
0.0,91,305.601413
0.0,63,306.644284
0.426853,165,308.574333
0.0,62,309.620086
5.734097,252,313.201828
1.636234,154,315.416425
0.092732,85,316.821002
0.279065,71,318.111661
0.380602,77,319.466509
7.046971,402,324.259126
0.050426,74,325.573081
2.423495,312,329.268006
0.0,54,330.310284
0.136362,76,331.547507
1.717777,320,335.170491
0.006226,209,340.628337
0.70952,189,342.969192
0.0,50,343.958373
2.996656,251,346.884139
2.498603,324,350.53218
0.0,87,351.902561
0.074201,67,352.992802
0.180204,118,354.57239
0.255423,212,357.070466
0.0,59,358.111836
0.02998,101,359.496185
0.021123,59,360.508231
0.150224,84,361.738553
4.112977,197,364.117135
0.125114,145,365.976155
0.0,57,367.002841
0.136646,72,368.224367
0.522627,136,370.059047
0.453108,237,372.774619
0.046559,63,373.879407
0.0,48,374.827966
0.0,55,375.836256
0.0,82,377.084547
0.0,64,378.162896
0.004949,137,379.851408
0.149864,147,381.64739
0.0,90,382.913653
0.76939,127,384.525288
0.0,58,385.521523
0.248836,147,387.28126
0.0,53,388.246228
3.398112,267,391.104248
1.279149,208,393.407972
0.201876,181,398.043248
0.73118,151,399.864052
0.071436,58,400.844569
1.520475,235,403.429635
0.0,52,404.358557
0.877024,246,407.010152
0.56142,151,408.829708
0.119278,212,411.195549
0.525393,201,413.560943
0.0,106,415.101133
0.0,50,416.060121
6.037587,381,419.961133
0.0,55,420.926
0.27661,110,422.375296
