#{"t_start": 1704270328.939264, "env_id": "None"}
r,l,t
0.012276,1001,3.564383
0.0,1001,8.027113
0.0,1001,12.821609
0.000654,1001,16.745345
0.052167,1001,21.800258
0.0,1001,25.266309
0.0,1001,28.807758
0.0,1001,33.034681
0.0,324,35.025125
0.0,638,37.215418
0.014014,1001,40.966238
0.0,1001,44.362229
0.005228,1001,47.807595
0.0,1001,52.26266
0.002954,537,54.344788
0.0,721,56.945941
0.0,1001,61.963047
0.0,1001,65.340832
0.0,1001,71.468465
0.0,815,74.501482
0.0,1001,77.986148
0.0,1001,81.319704
0.0,1001,85.54199
0.0,1001,89.125738
0.0,1001,92.801011
0.018751,1001,96.324634
0.0,1001,100.800002
0.0,1001,104.431536
0.0,1001,108.071653
0.0,1001,113.156713
0.02594,315,114.452412
0.0,1001,119.498035
0.015458,1001,123.27252
0.0,1001,126.901452
0.0,1001,131.043598
0.0,1001,137.398869
0.00137,1001,141.403269
0.002045,1001,145.168804
0.0,1001,148.775317
0.0,1001,153.775515
0.0,1001,157.107301
0.02614,1001,160.418634
0.0,1001,163.734112
0.019208,643,166.63425
0.000595,1001,169.921136
0.0,1001,173.289234
0.014346,1001,176.584555
0.000626,1001,179.910572
0.00083,1001,183.932012
0.0,600,185.986511
0.006705,1001,189.306805
0.0,1001,192.688868
0.0,1001,196.716435
0.013695,1001,200.050737
0.000487,1001,203.365102
0.0,1001,206.719067
0.032393,816,210.133113
0.0,1001,213.448884
0.0,1001,216.743597
0.0,508,218.528083
0.0,171,219.260233
0.0,1001,222.569016
0.0,1001,226.59335
0.009526,1001,229.892165
0.0,1001,233.220914
0.0,1001,236.597427
0.0,1001,240.698988
0.0,401,242.239144
0.0,1001,245.549584
0.0,681,247.853373
0.02255,1001,251.162937
0.005758,488,253.731322
0.00691,1001,257.03902
0.011948,1001,260.32414
0.0,1001,263.63271
0.0,920,267.421744
0.0,1001,270.743079
0.008397,1001,274.083962
0.0,1001,277.403266
0.002107,1001,280.701115
0.0,1001,284.74273
0.0,1001,288.043735
0.006639,1001,291.381398
0.0,98,291.90237
1.5e-05,1001,295.273788
0.0,351,297.22628
0.0,899,300.297907
0.023412,1001,303.615344
0.009384,1001,306.92448
0.0,1001,310.926908
0.0,93,311.42416
0.028458,1001,314.746752
0.0,503,316.524629
0.0,1001,319.849594
0.004251,1001,323.177627
0.0,1001,327.185317
0.0,1001,330.548508
0.005684,1001,333.890687
0.0,1001,337.244941
0.006699,537,339.824532
0.0,308,341.000679
0.022914,1001,344.326171
0.00716,1001,347.832093
0.0,1001,351.220606
0.0,1001,355.276568
0.006858,1001,358.601027
0.0,438,360.168454
0.0,1001,363.489881
0.006007,871,366.437174
0.0,1001,370.465893
0.0,1001,373.801971
0.0,587,375.822127
0.0,935,378.993926
0.005885,302,380.13269
0.0,1001,384.137346
0.0,199,384.949261
0.0,1001,388.267133
0.012739,1001,391.558143
0.012529,1001,394.902311
0.014818,1001,398.895501
0.015441,1001,402.169933
0.0,1001,405.49679
0.006969,1001,408.830285
0.0,1001,412.778758
0.005118,956,415.992693
0.0,789,418.669524
0.0,458,420.301253
0.006411,1001,423.614198
0.0,1001,427.624362
0.0,1001,430.925642
0.0,997,434.249292
0.0,858,437.12868
0.000712,816,439.872577
0.0,1001,443.991211
0.0,1001,447.337576
0.0,257,448.334902
0.0,1001,451.678533
0.0,1001,455.838038
0.0,1001,459.14963
0.0,1001,462.466148
0.031485,1001,465.786607
0.0,1001,469.104091
0.022945,1001,473.099111
0.003858,555,475.020553
0.0,117,475.599093
0.0,1001,478.906461
0.0,1001,482.224602
0.012465,1001,486.261717
0.0,121,486.844807
0.0,287,487.940971
0.0,1001,491.273395
0.0,716,493.72047
0.000773,867,496.608044
0.006595,1001,500.879471
0.003858,875,504.093893
0.0,1001,507.491632
0.0,149,508.161971
0.011119,1001,512.135263
0.00346,1001,519.044535
0.014791,1001,533.229407
0.0,1001,545.192664
0.0,467,551.535856
0.0,1001,563.823862
0.0,1001,576.70026
0.005989,969,581.0323
0.0,1001,585.273253
0.0,1001,589.496555
0.0,1001,594.624465
0.0,1001,599.128528
0.004437,1001,603.470101
0.0,303,604.876245
0.00337,1001,608.420775
0.0,1001,613.319383
0.0,1001,616.860806
0.0,1001,620.95376
0.0,1001,624.557396
0.0,1001,628.752395
0.00152,793,631.655861
0.003424,253,632.754787
0.017168,956,636.292602
0.011499,1001,639.879797
0.01155,1001,644.326762
0.0,1001,648.011142
0.0,1001,651.958012
0.001268,273,653.266963
0.0,1001,657.076753
0.028638,789,660.940398
0.0,327,662.24035
0.0,1001,667.593013
0.012033,1001,672.045748
0.000449,140,672.802499
0.0,475,675.033633
0.010581,1001,680.113475
0.002,1001,685.012235
0.010878,608,687.697276
0.0,231,688.941149
0.011023,1001,692.648708
0.0,1001,697.145897
0.006828,1001,700.981713
0.003118,1001,704.484609
0.0,50,704.844498
0.0,305,705.99305
0.0,1001,709.42888
0.0,110,710.046884
0.0,355,711.436882
0.0,558,714.153366
0.0,500,715.898859
0.0,1001,719.21085
0.0,1001,722.576681
0.002279,1001,725.955976
0.0,1001,730.545997
0.017979,603,733.121289
0.004947,695,735.987882
0.0,555,737.9162
0.075339,1001,741.205995
0.0,1001,745.188426
0.0,672,747.530118
0.0,1001,750.828975
0.0,687,753.199045
0.0,600,755.257673
0.031411,1001,759.239284
0.00492,1001,762.512839
0.0,631,764.670005
0.0,195,765.465701
0.014214,779,768.079525
0.0,552,769.994995
0.0,1001,774.117985
0.004225,1001,777.40915
0.0,890,780.350339
0.0,112,780.915677
0.0,73,781.352974
0.0,72,781.775745
0.006258,1001,785.08152
0.0,808,788.481968
0.0,74,788.913848
0.0,366,790.267215
0.0,743,792.817051
0.007433,900,795.864884
0.001663,919,798.987847
0.0086,593,801.029967
0.031075,1001,805.063989
0.0,1001,808.503781
0.0,1001,811.821269
0.0,1001,815.112551
0.0,1001,819.112137
0.0,1001,822.406271
0.0,657,824.651919
0.0,1001,827.929038
0.0,1001,831.889674
0.0,1001,835.225592
0.0,1001,838.542294
0.0,1001,841.863981
0.005816,959,845.921026
0.0,119,846.497279
0.0,123,847.091999
0.0,1001,850.411908
0.0,1001,853.740649
0.0,583,855.737222
0.0,1001,859.700297
0.015592,1001,862.998284
0.0,832,865.780651
0.0,449,867.363236
0.0,574,869.331828
0.0,188,870.108104
0.0,150,870.778025
0.0,771,873.393791
0.013579,531,875.949708
0.0,592,877.99435
0.0,617,880.106256
0.0,726,882.579804
0.0,342,883.858086
0.015077,1001,887.186975
0.0,512,889.694748
0.0,61,890.098523
0.0,541,891.9921
0.0,285,893.113004
0.0,468,894.753455
0.0,270,895.802454
0.0,398,897.240053
0.0,382,898.635063
0.006817,929,901.702759
0.0,818,905.240319
0.0,77,905.687441
0.00491,142,906.331436
0.0,683,908.650819
0.0,336,909.897633
0.008479,554,911.810958
0.0,450,913.454995
0.0,563,915.425084
0.017498,1001,918.715497
0.0,1001,922.722414
0.00368,1001,926.021936
0.019131,1001,929.331414
0.0,302,930.47898
0.0,690,932.851404
0.015503,239,934.602388
0.000187,259,935.624266
0.0,643,937.855832
0.0,375,939.218634
0.0,320,940.411506
0.0,263,941.432495
0.0,242,942.389609
0.008519,436,943.967611
0.0,960,947.259369
0.012976,586,950.097908
0.015242,1001,953.56953
0.007387,477,955.256261
0.0,524,957.072803
0.010872,510,958.844162
0.0,322,960.037804
0.00949,1001,963.341131
2.3e-05,686,966.387106
0.010299,1001,969.689334
0.0,105,970.218279
0.023162,1001,973.511607
0.004239,659,975.738089
0.064189,554,977.673805
0.0,474,980.044294
0.0,397,981.467375
