#{"t_start": 1704274137.018713, "env_id": "None"}
r,l,t
0.072383,1001,3.613411
0.057432,1001,7.3534
0.026107,439,9.024044
0.066511,1001,12.604718
0.022392,1001,16.725981
0.035727,1001,20.45869
0.0,513,22.252921
0.00196,1001,26.152789
0.005994,1001,29.496998
0.069919,1001,33.699825
0.025697,1001,37.436925
0.081665,926,40.97987
0.0,958,44.262108
0.003428,1001,48.381981
0.006649,1001,51.747798
0.099315,872,54.696431
0.020731,1001,58.013348
0.200392,1001,62.042714
0.063243,1001,65.375599
0.0,1001,68.730581
0.029118,1001,72.075
0.079857,1001,76.126818
0.080504,1001,79.455837
0.110576,1001,82.826585
0.001065,1001,86.174547
0.066783,1001,90.222972
0.015106,1001,93.525043
0.097064,1001,97.30126
0.048707,1001,100.648277
0.0,234,102.052583
0.007253,1001,106.093151
0.102909,1001,109.981848
0.01349,1001,113.370952
0.074867,1001,117.373301
0.02394,1001,122.549413
0.161635,1001,126.549146
0.000519,1001,129.918048
0.05377,1001,133.25531
0.034878,742,135.788839
0.009138,1001,139.812754
0.02442,1001,143.122844
0.015152,1001,146.4485
0.125014,1001,149.806561
0.024664,1001,153.831601
0.081216,1001,157.133631
0.065213,1001,160.450538
0.099976,1001,163.789606
0.018796,1001,167.987349
0.10939,1001,171.296133
0.045993,1001,174.630052
0.04752,1001,178.24193
0.020179,1001,182.761292
0.033904,1001,186.127185
0.180685,1001,189.783021
0.049966,1001,193.226667
0.049516,1001,197.27663
0.066659,1001,201.535914
0.093885,1001,204.986451
0.012345,1001,208.338398
0.059057,1001,212.324746
0.0246,424,213.879946
0.050967,1001,217.226895
0.021663,1001,220.568233
0.051579,1001,223.940647
0.092131,1001,227.992145
0.024478,1001,231.891536
0.120197,1001,235.205334
0.073653,1001,238.526675
0.10137,1001,242.592002
0.054943,1001,245.910088
0.090462,1001,249.287528
0.04691,1001,252.612646
0.057874,1001,256.709365
0.086056,1001,260.436329
0.022772,1001,264.13574
0.01353,1001,267.63251
0.055846,1001,272.427768
0.143237,1001,275.747342
0.045437,1001,279.675689
0.106433,1001,283.037077
0.074965,1001,287.606542
0.068494,1001,291.535806
0.164537,1001,294.890652
0.044824,1001,298.242764
0.090739,1001,302.319976
0.054755,1001,305.639036
0.042556,1001,308.968843
0.062383,1001,312.346906
0.008577,1001,316.801108
0.033831,1001,320.112274
0.029652,1001,323.456601
0.04329,1001,326.835288
0.016688,1001,330.929465
0.039,809,333.69685
0.094994,1001,337.031692
0.100214,1001,340.900003
0.008297,1001,344.220292
0.038672,1001,349.019191
0.003343,1001,352.817076
0.035537,1001,356.138006
0.072548,1001,360.104573
0.095133,1001,364.136543
0.077253,1001,367.692629
0.0,360,369.337192
0.072591,1001,373.283202
0.102979,1001,376.630517
0.013486,547,379.298246
0.008034,326,380.529439
0.064763,929,383.698452
0.02124,569,385.678267
0.22509,1001,389.03025
0.027357,1001,393.10392
0.089355,1001,396.408338
0.039662,668,398.721156
0.057393,1001,402.039597
0.032331,1001,405.371458
0.167962,1001,409.433591
0.09286,1001,412.777713
0.040967,1001,416.123428
0.006981,1001,419.445951
0.006674,1001,423.627581
0.042313,1001,426.95656
0.01692,1001,430.351109
0.0,1001,433.990893
0.053691,1001,438.483875
0.021072,1001,441.851498
0.050448,1001,445.770825
0.057119,1001,449.552589
0.034159,1001,454.305358
0.025244,1001,457.626051
0.048924,1001,461.515576
0.069355,1001,465.313319
0.041243,1001,469.38585
0.236932,1001,472.705399
0.012575,1001,476.041924
0.085062,1001,479.345278
0.014937,1001,483.3965
0.007162,1001,486.788736
0.058873,1001,490.120089
0.085392,1001,493.433455
0.05549,1001,497.442229
0.014396,1001,500.742021
0.094021,1001,504.071442
0.154562,1001,507.37671
0.069986,1001,511.360267
0.00252,1001,514.679949
0.08251,1001,518.01314
0.114704,1001,521.656766
0.0,1001,526.320635
0.022461,1001,529.702244
0.002695,54,530.093505
0.09958,1001,533.754323
0.005049,1001,537.090246
0.009058,1001,541.618567
0.00527,1001,545.570178
0.075559,1001,548.933036
0.126873,1001,552.282486
0.060411,1001,555.629308
0.182114,1001,559.622109
0.147954,1001,563.513696
0.041564,1001,566.840489
0.180254,1001,570.181418
0.0605,1001,574.192502
0.161886,1001,577.524874
0.0,1001,580.849207
0.054356,1001,584.157963
0.187138,1001,588.220522
0.009229,1001,591.569636
0.048551,595,593.621949
0.087511,1001,596.97459
0.146756,1001,601.036653
0.019074,696,603.420736
0.16247,1001,607.08782
0.078118,1001,610.780853
0.083444,1001,614.240196
0.085772,1001,618.682456
0.065689,1001,622.002895
0.089691,1001,625.309967
0.0129,1001,629.08531
0.10479,1001,633.541109
0.137672,1001,636.87652
0.106451,1001,640.229324
0.219757,1001,643.553607
0.09392,1001,647.808354
0.175314,1001,651.156217
0.07295,1001,654.495119
0.00789,613,656.61527
0.317486,1001,660.782963
0.02674,1001,664.13879
0.125292,1001,667.448603
0.071412,1001,671.256219
0.028402,1001,675.326626
0.014923,1001,678.642888
0.205203,1001,681.986082
0.082483,1001,685.321089
0.065885,1001,689.410263
0.159976,1001,693.205862
0.135389,1001,697.085848
0.086088,1001,700.449481
0.072454,1001,704.331218
0.169516,1001,708.436943
0.12672,1001,712.233531
0.134923,1001,715.57193
0.22272,1001,719.048974
0.070714,1001,723.872824
0.13284,1001,727.193656
0.106782,1001,730.514867
0.208471,1001,733.834635
0.051883,1001,737.820708
0.060098,1001,741.161325
0.027146,1001,744.49769
0.180482,1001,747.83521
0.184291,1001,751.901272
0.081736,1001,755.241143
0.013989,1001,758.588417
0.097007,1001,761.923279
0.038747,1001,766.000542
0.032563,1001,769.372677
0.00836,1001,772.70646
0.131168,1001,776.024429
0.032862,1001,780.650522
0.051219,1001,784.428102
0.041879,798,787.593217
0.130256,1001,791.575667
0.285241,1001,795.635408
0.184567,1001,799.556732
0.159665,1001,803.535877
0.036609,737,806.515249
0.132856,1001,810.571032
0.151972,1001,814.733036
0.064896,1001,818.566975
0.004668,1001,821.922565
0.091901,1001,825.7944
0.071187,1001,829.850911
0.223852,1001,833.84927
0.208692,1001,837.651598
0.249713,1001,840.958731
0.072127,1001,844.996292
0.079538,858,847.891826
0.093284,1001,851.225272
0.166433,1001,854.557477
0.147632,1001,858.62408
0.044687,1001,861.941419
0.189467,1001,865.256036
0.113148,994,868.542525
0.014,110,869.09308
0.126679,1001,873.145435
0.099744,1001,876.459387
0.115395,1001,879.789022
0.035046,1001,883.112634
0.157232,1001,887.189645
0.089362,458,888.855061
0.05723,1001,892.990766
0.002842,1001,896.545718
0.165461,1001,899.865379
0.084483,1001,903.892798
0.092564,1001,907.203156
0.058263,1001,910.517578
0.084372,1001,913.877078
0.039289,1001,917.851622
0.129795,1001,921.15313
0.097974,1001,924.455202
0.111135,1001,927.774901
0.149777,1001,931.856392
0.0,62,932.261452
0.029219,1001,935.593535
0.037767,1001,938.932293
0.225576,1001,942.264314
0.131352,1001,946.296992
0.032347,1001,949.631713
0.028814,152,950.31445
0.111276,1001,953.609936
0.090982,1001,956.986056
0.027258,1001,961.044003
0.069128,1001,964.400104
0.222915,1001,967.728864
0.066125,1001,971.077336
0.12449,1001,975.145528
0.052493,1001,978.447913
0.029867,1001,981.7634
0.0,1001,985.082543
0.159307,1001,989.250647
0.195003,1001,992.563746
0.119733,1001,995.992129
0.052287,1001,999.298177
0.01647,1001,1003.345944
0.179108,1001,1006.638756
0.165712,1001,1009.953885
0.012299,1001,1013.290696
0.097584,1001,1017.363045
0.118,1001,1020.685631
0.116639,1001,1023.978752
0.061414,1001,1027.298676
0.127858,1001,1031.25197
0.021221,1001,1034.579943
0.188158,1001,1037.910556
0.079179,1001,1041.239555
0.215003,1001,1044.560135
0.098115,1001,1048.636435
0.073496,1001,1051.959966
0.226942,1001,1055.312824
0.123104,1001,1058.623156
0.077258,1001,1062.682151
0.224934,1001,1066.03015
0.011427,1001,1069.380827
0.205246,1001,1072.691927
0.171957,1001,1076.784907
0.134693,1001,1080.10485
0.13619,1001,1083.436544
0.168818,1001,1086.747569
0.176901,1001,1090.797592
0.056957,1001,1094.130241
0.184874,1001,1097.483231
0.208991,1001,1101.009712
0.162229,1001,1105.122756
0.084565,1001,1108.435617
0.118733,1001,1111.753856
0.167035,1001,1115.076712
0.056003,1001,1119.171931
0.100147,1001,1122.496931
0.105941,1001,1125.845166
0.111991,1001,1129.156533
0.097485,1001,1133.127542
0.050934,1001,1136.435637
0.096662,1001,1139.752169
0.097905,1001,1143.069235
0.110064,1001,1147.023296
0.189032,1001,1150.345532
0.142243,1001,1153.654857
0.115938,1001,1156.984094
0.013882,1001,1161.159121
0.068494,1001,1164.497639
0.339865,1001,1167.849667
0.244864,1001,1171.155199
0.078782,1001,1175.168807
0.057535,1001,1178.492831
0.120449,1001,1181.796239
0.063985,1001,1185.078967
0.172683,1001,1189.104369
0.30618,1001,1192.429614
0.098955,1001,1195.730775
0.234866,1001,1199.075772
0.266034,1001,1202.403349
0.184554,1001,1206.609137
0.06513,1001,1209.916854
0.097355,1001,1213.213592
0.028051,1001,1216.56388
0.114959,1001,1220.548696
0.177613,1001,1223.856893
0.166447,1001,1227.14845
0.018866,549,1229.081841
0.183707,1001,1233.096183
0.242293,1001,1236.414725
0.137704,1001,1239.732071
0.091225,1001,1243.049939
0.203247,1001,1247.066647
0.037996,188,1247.859513
0.166631,1001,1251.169411
0.230932,1001,1254.498683
0.183867,1001,1257.831948
0.196971,1001,1261.929689
0.1691,1001,1265.243413
0.045144,1001,1268.589725
0.184846,1001,1271.899153
0.139261,1001,1275.987771
0.155281,1001,1279.287081
0.129655,300,1280.436206
0.019346,1001,1283.744376
0.083024,1001,1287.055891
0.014847,1001,1291.029501
0.359425,1001,1294.34649
0.249731,1001,1297.665583
0.138653,1001,1301.000689
0.050102,1001,1305.126725
0.361445,1001,1308.475123
0.09033,1001,1311.874703
