#{"t_start": 1704571276.771472, "env_id": "None"}
r,l,t
5.803725,485,2.025326
0.0,21,2.306621
0.0,362,3.722307
0.0,18,3.99306
0.0,21,4.267117
0.0,23,4.54514
0.0,21,4.816552
0.0,18,5.077516
0.0,21,5.349898
0.229352,340,6.732799
0.0,24,7.056341
0.0,20,7.373126
0.0,20,7.68506
0.00459,115,8.277388
0.0,19,8.542856
0.0,22,8.824665
0.0,20,9.095573
0.0,17,9.363321
0.0,23,9.644671
0.0,103,10.189185
0.0,21,10.487718
0.952631,187,11.393846
0.0,20,11.663379
0.0,19,11.928386
0.0,19,12.202136
0.0,20,12.486288
0.0,22,12.775447
0.0,18,13.051342
0.0,22,13.331044
0.0,23,13.612837
0.0,22,13.902486
0.0,21,14.211162
0.0,18,14.506521
0.0,21,14.804019
0.0,291,15.963886
0.0,22,16.244978
0.062332,86,16.740517
0.00229,146,17.452474
0.0,19,17.721325
0.0,19,18.000457
0.0,18,18.269214
0.0,20,18.543986
0.621828,640,20.860534
0.832277,511,22.754842
0.0,20,23.024105
0.0,18,23.284303
0.0,21,23.563674
0.0,20,23.841094
0.18718,81,25.143333
0.0,19,25.416865
0.0,19,25.693575
0.0,19,25.979232
0.060576,143,26.656483
0.0,20,26.936926
0.0,23,27.219701
0.0,17,27.48249
0.0,20,27.757623
0.0,22,28.044028
0.0,18,28.309304
0.0,88,28.8085
0.0,22,29.106399
0.0,21,29.379608
0.0,71,29.816165
0.0,18,30.079624
0.0,21,30.353664
0.0,19,30.62466
0.0,24,30.916927
0.0,24,31.202375
0.0,21,31.480901
0.0,19,31.74785
0.0,26,32.044577
0.095862,81,32.517723
0.0,20,32.791548
0.0,19,33.066502
0.0,19,33.335577
0.0,21,33.624813
0.0,20,33.900022
0.0,27,34.19273
0.0,19,34.45981
0.0,19,34.728624
0.0,19,35.011402
0.0,22,35.292385
0.0,20,35.568527
0.0,21,35.846774
0.0,176,36.639281
0.0,20,36.912086
0.0,18,37.176552
0.0,23,37.457221
0.0,19,37.731066
0.0,18,37.997872
0.0,18,38.264317
0.0,23,38.551746
0.0,20,38.820365
0.0,22,39.09275
0.0,19,39.355268
0.014447,100,39.89544
0.0,85,40.382299
0.0,16,40.640309
0.0,21,40.927127
0.0,23,41.208586
0.0,226,42.161138
0.0,18,42.428462
0.0,19,42.693296
0.0,22,42.974583
0.031603,79,43.440802
0.0,21,43.716746
0.0,21,44.023902
0.0,21,44.322662
0.33808,81,44.849708
0.0,27,45.170324
0.0,24,45.458886
0.0,100,46.009022
0.0,19,46.286798
0.04788,22,46.571839
0.0,17,46.842809
0.0,20,47.113503
0.0,19,47.382612
0.0,18,47.650785
0.0,22,47.934121
0.0,19,48.207478
0.0,19,48.481229
0.0,23,48.763104
0.003594,25,49.049971
0.0,22,49.32504
0.976099,370,50.783631
0.0,86,51.366803
0.549424,185,52.267503
0.0,23,52.556787
0.0,21,52.829039
0.587042,470,54.598167
0.0,22,54.87576
0.0,21,55.163304
0.0,21,55.444899
0.0,19,55.714236
0.0,20,55.992399
0.0,18,56.255796
0.0,20,56.526212
0.066589,113,57.104093
0.017873,19,57.376274
0.05076,249,59.497965
0.0,26,59.794407
0.0,20,60.072538
0.0,26,60.367682
0.0,19,60.634042
0.0,20,60.908926
0.0,25,61.208759
0.0,21,61.500063
0.0,20,61.767995
0.0,19,62.035477
0.0,23,62.320661
0.0,20,62.590105
0.0,18,62.851533
0.0,22,63.138691
0.0,24,63.421766
0.001465,20,63.713098
0.0,18,64.011292
0.0,23,64.295091
0.0,19,64.560464
0.0,170,65.336598
0.015919,122,65.970339
0.0,19,66.256562
0.0,21,66.546809
4.197649,152,67.305248
0.0,104,67.908589
0.0,21,68.197955
0.0,19,68.477673
0.001291,74,68.939101
0.0,22,69.21255
0.0,18,69.488822
0.0,21,69.768107
3.340556,316,71.026157
0.0,23,71.30901
0.0,19,71.583694
0.0,23,71.868915
0.0,19,72.147355
0.0,20,72.427496
4.129488,604,74.864085
0.0,23,75.141116
0.00533,220,76.076835
0.0,20,76.355545
0.0,23,76.639875
0.948599,124,77.252671
0.0,19,77.519108
0.417733,281,78.645434
0.0,21,78.925803
0.028512,262,79.986379
0.0,21,80.264562
0.0,21,80.53379
0.0,23,80.809613
0.0,377,82.249458
0.0,20,82.51695
0.0,23,82.792063
0.0,21,83.063742
0.0,18,83.32582
0.0,20,83.595082
0.0,18,83.855682
0.02463,69,84.287819
0.0,21,84.560562
0.0,19,84.82814
0.0,18,85.090011
0.0,68,85.516352
0.0,19,85.782133
0.0,20,86.050503
0.0,20,87.123134
0.0,19,87.394507
0.0,19,87.662855
0.0,139,88.327517
0.0,20,88.605269
0.0,85,89.091012
0.0,23,89.369451
0.0,22,89.643796
0.0,69,90.076229
0.0,18,90.340945
0.0,20,90.625086
0.0,21,90.899634
0.0,20,91.166748
0.131458,105,91.7178
0.0,24,92.004263
0.039886,23,92.288584
0.0,19,92.557635
0.0,24,92.841196
0.0,20,93.111121
0.0,18,93.376558
0.024246,190,94.208257
0.0,20,94.483533
0.0,19,94.752635
0.0,24,95.038575
0.0,60,95.444163
0.0,21,95.718258
0.0,20,95.991599
0.0,22,96.269304
0.0,17,96.531151
0.0,20,96.803731
0.0,22,97.089054
0.0,18,97.356631
0.0,20,97.62873
0.0,20,97.898709
0.0,23,98.189461
0.0,19,98.457336
0.396739,647,100.786831
0.191457,72,101.238296
0.0,21,101.511149
0.0,21,101.786657
0.0,22,102.064477
0.0,22,102.345306
0.0,23,102.627292
0.0,19,102.894839
0.056467,23,103.182302
0.0,18,103.448506
0.0,21,103.728117
0.0,20,104.013172
0.0,21,104.286769
0.0,21,104.568292
0.0,19,104.839284
0.0,20,105.126412
0.0,22,105.425555
0.0,18,105.698865
0.0,23,105.976325
0.0,18,106.23515
1.216629,230,107.19962
1.351622,330,108.496899
0.0,20,108.768086
0.0,20,109.039037
0.0,21,109.314919
0.0,20,109.584356
0.0,23,109.865491
0.0,24,110.151421
0.0,21,110.428337
0.130697,114,111.009225
0.0,19,111.273355
0.0,21,111.544195
0.0,19,111.816345
0.0,20,112.087758
0.0,19,112.359229
0.0,213,113.270727
0.0009,220,114.203561
0.0,22,114.485713
0.0,22,114.764379
0.624437,299,115.959734
0.02122,195,117.636013
0.0,19,117.922365
0.0,21,118.204989
0.67248,213,119.166649
0.618062,271,120.286029
0.0,95,120.81136
0.0,20,121.083188
0.0,18,121.358452
0.0,19,121.657553
0.0,21,121.944275
0.590928,70,122.395427
0.0,19,122.665671
0.0,24,122.952393
0.0,68,123.38328
0.036197,153,124.095674
0.0,23,124.378872
0.0,25,124.666368
0.259484,258,125.735406
0.008924,23,126.01408
0.049174,232,127.00358
0.0,21,127.281328
0.0,22,127.555387
0.0,19,127.824798
0.341178,112,128.404285
0.0,24,128.688041
0.0,19,128.95639
0.0,20,129.235
0.0,26,129.537398
0.0,20,129.810223
0.0,19,130.079952
0.0,19,130.353483
0.0,19,130.622546
0.0,20,130.899046
0.0,18,131.170929
0.0,22,131.462561
0.0,19,131.772536
0.0,23,132.112541
0.0,20,132.415168
0.0,25,132.729805
0.0,20,133.004481
2.229873,111,133.57901
0.24702,73,134.030125
0.0,21,134.303639
0.008272,81,134.778234
0.0,20,135.047411
0.0,22,135.323103
0.0,20,135.614605
0.0,19,135.88382
0.0,19,136.15102
0.0,70,136.598438
0.0,26,136.893784
0.187309,171,137.664078
0.0,20,137.932135
0.0,20,138.207757
0.0,20,138.496392
0.0,23,138.811602
0.060542,72,139.316352
0.0,17,139.609312
0.055749,19,139.879948
0.0,19,140.153256
0.0,18,140.43787
0.0,22,140.732169
0.0,23,141.017949
0.0,19,141.284171
0.0,19,141.553472
0.0,20,141.831278
0.0,18,142.096876
0.0,19,142.36481
0.0,19,142.635988
0.0,22,142.925255
0.0,21,143.211427
0.0,26,143.505683
0.0,23,143.7899
0.0,489,145.702856
0.0,118,146.324185
0.0,23,146.612129
1.25183,149,148.108157
3.578298,285,149.279355
0.0,20,149.544097
0.381472,431,151.173707
0.007269,22,151.446264
1.362269,112,152.016878
0.008169,515,153.978892
0.0,18,154.285685
3.97653,357,155.727813
0.0,612,157.955851
0.0,20,158.223757
2.589171,74,158.670264
0.0,26,158.976395
0.0,138,159.725723
0.0,18,160.009303
0.0,120,160.620021
0.0,178,161.42822
2.703742,258,162.490802
1.045605,162,163.223261
0.0,22,163.497531
1.981364,314,164.734096
0.0,17,164.989299
0.0,20,165.257858
0.0,18,165.519071
0.0,20,165.787353
0.0,19,166.050041
0.0,164,166.791617
0.0,24,167.087585
0.0,304,169.088627
