#{"t_start": 1704650973.311271, "env_id": "None"}
r,l,t
0.010343,21,0.480284
0.0,22,0.763789
0.0,19,1.030765
0.000738,24,1.324059
0.0,47,1.702016
0.0,24,2.005813
0.025812,34,2.331915
0.0,18,2.60833
0.0,17,2.870222
0.0,14,3.123205
0.027649,74,3.570776
0.0,25,3.860792
0.0,19,4.123897
0.015857,46,4.472634
0.317795,83,4.951614
0.0,17,5.212358
0.0,21,5.49228
0.0,21,5.762062
0.117481,52,6.14789
0.0,18,6.419377
0.0,19,6.68856
0.013922,22,6.97413
0.0,18,7.265488
0.0,23,7.605406
0.0,23,7.932087
0.0,14,8.21222
0.0,18,8.500505
0.0,21,8.794982
0.0,20,9.079604
0.0,91,9.653088
0.005673,20,10.000401
0.0,32,10.424747
0.0,84,10.977287
0.0,26,11.278968
0.0,20,11.548468
0.0,17,11.805171
0.0,20,12.076933
0.017348,23,12.387335
0.0,17,12.667454
0.0,20,12.945788
0.0,30,13.264258
0.0,58,13.692042
0.0,16,13.980675
0.0,20,14.730449
0.0,18,15.164913
0.0,20,15.697073
0.0,18,16.123372
0.0,26,16.46178
0.0,51,16.898126
0.025841,68,17.425822
0.0,31,17.804267
0.0,21,18.134116
0.0,48,18.545325
0.0,18,18.849173
0.0,93,19.447679
0.0,20,19.7617
0.0,28,20.085521
0.0,51,20.476004
0.0,21,20.777806
0.020365,54,21.284165
0.013343,25,21.635476
0.0,20,21.926167
0.0,24,22.261373
0.0,23,22.612668
0.0,21,22.97993
0.0,59,23.564382
0.0,18,23.968967
0.0,29,24.314458
0.0,24,24.633466
0.0,23,24.976708
0.0,19,25.303719
0.0,20,25.587061
0.0,20,25.87341
0.0,21,26.190313
0.173247,175,27.173374
0.150028,40,27.527985
0.0,24,27.830129
0.003626,22,28.120018
0.0,22,28.412934
0.0,20,28.686244
0.0,25,28.975073
0.0,19,29.239066
0.0,19,29.541425
0.0,15,29.805148
0.0,53,30.193139
0.052558,34,30.520779
0.002875,103,31.084815
0.0,18,31.458461
0.001441,19,31.755323
0.0,25,32.06335
0.0,17,32.338501
0.213573,71,32.777962
0.00531,19,33.054705
0.0,82,33.621331
0.0,15,33.880878
0.0,41,34.233148
0.031338,61,34.661566
0.056778,104,35.240937
0.0,19,35.599624
0.014628,20,35.88592
0.0,19,36.152483
