#{"t_start": 1703412112.6714497, "env_id": "None"}
r,l,t
0.0,39,1.233423
0.001724,53,2.290708
0.0,41,3.171479
0.0,32,3.939579
0.0,71,5.16013
0.0,26,5.995631
0.0,64,7.159953
0.0,40,8.004368
0.0,81,9.193416
0.0,65,10.268722
0.0,25,10.97208
0.0,70,12.115004
0.0,59,13.106237
0.0,57,14.092942
0.0,80,15.275581
0.0,44,16.151686
0.00633,36,16.950921
0.0,37,17.766176
0.0,67,18.833008
0.082761,55,19.796978
0.0,62,20.829996
0.0,55,21.798652
0.0,35,22.583731
0.0,31,23.331362
0.0,46,24.237742
0.0,50,25.177152
0.0,36,25.95821
0.007035,89,27.226948
0.0,24,27.920265
0.0,49,28.831043
0.0,32,29.60001
0.0,53,30.541566
0.0,38,31.369566
0.0,36,32.15167
0.0,34,32.933392
0.0,58,33.92111
0.0,50,34.842544
0.0,25,35.547219
0.0,45,36.410958
0.0,49,37.324578
0.0,58,38.313286
0.0,64,39.377369
0.0,26,40.099179
0.0,30,40.863456
0.0,37,41.676142
0.0,49,42.583684
0.0,43,43.444332
0.0,64,44.47919
0.116041,48,45.373157
0.021674,39,46.195802
0.0,81,47.386961
0.0,16,47.996589
0.0,54,48.963106
0.042785,48,49.855824
0.0,54,50.809199
0.0,48,51.769145
0.144042,83,53.055158
0.0,65,54.099241
0.0,24,54.808729
0.0,133,56.455266
0.0,48,57.378802
0.0,53,58.360656
0.0,109,59.786841
0.0,34,60.551848
0.0,98,61.931072
0.0,44,62.796863
0.0,59,63.814384
0.0,61,64.82431
0.036589,56,65.79476
0.0,74,66.919866
0.0,40,67.763695
0.0,85,68.998904
0.0,40,69.827992
0.0,47,70.72378
0.0,96,72.03921
0.0,28,72.752563
0.0,68,73.847956
0.0,18,74.490932
0.0,33,75.254428
0.0,26,78.556043
0.0,52,79.510005
0.0,39,80.326856
0.0,28,81.079404
0.0,71,82.184006
0.0,51,83.120268
0.0,52,84.06318
0.0,32,84.842188
0.015536,56,85.87502
0.0,74,86.999973
0.0,55,87.957541
0.00018,39,88.786321
0.0,50,89.690612
0.001764,75,90.817495
0.0,39,91.640157
0.001838,30,92.38043
0.0,64,93.428284
0.0,51,94.351161
0.031597,67,95.41466
0.0,68,96.477721
0.0,64,97.512438
