#{"t_start": 1703439125.5627854, "env_id": "None"}
r,l,t
15.0095,943,9.578695
21.914019,1001,19.469069
10.311341,774,26.942481
17.943232,1001,36.361488
23.804789,1001,48.633017
17.560372,1001,58.085978
10.205954,1001,67.565735
20.376371,1001,77.013359
25.522907,1001,89.264044
21.869829,1001,98.844826
9.331818,670,105.346463
14.15267,1001,114.743073
21.219709,1001,126.99182
13.602331,1001,136.457327
21.655575,1001,145.953803
24.635216,1001,155.444891
19.611571,806,163.160812
17.645645,1001,175.365544
29.055138,1001,184.748203
23.555507,1001,194.274478
16.404976,1001,198.655024
21.249336,1001,210.827615
1.778002,282,213.889747
24.752301,1001,223.358663
23.009128,1001,232.825395
17.951678,1001,242.364711
22.906713,1001,254.54327
17.343379,1001,263.981948
24.663218,1001,273.433632
2.917771,574,279.073391
21.261073,1001,291.241794
15.078793,1001,300.723806
15.32619,1001,310.250421
24.240249,1001,319.669627
25.309698,1001,331.830611
17.812479,1001,341.334211
12.410253,817,349.148941
4.750849,507,354.177641
29.833076,1001,363.643189
24.291927,1001,375.928516
23.664897,1001,385.330489
22.402628,1001,394.816268
16.426509,1001,404.221339
19.487913,1001,416.35281
29.213204,1001,425.785158
22.727508,1001,435.195379
23.310272,1001,444.636547
23.818855,1001,456.897845
21.78774,1001,466.315548
24.960762,1001,475.692684
27.967634,1001,485.10777
18.848217,872,496.143236
23.170764,1001,505.570543
24.140495,1001,514.993494
30.259579,1001,524.379214
27.71612,1001,536.521074
25.785486,1001,545.994962
27.698883,1001,555.474745
23.438108,1001,564.916344
3.568148,432,569.272354
22.994259,1001,581.432315
14.023878,836,589.327219
23.104558,1001,598.775316
28.068175,1001,608.292284
22.51018,1001,620.543167
31.506873,1001,630.000379
28.902858,1001,639.463928
22.447434,1001,648.8429
25.192919,1001,661.001216
31.446376,1001,670.496138
27.576859,1001,679.920053
21.825038,1001,689.355665
25.670736,1001,698.737787
24.421528,1001,710.914707
8.391028,612,716.852529
30.974899,1001,726.261171
22.402822,1001,735.721906
27.946406,1001,747.883607
23.159698,1001,757.325853
19.39128,968,766.467651
27.591323,1001,775.906602
18.575705,893,787.094994
30.767301,1001,796.492432
26.489249,1001,805.934853
21.894893,1001,815.340854
25.497017,1001,827.464533
26.651566,1001,836.91544
30.506436,1001,846.397826
25.69018,1001,855.815707
30.931906,1001,868.086506
3.094348,700,874.829913
21.242177,1001,884.212105
26.069147,1001,893.661996
22.459464,1001,903.052894
18.553923,1001,915.399519
21.284879,1001,924.86517
27.52331,1001,934.408184
32.975445,1001,943.849459
28.981104,1001,956.052069
24.952092,1001,965.573399
27.469985,1001,975.032309
26.596901,1001,984.492137
27.406728,1001,996.659934
26.689363,1001,1006.114641
24.272506,1001,1015.528434
25.382546,1001,1024.99978
27.554878,1001,1037.288851
28.975508,1001,1046.730865
30.23557,1001,1056.148334
26.586665,1001,1065.596672
27.21499,1001,1077.709458
26.471938,1001,1087.165484
30.613037,1001,1096.708743
24.382573,1001,1106.155483
26.657067,1001,1118.315873
26.610459,1001,1127.759254
16.173551,1001,1137.137295
29.489519,1001,1146.518084
28.553331,1001,1158.707252
4.418621,988,1168.000502
27.256936,1001,1177.375334
30.502776,1001,1186.796294
31.147932,1001,1196.212221
26.748787,1001,1208.341079
28.110766,1001,1217.842537
29.511447,1001,1227.252013
27.284348,1001,1236.689803
27.714498,1001,1248.880731
31.997848,1001,1258.321024
31.375403,1001,1267.763261
29.814585,1001,1277.248019
15.466237,796,1287.675253
28.009836,1001,1297.158491
30.457117,1001,1306.621879
33.522464,1001,1316.150226
29.311354,1001,1328.252743
28.865858,1001,1337.720561
20.455336,1001,1347.08981
27.652723,1001,1356.52151
27.531982,1001,1368.743127
29.51312,1001,1378.422516
7.019,537,1383.778381
20.942764,1001,1393.400662
30.930456,1001,1402.932019
28.232858,1001,1415.171653
28.252524,1001,1424.584404
31.611059,1001,1434.023238
27.007424,1001,1443.446075
31.494323,1001,1455.558473
27.636385,1001,1465.043292
26.482972,1001,1474.465313
0.96742,811,1482.271805
32.462674,1001,1494.482373
27.386956,1001,1503.880328
29.136534,1001,1513.318858
31.617406,1001,1522.863207
26.171963,1001,1535.006052
29.952171,1001,1544.443568
30.402729,1001,1553.850234
33.735258,1001,1563.272233
28.596394,1001,1575.560583
27.60129,1001,1584.995604
27.880457,1001,1594.409521
17.388928,874,1602.635291
14.331176,556,1608.099322
10.472636,735,1617.944056
17.439235,1001,1627.349873
23.110508,1001,1636.738403
28.068044,1001,1646.214526
32.860805,1001,1658.337907
30.162211,1001,1667.748684
24.087806,1001,1677.157185
32.171957,1001,1686.589631
25.013763,1001,1698.700355
29.192885,1001,1708.103513
29.511764,1001,1717.59067
28.274085,1001,1727.004764
32.997731,1001,1739.137126
29.432641,1001,1748.560876
29.755622,1001,1757.953829
27.009317,1001,1767.350477
18.481806,1001,1779.521624
26.187652,1001,1789.026619
26.242239,1001,1798.369403
31.392359,1001,1807.70678
32.112567,1001,1817.15027
19.442603,1001,1829.365846
25.240414,1001,1838.850101
20.918208,910,1847.453796
28.147642,1001,1856.936926
30.131782,1001,1869.191087
34.239223,1001,1878.567827
34.646489,1001,1887.943701
30.937025,1001,1897.284921
31.824683,1001,1909.393532
29.240879,1001,1918.755965
33.00809,1001,1928.173145
29.991541,1001,1937.607321
31.556401,1001,1949.788381
29.521429,1001,1959.197985
30.068787,1001,1968.656533
30.014946,1001,1978.044795
29.751711,1001,1990.275775
29.391895,1001,1999.79201
30.275304,1001,2009.267687
33.475198,1001,2019.012397
31.802085,1001,2031.682532
27.166573,1001,2041.596163
31.968652,1001,2051.519207
32.974096,1001,2062.111761
30.812639,1001,2075.706007
32.248574,1001,2086.070992
31.99692,1001,2096.271425
31.177814,1001,2106.237077
32.886504,1001,2118.677602
27.304677,1001,2128.491318
32.238936,1001,2138.211328
28.316787,1001,2147.856391
28.478286,1001,2160.657813
32.909836,1001,2170.339033
30.742266,1001,2179.855521
32.112517,1001,2189.463184
31.082153,1001,2202.197597
30.281035,1001,2211.953037
31.59234,1001,2221.767147
31.424167,1001,2231.411606
29.248575,1001,2240.971321
31.156113,1001,2253.629856
31.560769,1001,2263.464464
33.325293,1001,2273.142662
35.026389,1001,2282.886418
32.573327,1001,2295.654541
31.436076,1001,2305.382499
33.73931,1001,2315.159389
31.605566,1001,2324.915048
31.639472,1001,2337.627325
32.150643,1001,2347.34125
31.256097,1001,2357.045653
23.030543,1001,2366.739005
34.965925,1001,2379.635509
29.20783,1001,2389.08224
27.59246,1001,2398.479921
29.84891,1001,2407.969439
33.296507,1001,2420.183848
34.992434,1001,2429.59481
30.003666,1001,2438.997225
33.984923,1001,2448.438697
31.1295,1001,2460.523538
31.27502,1001,2469.915583
29.172427,1001,2479.31259
35.173808,1001,2488.654903
35.258805,1001,2500.754161
30.805092,1001,2510.124881
31.185148,1001,2519.47806
32.435451,1001,2528.846881
30.50831,1001,2540.910092
33.280881,1001,2550.302819
33.26521,1001,2559.803246
31.165693,1001,2569.159155
30.741579,1001,2581.246002
34.746119,1001,2590.623252
33.581329,1001,2599.99818
34.029131,1001,2609.389394
33.219504,1001,2621.547144
33.747319,1001,2631.017557
31.218047,1001,2640.338212
33.66093,1001,2649.640148
32.354343,1001,2659.075168
34.271194,1001,2671.252716
33.340083,1001,2680.726272
4.080505,1001,2690.088279
33.098903,1001,2699.468987
33.600057,1001,2711.577549
34.014381,1001,2720.986523
33.118642,1001,2730.34669
30.381157,1001,2739.917413
3.474709,493,2747.547057
31.467402,1001,2756.923628
33.265816,1001,2766.31691
32.470714,1001,2775.929558
34.794319,1001,2788.16358
31.290996,1001,2797.475584
35.245708,1001,2806.834632
33.890068,1001,2816.161943
31.561958,1001,2828.210579
32.152961,1001,2837.573493
33.190836,1001,2846.916667
33.454423,1001,2856.28354
34.063469,1001,2868.312076
33.776074,1001,2877.67487
33.412803,1001,2887.065951
29.938204,1001,2896.55528
34.098507,1001,2905.972207
31.533845,1001,2918.139072
31.736349,1001,2927.517563
33.571703,1001,2936.855654
34.226144,1001,2946.225518
33.013312,1001,2958.332349
32.954847,1001,2967.709929
33.850798,1001,2977.140459
24.223404,847,2985.144593
32.564079,1001,2997.221262
33.268121,1001,3006.615444
33.054119,1001,3015.960972
34.215706,1001,3025.325967
34.024729,1001,3037.396049
28.706962,1001,3046.899838
32.268576,1001,3056.224179
33.451252,1001,3065.59989
32.922145,1001,3077.727814
4.18045,313,3081.031286
32.425511,1001,3090.436322
33.126072,1001,3099.975465
34.069975,1001,3109.389301
25.021681,1001,3121.455163
35.211045,1001,3130.790153
31.777715,1001,3140.153574
23.337449,979,3149.313955
32.662433,1001,3161.413942
31.6794,1001,3170.786403
31.294258,1001,3180.130462
