#{"t_start": 1703487365.852618, "env_id": "None"}
r,l,t
0.0,74,1.847452
0.0,107,3.402396
0.630092,443,7.712154
0.0,119,9.209898
0.001699,69,10.288106
0.0,90,11.522573
0.0,110,12.950469
0.094162,223,15.491407
0.040163,117,16.979789
0.0,230,19.44585
0.0,195,21.585301
0.0,161,23.417228
0.079837,244,25.965372
0.0,325,29.19502
0.0,90,30.437894
0.0,153,32.207121
0.0,107,33.585865
0.0,85,34.779435
0.33321,212,37.054734
0.0,271,39.819052
0.0,174,41.765343
0.0,335,45.139884
0.0,85,46.556933
0.0,416,53.175117
0.0,359,56.768366
0.0,91,58.012365
0.0,85,59.21752
0.0,338,62.564678
0.0,85,63.754463
0.0,102,65.111789
0.0,67,66.19191
38.869069,1001,75.263611
0.074074,125,76.82641
0.0,249,79.407527
0.0,153,81.191777
0.0,184,83.239179
0.0,117,84.709611
0.0,68,85.75749
0.0,275,88.576558
0.0,148,90.293702
0.0,78,91.44866
0.0,425,98.033498
0.087447,1001,106.964484
0.0,73,108.075859
0.0,68,109.131263
1.223561,158,110.953067
0.0,206,113.19363
39.607406,1001,122.454997
0.0,80,123.615497
0.0,162,125.481907
0.0,144,127.185565
0.0,226,129.626233
0.0,139,131.353243
0.0,87,132.561914
0.0,281,135.421003
0.008903,130,136.993787
0.0,130,138.573066
0.0,153,143.12563
0.0,445,147.70448
0.0,176,149.701045
7.767055,470,154.149451
38.535343,1001,163.158463
0.005663,323,166.379152
0.070014,123,167.910821
0.833976,161,169.776284
4.924652,480,174.344865
0.0,69,175.417745
0.21259,570,180.735047
0.0,358,186.741577
0.0,268,189.493139
0.0,146,191.235493
3.7e-05,347,194.699957
0.0,77,195.891848
4.6821,300,198.927291
0.0,306,202.029332
37.630018,1001,211.007207
0.002104,316,214.143248
0.0,152,215.920859
39.697559,1001,227.38707
0.0,420,231.441237
0.0,317,234.63258
0.0,308,237.734697
0.0,198,239.901822
0.042819,426,243.98397
6.701076,930,252.374658
0.0,66,253.412855
0.0,242,256.362832
35.576185,1001,266.20751
0.0,117,267.760818
0.000155,93,271.946385
0.0,96,273.316664
0.0,85,274.5292
0.0,148,276.316514
0.0,145,278.109522
0.008654,459,282.780921
0.0,187,284.990433
0.0,66,286.069636
37.520749,1001,295.124482
38.275445,1001,304.16467
0.0,166,306.042183
3.991899,528,311.024075
0.0,594,319.053893
0.0,69,320.132334
0.0,200,322.302062
0.0,76,323.417778
0.0,404,327.339194
37.222538,1001,336.578595
0.0,66,337.612565
4.834598,404,341.502986
34.713653,1001,350.450965
0.0,64,351.466801
0.831695,165,353.324629
0.005237,311,359.441966
0.0,169,361.460812
0.0,64,362.507906
0.0,247,365.133179
0.20708,132,366.805185
0.0,701,373.355344
0.999215,823,381.09851
1.373456,172,383.083594
0.0,104,384.47419
0.014901,177,386.458722
0.379613,538,391.50666
3.044405,265,394.225924
0.0,62,395.226103
0.0,278,398.047519
1.471132,356,404.039073
0.002588,129,405.626845
36.700642,1001,414.647397
0.0,126,416.296202
0.0,90,417.576179
0.0,133,419.181795
0.0,87,420.378814
0.0,86,421.796224
38.121096,1001,431.602648
34.292027,1001,440.614504
0.0,172,442.75388
0.0,402,449.913581
0.0,146,451.77426
0.008636,202,453.974561
0.0,251,456.656287
35.581273,1001,466.366281
0.0,70,467.550096
0.0,63,468.626122
0.0,180,470.767906
