#{"t_start": 1703492585.1538553, "env_id": "None"}
r,l,t
13.179503,1001,10.093056
26.554583,1001,19.938072
0.023659,1001,29.646513
0.002915,441,34.033195
35.161566,1001,45.940615
28.944017,1001,54.934076
0.234046,602,60.53104
0.33433,568,65.759251
0.296085,1001,74.549454
39.142397,1001,85.946453
0.347331,1001,94.861532
1.183853,1001,103.885186
0.064842,1001,112.736776
1.492201,1001,124.137553
1.312433,744,130.824611
6.03582,1001,139.639339
0.188456,1001,148.395644
0.171039,964,156.857266
30.532822,1001,168.318326
0.139104,1001,177.143271
0.009341,229,179.552512
0.000936,370,183.115777
0.043879,805,190.304392
0.041676,915,200.92884
0.006547,928,209.08985
31.236096,1001,217.930064
0.126496,765,224.783424
0.002771,371,228.360758
0.221312,1001,239.685131
6.590289,1001,248.536742
0.265879,568,253.742863
21.834095,1001,262.611261
1.694198,1001,271.43293
0.594404,935,282.443006
0.084607,1001,291.370674
0.037549,577,296.6401
0.000899,241,299.133243
0.373407,1001,307.92141
1.567622,1001,319.386164
6.3246,1001,328.244591
0.043242,1001,337.251055
14.503207,1001,346.187016
2.596924,1001,357.543376
13.814785,1001,366.524429
0.232949,1001,375.35317
0.128228,545,380.360936
0.505521,1001,389.20875
18.960564,1001,400.522752
0.18593,1001,409.359954
0.057417,1001,418.185932
0.907792,1001,427.003082
0.172968,1001,439.758873
4.865368,1001,450.307329
19.84527,1001,460.860661
10.64909,1001,471.280692
1.601391,1001,484.894806
0.152322,602,491.408564
7.048256,1001,501.502683
6.112026,1001,510.954859
25.619792,1001,520.198057
0.100901,1001,531.685362
0.699969,1001,540.625798
0.281466,1001,549.47928
0.088029,1001,558.350492
2.634736,1001,569.753372
36.489544,1001,578.559669
28.700381,1001,587.475517
0.263912,1001,596.273095
0.336541,1001,607.636411
12.174231,1001,616.605491
5.186943,1001,625.469807
1.728525,1001,634.291453
0.083893,1001,645.790482
16.51216,1001,654.58362
38.255122,1001,663.399404
17.230133,1001,672.204316
19.864225,1001,683.645964
0.277723,1000,692.453738
0.237979,409,696.336648
0.826844,1001,705.123602
0.471197,772,712.006675
0.599062,1001,723.439486
1.144921,1001,732.284379
0.264006,1001,741.134154
1.191494,1001,749.890834
14.438064,1001,761.194153
2.671164,1001,770.045382
23.546816,1001,778.95527
2.647931,1001,787.739523
0.197654,1001,799.057292
0.71679,1001,808.148789
0.62807,469,812.537191
0.651849,1001,821.670088
9.363792,1001,831.058567
0.113273,1001,842.913691
34.931873,1001,852.40421
30.729774,1001,861.371999
0.722256,1001,870.145949
2.859096,1001,882.305352
1.451753,496,887.239253
0.261145,1001,896.464289
3.798332,1001,907.088142
8.567711,1001,919.773124
0.314787,1001,929.76861
1.635919,1001,939.633927
0.345339,1001,949.908987
29.759046,1001,962.455729
3.621089,1001,973.120926
0.739188,974,982.298554
0.1754,1001,992.067387
17.590615,752,999.639522
0.421837,1001,1013.05148
7.008101,1001,1022.817571
0.407256,1001,1032.701
2.61875,1001,1044.165586
38.640564,1001,1057.038584
36.947866,1001,1066.498897
0.696487,1001,1076.207749
16.982279,1001,1085.671966
0.839167,1001,1098.208091
3.448998,1001,1108.178099
1.140523,1001,1117.76876
0.096255,1001,1127.096976
0.24447,1001,1139.125508
0.07349,980,1148.031077
0.03632,1001,1157.328459
0.086834,1001,1166.686746
6.38029,1001,1179.180235
0.034147,304,1182.956089
28.305275,1001,1193.160459
0.317616,1001,1202.67621
0.06816,1001,1212.132622
15.903921,1001,1224.629755
36.030056,1001,1234.002862
26.131007,1001,1243.387038
5.92176,1001,1252.7182
1.62635,1001,1264.934535
17.027267,1001,1274.178797
23.810329,1001,1283.244654
4.391323,1001,1292.736161
0.163073,1001,1304.950144
0.124935,1001,1314.562352
29.080202,1001,1323.74307
0.27187,1001,1332.948353
0.413306,1001,1344.917989
1.484227,1001,1354.591753
0.211745,1001,1364.219714
0.240435,1001,1373.820366
0.232922,766,1381.042766
0.274574,1001,1393.587287
0.671427,1001,1402.889899
2.033914,1001,1412.185282
0.36715,1001,1421.093408
1.33825,1001,1433.158249
9.225308,1001,1442.018739
0.181434,1001,1450.895039
6.654384,1001,1459.78683
0.192456,1001,1472.72957
2.397547,1001,1482.554448
34.36841,1001,1491.786182
1.355923,1001,1501.904474
0.261462,1001,1516.220978
0.58051,1001,1525.678283
0.186129,922,1534.388702
0.490074,1001,1543.887235
9.567304,1001,1555.492624
0.186454,1001,1564.483212
1.399019,1001,1573.766011
0.159644,1001,1582.573833
2.455334,1001,1594.440382
0.210585,1001,1603.657523
34.954459,1001,1612.549089
0.009933,522,1617.362262
4.097313,1001,1626.191334
13.857975,1001,1638.037484
21.780076,1001,1646.82011
0.240568,1001,1655.58709
3.379858,1001,1665.025699
0.159289,1001,1677.434218
0.42709,1001,1686.685403
0.357338,1001,1696.23362
14.587339,1001,1705.412326
0.046097,438,1712.85124
0.632476,1001,1722.742941
35.625842,1001,1732.087871
0.140008,1001,1742.468896
0.140476,1001,1755.503888
0.031464,399,1759.957545
0.79453,1001,1769.326848
1.373039,1001,1778.911091
0.338731,1001,1788.458176
26.384679,1001,1801.702256
