#{"t_start": 1703501775.4848151, "env_id": "None"}
r,l,t
8.917426,1001,9.718532
11.011131,1001,19.085904
4.445196,1001,28.205401
0.0,1001,37.557993
3.131948,1001,49.194149
7.288209,1001,58.146182
15.666259,1001,67.023715
3.749418,1001,75.865221
15.440811,1001,87.24323
0.0,1001,96.152563
1.50291,1001,105.047281
3.47984,1001,113.904436
0.0,1001,125.442494
8.66539,1001,134.456565
16.000708,1001,143.51566
3.892927,1001,152.491496
9.289387,1001,164.102693
0.166104,1001,173.043376
7.426869,1001,181.985665
0.0,987,190.697851
5.083369,1001,202.125804
2.15974,1001,211.017743
16.104133,1001,219.893499
8.168924,1001,228.785762
11.20287,1001,240.280433
0.0,995,249.122809
14.467029,1001,258.048472
4.176587,1001,266.940758
0.396233,1001,278.435673
8.590807,1001,287.378973
6.916796,1001,296.391191
13.096727,1001,305.426017
4.911001,1001,316.80514
0.0,1001,325.681906
0.285294,1001,334.623194
18.438954,1001,343.680404
8.960291,1001,355.120568
2.126492,1001,364.066031
12.917623,1001,372.926085
10.40337,1001,381.818326
9.480657,1001,393.209728
1.173955,1001,402.244216
4.010839,1001,411.293695
2.500695,1001,420.210836
18.253301,1001,429.128109
9.806604,1001,440.597578
12.433808,1001,449.521878
12.008161,1001,458.43147
3.471113,1001,467.335788
6.160408,1001,478.83903
0.0,1001,487.762593
0.0,1001,496.607352
0.012284,1001,505.498256
10.436372,1001,516.934572
14.575605,1001,525.939816
0.019901,1001,534.833288
6.035833,1001,543.767163
10.176331,1001,555.113961
4.184343,1001,564.022736
8.56355,1001,572.953765
0.0,1001,581.911394
8.412442,1001,593.363775
0.961711,1001,602.191077
13.115787,1001,611.053284
0.664799,1001,619.887128
4.690076,1001,631.239693
0.0,1001,640.216137
13.861344,1001,649.120701
8.773327,1001,658.076336
8.144343,1001,669.582487
0.0,1001,678.43469
0.0,1001,687.313461
12.594738,1001,696.18999
0.483246,1001,707.68924
1.314913,1001,716.553281
0.101231,1001,725.572437
5.321647,1001,734.570823
6.847078,1001,745.970242
13.968109,1001,754.913788
13.078468,1001,763.816409
16.793363,1001,772.731004
2.303945,1001,784.138317
0.308982,1001,793.05676
8.059018,1001,801.973282
0.003794,1001,810.875929
4.545913,1001,822.286949
13.46707,1001,831.201094
0.0,1001,840.072034
0.0,1001,848.921388
5.883022,1001,857.777281
11.13849,1001,869.231182
15.45882,1001,878.233939
15.620892,1001,887.271517
5.818755,1001,896.140824
0.002127,1001,907.492688
0.0,1001,916.345288
6.826595,1001,925.221178
4.868782,1001,934.039842
16.256597,1001,945.426389
5.964614,1001,954.271311
0.0,1001,963.112053
3.91791,1001,971.969502
19.597031,1001,983.342899
0.0,1001,992.151293
0.001322,1001,1000.993244
6.285969,1001,1009.853099
0.0,1001,1021.271529
0.012406,1001,1030.248339
5.820005,1001,1039.188409
0.068247,1001,1048.092046
6.204597,1001,1059.578551
11.746694,1001,1068.645121
0.0,1001,1077.483385
0.128784,1001,1086.27699
15.064911,1001,1097.636988
0.0,1001,1106.489174
10.393641,1001,1115.322462
5.489893,1001,1124.208294
8.194423,1001,1135.606644
17.114494,1001,1144.492583
10.395713,1001,1153.377012
19.896865,1001,1162.280322
2.324811,1001,1173.614294
5.026365,1001,1182.480056
1.22543,1001,1191.314296
2.262555,1001,1200.144283
8.311886,1001,1211.588332
5.801904,1001,1220.46626
8.880717,1001,1229.325353
10.544607,1001,1238.202564
15.884701,1001,1249.708282
0.0,1001,1258.674491
5.10376,1001,1267.523026
0.005266,1001,1276.338288
17.538559,1001,1285.188801
17.67017,1001,1296.559982
0.278478,1001,1305.402773
0.928677,1001,1314.368916
0.0,1001,1323.183995
0.077955,1001,1334.54967
8.665097,1001,1343.384826
10.842525,1001,1352.2461
12.162465,1001,1361.139455
7.448119,1001,1372.491817
2.04392,1001,1381.384106
6.902712,1001,1390.232658
0.058384,1001,1399.144719
0.326751,1001,1410.632271
11.230522,1001,1419.505056
17.604452,1001,1428.577044
0.0,684,1434.84457
10.755978,1001,1446.178534
0.0,1001,1455.008553
8.699613,1001,1463.854303
0.0,1001,1472.679379
6.404715,1001,1484.044979
0.0,1001,1492.967285
0.121374,1001,1501.822541
1.3589,1001,1510.684541
5.222847,1001,1522.070367
3.098751,1001,1530.934619
14.04394,1001,1539.787308
14.517412,1001,1548.622366
4.710575,1001,1557.442704
7.135947,1001,1568.801947
0.0,1001,1577.640802
3.625577,1001,1586.492173
0.0,1001,1595.297197
10.157176,1001,1606.784382
18.119601,1001,1615.662611
0.231177,1001,1624.583785
0.0,1001,1633.415684
0.056643,1001,1644.840515
0.0,1001,1653.715167
0.298103,1001,1662.535396
6.51608,1001,1671.354965
17.133199,1001,1682.69356
10.993044,1001,1691.570827
11.278973,1001,1700.40686
9.624891,1001,1709.284746
12.72135,1001,1720.818069
0.0,1001,1729.646036
0.407032,1001,1738.538529
0.465771,1001,1747.391244
15.047336,1001,1758.792878
0.085564,1001,1767.692059
0.0,1001,1776.528855
12.280941,1001,1785.48392
19.794159,1001,1796.957659
0.503059,1001,1805.857601
0.027402,999,1814.762615
8.207164,1001,1823.640261
0.218378,1001,1834.984304
5.19966,1001,1843.890542
16.484166,1001,1852.781498
12.043303,1001,1861.634367
9.305472,1001,1872.999009
15.975535,1001,1881.918312
2.58078,1001,1890.794655
6.933756,1001,1899.654372
9.137088,1001,1911.036138
15.712176,1001,1919.951818
19.285682,1001,1928.925342
0.0,1001,1937.845634
11.10339,1001,1949.22255
13.32169,1001,1958.110963
5.985873,1001,1967.093171
14.644127,1001,1975.982014
0.196402,1001,1984.796998
0.0,1001,1996.206673
0.00659,1001,2005.125623
18.435082,1001,2014.000462
7.868778,1001,2022.898357
10.286474,1001,2034.323848
10.070237,1001,2043.227677
0.0,1001,2052.106339
0.0,1001,2060.955439
8.626473,1001,2072.372924
18.298557,1001,2081.256228
4.134702,1001,2090.137004
14.256475,1001,2098.961374
0.0,1001,2110.594847
0.0,1001,2119.435554
17.527384,1001,2128.276213
15.537638,1001,2137.106161
13.67746,1001,2148.613634
16.935893,1001,2157.469865
19.879676,1001,2166.320872
7.828238,1001,2175.149092
0.401956,1001,2186.552484
15.45169,1001,2195.490611
6.789674,1001,2204.370222
17.93421,1001,2213.339641
4.720407,1001,2224.742905
0.0,1001,2233.632945
0.233812,1001,2242.558818
0.0,986,2251.296194
0.0,1001,2262.725041
20.033713,1001,2271.625022
12.071933,1001,2280.476056
0.637215,1001,2289.379576
