#{"t_start": 1704491854.577305, "env_id": "None"}
r,l,t
0.020008,20,0.511183
0.02255,20,0.798016
0.16846,116,1.452654
0.007343,21,1.749307
0.0,19,2.02578
0.0,19,2.306463
0.0,20,2.570396
0.0,20,2.839251
0.0,18,3.103582
0.0,19,3.42001
0.0,18,3.721163
0.0,19,4.011931
0.0,18,4.296598
0.002896,17,4.570913
0.0,21,4.901875
0.0,20,5.275737
0.0,21,5.645808
0.007588,19,5.981418
0.002283,19,6.305473
0.0,18,6.588795
0.0,18,6.870098
0.0,19,7.180449
0.0,23,7.501274
0.0,19,7.787669
0.006334,22,8.096188
0.009964,18,8.426379
0.006813,20,8.802335
0.000627,131,9.627778
0.0,19,9.932242
0.00184,22,10.224881
0.0,19,10.491699
0.0,19,10.767535
0.0,22,11.060022
0.0,20,11.341868
0.002218,19,11.628122
0.0,20,11.900613
0.0,20,12.207054
0.011836,19,12.507112
0.0,19,12.802629
0.0,19,13.11447
0.0,23,13.420836
0.001426,18,13.711097
0.0,20,13.989979
0.0,19,14.27301
0.008187,18,14.534944
0.0,21,14.812657
0.0,19,15.081082
0.002085,23,15.38751
0.002995,24,15.740383
0.0,21,16.08659
0.0,19,16.387541
0.0,21,16.679529
0.005657,21,16.9545
0.0,18,17.223554
0.006717,19,17.490454
0.0,20,17.782934
0.0,21,18.054532
0.0,19,18.441068
0.0,18,18.749047
0.014819,75,19.268854
0.0,22,19.557466
0.0,18,19.817405
0.002721,18,20.079834
0.0,23,20.37118
0.0,21,20.648025
1.230703,659,23.13272
0.004025,20,23.405358
0.0,18,23.705869
0.0,18,24.021042
0.016395,18,24.351499
0.157128,80,24.907356
0.0,22,25.307019
0.0,22,25.635099
0.0,20,25.944772
0.009392,22,26.266323
0.0,21,26.592866
0.00769,23,26.95654
0.0,19,27.303634
0.003349,22,27.666527
0.0,22,28.079169
0.0,18,28.422136
0.0,17,28.721764
0.0,18,29.000052
0.0,18,29.290596
0.0,22,29.573612
0.0,17,29.856534
0.0,20,30.143049
0.0,19,30.438012
0.0,20,30.721958
0.002388,21,31.016046
0.0,18,31.291894
0.001472,20,31.572388
0.008212,19,31.846678
0.0,24,32.165946
0.0,21,32.47169
0.009369,21,32.77163
0.0,20,33.068837
0.759216,523,35.104044
0.015402,20,35.387617
0.0,21,35.687035
0.001293,19,35.96235
0.005813,21,36.258226
0.000403,20,36.536097
0.001595,19,36.821244
0.000914,18,37.086733
0.0,18,37.361221
0.0,21,37.659645
0.0,18,37.925136
0.000777,20,38.206737
0.00239,19,38.486086
0.0,20,38.805527
0.012599,25,39.142471
0.0,23,39.436333
0.0,18,39.711888
0.0,18,39.99604
0.008922,20,40.304835
0.0,21,40.594599
0.0,18,40.863711
0.002066,25,41.157341
0.0,18,41.432417
0.0,20,41.722093
0.0,21,42.016294
0.0,19,42.319011
0.0,21,42.61809
0.0,25,42.923395
0.0,18,43.19598
0.0,19,43.488148
0.001924,19,43.77782
0.147266,318,45.958627
0.0,19,46.24499
0.006753,21,46.528776
0.0,19,46.817027
0.0,21,47.115549
0.0,21,47.416685
0.011178,19,47.724009
0.004291,18,48.025009
0.0,19,48.314904
0.007459,21,48.601208
0.0,20,48.86857
0.0,18,49.142926
0.0,20,49.433938
0.0,18,49.724109
0.0,20,50.022195
0.0,20,50.314523
0.002052,20,50.597874
0.0,19,50.886063
0.0,20,51.166204
1.101711,512,53.171714
0.0,20,53.485937
0.009441,20,53.794308
0.01441,19,54.083933
0.0,18,54.380541
0.0,20,54.660471
0.0,17,54.924161
0.0,19,55.208573
0.0,19,55.504217
0.0,20,55.803406
0.0,19,56.093962
0.0,19,56.40193
0.0,21,56.695618
0.0,19,56.9753
0.0,18,57.254947
0.0,21,57.53322
0.184344,321,58.886917
0.0,23,59.183878
0.055455,22,59.485821
0.0,20,59.78642
0.0,18,60.054173
0.0,18,60.316968
0.004836,18,60.592206
0.0,18,60.873568
0.0,19,61.15522
0.0,19,61.442185
0.001102,20,61.730408
0.004653,21,62.014838
0.0,17,62.290928
0.0,17,62.561871
0.006731,20,62.833151
0.0,17,63.095351
0.0,19,63.37696
0.0,18,63.657241
0.0,18,63.936798
0.08966,78,64.412183
0.004235,19,64.699265
0.0,20,64.991615
0.0,22,65.298631
0.0,18,65.577857
0.0,23,65.878193
0.0,76,66.342366
0.001765,21,66.637693
0.000688,281,67.848005
0.000262,21,68.142958
0.0,20,68.43947
0.003318,19,68.719079
0.0,21,69.000495
0.0,19,69.291056
0.009989,23,69.607108
0.000478,20,69.885072
0.001271,20,70.159044
0.0,18,70.424236
0.001208,18,70.696276
0.0,20,70.985197
0.005313,19,71.261413
0.0,21,71.533197
0.0,21,71.803455
0.0,20,72.077277
0.0,19,72.383493
0.267215,766,75.22189
0.002931,19,75.49961
0.0,18,75.771594
0.047561,25,76.058368
0.030454,337,77.402171
0.0,17,78.711938
0.0,18,79.027272
0.0,19,79.302729
0.0,21,79.575805
0.0,18,79.849701
0.004569,21,80.149913
0.0,20,80.438698
0.0,23,80.72852
0.93816,409,82.384407
0.0,19,82.663201
0.0,20,82.941731
0.0,18,83.205136
0.0,19,83.485847
0.0,19,83.755582
0.0066,18,84.024884
0.0,18,84.305485
0.0,21,84.589019
0.007305,20,84.868646
0.0013,17,85.137199
0.002063,21,85.418243
0.0,19,85.698922
0.0,19,85.969918
0.018672,19,86.273734
3.222693,719,89.108363
0.0,21,89.412656
0.0,18,89.709981
0.0,18,90.031477
0.0,19,90.34774
0.0,18,90.664187
0.0,20,90.966559
0.0,22,91.360854
1.706874,454,93.355481
0.0,20,93.698021
0.0,20,94.012636
0.0,19,94.290566
0.021001,21,94.575322
3.3e-05,19,94.870728
0.0,19,95.148614
0.0,17,95.416704
0.0,19,95.696301
0.0,19,95.970562
0.0,23,96.261912
0.0,19,96.528572
0.0,18,96.823023
0.005176,20,97.212719
0.0,20,97.543776
0.0,17,97.856991
0.002832,23,98.171301
0.007199,17,98.467836
0.0,20,98.766774
0.0,19,99.052899
0.0,19,99.345709
0.0,20,99.632534
0.0,20,99.902218
0.000983,19,100.169515
0.0,19,100.472748
0.0,22,100.75812
0.0,19,101.044879
0.0,17,101.319285
0.0,21,101.619424
0.001178,20,101.955366
0.003061,18,102.288647
0.0,20,102.583946
