#{"t_start": 1704405351.768024, "env_id": "None"}
r,l,t
0.004305,19,0.438936
0.007856,18,0.745743
0.0,21,1.055057
0.0,19,1.370827
0.0,20,1.733369
0.0,20,2.029408
0.002681,20,2.329206
0.0,20,2.614283
0.0,17,2.886232
0.0,18,3.153314
0.0,22,3.44502
0.003809,17,3.727856
0.0,22,4.026405
0.0,19,4.297397
0.0,22,4.569554
0.0,21,4.845169
0.0,19,5.155541
0.0,19,5.484869
0.0,17,5.831327
0.0,19,6.165244
0.003753,17,6.471018
0.007209,18,6.76689
0.0,18,7.042132
0.026139,73,7.508928
0.0,22,7.78657
0.009489,18,8.049704
0.0,21,8.321341
0.0,19,8.588957
0.002577,18,8.848081
0.0,19,9.11644
0.0,18,9.37802
0.0,20,9.646046
0.163686,256,10.72978
0.010248,19,10.999175
0.033079,19,11.257168
0.000542,21,11.56274
0.0,20,11.874023
0.0,19,12.193326
0.977989,626,14.647038
0.0,23,14.929823
0.564644,68,15.377155
0.0,19,15.670331
0.000814,19,15.988153
0.0,22,16.295237
0.000299,21,16.59092
0.0,20,16.869016
0.0,21,17.137405
0.159978,265,18.250661
0.0,20,18.522248
0.001857,18,18.787381
0.0,19,19.060293
0.0,21,19.328605
0.0,20,19.59213
0.0,19,19.855452
0.010615,24,20.138983
0.016453,23,20.436717
0.289923,586,22.643186
4.5e-05,21,22.91452
0.003682,18,23.180057
0.017319,21,23.472893
0.002094,23,23.76074
0.0,19,24.034685
0.0,18,24.313967
0.005566,23,24.601921
0.0,18,24.868829
0.003132,21,25.160256
0.0,18,25.428643
0.000395,21,25.703033
0.182846,248,26.778792
0.030901,21,27.065367
0.0,21,27.35599
0.05832,22,27.669424
0.0,20,27.970901
0.0,20,28.267102
7.5e-05,20,28.560933
0.001369,19,28.845969
0.0,20,29.123818
0.000701,21,29.403497
0.0,19,29.67965
0.0,19,29.948803
0.0,17,30.219244
0.0,21,30.519514
0.0,20,30.809522
0.0,19,31.073561
0.0,19,31.336995
0.0,19,31.609149
0.0,19,31.898153
0.0,19,32.172741
0.0,22,32.456984
0.0,20,32.721001
0.0,19,32.981183
0.0,20,33.245201
0.004511,20,33.508768
0.0,20,33.789678
0.0,19,34.075192
0.0,19,34.4135
0.0,19,34.7056
0.017711,21,34.984302
0.0,19,35.249516
0.0,21,35.552457
0.01305,20,35.853742
0.0,21,36.158048
0.359392,227,38.179902
0.0,17,38.43719
0.004753,19,38.706695
0.0,21,38.981572
0.0,21,39.271699
0.016755,20,39.547507
9.4e-05,20,39.829421
0.0,19,40.104013
0.001055,19,40.366263
0.0,22,40.651701
0.0,21,40.929711
0.0,18,41.189713
0.0,17,41.447527
0.0,20,41.722236
0.0,19,42.003626
0.0,20,42.271206
0.0,18,42.535465
0.0,19,42.819611
0.0,19,43.107493
0.0,20,43.391588
0.008644,17,43.65417
0.003117,22,43.952708
0.0,19,44.225742
0.000308,19,44.539459
0.0,20,44.823243
0.000324,18,45.081694
0.0,18,45.357187
0.0,20,45.663827
0.0,18,45.983084
0.0,22,46.293123
0.0,20,46.599675
0.0,20,46.902976
0.001193,18,47.181625
0.000325,18,47.446971
0.009125,23,47.732618
0.0,19,48.026213
0.005523,19,48.310772
0.0,26,48.619789
0.0,19,48.892838
0.0,23,49.184015
0.0,17,49.453843
0.0,21,49.727365
0.001547,21,50.007478
0.002353,18,50.272106
0.0,19,50.556215
0.0,18,50.822202
0.005196,19,51.091392
0.0,17,51.353854
2.8e-05,19,51.6353
0.0,18,51.911409
0.00289,20,52.17656
0.0,23,52.453585
0.0,19,52.721884
0.0,18,53.017943
0.0,20,53.345002
0.0,20,53.679371
0.0,18,53.972324
0.00015,18,54.262319
0.0,19,54.542867
0.0,22,54.83572
0.0,19,55.108088
0.043862,20,55.373368
0.0,20,55.639511
0.000824,19,55.903807
0.0,19,56.165407
0.0,21,56.433926
0.0,22,56.708508
0.0,18,56.975859
0.0,22,57.256944
0.0,21,57.53819
0.0,23,57.840508
0.001473,21,58.117827
0.0,19,58.391571
0.0,20,58.671334
0.005054,18,58.938407
0.001029,19,59.212458
0.0,20,59.479302
0.0,18,59.743522
0.0,19,60.017916
0.0,18,60.30117
0.004686,20,60.611057
0.0,18,60.902213
0.0,18,61.185711
0.010032,19,61.463949
0.0,21,61.753861
0.0,20,62.019438
0.0,20,62.284819
0.0,22,62.558598
0.070974,22,62.829778
0.0,18,63.088571
0.00958,19,63.353175
0.004387,21,63.635886
0.0,18,63.923373
0.0,17,64.190708
0.00858,20,64.465081
0.0,20,64.739812
0.003322,17,64.997512
0.0,19,65.266662
0.00092,22,65.540314
0.0,19,65.801224
0.0,22,66.074435
0.0,19,66.35341
0.005252,19,66.618496
0.0,18,66.878849
0.000222,19,67.165111
0.0,20,67.471753
0.0,20,67.781889
0.006293,21,68.104519
0.0,18,68.403835
0.0,17,68.662111
0.002647,19,68.934631
0.0,21,69.222399
0.0,19,69.492682
0.0,18,69.769941
0.0,17,70.038013
0.0,19,70.313332
0.0,20,70.586534
0.0,20,70.855103
0.0,20,71.131818
0.0,19,71.446298
0.0,19,71.762281
0.233466,88,72.311659
0.001142,19,72.578902
0.006277,24,72.860373
0.0,20,73.126059
0.0,20,73.405126
0.0,17,73.673416
0.0,18,73.947941
0.005087,20,74.231547
0.001002,20,74.515406
0.0,19,74.814472
0.0,20,75.095274
0.0,23,75.372931
0.0,19,75.643068
0.0,19,75.927516
0.0,19,76.204294
0.0,19,76.491601
0.0,20,76.769845
0.0,18,77.048437
0.0,19,77.331582
0.0,18,77.599134
0.0,18,77.860664
0.0,18,78.138846
0.0,19,78.411217
0.003837,21,78.683899
0.0,21,78.957373
0.004388,19,79.227604
0.010602,20,79.500321
0.0,18,79.763416
0.0,18,80.023835
0.0,21,80.300937
0.000629,21,80.579819
0.0,21,80.847661
0.0,19,81.109221
0.0,20,81.374974
0.0,20,81.649511
0.0,22,81.924462
0.0,24,82.204089
0.0,18,82.467975
0.0,19,82.729794
0.0,18,82.988976
0.0,344,84.367631
0.015729,18,84.62846
0.0,20,84.895723
0.0,22,85.16778
0.0,18,85.42789
0.0,23,85.70397
0.0,21,85.973081
0.0,18,86.233001
0.0,20,86.509776
0.01729,18,86.769372
0.0,18,87.037404
0.0,19,87.300821
0.0,19,87.573648
0.006445,20,87.863837
0.008083,21,88.148081
0.003462,18,88.416889
0.0,21,88.706564
0.0,19,88.970671
0.001329,18,89.237608
0.000531,21,89.528474
0.018924,442,91.936546
0.0,18,92.19654
0.000565,21,92.465308
0.0,20,92.730478
0.0,20,92.995322
0.0,19,93.258695
0.0,20,93.526435
0.0,19,93.790305
0.0,20,94.056257
0.002341,20,94.325917
0.0,23,94.603392
0.0,18,94.865959
0.059965,19,95.129919
0.0,21,95.408968
0.0,19,95.674551
0.016915,18,95.936397
0.001598,19,96.204097
0.000726,18,96.468645
0.0,21,96.749682
0.004791,19,97.030006
0.004441,21,97.310313
0.0,19,97.578522
0.000927,19,97.848326
0.0,20,98.120075
0.007546,18,98.389242
0.0,22,98.681376
0.0,23,98.969615
0.000408,20,99.245443
0.0,20,99.529172
0.0,19,99.800588
0.000463,19,100.076885
0.0,19,100.348503
0.005505,18,100.614408
0.014215,21,100.895861
0.0,18,101.162461
