#{"t_start": 1702889264.029288, "env_id": "None"}
r,l,t
0.061575,1001,9.418049
0.141501,1001,18.432812
0.100491,1001,27.717099
0.135725,978,36.666361
0.458132,1001,48.444408
0.147674,1001,58.075014
0.357857,1001,67.38919
0.287353,1001,76.45417
0.313533,1001,88.282951
0.417217,1001,97.289719
0.007037,1001,106.198413
0.0,1001,115.779273
0.203049,1001,127.80464
0.047091,1001,136.742467
1.133907,1001,146.080539
0.333902,1001,154.964566
0.446397,1001,166.449395
0.129681,1001,175.333986
0.222001,1001,184.326353
0.900597,1001,193.24718
0.338337,1001,204.784453
0.026763,1001,213.704338
0.649861,1001,222.5676
0.001735,1001,231.419368
0.161088,1001,242.837226
0.073397,1001,251.712049
0.232662,1001,260.558644
0.435581,1001,269.41436
0.011199,1001,280.815023
0.01139,1001,289.721545
0.48263,1001,298.664149
0.164066,1001,307.57272
0.740986,1001,318.967576
0.005759,1001,328.360942
0.225378,1001,337.860451
0.020699,1001,347.394988
0.624685,1001,359.526542
0.465337,1001,369.068137
0.222554,1001,378.903483
0.190302,1001,388.684711
0.049912,1001,401.944877
0.072579,1001,411.867059
0.004601,1001,421.331931
0.020235,1001,430.440208
0.172502,1001,439.256269
0.188599,1001,451.259911
0.069933,895,459.182904
0.005701,1001,467.965629
1.032219,1001,476.779418
0.043932,1001,488.578583
0.795003,1001,497.392479
0.09479,1001,506.191286
0.194585,1001,514.973969
0.293396,737,524.616928
0.030192,1001,533.383845
0.460827,1001,542.338434
0.275179,137,543.947937
0.18747,1001,552.746241
0.563661,1001,564.592568
0.63691,1001,573.391121
0.256495,1001,582.188892
0.307751,124,583.689012
0.005524,1001,592.534199
0.141264,1001,604.396871
0.073621,1001,613.226665
0.028872,1001,622.040323
0.178185,1001,632.124355
0.736885,1001,644.893608
0.2179,1001,654.700592
0.034055,186,656.866918
0.689013,1001,666.585646
1.348712,1001,675.511883
0.847201,1001,687.295008
0.624093,1001,696.249594
0.149941,1001,705.141923
0.015851,132,706.72032
1.085736,1001,715.502865
0.45696,1001,727.380484
0.012644,1001,736.241165
0.014994,1001,745.070701
0.729244,1001,754.229623
0.238551,1001,767.048867
0.271104,1001,776.96278
0.241964,1001,786.167418
0.562305,926,794.590647
0.174992,1001,806.54554
0.197603,629,812.26501
0.033264,766,819.219167
0.097983,1001,828.064184
0.463564,1001,836.893629
0.378401,1001,848.863937
0.530341,385,852.567638
