#{"t_start": 1702899281.588567, "env_id": "None"}
r,l,t
8.748518,1001,3.471179
7.937194,1001,6.713162
8.989025,1001,10.043255
3.673565,404,11.470673
8.469195,1001,15.604539
9.044311,1001,18.985105
8.441926,1001,22.279768
5.499198,608,24.339197
9.229768,1001,27.610205
9.543056,1001,31.686449
9.166563,1001,35.095828
9.789266,1001,38.398411
10.093677,1001,41.742198
8.690151,1001,45.842005
9.881921,1001,49.231706
9.420047,1001,52.900176
9.08846,1001,56.271393
8.359032,1001,60.176281
9.393863,1001,63.657323
8.514119,1001,66.968134
9.04986,1001,70.20499
9.906626,1001,74.130326
10.113344,1001,77.388201
9.416636,1001,80.636227
9.55871,1001,83.872619
10.16332,1001,87.801787
9.387758,1001,91.057406
9.701397,1001,94.332453
9.523938,1001,97.620045
11.294075,1001,101.74807
8.693446,1001,105.094837
9.257986,1001,108.430212
1.990849,232,109.387338
5.619454,533,111.248313
8.65854,1001,115.22337
10.540241,1001,118.488323
11.524528,1001,121.74229
0.262213,77,122.17309
11.543916,1001,125.420447
9.159102,1001,129.383861
10.660325,1001,132.65065
10.070756,972,135.821732
11.182425,1001,139.086226
10.381771,1001,142.344747
10.431935,1001,146.272227
11.52959,1001,149.524361
10.738656,1001,152.804598
10.293035,1001,156.069864
10.115211,1001,160.084566
12.90793,1001,163.367484
11.371046,1001,166.632953
2.654412,274,167.67383
11.882597,1001,170.940526
6.666491,638,173.810012
10.248079,1001,177.094243
11.671191,1001,180.368058
13.297514,1001,183.64967
10.643213,1001,187.650301
11.659414,1001,190.935765
10.324385,1001,194.201097
12.636999,1001,197.476458
10.346037,1001,201.478215
11.796495,1001,204.751623
11.821461,1001,208.036103
11.018841,1001,211.345756
11.475919,1001,215.352724
0.74661,71,215.775687
13.533541,1001,219.059369
3.49053,288,220.150167
9.778277,795,222.797632
13.256446,1001,226.088572
11.600103,1001,230.028169
12.958729,1001,233.306647
11.725279,1001,236.609686
11.966534,1001,239.914001
0.575835,78,240.362943
13.59965,980,244.305183
11.810892,1001,247.588768
13.462102,1001,250.872016
6.020399,601,252.927458
12.284609,1001,256.206233
14.447389,1001,260.200597
12.820712,1001,263.488619
4.031293,385,264.880191
5.431865,461,266.503136
11.974552,1001,269.773564
10.871922,1001,273.819695
3.563545,352,275.101266
12.726468,990,278.357013
11.148854,1001,281.638951
11.444357,1001,284.933812
2.268776,242,286.600543
12.141349,1001,289.884565
11.764531,967,293.071157
12.909139,1001,296.367588
11.88142,1001,300.354763
11.962326,1001,303.643753
13.532275,1001,306.922802
12.274678,1001,310.202589
12.370085,1001,313.489052
13.978281,1001,317.520646
12.693117,1001,320.804189
12.365253,1001,324.08742
11.899227,1001,327.356755
14.15091,1001,331.34131
14.268724,1001,334.625853
1.083921,134,335.240978
13.21937,1001,338.51995
12.976846,1001,341.798505
12.983674,1001,345.80031
12.451839,1001,349.084808
11.501578,1001,352.360462
14.056375,1001,355.629788
13.666153,1001,359.632038
5.370619,435,361.170019
13.966163,1001,364.447547
13.674708,1001,367.722371
12.810737,1001,371.704035
12.169976,1001,374.976075
12.288113,1001,378.246404
12.573077,1001,381.527394
12.712575,1001,385.510596
15.425548,1001,388.785876
13.226787,1001,392.051554
13.728671,1001,395.318677
14.038064,1001,398.593361
14.308094,1001,402.608011
11.809197,1001,405.880248
14.884575,1001,409.160421
13.361731,1001,412.482312
13.516733,1001,416.469378
15.793622,1001,419.787011
14.503827,1001,423.083691
13.732211,1001,426.381514
15.639075,1001,430.382766
15.628645,1001,433.662965
14.442758,1001,436.986384
13.316911,1001,440.268844
14.99531,1001,444.266103
15.561287,1001,447.566237
14.83111,1001,450.851258
15.585012,1001,454.154638
14.027432,1001,458.145915
12.687886,960,461.309959
14.687106,1001,464.609182
12.388545,1001,467.900437
14.385274,1001,471.908601
14.494112,1001,475.182285
11.837517,889,478.127607
15.012199,1001,481.431798
15.650779,1001,485.41489
14.500313,1001,488.71091
16.554314,1001,492.009144
12.704822,1001,495.295884
14.945634,1001,499.310131
16.023348,1001,502.59929
11.245093,1001,505.893669
16.106621,1001,509.182957
14.025267,1001,513.203631
17.749383,1001,516.502968
13.201351,1001,519.785296
13.02596,1001,523.108232
15.622351,1001,526.399889
14.112079,1001,530.405492
15.528665,1001,533.729405
14.815609,1001,537.014708
15.1038,1001,540.310114
14.678323,1001,544.308382
6.076732,363,545.63632
15.842942,1001,548.939393
16.009855,1001,552.234959
15.954279,1001,556.269684
15.848443,1001,559.565006
15.27853,1001,562.845587
13.825903,1001,566.146635
15.07712,1001,570.090978
15.965763,1001,573.380273
15.372175,1001,576.670152
16.799862,1001,579.957724
14.555065,1001,583.256189
16.402664,1001,587.283191
17.432385,1001,590.584331
15.722983,1001,593.869769
16.254158,1001,597.165801
16.315371,1001,601.196945
14.27544,1001,604.497871
16.36252,1001,607.798824
16.391659,1001,611.093067
14.888313,1001,615.156643
15.904482,1001,618.443374
16.569773,1001,621.744074
17.344532,1001,625.041546
16.396384,1001,629.102904
17.497851,1001,632.407933
16.48867,1001,635.709726
16.932711,1001,639.017559
16.862258,1001,643.016715
16.699221,1001,646.325026
17.203037,1001,649.606305
16.382902,1001,652.905099
15.885056,1001,656.947752
16.823441,1001,660.252475
16.136882,1001,663.542147
16.826629,1001,666.848999
15.704313,1001,670.833177
18.053916,1001,674.143352
16.898958,1001,677.443038
16.290307,1001,680.753724
16.992965,1001,684.788522
15.626748,1001,688.082687
13.809037,886,691.019068
14.307979,1001,694.322342
5.711662,374,695.679826
15.662809,1001,699.674679
15.783137,1001,702.982941
9.895625,600,705.078249
16.369599,1001,708.45058
17.279567,1001,711.779246
16.268562,1001,715.853074
17.237353,1001,719.506146
18.558967,1001,723.033637
14.786844,1001,726.587008
16.961044,1001,731.102475
17.494482,1001,734.802966
1.527163,92,735.35331
18.364399,1001,738.981763
14.758054,850,742.124309
16.236885,1001,746.621317
15.961241,1001,750.258376
0.772306,66,750.729182
18.548121,1001,754.37364
18.242187,1001,758.038982
17.544029,1001,762.257456
16.704212,1001,765.708733
12.249637,698,768.266911
16.200632,1001,771.75239
1.1205,90,772.256537
17.964399,1001,776.285358
16.434604,1001,779.60608
16.148409,1001,783.758698
18.34742,1001,788.512385
15.536552,1001,792.842635
16.537951,1001,796.160448
6.535405,478,797.857138
18.826645,1001,801.182966
17.450834,1001,804.487134
17.252226,1001,808.500925
17.785713,1001,811.803062
19.219254,1001,815.103037
16.254482,1001,818.402996
17.262437,1001,822.380143
15.995585,1001,825.691814
17.325307,1001,828.973923
18.512445,1001,832.269173
16.547624,1001,836.402938
6.13788,364,837.729823
17.165747,1001,841.024747
17.689406,1001,844.333794
16.492463,1001,847.63268
19.261929,1001,851.608638
18.860954,1001,854.898541
18.119316,1001,858.494536
17.36478,1001,861.98827
18.438116,1001,866.077781
17.224488,1001,869.404636
18.348159,1001,872.728201
18.136502,1001,876.076455
18.14234,1001,880.226309
17.589652,1001,883.544259
18.13691,1001,886.859885
18.06685,1001,890.183302
18.82489,1001,894.394898
19.860645,1001,897.73485
16.985217,1001,901.050871
17.177927,1001,904.382599
17.04308,1001,908.424857
17.399734,1001,911.751789
18.1456,1001,915.093718
17.356682,1001,918.428839
19.844115,1001,922.459626
17.994119,1001,925.784129
18.191196,1001,929.118371
19.435456,1001,932.453357
15.698484,1001,936.466593
18.481161,1001,939.808263
17.861189,1001,943.123415
20.075655,1001,946.556616
17.408182,1001,950.60846
19.429539,1001,954.024614
18.238777,1001,957.386687
18.275128,1001,960.778579
19.792019,1001,964.867937
18.932647,1001,968.368384
18.478132,1001,971.742197
18.020208,1001,975.08656
19.673515,1001,978.429786
19.065647,1001,982.414057
19.43213,1001,985.737165
18.223404,1001,989.360156
18.065234,1001,992.769705
17.878977,1001,997.332735
18.221055,1001,1001.041886
18.08339,1001,1004.482494
18.192716,1001,1008.044805
20.476297,1001,1012.812684
20.482972,1001,1016.356697
18.127548,1001,1019.845181
21.025851,1001,1023.299078
19.408711,1001,1027.623595
19.199286,1001,1030.980082
17.635481,1001,1034.286083
17.793459,1001,1037.7917
19.625896,1001,1042.00698
20.274177,1001,1045.400118
20.905299,1001,1048.712172
19.256413,1001,1052.023005
19.814609,1001,1056.188371
19.424628,1001,1059.539429
21.146036,1001,1062.895807
16.493899,1001,1066.201178
19.392125,1001,1070.200428
15.900186,1001,1073.494837
19.0055,1001,1076.797912
19.952925,1001,1080.076031
18.118073,1001,1084.0639
18.740604,1001,1087.373888
20.972702,1001,1090.693207
20.928565,1001,1094.002762
21.528943,1001,1097.999051
21.369472,1001,1101.291598
9.3571,484,1102.988701
18.263777,1001,1106.295876
19.731726,1001,1109.594971
20.162529,1001,1113.801056
21.403584,1001,1117.118095
19.839883,1001,1120.444491
20.738327,1001,1123.767632
20.200081,1001,1127.901638
20.145393,921,1130.946493
18.408845,1001,1134.238786
20.97476,1001,1137.558346
21.154874,1001,1141.511271
21.198314,1001,1144.821225
20.771289,1001,1148.121068
21.541992,1001,1151.439671
21.73605,1001,1155.512533
20.401171,1001,1158.810498
21.981657,1001,1162.121126
17.705299,1001,1165.437086
18.710749,1001,1169.442896
9.86193,434,1170.994024
19.699615,1001,1174.300804
15.309049,764,1176.878146
21.906439,1001,1180.182921
18.777702,1001,1184.19603
21.645634,1001,1187.494824
19.790486,1001,1190.798136
