#{"t_start": 1702904785.4489942, "env_id": "None"}
r,l,t
78.886726,1001,3.640345
80.845061,1001,7.037982
80.386909,1001,10.556141
77.49128,1001,14.16402
79.518827,1001,18.563709
79.301631,1001,22.024759
79.376344,1001,25.458215
81.609958,1001,28.91946
79.169918,1001,33.072144
80.140597,1001,36.49616
78.590746,1001,39.921289
79.789515,1001,43.382105
80.844656,1001,47.575044
77.756739,1001,51.021789
79.606158,1001,54.480705
79.296893,1001,57.908995
80.681875,1001,62.081698
79.833316,1001,65.509659
81.158149,1001,68.908943
79.94736,1001,72.350123
80.330765,1001,76.517608
80.7913,1001,79.974394
80.515089,1001,83.416527
82.077431,1001,86.889948
78.03752,1001,91.046841
79.881728,1001,94.488151
78.934769,1001,97.954545
80.193051,1001,101.401374
78.653042,1001,105.53752
80.167536,1001,109.02189
78.192583,1001,112.490829
79.266122,1001,115.974025
81.320006,1001,120.101156
81.169179,1001,123.591145
78.1299,1001,127.062861
79.2269,1001,130.516787
78.491645,1001,134.702744
80.152741,1001,138.177116
78.593801,1001,141.666208
80.076217,1001,145.13791
79.371063,1001,149.363409
79.805896,1001,152.837833
79.414704,1001,156.322594
79.704199,1001,159.786651
81.396,1001,163.249643
81.210624,1001,167.431077
81.383492,1001,170.898408
79.90274,1001,174.374009
81.197008,1001,177.852053
80.715138,1001,182.004645
76.445977,1001,185.484005
77.763044,1001,188.949527
78.790508,1001,192.413884
79.352461,1001,196.624763
79.271644,1001,200.124023
80.853006,1001,203.60175
81.540885,1001,207.087729
76.674355,1001,211.291396
79.832473,1001,214.767896
77.479057,1001,218.240949
78.479174,1001,221.742413
77.286085,1001,225.929557
79.689114,1001,229.403108
78.882841,1001,232.892127
79.597417,1001,236.386463
78.261486,1001,240.567774
77.869378,1001,244.024832
81.503663,1001,247.486938
81.622479,1001,250.977915
79.407221,1001,255.219197
79.379237,1001,258.691934
79.785521,1001,262.179066
77.079485,1001,265.638597
80.223443,1001,269.861348
78.820119,1001,273.341071
81.261363,1001,276.824616
80.113118,1001,280.278901
79.42903,1001,284.425351
79.555097,1001,287.917821
79.714096,1001,291.413489
78.121031,1001,294.893854
78.874202,1001,299.099092
79.955492,1001,302.570285
78.114138,1001,306.029267
77.623948,1001,309.501007
79.930673,1001,313.652485
78.724725,1001,317.121875
77.690909,1001,320.614286
79.993491,1001,324.096047
78.050849,1001,327.599037
80.317077,1001,331.827953
77.292188,1001,335.323276
80.042753,1001,338.81413
79.727046,1001,342.301307
78.049729,1001,346.510785
78.733714,1001,350.001
78.53749,1001,353.472905
78.594972,1001,356.942589
80.50528,1001,361.167422
82.180404,1001,364.647728
78.924611,1001,368.126821
79.095411,1001,371.65871
78.177734,1001,375.884667
79.565107,1001,379.723311
80.012488,1001,383.262944
78.876305,1001,386.776553
78.577234,1001,391.368934
81.222386,1001,395.146825
81.140691,1001,398.999519
80.179148,1001,402.777868
78.706824,1001,407.143337
79.358753,1001,410.67635
79.749701,1001,414.163782
76.13653,1001,417.646789
80.756607,1001,421.884405
79.98559,1001,425.387082
79.872138,1001,428.885252
79.567471,1001,432.371525
76.738911,1001,436.603227
78.83586,1001,440.107046
80.177437,1001,443.597674
80.498903,1001,447.066489
77.931557,1001,451.280131
78.066499,1001,454.759887
80.777761,1001,458.250213
79.39172,1001,461.7249
80.506833,1001,465.87298
74.340563,1001,469.323933
79.964732,1001,472.795299
77.388033,1001,476.270998
78.829859,1001,480.495096
79.386906,1001,483.990341
78.440339,1001,487.498296
74.768967,1001,490.987154
79.244063,1001,494.488332
79.624255,1001,498.654154
79.644184,1001,502.13972
79.88485,1001,505.630502
80.343815,1001,509.13958
80.501463,1001,513.36198
79.935201,1001,516.863194
78.629069,1001,520.335562
79.385243,1001,523.809903
78.596376,1001,528.03074
79.822633,1001,531.516808
78.296412,1001,535.014535
79.220676,1001,538.489073
78.262381,1001,542.698854
79.500318,1001,546.190595
79.74708,1001,549.693879
79.593293,1001,553.202268
77.818988,1001,557.394444
79.391505,1001,560.895821
81.126449,1001,564.397859
79.898529,1001,567.88283
77.98746,1001,572.076896
79.688156,1001,575.552545
81.262596,1001,579.039773
80.224188,1001,582.533487
80.471595,1001,586.768679
79.079879,1001,590.265332
81.046417,1001,593.756827
80.240374,1001,597.262855
77.762182,1001,601.420002
77.607094,1001,604.906494
77.432823,1001,608.390427
79.732819,1001,611.890209
80.050221,1001,616.049248
76.641521,1001,619.548679
79.710928,1001,623.051493
79.427454,1001,626.581615
77.99071,1001,630.745755
80.492141,1001,634.250865
79.969923,1001,637.753331
80.66966,1001,641.253438
80.116968,1001,645.418502
79.460607,1001,648.920414
79.709978,1001,652.424598
77.106744,1001,655.922705
80.479674,1001,659.424582
79.615992,1001,663.646496
77.236752,1001,667.105013
78.78207,1001,670.589675
79.625079,1001,674.087946
80.855515,1001,678.212687
78.409398,1001,681.682015
79.45383,1001,685.141003
78.824062,1001,688.601483
78.837705,1001,692.806912
79.214527,1001,696.27486
79.006452,1001,699.740444
78.209652,1001,703.206515
80.331355,1001,707.378174
78.440988,1001,710.848432
78.719309,1001,714.326838
78.839824,1001,717.813716
79.92136,1001,721.961823
81.436681,1001,725.461267
79.785525,1001,728.940148
77.423693,1001,732.412702
75.922811,1001,736.600386
78.077712,1001,740.102625
80.693581,1001,743.581204
79.714715,1001,747.070596
79.533803,1001,751.311341
79.483344,1001,754.786023
80.248091,1001,758.313666
80.315378,1001,761.780038
78.178749,1001,765.993089
78.171735,1001,769.483958
77.481386,1001,772.980012
42.568436,815,775.859924
78.892103,1001,780.042879
77.952408,1001,783.518872
79.179696,1001,787.006491
79.130353,1001,790.498467
79.699099,1001,793.975993
79.299837,1001,798.182936
49.872518,951,801.475078
79.533434,1001,804.929025
78.154902,1001,808.405563
80.050082,1001,812.618673
76.719326,1001,816.091134
79.021078,1001,819.591518
76.621176,1001,823.043824
70.263562,1001,827.291306
73.448261,1001,830.759092
80.397151,1001,834.23179
79.593867,1001,837.684668
79.485643,1001,842.008001
76.096717,1001,845.488059
80.483383,1001,849.388606
79.13461,1001,852.925845
79.601378,1001,857.178105
78.501554,1001,860.645329
78.53713,1001,864.104347
78.533983,1001,867.596711
78.960556,1001,872.487727
77.948787,1001,876.274507
79.444258,1001,880.15159
78.264657,1001,883.99548
78.898125,1001,888.934654
78.103288,1001,892.690586
79.964191,1001,896.527733
75.741378,1001,900.331719
77.314898,1001,905.708891
78.829972,1001,909.37817
79.790782,1001,912.849474
78.657769,1001,916.327236
79.03238,1001,920.523515
76.995461,1001,924.047762
78.645687,1001,927.604568
79.26652,1001,931.360498
80.588739,1001,935.849405
73.93053,1001,939.509254
78.583167,1001,943.167001
