#{"t_start": 1702917256.8407803, "env_id": "None"}
r,l,t
5.285817,156,2.489196
55.240086,1001,12.721179
56.362249,1001,22.433732
54.461516,1001,32.724449
53.556382,1001,45.677055
56.514432,1001,55.779562
55.996161,1001,65.804546
57.004349,1001,76.010235
56.508676,1001,85.676127
54.898619,1001,98.191319
49.54968,1001,107.843512
58.508877,1001,117.133298
51.245059,1001,126.493352
56.039396,1001,139.262686
57.016003,1001,148.623249
52.460615,1001,157.954334
53.71836,1001,167.346409
56.349057,1001,179.755262
55.897273,1001,189.100412
56.880827,1001,198.414557
55.014011,1001,207.728574
55.737795,1001,220.152415
56.747896,1001,229.513406
57.46889,1001,238.858624
57.539364,1001,248.297554
55.841036,1001,260.753174
55.130867,1001,270.145677
53.374421,1001,279.459372
54.121991,1001,288.757843
56.486653,1001,301.10332
56.438025,1001,310.495699
54.008694,1001,319.872052
55.041417,1001,329.201594
55.17871,1001,341.656816
53.471827,1001,350.98656
56.679469,1001,360.362757
49.747722,1001,369.676708
56.486912,1001,382.504897
56.074928,1001,393.06971
53.342122,1001,402.689281
55.994966,1001,412.036276
57.791161,1001,424.542329
42.182618,1001,433.918669
56.820653,1001,443.279489
54.746838,1001,452.689452
56.170604,1001,465.144828
55.061004,1001,474.505675
52.046208,1001,483.851907
52.064238,1001,493.21251
55.284892,1001,505.668031
54.659858,1001,515.075851
55.579191,1001,524.483444
56.089215,1001,533.922236
55.703747,1001,543.56569
56.922244,1001,556.352649
34.108332,1001,565.981466
50.495555,1001,575.510127
56.098609,1001,585.014392
33.3155,1001,597.521184
54.166484,1001,606.990941
55.967085,1001,616.554435
58.389388,1001,625.982858
58.563552,1001,638.210309
54.728235,1001,647.683578
55.740565,1001,657.174129
56.984395,1001,666.646786
56.217753,1001,679.025188
51.79684,1001,688.449777
57.272731,1001,697.923647
58.089219,1001,708.44214
55.815409,1001,720.523145
55.814967,1001,730.070073
55.238267,1001,739.518166
56.413004,1001,748.961695
33.09052,1001,760.941408
55.964727,1001,770.302136
58.581608,1001,779.660209
56.528994,1001,789.257863
54.596335,1001,801.224609
53.711576,1001,810.645691
56.521736,1001,820.099754
55.068994,1001,829.481646
51.478083,1001,841.618235
57.770123,1001,851.053649
6.499469,206,853.423604
55.231222,1001,862.845648
53.683139,1001,872.218727
56.613159,1001,884.278915
56.914372,1001,893.645367
54.970165,1001,903.068102
51.482278,1001,912.484481
47.7517,1001,924.525603
57.769371,1001,933.866497
56.702778,1001,943.222268
55.703395,1001,952.697882
58.441413,1001,964.883339
58.892884,1001,974.352642
57.674409,1001,983.929685
55.195566,1001,993.947327
56.755371,1001,1006.371143
56.390638,1001,1016.008025
57.639912,1001,1025.467038
57.834573,1001,1034.788236
55.670653,1001,1046.741111
58.047605,1001,1056.067435
53.855327,1001,1065.688769
54.292376,1001,1075.259498
56.206968,1001,1084.614193
52.116121,1001,1096.746871
56.599348,1001,1106.121958
55.558527,1001,1115.413643
54.127744,1001,1124.763932
57.085356,1001,1136.7566
57.471097,1001,1146.155112
56.719758,1001,1155.511356
55.404395,1001,1164.897234
53.305254,1001,1176.840631
53.357567,1001,1186.258492
