#{"t_start": 1702895145.7879481, "env_id": "None"}
r,l,t
0.185021,1001,9.988767
0.492763,1001,19.245847
0.429683,1001,28.95614
0.331911,1001,37.88187
0.328226,1001,49.396481
0.232562,1001,58.235811
0.368434,1001,67.030704
0.36557,1001,75.836959
0.280257,1001,87.281752
0.563103,1001,96.1127
0.580417,1001,104.928553
0.243822,1001,113.728626
0.195641,1001,125.12253
0.244898,1001,133.958016
0.088373,1001,142.803267
0.637628,1001,151.726656
0.48357,1001,163.374749
0.140232,1001,172.282003
0.378755,1001,181.140631
0.2229,1001,190.01402
0.347845,1001,201.542284
0.32835,1001,210.449779
0.532276,1001,219.4437
0.395851,1001,228.502935
0.191095,1001,240.113548
0.486488,1001,249.103522
0.309468,1001,258.17928
0.24828,1001,267.087161
0.17,779,276.791793
0.339131,1001,285.844018
0.624084,1001,294.820783
0.358742,1001,303.681158
0.290387,1001,315.354713
0.446997,1001,324.232703
0.312179,1001,333.108926
0.297271,1001,342.016629
0.527112,1001,350.846066
0.172091,1001,362.337169
0.4159,1001,371.134833
0.3236,1001,380.057326
0.27682,1001,389.075206
0.431914,1001,400.732311
0.530979,1001,409.857732
0.239921,1001,418.723884
0.30097,1001,427.55581
0.215179,1001,439.076634
0.28192,1001,447.934089
0.322483,1001,457.018446
0.443378,1001,466.231986
0.502467,1001,477.841423
0.344793,1001,487.012213
0.340798,1001,496.144702
0.39552,1001,505.364365
0.319669,1001,517.52998
0.322282,1001,527.140296
0.416414,1001,535.965659
0.433335,1001,545.00348
0.546008,1001,556.646912
0.28264,1001,565.479964
0.325035,1001,574.286388
0.324991,1001,583.194712
0.353465,1001,594.783081
0.242891,1001,603.731202
0.452937,1001,612.592317
0.559635,1001,621.432747
0.399493,1001,633.107555
0.613272,1001,642.031775
0.207891,849,649.694257
0.529745,1001,658.565463
0.369423,1001,670.275384
0.594708,1001,679.171755
0.500605,1001,687.998108
0.197112,1001,696.855667
0.423253,1001,705.670287
0.577279,1001,717.274395
0.535499,1001,726.131095
0.698039,1001,734.974634
0.438935,1001,743.78431
0.637765,1001,755.542203
0.120904,1001,764.436312
0.382066,1001,773.345272
0.721188,1001,782.136476
0.467065,1001,793.663532
0.404772,1001,802.489167
0.642465,1001,811.402559
0.495411,1001,820.294594
