#{"t_start": 1704611177.356549, "env_id": "None"}
r,l,t
0.0,21,0.490038
0.0,21,0.779827
0.487638,352,2.228186
0.0,84,2.741289
0.0,21,3.04252
0.012868,71,3.508813
0.0,18,3.808136
0.092504,111,4.502954
0.0,19,4.825631
0.101127,132,5.505838
0.0,20,5.781436
0.013852,93,6.293785
0.620785,405,8.056848
0.0,21,8.338887
0.0,20,8.608627
0.0,21,8.885287
0.0,22,9.160516
0.0,23,9.438716
0.196485,330,10.75044
0.0,22,11.041703
0.0,19,11.310224
0.0,17,11.567955
0.0,21,11.837377
0.0,63,12.248382
0.0,19,12.529349
0.0,21,12.809334
0.0,19,13.081959
0.0,20,13.367663
0.0,21,13.696408
0.0,19,14.013654
0.0,25,14.345278
0.0,22,14.648628
0.0,21,14.92743
0.021988,25,15.222577
0.0,21,15.49307
0.0,22,15.774742
0.0,22,16.052995
0.0,20,16.327825
0.0,22,16.603974
0.0,21,16.878846
0.0,20,17.158488
0.0,20,17.424827
0.0,22,17.698035
0.0,24,17.979573
0.0,19,18.256294
0.0,19,18.548181
0.0,20,18.822118
0.001216,65,19.26006
0.0,21,19.551982
0.0,22,19.841185
0.0,23,20.133515
0.0,22,20.413608
0.0,19,20.704728
0.0,20,21.016513
0.0,18,21.314058
0.0,19,21.610984
0.389856,111,22.262132
0.0,21,22.5375
0.0,20,22.802771
0.0,20,23.098381
0.0,20,23.377236
0.0,20,23.661976
0.0,22,23.968175
0.0,22,24.278933
0.0,21,24.601739
0.0,19,24.963967
0.0,25,25.313913
0.0,21,25.656203
0.0,676,28.226833
0.0,20,28.50506
0.085122,152,29.210428
0.0,114,29.805594
0.0,76,30.272111
0.0,20,30.545026
0.007339,80,31.769093
0.0,20,32.037066
0.0,173,32.823276
0.0,18,33.090582
0.203492,214,34.020385
0.0,19,34.294907
0.0,21,34.578974
0.0,22,34.87824
0.0,19,35.149691
0.0,336,36.473978
0.013731,106,37.028309
0.0,18,37.287485
0.0,23,37.564495
0.0,19,37.828611
0.0,19,38.098926
0.0,24,38.380977
0.0,271,39.477894
0.0,19,39.740478
0.0,21,40.009598
0.011682,22,40.289711
0.0,88,40.789502
0.0,20,41.076752
0.0,20,41.355471
0.0,22,41.633838
0.0,18,41.896617
0.0,20,42.166143
0.0,20,42.451737
0.0,19,42.715499
0.0,19,42.981016
0.0,20,43.257928
0.0,19,43.523256
0.005167,27,43.816143
0.0,20,44.081358
0.0,20,44.348834
0.0,20,44.621847
0.0,128,45.268457
0.0,20,45.549129
0.0,22,45.839362
0.370451,308,47.061499
0.0,453,48.754571
0.019742,125,49.371829
