#{"t_start": 1704557453.3194702, "env_id": "None"}
r,l,t
0.415994,902,4.213955
0.0,22,4.516914
0.0,19,4.814211
0.005652,22,5.129146
0.009197,24,5.45157
0.0,21,5.755161
0.0,21,6.060632
0.0,20,6.360106
0.0,17,6.633077
0.0,18,6.920897
0.00134,18,7.224434
0.0,19,7.525121
0.0,18,7.815416
0.021107,20,8.084363
0.031944,21,8.366495
0.0,18,8.632672
0.001029,20,8.90569
0.0,21,9.179025
0.0,20,9.464673
0.018086,27,9.758576
6.915185,558,12.045267
0.0002,21,12.342379
0.007551,19,12.622827
0.0,19,12.903071
0.0,18,13.169514
0.067696,20,13.449866
0.0,20,13.733263
0.0,19,14.0064
0.000181,20,14.27811
0.11156,22,14.564182
0.043255,19,14.8357
0.0,19,15.104208
0.030187,21,15.377329
0.0,17,15.638012
0.005748,20,15.910813
0.0,19,16.177674
0.0,18,16.451893
0.033911,20,16.739905
0.130681,20,17.024964
0.0,20,17.29732
0.019567,23,17.577149
0.008776,18,17.841055
0.0,20,18.112804
0.0,22,18.393884
0.0,19,18.664677
0.0,18,18.938235
0.009508,19,19.217638
0.0,21,19.533833
0.070598,19,19.844263
0.0,20,20.163358
10.867249,852,23.271706
0.0,17,23.551796
0.0,18,23.833511
0.0,18,24.10132
0.162075,23,24.383241
0.0,18,24.653658
0.0,18,24.933322
0.0,21,25.212373
0.000233,21,25.491483
0.009248,18,25.753408
0.031953,18,26.016758
0.0,19,26.284603
0.059338,20,26.568904
0.009686,19,26.849942
0.098101,19,27.152719
0.0,20,27.457001
0.0,20,27.756105
0.0,20,28.032603
0.0,20,28.306351
0.006444,19,28.572414
0.042009,17,28.843323
0.0,19,29.115365
0.000446,22,29.393748
0.0,19,29.663338
0.163814,23,29.947367
0.006725,21,30.221456
0.054012,24,30.506765
0.0,21,30.779087
0.013697,19,31.048843
0.011152,18,31.316445
0.130974,19,31.577774
0.0,19,31.842494
0.0,19,32.105552
0.0,19,32.373346
0.047383,21,32.660655
0.0,20,32.941841
0.0,21,33.223778
0.060165,18,33.501633
0.008332,21,33.813366
0.0,21,34.123799
0.0,20,34.423814
0.0,23,34.716273
0.0,20,35.803293
0.0,18,36.063587
0.007068,21,36.336227
0.0,20,36.608925
0.0,19,36.876323
0.0,22,37.162477
0.0,18,37.432003
0.011843,20,37.698535
0.0,20,37.980855
0.0,18,38.245136
0.026238,17,38.510126
0.0,23,38.7924
0.0,24,39.077128
0.0,17,39.334035
0.0,21,39.612937
0.0,21,39.892654
0.0,20,40.1733
0.006935,20,40.449931
0.054308,18,40.717217
8.598158,434,42.389402
0.0,22,42.664743
0.0,23,42.94731
0.0,19,43.216501
0.0,20,43.505984
0.0,19,43.782133
0.0,19,44.044722
0.0,20,44.326986
0.049017,20,44.60194
0.0,21,44.896168
0.0,20,45.170369
0.0,20,45.448059
0.0,22,45.728528
0.0,21,46.002368
0.0,19,46.269176
0.001465,19,46.535977
0.0,19,46.813778
0.00536,20,47.085669
0.000556,19,47.353156
0.026935,19,47.625368
0.0,20,47.899155
0.053333,21,48.181057
0.0,21,48.461116
0.033659,20,48.748917
0.0,20,49.028742
1.014482,237,50.045596
0.0,20,50.319707
0.0,21,50.603075
0.0,21,50.875351
0.0,20,51.144358
0.0,17,51.402022
0.002741,19,51.666097
0.0,19,51.933874
0.0,22,52.216737
0.0,19,52.489836
0.003552,21,52.775024
0.0,20,53.050058
0.0082,18,53.32054
0.021416,19,53.600626
0.0,19,53.866366
0.0,19,54.149008
0.0,18,54.43091
0.0,19,54.699249
0.008728,19,54.967861
0.0,19,55.232312
0.0,22,55.527571
0.0,20,55.802986
0.0,19,56.068074
0.0,19,56.336878
0.0,25,56.630879
0.0,19,56.895318
0.0,22,57.185166
0.0,19,57.456843
0.036931,23,57.757272
0.013907,22,58.053313
0.0,18,58.319833
0.031212,20,58.604523
0.0,21,58.887783
0.0,21,59.16565
0.0,20,59.441518
0.0,23,59.723517
0.0,20,60.008018
0.033335,20,60.281661
0.0,18,60.550115
0.041774,19,60.824514
0.0,21,61.10505
0.0,20,61.375619
0.0,23,61.659811
0.228852,29,61.964227
0.0,22,62.246044
11.534832,237,63.259596
0.0,21,63.543296
0.0,21,63.821191
0.013398,21,64.089626
0.0,19,64.351552
0.401031,23,64.636985
0.0,20,64.905627
0.0557,19,65.172216
0.0,19,65.434699
0.0,18,65.694141
0.003798,18,65.972677
0.006128,18,66.247348
0.0,17,66.524018
3.027913,315,67.801329
0.0,19,68.085309
0.0,21,68.35991
2.95843,347,69.746267
0.052941,18,70.029352
0.0,19,70.307152
0.017839,20,70.587998
0.0,19,70.863749
0.0,20,71.146632
0.0,19,71.417805
0.002368,23,71.70338
0.008876,20,71.979041
0.004187,19,72.266096
0.0,18,72.54644
0.072727,21,72.83173
0.011002,20,73.113792
0.0,21,73.390787
0.0,21,73.678122
0.0,18,73.9486
0.002575,18,74.219082
0.088467,21,74.503772
0.092384,22,74.785726
0.0,24,75.092273
0.0,18,75.37072
0.0,19,75.63172
0.0,20,75.900064
0.0,20,76.172674
0.000651,21,76.455671
0.0,18,76.726685
0.0,19,76.998271
0.0,18,77.974593
0.0,23,78.254143
0.0,21,78.535406
0.014191,19,78.80287
0.0,20,79.069991
0.0,19,79.335914
0.839398,514,81.285536
0.0,21,81.584956
0.0,18,81.848173
0.035208,20,82.125222
0.083837,18,82.390978
0.0,23,82.706285
0.016097,21,82.98873
0.0,21,83.282582
0.055338,22,83.566126
0.183685,21,83.848799
0.008092,21,84.14246
0.045168,18,84.423367
0.0,21,84.703741
0.0,19,84.982239
0.0,23,85.273344
1.44863,64,85.690397
0.0,18,85.961364
0.0,18,86.230563
0.0021,19,86.504141
0.0,19,86.768143
0.0,18,87.03443
0.0,19,87.303835
0.0,19,87.571032
1.513334,129,88.205287
0.01445,21,88.488236
0.0,19,88.753656
0.016172,18,89.017628
0.021234,18,89.280306
0.0,22,89.565607
0.0,20,89.845118
0.48736,174,90.818088
0.0,21,91.124179
0.0,20,91.445067
0.049545,19,91.728886
0.0,24,92.019519
0.018786,21,92.300107
0.257119,23,92.577507
0.059354,19,92.846092
0.0,20,93.130928
0.0,20,93.400094
0.094967,24,93.701154
0.0,20,93.97076
0.0,20,94.250494
0.0,18,94.522079
0.020326,24,94.806429
0.34929,24,95.091073
0.0,19,95.359236
0.0,19,95.636141
3.428964,306,96.90285
0.0,18,97.204266
4.017154,271,98.407503
0.0,21,98.684214
0.001515,19,98.96267
0.0,19,99.226044
0.0,19,99.492303
0.0,19,99.760109
0.016802,19,100.055375
0.0,18,100.324783
0.0,20,100.597116
0.0,20,100.872875
0.027068,23,101.164746
0.0,20,101.445019
0.0,19,101.716224
0.0,19,101.988702
0.008942,18,102.256596
0.004034,18,102.527733
0.149815,21,102.801958
0.0,20,103.076171
0.0,20,103.348842
0.0,23,103.631767
0.031787,19,103.908204
0.002601,19,104.18594
0.0,19,104.458069
0.0,18,104.721404
0.013979,21,104.99893
0.0,18,105.281491
0.761404,78,105.743704
0.0,18,106.020578
0.0,18,106.289549
0.170477,19,106.563793
0.0,21,106.84583
0.0,20,107.145161
0.0,23,107.447212
0.0,19,107.728396
0.0,18,108.000057
0.033614,23,108.289611
0.0,19,108.555201
0.0,18,108.825998
0.0,18,109.089768
0.008815,21,109.363835
0.0,21,109.638443
0.0,19,109.905715
0.0,18,110.184325
0.009736,18,110.456922
6.143084,361,111.888903
0.0,18,112.157277
0.0,18,112.423848
0.0,19,112.698475
0.016246,19,112.974381
0.0,20,113.248729
0.001295,22,113.53494
0.0,19,113.803504
0.030916,18,114.068138
0.0,21,114.374445
0.0,21,114.667561
0.0,23,114.965567
