#{"t_start": 1704553913.083713, "env_id": "None"}
r,l,t
162.822938,1001,3.756739
69.221501,1001,7.70385
81.307439,1001,11.323876
161.215496,1001,14.927197
60.87064,1001,19.361969
75.007977,1001,22.912065
63.666404,1001,26.549256
88.626828,1001,30.069377
76.705753,1001,34.429949
97.584872,1001,38.249496
76.62507,1001,41.900776
126.617219,1001,45.657884
76.83557,1001,49.94217
77.630508,1001,53.521889
68.250128,1001,57.142089
141.074767,1001,60.82888
85.428311,1001,65.55803
139.645908,1001,69.247815
80.518897,1001,72.768953
68.534983,1001,76.291978
98.488735,1001,80.54143
104.579711,1001,84.047981
87.777876,1001,87.556424
140.217129,1001,91.076015
75.078079,1001,95.836301
99.210179,1001,99.505685
85.092819,1001,103.034991
91.95356,1001,106.73906
52.908302,1001,111.155844
94.413689,1001,114.85798
117.50781,1001,118.53078
58.783473,1001,122.186812
70.92578,1001,126.503688
109.141809,1001,130.118461
71.425739,1001,134.190432
81.09476,1001,138.218368
84.435557,1001,142.891487
104.272199,1001,146.447173
78.915443,1001,150.043339
147.017022,1001,153.567402
68.521261,1001,157.846957
138.936374,1001,161.48397
65.138449,1001,164.984186
20.088075,47,165.346044
11.457901,35,165.660166
102.230305,1001,169.170631
115.426964,1001,173.819456
66.066651,1001,177.464436
184.007881,1001,181.05763
96.567445,1001,184.811971
18.971724,47,185.183814
73.50321,1001,189.886134
7.368821,39,190.239526
82.768106,1001,193.957166
89.281358,1001,197.641101
99.107504,1001,201.173739
112.164207,1001,204.814371
87.444086,1001,209.156423
92.390951,1001,212.815844
11.965765,43,213.167169
60.380475,1001,216.692619
151.169613,1001,220.329279
56.412142,1001,224.818723
63.496099,1001,228.327501
117.471899,1001,231.877703
119.770284,1001,235.433972
92.730789,1001,239.944807
87.051872,1001,243.492359
36.608673,1001,247.011457
80.464147,1001,250.554839
82.88705,1001,254.805511
55.285063,1001,258.324656
55.565477,1001,261.85227
84.98204,1001,265.399463
147.326821,1001,269.608911
75.171454,1001,273.107443
35.795106,1001,276.62016
92.47837,1001,280.171006
71.784515,1001,284.643713
73.788505,1001,288.301213
71.22319,1001,291.8211
130.644181,1001,295.45878
98.635648,1001,299.75805
44.848393,1001,303.394513
74.76597,1001,307.034317
92.503614,1001,310.549409
57.184758,1001,314.870414
53.879201,1001,318.356276
107.588127,1001,321.865893
68.377521,1001,325.366882
113.350087,1001,329.711391
72.597636,1001,333.233697
22.756483,56,333.625192
53.210671,1001,337.13509
90.71846,1001,340.657265
55.127546,1001,345.086471
9.529799,38,345.416398
171.549682,1001,348.947697
147.015566,1001,353.206335
54.482594,1001,357.365252
74.538282,1001,362.731449
63.073424,1001,367.874666
169.671212,1001,373.472366
68.556327,1001,378.29481
