#{"t_start": 1704585337.901406, "env_id": "None"}
r,l,t
0.0,20,0.50331
0.0,19,0.767114
0.0,20,1.050512
0.0,23,1.34386
0.011234,285,2.5513
0.0,22,2.855664
0.0,20,3.141198
0.0,21,3.426761
0.0,22,3.711052
0.0,67,4.15828
0.0,20,4.438456
0.0,18,4.721564
0.0,21,5.055294
0.0,281,6.405757
0.0,18,6.695834
0.0,20,6.9745
0.0,24,7.270071
0.0,22,7.560394
0.0,82,8.036067
0.0,21,8.31049
0.0,22,8.611922
0.0,19,8.914372
0.0,26,9.2394
0.0,81,9.78015
0.0,20,10.080999
0.0,19,10.354728
0.0,22,10.626633
0.0,19,10.901787
0.0,22,11.190453
0.0,20,11.481578
0.0,22,11.784266
0.0,19,12.106403
0.0,20,12.429663
0.0,21,12.801425
0.0,19,13.10603
0.0,154,13.852701
0.0,18,14.11636
0.0,19,14.398797
0.0,23,14.679385
0.0,19,15.013047
0.0,19,15.319604
0.0,23,15.630315
0.013944,206,16.57969
0.0,19,16.884269
0.001556,144,17.594189
0.0,21,17.869998
0.0,19,18.139904
0.0,23,18.42373
0.0,19,18.703858
0.0,21,18.981523
0.0,22,19.327468
0.0,20,19.61079
0.0,24,19.895269
0.0,18,20.223241
0.0,19,20.49215
0.0,268,21.618953
0.0,19,21.891659
0.0,20,22.167254
0.0,21,22.443904
0.0,20,22.70925
0.0,530,24.671137
0.0,23,24.968164
0.0,638,27.277176
0.0,19,27.540431
0.0,19,27.803738
0.0,22,28.074583
0.0,19,28.346206
0.0,20,28.614975
0.0,22,28.888579
0.0,20,29.15539
0.0,18,29.41651
0.0,18,29.677079
0.0,89,30.185307
0.0,20,30.456797
0.0,24,31.498724
0.0,21,31.776288
0.0,18,32.04447
0.0,22,32.332446
0.102528,178,33.153875
0.0,20,33.430997
0.0,19,33.696942
0.0,20,33.978271
0.031268,737,36.649624
0.0,396,38.20774
0.0,23,38.496645
0.0,28,38.799395
0.0,22,39.082811
0.0,20,39.373941
0.0,20,39.654134
0.016026,68,40.114913
0.0,23,40.412372
0.0,298,41.651901
0.0,20,41.933392
0.0,20,42.20094
0.0,22,42.476777
0.0,21,42.755635
0.0,20,43.02646
0.0,20,43.305377
0.0,21,43.583767
0.0,19,43.873338
0.0,19,44.179524
0.0,21,44.523706
0.0,22,44.852172
0.0,76,45.390316
0.047374,608,47.655919
0.0,21,47.929988
0.0,19,48.200979
0.0,18,48.472703
0.0,18,48.737052
0.0,19,49.006131
0.0,18,49.266486
0.0,21,49.552208
0.0,19,49.814531
0.0,22,50.092275
0.0,26,50.392123
0.0,19,50.672731
0.0,19,50.978493
0.080868,285,52.302971
0.0,22,52.614293
0.0,21,52.891459
0.0,23,53.183683
0.0,20,53.463004
0.0,225,54.415422
0.0,20,54.686237
0.0,20,54.963165
0.0,20,55.25286
0.0,20,55.52956
0.0,19,55.79367
0.0,21,56.067803
0.0,18,56.333385
0.0,18,56.593876
0.0,23,56.870866
0.0,21,57.142283
0.006403,118,57.757354
0.0,28,58.053242
0.0,26,58.346881
0.0,20,58.639354
0.0,21,60.025234
0.0,21,60.302026
0.0,18,60.577986
0.0,20,60.856675
0.0,24,61.147865
0.0,22,61.435454
0.0,18,61.701093
0.0,19,61.995268
0.0,21,62.274336
0.0,20,62.541486
0.0,23,62.828516
0.0,145,63.532572
0.0,172,64.321676
0.0,19,64.591737
0.0,18,64.855229
0.0,19,65.123544
0.0,20,65.39545
0.0,18,65.663458
0.0,20,65.962686
0.0,91,66.513267
0.0,21,66.79525
0.0,19,67.060843
0.0,19,67.326555
0.15722,358,68.731803
0.0,18,68.993842
0.0,19,69.279539
0.0,21,69.578992
0.0,20,69.878762
0.0,193,70.749723
0.0,103,71.292873
0.0,342,72.620742
0.0,20,72.889668
0.0,22,73.166717
0.0,23,73.446812
0.02939,259,74.529215
0.0,24,74.813701
0.0,22,75.097403
0.0,21,75.369369
0.0,22,75.651117
0.0,23,75.936482
0.0,18,76.200437
0.0,20,76.470497
0.0,24,76.755412
0.0,21,77.028225
0.0,20,77.30009
0.0,23,77.578563
0.03236,297,78.796805
0.0,20,79.06797
0.0,21,79.37494
0.0,21,79.69969
0.0,22,80.017358
0.0,21,80.300136
0.0,24,80.583696
0.0,19,80.851225
0.0,19,81.150724
0.0,21,81.435568
0.039603,350,82.847061
0.0,18,83.119868
0.0,22,83.399204
0.0,82,83.877068
0.0,20,84.152186
0.0,23,84.451767
0.0,261,85.635578
0.0,20,85.902288
0.0,21,86.182846
0.0,133,86.891171
0.014446,490,89.546945
0.0,23,89.836344
0.0,24,90.129892
0.0,23,90.414342
0.0,23,90.692112
0.055699,293,91.91299
0.0,22,92.191191
0.0,815,95.149548
0.0,79,95.628439
0.0,20,95.900291
0.0,19,96.181122
0.0,21,96.474008
0.0,18,96.755007
0.0,22,97.051637
0.0,19,97.349151
0.0,77,97.85048
0.0,18,98.120791
0.0,24,98.409428
0.0,20,98.700764
0.0,169,99.51634
0.0,23,99.80048
0.0,18,100.075283
0.044829,505,102.03468
0.0,162,102.798827
0.0,20,103.069577
0.0,18,103.337163
0.0,18,103.624247
0.0,72,104.084878
0.0,20,104.361145
0.101058,286,105.579626
0.0,20,105.865813
0.0,20,106.143967
0.0,24,106.434553
0.0,21,106.708465
0.001045,229,107.698203
0.0,21,107.972978
0.001029,107,108.549661
0.0,18,108.812753
0.0,19,109.077946
0.0,19,109.347342
0.0,20,109.626136
0.0,23,109.906841
0.0,22,110.193621
0.14215,463,112.757851
0.0,23,113.043358
0.0,20,113.310888
0.020226,121,113.943022
0.013072,21,114.237169
0.0,22,114.542554
0.0,20,114.82094
0.0,19,115.082135
0.0,23,115.37534
0.0,18,115.644447
0.0,22,115.916849
0.0,80,116.384067
0.0,19,116.645436
0.0,21,116.914366
0.0,19,117.17922
0.0,21,117.451725
0.0,19,117.714516
0.0,20,117.978017
0.0,64,118.394474
0.0,20,118.667415
0.0,22,118.942396
0.0,23,119.222441
0.0,19,119.490402
0.0,150,120.194079
0.0,20,120.461127
0.0,21,120.73421
0.0,20,121.004584
0.0,22,121.280854
0.070185,505,123.165523
0.0,25,123.454492
0.0,21,123.726486
0.0,19,123.990048
0.0,19,124.254412
0.0,19,124.519947
0.0,19,124.786462
0.0,19,125.050415
0.0,20,125.319964
0.0,19,125.591095
0.0,22,125.867649
0.176259,756,128.599008
0.0,22,128.877537
0.0,21,129.148399
0.0,20,129.418392
0.0,73,129.862018
0.382182,221,130.861093
0.017924,152,131.64204
0.0,21,131.93936
0.0,21,132.209152
0.001778,656,134.618155
0.0,143,135.372884
0.0,21,135.660996
0.0,20,135.930449
0.01197,374,138.108139
0.0,21,138.380443
0.0,20,138.65108
0.0,24,138.933541
0.0,24,139.22143
0.0,20,139.49423
0.0,19,139.759065
0.0,19,140.047497
0.0,20,140.316294
0.0,21,140.588316
0.0,23,140.888861
0.0,19,141.159057
0.0,22,141.443053
0.0,19,141.731446
0.054496,902,145.055583
0.0,18,145.318624
0.0,21,145.591641
0.080484,501,147.463314
0.0,21,147.7347
0.0,19,148.002432
0.0,19,148.267997
0.0,23,148.554987
0.0,18,148.835541
0.0,21,149.139758
0.0,18,149.462667
0.0,20,149.750841
0.0,27,150.053358
0.0,22,150.337702
0.0,19,150.606653
0.0,24,150.893707
0.0,20,151.163235
0.0,23,151.438858
0.0,19,151.706466
0.0,22,151.982154
0.0,124,152.603774
0.0,23,152.906788
0.0,22,153.219482
0.0,20,153.51482
0.0,23,153.808001
0.0,20,154.076482
0.0,25,154.363289
0.0,19,154.63057
0.0,22,154.916405
0.0,22,155.196625
0.0,21,155.467699
0.0,23,155.747225
0.114996,325,157.033937
0.0,24,157.3285
0.0,66,157.772162
0.0,22,158.060251
0.0,252,159.109065
0.0,20,159.375372
0.0,25,159.662985
0.0,18,159.927196
0.137607,235,160.907111
0.0,21,161.1822
0.0,17,161.442251
0.0,22,161.724678
0.0,20,161.998132
0.075493,263,163.077272
0.120785,386,165.320527
0.0,20,165.593174
0.0,18,165.858651
0.0,23,166.136309
0.088199,179,166.929634
0.0,25,167.219657
0.0,20,167.487105
0.0,23,167.771261
0.002548,139,168.442501
0.0,22,168.72705
0.0,23,169.008426
0.08098,646,171.353514
0.0,24,171.637499
0.0,17,171.897086
0.0,19,172.164292
0.0,23,172.446178
0.0,18,172.708257
0.0,20,172.975966
0.0,21,173.248702
0.0,20,173.522403
0.0,20,173.792302
0.240921,564,175.864765
0.0,21,176.138251
0.0,19,176.405968
0.0,25,176.69153
0.0,19,176.958223
0.0,19,177.223397
0.0,24,177.505873
0.0,22,177.780076
0.0,22,178.056097
0.0,20,178.326194
0.0,23,178.60496
0.0,22,178.880511
