#{"t_start": 1704642397.077174, "env_id": "None"}
r,l,t
0.054219,277,1.497307
0.0,21,1.807891
0.0,95,2.377255
0.026764,163,3.192192
0.002841,143,3.896196
0.0,22,4.178456
0.0,72,4.66286
0.0,19,4.957463
0.0,20,5.302831
0.0,18,5.612327
0.0,77,6.112709
0.019608,103,6.67943
0.0,25,6.97621
0.0,19,7.244743
0.0,20,7.519746
0.003259,21,7.800473
0.0,20,8.089518
0.0,27,8.411424
0.0,18,8.733659
0.0,71,9.259167
0.01624,180,10.146415
0.0,19,10.445537
0.0,22,10.738798
0.0,23,11.025959
0.0,243,12.09892
0.0,19,12.537797
0.0,21,12.860009
0.0,22,13.316524
0.0,19,13.689295
0.0,20,14.172634
0.0,22,14.48702
0.0,18,14.791672
0.0,23,15.10881
0.0,19,15.486163
0.0,19,15.900716
0.0,19,16.299938
0.025678,150,17.258972
0.0,19,17.572232
0.0,22,17.886141
0.0,23,18.181614
0.0,20,18.464257
0.0,24,18.775444
0.0,21,19.069018
0.0,20,19.366475
0.0,21,19.650467
0.0,18,19.919654
0.0,19,20.190021
0.0,20,20.468817
0.0,74,20.923403
0.0,22,21.198291
0.0,21,21.470095
0.0,25,21.758979
0.0,21,22.048731
0.012811,87,22.548739
0.0,20,22.824905
0.0,23,23.113546
0.0,75,23.565588
0.0,21,23.844331
0.0,20,24.125111
0.019419,348,25.506137
0.0,21,25.810429
0.0,19,26.082623
0.009071,20,26.379698
0.034316,212,27.391449
0.028402,88,27.893719
0.0,20,28.173794
0.0,19,28.45737
0.0,20,28.829628
0.0,20,29.106898
0.0,20,29.402927
0.013603,27,29.732941
0.002355,20,30.045313
0.0,25,30.332494
0.0,20,30.602071
0.00742,87,31.099903
0.0,19,31.370241
0.0,80,31.849052
0.0,22,32.143018
0.0,18,32.414318
0.0,18,32.738492
0.0,23,33.054288
0.0,18,33.393425
0.0,20,33.68709
0.046554,214,35.752706
0.023699,324,37.085931
0.0,21,37.364738
0.0,19,37.63557
0.0,25,37.958633
0.0,24,38.242591
0.0,24,38.534482
0.0,18,38.80263
0.034915,25,39.088646
0.0,21,39.363918
0.0,178,40.167694
0.0,20,40.439382
0.002441,18,40.716561
0.0,24,41.014895
0.037935,337,42.407355
0.0,20,42.702742
0.0,19,42.998595
0.096906,316,44.446676
0.0,20,44.738234
0.040191,78,45.197171
0.0,22,45.46965
0.0,141,46.138194
0.0,18,46.423015
0.0,21,46.715216
0.0,18,46.985996
0.0,21,47.272228
0.0,18,47.549006
0.0,20,47.83295
0.0,198,48.770655
0.0,19,49.039938
0.0,20,49.324916
0.0,20,49.623975
0.0,19,49.92316
0.0,23,50.240105
0.0,19,50.533153
0.0,21,50.825021
0.013306,200,51.708678
0.0,19,51.999236
0.0,22,52.282506
0.0,21,52.56407
0.0,22,52.856021
0.027065,98,53.400745
0.086693,197,54.308132
0.036612,65,54.757195
0.082753,217,55.709265
0.0,20,55.979664
0.0,19,56.247921
0.0,19,56.516079
0.0,20,56.79808
0.0,22,57.121994
0.0,19,57.450171
0.0,19,57.755168
0.0,20,58.042428
0.0,21,58.317786
0.0,19,58.586233
0.010728,20,58.861585
0.0,20,59.146428
0.0,20,59.42771
0.0,75,59.884221
0.0,72,60.332078
0.0,21,60.606609
0.0,67,61.032428
0.0,19,61.313192
0.0,18,61.583898
0.035869,146,62.263782
0.0,19,62.529858
0.014168,208,63.436493
0.0,20,63.768932
0.0,21,64.083612
0.0,150,65.70793
0.0,21,66.001197
0.0,20,66.294831
0.0,22,66.585341
0.0,19,66.882958
0.0,20,67.208222
0.0,21,67.622545
0.0,129,68.395346
0.0,19,68.674172
0.0,20,68.943375
0.0,21,69.225193
0.0,20,69.513835
0.0,20,69.796189
0.00759,24,70.108747
0.0,19,70.39726
0.0,25,70.681932
0.0,29,70.986751
0.0,21,71.262723
0.0,20,71.553092
0.0,20,71.827845
0.0,21,72.115401
0.0,21,72.416566
0.0,21,72.723668
0.015738,20,72.99911
0.0,18,73.282319
0.0,19,73.563934
0.0,20,73.85378
0.0,22,74.13713
0.0,21,74.411968
0.0,76,74.879361
0.054082,167,75.632398
0.0,22,75.916341
0.0,20,76.190627
0.0,18,76.46199
0.0,26,76.770404
0.064557,69,77.23173
0.0,19,77.535237
0.0,71,78.019354
0.0,21,78.322825
0.043942,216,79.325572
0.0,20,79.600939
0.0,20,79.882636
0.002068,17,80.164891
0.013654,19,80.444999
0.0,24,80.737052
0.0,69,81.176533
0.0,20,81.46676
0.0,24,81.758913
0.0376,153,82.485563
0.0,19,82.757054
0.0,22,83.048141
0.0,19,83.327425
0.0,22,83.607407
0.082712,597,85.958073
0.0,103,86.53481
0.0,18,86.807748
0.0,21,87.115778
0.0,27,87.408069
0.0,18,87.673298
0.0,20,87.943586
0.0,21,88.225516
0.0,21,88.515749
0.0,137,89.215848
0.0,19,89.591279
0.0,21,89.918197
0.0,24,90.258753
0.0,22,90.554013
0.0,22,90.830804
0.021017,246,91.856622
0.0,19,92.129567
0.0,21,92.454475
0.0,18,92.767273
0.0,21,93.05089
0.0,22,93.354606
0.0,23,93.635441
0.041785,117,94.259622
0.0,21,94.55413
0.0,22,94.859183
0.041569,651,98.043908
0.0,23,98.329049
0.0,20,98.604917
0.0,20,98.879947
0.0,20,99.160525
0.006621,22,99.454326
0.0,19,99.741496
0.0,22,100.040581
0.0,20,100.320815
0.0,18,100.582993
0.0,19,100.871739
0.0,18,101.151924
0.0,19,101.45076
0.007913,210,102.378312
0.0,25,102.666343
0.026308,30,102.967232
0.0,24,103.253781
0.0,21,103.537551
0.005663,105,104.095655
0.0,21,104.377804
0.0,19,104.654078
0.0,22,104.941172
0.0,22,105.228711
0.0,21,105.51902
0.0,21,105.803865
0.0,19,106.07795
0.0,21,106.434433
0.0,21,106.754413
0.065021,306,108.218189
0.0,19,108.513639
0.0,136,109.222897
0.0,21,109.694595
0.0,20,110.075459
0.0,21,110.399484
0.0,19,110.72812
0.008737,71,111.189504
0.0,21,111.48905
0.0,18,111.771175
0.0,18,112.087805
0.024865,72,112.656746
0.0,21,112.983245
0.0,19,113.290408
0.0,19,113.587224
0.0,19,113.882453
0.0,244,114.97597
0.0,22,115.268839
0.0,23,115.580327
0.060492,322,117.031049
0.042571,142,117.721128
0.0,19,118.016332
0.0,21,118.305268
0.0,19,118.580319
0.0,26,118.872066
0.0,20,119.159908
