#{"t_start": 1704804761.269513, "env_id": "None"}
r,l,t
3.323423,649,2.735175
0.092491,22,3.026243
0.119398,22,3.325596
0.02595,24,3.655651
0.141424,21,3.962725
0.041957,20,4.293733
0.123951,20,4.586427
0.0,18,4.886538
0.263517,24,5.209093
0.093023,20,5.507072
0.123585,18,5.827442
0.067567,19,6.112848
0.354688,78,6.590677
0.034549,19,6.868909
0.099443,32,7.187259
0.076562,22,7.474745
0.0,21,7.746257
0.0,18,8.016603
1.234136,243,9.169374
0.485772,108,9.74021
0.017777,22,10.015694
0.534906,108,10.585582
0.0,19,10.852913
0.028378,19,11.123437
0.059412,19,11.388575
0.310232,99,11.923208
0.0,21,12.211167
0.0971,18,12.478429
0.665574,145,13.165412
0.026895,22,13.467496
0.069692,19,13.739662
0.029522,18,14.008738
0.043107,21,14.282359
0.047757,18,14.548564
0.226014,26,14.853353
0.126465,20,15.136383
0.027069,19,15.439933
1.244453,365,16.973589
0.125608,23,17.264725
0.094641,96,17.797198
0.0,19,18.079494
0.084706,21,18.3545
0.043278,25,18.662107
0.027484,18,18.935175
0.059076,23,19.212779
0.032777,20,19.485838
0.0,19,19.761188
0.097861,21,20.031938
0.10888,23,20.313575
0.564103,222,21.256067
0.078693,20,21.531582
0.0633,19,21.799755
0.015295,21,22.077066
0.137981,25,22.370318
0.024462,20,22.642286
0.033512,21,22.917026
0.090586,25,23.208516
0.064929,19,23.488561
0.054701,20,23.781336
0.049846,19,24.078941
0.041543,19,24.3799
0.057847,18,24.68041
0.038933,22,24.965088
0.050114,20,25.232923
0.083691,22,25.510168
0.032312,19,25.776419
0.508205,86,26.271447
0.0,19,26.56919
0.021782,20,26.86811
0.644209,184,27.745469
1.060364,236,28.740456
0.026199,18,29.007171
0.04418,20,29.28061
0.006255,22,29.562476
0.170874,27,29.858296
1.418192,251,31.648238
0.126841,21,31.926068
0.050057,21,32.198251
0.089381,24,32.483527
0.048692,19,32.753754
0.032347,20,33.031516
0.154051,23,33.321051
0.10497,19,33.586751
0.027446,19,33.859847
0.0,19,34.12974
0.032144,19,34.396774
0.0,21,34.67127
0.049758,24,34.960311
1.61193,259,36.034313
0.143393,20,36.306505
0.106588,60,36.7233
0.063916,21,37.007745
0.0,20,37.283977
0.158689,76,37.743127
0.084262,21,38.022663
0.027885,25,38.311877
0.072635,21,38.591664
0.122458,18,38.856063
0.280843,100,39.405423
0.007591,20,39.682608
0.019705,20,39.971556
0.065585,20,40.245217
0.066328,20,40.515528
0.186564,28,40.81682
0.0,22,41.101012
0.370759,153,41.821408
0.045751,21,42.099196
0.000656,21,42.372328
0.219114,24,42.654815
0.063929,18,42.918763
0.053563,21,43.195727
0.011135,19,43.464586
1.263689,134,44.123577
0.755504,207,45.022202
0.015696,20,45.295516
0.0,19,45.573478
0.031713,21,45.848538
0.222459,22,46.144456
0.00804,19,46.41509
0.000566,20,46.694054
0.010947,21,46.983164
0.026408,20,47.26549
0.037037,19,47.534487
0.036371,18,47.79937
0.048302,19,48.068754
0.168351,21,48.355514
0.065454,18,48.626183
0.0,18,48.894815
0.08194,21,49.173357
0.05221,20,49.448897
0.01681,20,49.722965
0.00912,19,49.994893
0.0,24,50.286509
0.040173,20,50.563996
0.062663,21,50.848511
0.157187,24,51.165986
0.161988,20,51.454961
0.029573,19,51.745763
0.066328,18,52.02165
0.073958,22,52.304817
0.0,19,52.583447
0.944025,242,53.597871
0.0,18,53.860442
0.274411,25,54.149734
0.0,19,54.420984
0.042783,17,54.684222
0.053177,20,54.956212
1.062552,323,56.242881
0.805841,131,56.89371
0.0376,19,57.159293
0.993955,198,58.025607
0.119571,24,58.30911
0.025039,26,58.600872
0.067009,19,58.866408
0.064229,21,59.147731
0.070427,21,59.425946
0.0,21,59.707166
0.053914,22,59.989001
0.077163,22,60.267693
0.028006,23,60.551112
0.0,19,60.819157
0.312246,79,61.295256
0.09243,23,61.576624
0.174852,21,61.850642
0.0,20,62.122957
0.859503,259,63.190644
0.045443,20,63.46364
1.150003,264,65.346582
0.05669,18,65.60997
0.030655,21,65.882848
0.381999,122,66.49421
0.070646,20,66.765994
0.05457,19,67.034236
0.032021,21,67.309451
0.071376,21,67.580637
0.482766,85,68.067691
3.516165,136,68.726496
0.456779,183,69.543601
0.030072,20,69.811518
0.012315,23,70.094449
0.047174,20,70.372123
0.0,22,70.649645
1.031057,180,71.461413
0.349479,90,71.972724
0.255411,62,72.385235
0.046489,19,72.651731
0.017728,22,72.931376
0.042406,19,73.198163
0.0,20,73.468288
0.021977,20,73.745751
2.613823,543,75.838309
0.154035,24,76.143098
1.17155,159,76.897792
0.092249,19,77.16988
0.0,21,77.445033
0.104898,20,77.719558
0.490156,225,78.713531
0.059094,20,78.986093
0.0,19,79.256597
0.053153,22,79.534224
0.089759,19,79.805182
0.932635,301,81.009509
0.037142,21,81.288335
0.130104,22,81.580617
0.021638,22,81.889469
0.071691,21,82.186187
0.203657,25,82.512291
0.0,18,82.799099
0.097844,21,83.098012
0.0,20,83.368285
0.882776,164,84.139541
0.132694,27,84.43889
0.059873,20,84.718645
0.204259,23,85.006439
0.047591,19,85.273811
0.0,22,85.552034
0.137899,24,85.835088
0.038972,21,86.112608
0.010714,21,86.38667
0.060905,21,86.66905
0.0,21,86.969559
0.011653,19,87.243536
0.110153,20,87.53237
0.11411,23,87.859191
0.061894,22,88.183592
0.219511,66,88.659532
0.004795,20,88.948763
0.822567,132,89.601788
0.097103,20,89.874147
0.033122,21,90.14798
0.649574,126,90.777642
0.021163,21,91.060637
0.019206,18,91.328817
1.908621,424,93.849648
0.0,20,94.144434
0.004208,25,94.442165
0.050256,19,94.740309
1.85554,434,96.520991
0.173931,23,96.80852
0.113242,20,97.088546
0.025267,21,97.368574
0.074285,22,97.653501
0.022848,18,97.918464
4.316052,523,99.894365
0.145369,26,100.183389
0.093892,19,100.450039
0.05188,26,100.736943
0.036127,21,101.010305
0.071867,19,101.280746
0.049437,20,101.551497
0.02985,20,101.826178
0.033386,23,102.13772
0.037838,21,102.444028
0.173049,23,102.750439
0.113813,107,103.346533
0.202394,24,103.637631
0.073716,25,103.931604
0.030062,21,104.205712
0.06371,19,104.472206
0.0,20,104.754158
0.079495,19,105.027459
0.004658,20,105.301968
0.055052,23,105.583659
0.023123,19,105.858937
0.553806,76,106.319567
0.151106,24,106.609587
0.031375,26,106.902902
0.227939,125,107.549441
0.058128,25,107.837424
4.997902,289,109.008483
0.101125,23,109.291381
0.106428,28,109.595815
0.06623,20,109.866724
0.0,21,110.141503
0.044652,23,110.42417
0.247994,95,110.945605
1.087339,385,112.438293
0.029544,21,112.728237
0.12482,19,112.992634
0.044188,20,113.277433
0.016864,22,113.567333
0.081655,20,113.841349
0.025325,20,114.118879
0.28885,23,114.40351
0.0,20,114.678716
0.060678,22,114.961428
0.117211,29,115.265882
0.05583,19,115.534046
0.856992,184,116.360461
0.027781,24,116.647526
0.123612,28,116.945284
0.198141,168,117.709539
0.0,20,117.97866
0.0,19,118.24646
0.117642,23,118.530794
0.113838,23,118.815394
0.035925,19,119.084065
0.025864,21,119.35755
0.12081,24,119.641919
0.0,21,119.916591
0.0,22,120.19929
0.094543,20,120.472388
0.042915,21,120.748945
8.3e-05,19,121.020919
0.021863,20,121.297238
0.024558,23,121.576783
0.0,19,121.846021
0.077817,20,122.129537
0.121073,21,122.403296
0.061126,21,122.679727
0.043562,21,122.959818
0.212966,28,123.260509
0.0,21,123.542723
0.055271,20,123.821208
0.094844,24,124.111725
3.413447,241,125.922179
0.045068,19,126.240255
0.453315,112,126.990077
0.105761,27,127.284629
0.133289,50,127.658481
1.263872,182,128.476929
0.041158,19,128.758206
0.071134,18,129.023315
0.111653,19,129.287358
0.028166,20,129.559685
0.117888,21,129.837233
0.083917,27,130.13278
1.908506,80,130.610528
0.181184,21,130.879339
1.025921,163,131.624704
0.034664,18,131.884152
0.026748,22,132.161221
0.03851,23,132.443
0.131122,22,132.721985
0.074374,21,132.998644
0.069073,23,133.281584
0.263846,77,133.766535
0.125229,19,134.063446
0.057134,20,134.375074
0.063038,24,134.709277
0.705541,394,136.270071
