#{"t_start": 1704806774.9553652, "env_id": "None"}
r,l,t
0.041954,20,0.453041
0.044735,21,0.749632
0.176294,21,1.049709
0.431945,112,1.727256
0.075324,24,2.089264
0.0,20,2.454059
1.888287,355,4.021809
0.055002,18,4.348888
0.828319,166,5.2105
0.0,20,5.517846
0.035117,18,5.813335
1.874555,144,6.532393
0.0,22,6.825863
0.063251,25,7.152238
0.06546,19,7.503081
0.0,19,7.830126
0.087318,21,8.164445
0.048509,22,8.484785
0.085435,21,8.776215
0.174922,22,9.06803
0.039977,20,9.359236
0.0,19,9.649395
0.082357,18,9.937513
0.0,23,10.25481
0.198903,79,10.838271
0.028093,22,11.177831
0.0,18,11.489413
0.074033,22,11.806014
0.030797,23,12.105646
0.148764,22,12.397786
0.122112,20,12.687337
0.121594,23,12.976439
0.079678,23,13.264505
0.054354,20,13.550299
0.019674,21,13.848222
0.0,21,14.263794
0.093933,19,14.658261
0.014364,20,15.054837
0.112192,23,15.369004
0.079917,18,15.751305
0.0,20,16.084974
0.116249,20,16.382685
0.339475,113,17.030629
0.0,18,17.319502
0.0,22,17.616737
0.215451,20,17.910436
0.033833,21,18.213799
0.049781,19,18.549236
0.976838,177,19.558398
0.109037,18,19.89085
0.182421,32,20.384388
0.020757,19,20.739723
0.100213,20,21.149628
0.036202,22,21.48802
0.0,20,21.809548
1.92677,371,23.423938
0.044729,19,23.712667
0.057022,20,24.004459
0.2588,22,24.390025
0.0,21,24.753794
0.070408,20,25.067417
0.66509,195,26.170846
0.04856,20,26.533773
0.073529,19,26.979146
0.047855,22,27.319943
1.141676,311,28.881875
0.033698,20,29.172733
0.027887,24,29.479126
0.210116,26,29.791566
0.039711,21,30.076605
0.065494,21,30.356433
0.971425,230,31.376688
0.073332,22,31.684036
0.030404,19,31.978064
0.039272,21,32.284681
0.037581,21,32.579691
0.057514,19,32.855537
0.0,18,33.137243
0.132725,22,33.430609
0.0,26,33.737049
0.692834,135,34.442714
0.164725,20,34.729722
0.054226,21,35.03145
1.525225,246,37.108607
0.027358,20,37.405068
0.0,19,37.692141
0.0,21,37.96795
0.078477,21,38.251747
0.975442,342,39.663741
0.081133,25,39.975598
0.261966,22,40.261079
0.016413,21,40.553644
0.660419,185,41.439941
0.0,18,41.729693
0.126104,25,42.042393
0.0,18,42.316246
0.053284,19,42.600051
0.514596,144,43.365105
0.0,22,43.692809
0.040338,19,44.005223
0.008655,21,44.293225
0.109208,23,44.598985
0.036761,19,44.875272
0.061772,19,45.146375
0.183313,29,45.47147
0.100802,23,45.763671
0.027142,22,46.06001
0.0,19,46.343283
0.108153,22,46.633724
0.066518,22,46.927771
0.081987,21,47.226305
0.030663,19,47.508051
0.10491,22,47.806196
0.061672,22,48.099148
