#{"t_start": 1704799758.187198, "env_id": "None"}
r,l,t
0.0,20,0.48507
0.160518,103,1.031642
0.0,19,1.303296
0.005586,20,1.582723
0.0,20,1.851856
0.005843,21,2.128097
0.0,18,2.385044
0.187358,73,2.898389
0.0,18,3.240577
0.0,20,3.567267
0.0,20,3.880533
0.001139,19,4.176626
0.0,20,4.459495
0.0,17,4.733959
0.0,20,4.999972
0.000267,23,5.307047
0.0,19,5.590169
0.0,19,5.86208
0.341929,241,6.909591
0.0,21,7.186138
0.000373,20,7.54093
0.0,19,7.884195
0.0,19,8.20936
0.0,24,8.529038
0.060942,139,9.184633
0.0,20,9.478462
0.0,24,9.77615
0.0,21,10.062951
0.040172,321,11.362624
0.0,20,11.672129
0.0,18,11.92914
0.04969,21,12.212433
0.000344,20,12.481741
0.0,18,12.762693
0.0,18,13.046022
0.0,22,13.32361
0.0,20,13.595363
0.002355,21,13.881804
0.0,20,14.16205
0.074145,65,14.602229
0.122856,70,15.060737
0.0,21,15.331763
0.0,19,15.598373
0.009823,22,15.876912
0.0,21,16.146164
0.055747,76,16.618982
0.0,19,16.912837
0.0,19,17.180148
0.01895,129,17.827974
0.0,19,18.095474
0.0,23,18.373212
0.215551,230,19.400003
0.0,23,19.735109
0.0,20,20.035875
0.0,23,20.369018
0.003283,19,20.678683
0.0,19,20.956182
0.0,20,21.240718
0.0,19,21.533945
0.0,19,21.85716
0.005343,26,22.184978
0.610263,367,23.704785
0.0,18,24.003808
0.0,21,24.323345
0.026768,26,24.640666
0.0,20,24.916678
0.0,21,25.196909
0.0,24,25.48674
0.228154,169,26.330175
0.0,20,26.6121
0.139294,120,27.233848
0.0,20,27.511311
0.0,20,27.780099
0.0,18,28.059811
0.0,19,28.344046
0.0,21,28.675355
0.0,20,28.962535
0.053472,28,29.292344
0.045154,24,29.603097
0.351053,268,30.761185
0.0,23,31.051763
0.0,22,31.337988
0.0,21,31.622258
0.0,20,31.89695
0.0,19,32.170828
0.0,27,32.469123
0.0,20,32.73466
0.0,21,33.013734
0.023222,74,33.469616
0.021369,74,33.941623
0.0,19,34.2187
0.0,20,34.500261
0.0,20,35.555481
0.0,21,35.830703
0.004054,21,36.097879
0.006566,18,36.361192
0.0,18,36.623834
0.0,24,36.909621
0.0,18,37.170623
0.0,19,37.434108
0.003598,19,37.723363
0.0,19,37.991753
0.0,19,38.264337
0.0,19,38.539486
0.0,21,38.821394
0.040677,117,39.400499
0.015484,27,39.696724
0.030044,172,40.459918
0.0,20,40.757563
0.007003,19,41.024873
0.0,20,41.30141
0.0,19,41.572374
0.119815,151,42.292215
0.0,22,42.569034
0.0,22,42.85018
0.037665,288,44.04883
0.082723,127,44.681954
0.0,20,44.950142
0.0,20,45.214705
0.0,18,45.475863
0.0,23,45.757121
0.0,19,46.022582
0.001256,21,46.295756
0.0,18,46.560655
0.0,22,46.843536
0.0,18,47.127591
0.003052,355,48.523813
0.143789,418,50.174166
0.048535,182,51.016219
0.068997,158,51.75727
0.0,21,52.071758
0.010956,23,52.416578
0.0,19,52.75814
0.0,21,53.074875
0.041243,25,53.41521
0.013487,68,53.900569
0.0,20,54.171507
0.0,20,54.446132
0.04052,120,55.111903
0.19167,272,56.309533
0.022684,21,56.605826
0.0,18,56.885201
0.0,21,57.200286
0.028925,583,59.468208
0.0,23,59.765672
0.0,19,60.04645
0.010047,22,60.338496
0.0,19,60.625517
0.01725,26,60.936716
0.0,21,61.235373
0.0,21,61.531096
0.0,19,61.821393
0.006729,20,62.120178
0.0,77,62.573086
0.452537,320,65.056218
0.0,21,65.332105
0.0,19,65.592046
0.0,21,65.871067
0.0,18,66.134969
0.027529,23,66.437874
0.0,23,66.733728
0.0,22,67.02557
0.017553,179,67.973283
0.0,18,68.270571
0.002875,20,68.573987
0.0,21,68.858725
0.266716,69,69.306837
0.0,19,69.58196
0.0,18,69.877206
0.005068,21,70.168035
0.0,329,71.550966
0.0,19,71.896234
0.00167,104,72.471592
0.0,22,72.757413
0.049879,77,73.225607
0.001929,21,73.515356
0.0,20,73.793739
0.0,21,74.091316
0.011525,26,74.413816
0.0,18,74.686941
0.0,21,74.989561
0.0,22,75.26957
0.0,22,75.55036
0.0,20,75.838822
0.0,20,76.108377
0.0,23,76.397229
0.224525,506,78.283508
0.0,19,78.539975
0.0,19,78.803463
0.201669,213,79.715252
0.0,18,79.997187
0.0,20,80.282314
0.0,22,80.570513
0.0,22,80.84832
0.0,24,81.139584
0.0,22,81.594987
0.0,18,81.883236
0.041185,23,82.205308
0.13075,129,82.886444
0.0,22,83.197269
0.001588,21,83.489986
0.0,21,83.789006
0.016878,159,84.630863
0.007551,21,84.941529
