#{"t_start": 1704799840.91903, "env_id": "None"}
r,l,t
0.0,22,0.471027
0.0,20,0.761003
0.012166,159,1.578019
0.250613,100,2.192101
0.0,21,2.517479
0.0,20,2.826914
0.0,21,3.115555
0.003965,19,3.412119
0.094059,77,3.918161
0.0,19,4.215041
0.002518,22,4.543772
0.024162,24,4.877219
0.0,21,5.180329
0.008896,20,5.531853
0.0,20,5.883711
0.0,22,6.211689
0.0,19,6.549294
0.0,19,6.868656
0.0,19,7.183784
0.090482,67,7.675657
0.0,21,7.98787
0.0,23,8.305141
0.0,25,8.645361
0.0,22,8.952383
0.0,25,9.258019
0.0,21,9.572041
0.0,19,9.860356
0.0,21,10.159275
0.0,20,10.490824
0.022637,323,11.936633
0.0,20,12.235528
0.0,19,12.522913
0.0,22,12.830902
0.0,19,13.178171
0.01245,739,16.610617
0.0,18,16.944431
0.017628,27,17.316422
0.014038,22,17.632158
0.0,19,17.946512
0.0,23,18.262191
0.193093,254,19.457787
0.135543,372,20.976435
0.0,20,21.287143
0.00114,19,21.573909
0.015792,22,21.865608
0.0,18,22.154964
0.0,23,22.458057
0.0,20,22.736446
0.015194,23,23.026323
0.0,21,23.3155
0.0,20,23.599898
0.0,19,23.883116
0.018923,207,24.802573
0.0,20,25.104198
0.021069,24,25.40911
0.0,19,25.697786
0.016449,21,25.993502
0.068072,282,27.215725
0.0,19,27.511313
0.0,19,27.808822
0.0,20,28.115495
0.0,20,28.409114
0.0,19,28.698106
0.008354,21,28.994218
0.0,20,29.289088
0.041902,220,30.305539
0.0,21,30.641238
0.0,20,30.969341
0.0,20,31.263295
0.089835,88,31.804764
0.0,21,32.984336
0.0,18,33.267708
0.009962,22,33.562356
0.087302,143,34.272843
0.0,21,34.567584
0.0,22,34.860745
0.0,20,35.145558
0.0,20,35.43298
0.0,21,35.717604
0.041193,269,36.873796
0.0,20,37.175376
0.020575,22,37.493686
0.0,20,37.87839
0.0,18,38.17434
0.013077,156,38.947908
0.0,22,39.239473
0.0,19,39.530948
0.189904,165,40.355599
0.0,20,40.655234
0.127064,157,41.466393
0.0,20,41.788722
0.0,20,42.097375
0.0,20,42.381274
0.0,26,42.693404
0.0,17,42.964354
0.051737,108,43.567564
0.018432,23,43.868496
0.0,18,44.145246
0.0,21,44.446318
0.0,22,44.739673
0.002119,109,45.324396
0.009785,20,45.59976
0.003689,20,45.88341
0.0,20,46.172183
0.095751,128,46.847689
0.0,23,47.142025
0.0,21,47.422107
0.0,20,47.696882
0.177602,151,48.53303
0.0,23,48.835615
0.0,21,49.122628
0.0,18,49.39575
0.0,23,49.702097
0.0,21,49.982622
0.036948,19,50.258453
0.0,20,50.538039
0.0,24,50.833139
0.0,21,51.117662
0.0,19,51.396496
0.074736,195,52.276454
0.020014,20,52.557781
0.038822,20,52.844056
0.091652,368,54.319048
0.0,68,54.768443
0.0,21,55.047998
0.0,19,55.322266
0.0,22,55.609655
0.0,18,55.88447
0.0,21,56.168198
0.0,21,56.454023
0.0,19,56.780366
0.0,21,57.079214
0.0,19,57.393912
0.0,21,57.731301
0.0,315,59.280237
0.0,23,59.604718
0.0,23,59.912976
0.0,19,60.20617
0.0,20,60.501875
0.042811,673,64.05373
0.290646,235,65.092534
0.0,21,65.383854
0.0,20,65.670608
0.0,20,65.955125
0.0,21,66.240123
0.0,21,66.524129
0.020565,601,68.792077
0.002109,21,69.076212
0.0,22,69.36789
0.0,20,69.648712
0.0,21,69.964321
0.0,19,70.274569
0.011041,18,70.572955
0.0,18,70.845589
0.0,22,71.130411
0.0,21,71.405594
0.0,19,71.677873
0.0,20,71.971419
0.0,22,72.258452
0.030871,311,73.553363
0.03565,23,73.848751
0.0,23,74.141813
0.011038,19,74.42281
0.0,20,74.708289
0.016574,205,75.634418
0.0,24,75.934725
0.0,20,76.209245
0.0,18,76.493087
0.0,23,76.778446
0.0,20,77.054607
0.000567,19,77.330436
0.0,19,77.600538
0.0,24,77.89466
0.0,20,78.168504
0.0,21,78.456389
0.002578,25,78.761938
0.0,21,79.047744
0.0,17,79.321697
0.0,20,79.607518
0.0,19,79.886164
0.0,19,80.167079
0.0,20,80.442402
0.010469,23,80.731904
0.0,17,81.001119
0.013307,25,81.296079
0.032111,77,81.777529
0.0,21,82.058388
0.0,19,82.335552
0.0,19,82.607155
0.0,20,82.885174
0.0,21,83.172631
0.0,20,83.453277
0.0,24,83.75118
0.0,20,84.030279
0.113163,331,85.391617
0.0,20,85.67212
0.0,19,85.945105
0.0,19,86.219656
0.0,20,86.497705
0.227055,566,88.667779
0.000911,20,88.947786
0.0,20,89.230194
0.0,20,89.516425
0.000867,21,89.808065
0.0,21,90.098826
0.0,23,90.391201
0.0,21,90.679501
0.0,20,90.999008
0.051664,115,91.700301
0.018225,20,92.045156
0.0,22,92.596696
0.169822,230,93.84627
0.0,19,94.14781
0.0,20,94.506896
0.0,24,94.87825
0.0,378,97.579665
0.0,21,97.893615
0.0,19,98.216248
0.0,22,98.545362
0.0,22,98.94677
0.12997,78,99.519757
0.0,23,99.836758
0.0,18,100.14355
0.0,19,100.436989
0.0,309,101.739918
0.019396,456,103.798978
0.0,21,104.211991
0.0,19,104.896839
0.0,20,105.592069
0.064742,478,108.541364
0.013403,123,109.339698
0.4653,429,111.201905
0.0,17,111.476023
0.0,22,111.76221
0.0,17,112.027705
0.0,23,112.324409
0.088281,144,113.041553
0.0,23,113.336257
0.014539,26,113.642779
0.013628,25,113.950228
0.0,21,114.237747
0.0,19,114.523022
0.0,24,114.828308
0.0,19,115.113731
0.0,20,115.390464
0.0,21,115.673857
0.0,19,115.952816
0.0,19,116.231712
0.002804,20,116.507446
0.014559,125,117.148287
0.0,19,117.429027
0.0,18,117.703347
0.0,21,117.986673
0.20194,173,118.795539
0.0,20,119.070184
0.0,20,119.344358
0.0,22,119.630967
0.0,17,119.897646
0.0,23,120.180767
0.0,20,120.463296
0.0,18,120.73088
0.0,21,121.017054
0.012853,18,121.293994
0.0,20,121.57262
0.0,19,121.851756
0.0,20,122.138492
0.0,19,122.430655
0.0,21,122.711904
0.0,22,122.99223
0.0,20,123.26529
0.0,19,123.53576
0.008468,137,124.214552
0.006022,136,124.951255
0.0,19,125.264188
0.0,23,125.55725
0.0,23,125.848725
0.0,20,126.127931
0.014451,20,126.407064
0.0,27,126.708945
0.004575,21,126.990852
0.0,20,127.278339
0.195587,170,128.921263
0.0,20,129.204437
0.0,21,129.492319
0.0,21,129.773633
0.103835,199,130.658486
0.0,21,130.938295
0.049553,264,132.067707
0.0,22,132.396185
0.075176,79,132.888541
0.0,19,133.163754
0.0,19,133.442743
0.0,20,133.731761
0.0,18,134.011245
0.196087,164,134.805727
0.005383,21,135.108815
0.277164,198,136.018856
0.0,17,136.287115
0.0,20,136.568255
0.0,21,136.858678
0.027928,20,137.130463
0.0,19,137.405349
0.0,84,137.906702
0.0,21,138.204831
0.0,24,138.565267
0.0,20,138.875783
0.00522,22,139.204071
0.0,19,139.512986
0.0,24,139.833165
0.0,23,140.145523
0.0,20,140.442655
0.00947,87,141.005313
0.025279,139,141.709281
0.0,22,141.997678
0.0,25,142.294801
0.0,19,142.567101
0.0,22,142.851145
0.0,20,143.130723
0.0,21,143.414705
0.0,26,143.71587
0.021976,186,144.597207
0.001762,23,144.912989
0.016155,24,145.227306
0.0,23,145.541893
0.0,22,145.835826
0.0,20,146.11559
0.041547,117,146.725458
0.0,20,147.006409
0.000591,21,147.289197
0.005093,19,147.566183
0.0,22,147.859937
0.0,20,148.139932
0.009243,24,148.435146
0.0,19,148.720579
0.0,18,148.994996
0.434568,380,150.507244
0.0,20,150.787154
0.0,25,151.088558
0.0,21,151.406797
0.0,25,151.737657
0.022357,252,152.834401
0.0,23,153.125879
0.0,26,153.424768
0.0,21,153.709289
0.0,22,153.991041
0.0,59,154.403691
0.0,20,154.68946
0.0,21,154.96616
0.0,19,155.244513
0.141811,125,155.880278
0.0,24,156.186335
0.0,20,156.478065
0.0,20,156.766056
0.01551,24,157.057766
0.0,18,157.327343
0.053218,130,157.975836
0.0,22,158.268152
0.0,18,158.5384
0.005624,19,158.82356
0.154018,496,161.599873
0.148307,280,162.765665
0.0,21,163.043049
0.027997,96,163.580214
0.004392,327,164.922288
0.0,17,165.211174
0.006208,27,165.516856
0.0,20,165.792607
0.0,20,166.074655
0.012653,330,167.4034
0.0,20,167.691071
0.0,19,167.970551
0.0,19,168.24661
0.0,22,168.535324
0.0,21,168.825416
0.0,20,169.101891
0.124636,356,170.529457
0.161942,177,171.340311
0.0,21,171.641936
0.0,22,171.968999
0.001543,20,172.280564
0.184375,380,173.806949
0.0,20,174.084004
0.0,20,174.364456
0.0,22,174.659835
0.251186,94,175.19284
0.006583,24,175.480434
0.0,19,175.762933
0.0,22,176.059535
0.084611,218,177.082527
0.011682,28,177.420018
0.01214,20,177.732406
0.0,24,178.053061
0.0,21,178.362057
0.0,20,178.658452
0.070964,90,179.185319
0.0,18,179.465082
0.083639,24,179.763129
0.116274,121,180.395668
0.013102,26,180.696919
0.031082,66,181.134872
0.015072,21,181.420197
0.0,21,181.705171
0.000513,22,182.001409
0.0,22,182.311865
0.0,21,182.606369
0.0,22,182.908618
0.0,23,183.227305
0.0,19,183.570444
0.0,20,183.874297
0.0,431,185.600328
0.0,19,185.879698
0.181894,149,187.496056
0.02221,62,187.922335
0.035042,23,188.209883
0.16963,79,188.691861
0.0,20,188.974564
0.0,19,189.247739
0.0,20,189.532527
0.0,26,189.832245
0.029248,378,191.37186
0.0,20,191.666627
0.0,19,191.955742
0.0,20,192.26295
0.0,20,192.562114
0.0,21,192.856094
0.0,21,193.139781
0.074541,77,193.611288
0.0,19,193.895767
0.152889,197,194.796036
0.060916,126,195.462145
0.0,19,195.745915
0.034873,137,196.453003
0.184958,109,197.040813
0.138588,218,198.011406
0.0,20,198.289509
0.0,20,198.574437
0.079185,224,199.654936
0.0,20,199.939732
0.0,164,200.701092
0.0,179,201.528202
0.0,20,201.809174
0.0,22,202.108269
0.0,21,202.393414
0.011969,26,202.708187
0.0,22,202.990384
0.0,21,203.275349
0.0,20,203.555162
0.132844,633,205.951807
0.166161,81,206.436111
0.0,20,206.71465
0.26907,172,207.507668
0.0,20,207.783041
0.0,19,208.056222
0.014018,100,208.61483
0.0,19,208.899293
0.0,20,209.186628
0.0,20,209.475071
0.004039,24,209.777533
0.016296,163,210.553837
0.0,20,210.837533
0.0,20,211.124816
0.0,25,211.430308
0.0,20,211.721263
0.0,18,212.014453
0.0,19,212.296815
0.0,19,212.589293
0.000415,19,212.866713
0.024715,21,213.151623
0.0,175,214.840378
0.100601,274,215.976357
0.616479,356,217.568019
0.052518,101,218.148856
0.270289,156,218.897238
0.038378,20,219.280538
0.0,20,219.592867
0.001364,54,220.008784
0.0,24,220.401424
0.0,19,220.84822
0.0,22,221.188449
0.167561,284,222.596372
0.244603,89,223.127734
0.0,20,223.413748
0.0,20,223.715536
0.020986,605,226.017118
0.219322,74,226.584757
0.0,21,226.898955
0.0,20,227.22296
0.016803,66,227.691839
0.0,19,227.996411
0.0,19,228.309017
0.0,20,228.619719
0.000268,19,228.923835
0.050354,74,229.396761
0.0,22,229.691336
0.0,56,230.095782
0.0,18,230.367167
0.0,22,230.656559
0.0,20,230.934516
0.0,22,231.227489
0.033391,53,231.629049
0.0,21,231.917346
0.142761,74,232.383445
0.095476,25,232.679321
0.0,20,232.958014
0.0,23,233.25941
0.147461,183,234.089925
0.0,23,234.383042
0.0,22,234.675877
0.0,23,234.969397
0.000719,24,235.272023
0.016258,26,235.574286
0.003431,22,235.864557
0.012655,21,236.149685
0.124136,75,236.641929
0.0,21,236.924391
0.006611,84,237.425394
0.0,21,237.709594
0.0,20,237.989701
0.0,23,238.279158
0.193056,130,238.934493
0.0,24,239.227275
0.041935,136,239.907809
0.0,19,240.181689
0.0,24,240.473317
0.0,21,240.763063
0.0,18,241.034446
0.003791,116,241.644189
0.0,21,241.931451
0.0,19,242.207072
0.001685,21,242.490046
0.0,21,242.772072
0.042446,20,243.054507
0.0,20,243.33252
0.607083,338,245.730939
0.0,20,246.013953
0.155822,413,247.653092
0.0,23,247.944766
0.082654,182,248.782619
0.0,21,249.064517
0.268532,79,249.54614
0.031168,21,249.82901
0.0,20,250.171623
0.029874,19,250.573632
0.04512,27,250.947402
0.0,19,251.254683
0.149118,167,252.078799
0.0,19,252.373732
0.0,26,252.685557
0.0,23,252.992302
0.0,365,254.486311
0.0,20,254.772327
0.087193,197,255.692205
0.0,20,256.005239
0.172791,88,256.526257
0.0,18,256.806094
0.15699,93,257.348869
0.0,22,257.651863
0.054849,63,258.097305
0.222274,578,260.495812
0.094197,159,261.29419
0.0,21,261.585963
0.007144,30,261.906563
0.0,24,262.210226
0.0,22,262.499242
0.0,23,262.790749
0.002415,21,263.071327
0.0,25,263.36973
0.081403,198,264.297233
0.006222,261,265.442182
0.234658,239,266.585799
0.179718,224,268.480715
0.0,20,268.801315
0.117026,206,269.723471
0.022296,28,270.036951
0.0,26,270.352137
0.0,22,270.637718
0.0,21,270.922277
0.0,23,271.224092
0.0,20,271.504489
0.042246,24,271.798007
0.0,20,272.084973
0.0,22,272.40378
0.0,21,272.714558
0.01485,21,273.029996
0.313,250,274.213728
0.009447,180,275.088092
0.0,19,275.370155
0.001148,23,275.665729
0.031875,110,276.299261
0.108497,223,277.419915
0.0,19,277.748993
0.009029,25,278.04374
0.07631,196,279.020778
0.010684,22,279.346411
0.0,22,279.687213
0.0,22,279.999528
0.0,20,280.287689
0.124445,132,281.144595
0.009226,21,281.456227
0.0,18,281.792574
0.0,21,282.132221
0.0,18,282.452459
0.0,21,282.778987
0.0,22,283.125117
0.0,19,283.423373
0.023052,21,283.726039
0.0,20,284.029333
0.255236,279,285.2597
0.018954,25,285.556017
0.0,21,285.837062
0.02336,23,286.139213
0.275599,108,286.722259
0.0,18,286.993317
0.287238,275,288.139399
0.329429,548,290.244015
0.146356,312,291.719121
0.098039,162,292.566291
0.0,19,292.948147
0.0,22,293.322332
0.056662,95,293.933201
0.558097,143,294.719795
0.0,20,295.021134
0.0,22,295.326748
0.093434,207,297.191756
0.0,20,297.511473
0.0,23,297.806221
0.23489,186,298.666109
0.011053,20,298.949834
0.290708,159,299.769052
0.081276,149,300.540675
0.089325,160,301.333816
0.0,26,301.643122
0.22026,143,302.365399
0.051603,202,303.435366
0.082087,88,304.019627
0.00763,125,304.710834
0.007741,20,304.998766
0.1696,156,305.764916
0.0,20,306.04683
0.0,21,306.334963
0.416172,167,307.132342
0.0,22,307.417795
0.037502,73,307.889936
3.9e-05,21,308.182244
0.0,21,308.47018
0.0,20,308.75244
0.068967,96,309.332882
0.0,18,309.622351
0.225786,204,310.553953
0.0,26,310.854547
0.071543,23,311.152925
0.066208,89,311.697953
0.0,22,311.98436
0.068646,411,313.913324
0.339675,273,315.36427
0.013036,145,316.132418
0.078059,573,318.461985
0.0,21,318.769686
0.0,21,319.087191
0.201684,202,321.21026
0.260745,251,322.384713
0.006917,22,322.687887
0.180577,77,323.187873
0.0,21,323.478023
0.017517,25,323.807426
0.155101,381,325.390235
0.0,170,326.239658
0.002899,20,326.59632
0.266694,265,328.047995
0.063835,308,329.373895
0.055364,85,329.884531
0.013352,21,330.178737
0.152015,593,332.441742
0.00892,25,332.746519
0.135514,77,333.226856
0.0,19,333.507265
0.01866,24,333.831059
0.221874,274,335.072958
0.072526,25,335.441396
0.0,335,336.949553
0.009172,114,337.590924
0.068172,145,338.306363
0.015411,22,338.60836
0.000163,23,338.924907
0.221935,444,340.802649
0.0229,27,341.134216
0.026273,22,341.430763
0.114711,305,343.60094
0.231721,116,344.220499
0.101465,133,344.924118
0.131566,247,346.084871
0.000942,226,347.163516
0.0,22,347.484802
0.123842,274,348.752847
0.151571,153,349.547754
0.063027,104,350.173077
0.416158,154,351.038662
0.0,154,351.974115
0.028178,113,352.64438
0.143693,203,353.570926
0.114032,109,354.195049
0.0,25,354.522668
0.038669,54,355.017409
0.0,18,355.333635
0.217891,120,355.979377
0.063597,196,356.947074
0.255157,109,357.676282
0.0,22,357.9989
0.099981,207,358.992105
0.177793,511,360.991539
0.0,25,361.290964
0.041749,180,362.135198
0.102125,284,363.338936
0.010671,75,363.814877
0.0,18,364.092607
0.097897,24,364.388983
0.001862,22,364.671296
0.0,19,364.950605
0.163653,784,368.791297
0.0,19,369.094632
0.279379,405,370.921874
0.051127,89,371.484782
0.028442,22,371.781385
0.219869,128,372.578396
0.042348,22,372.873811
0.14007,197,373.787168
0.180451,255,374.90559
0.0,23,375.256286
0.026548,24,375.575548
0.0,19,375.853108
0.384035,408,377.617324
0.313177,186,378.522126
0.060241,116,379.156409
0.0,19,379.44363
0.0,20,379.731484
0.239307,192,380.616717
0.542695,243,381.678567
0.0,20,382.001573
0.0,18,382.284997
0.288374,350,383.731592
0.0,22,384.045002
0.114172,80,384.538815
0.006688,22,384.852087
0.208467,290,386.065871
0.184382,260,387.180406
0.441439,330,389.411888
0.047419,23,389.729131
0.07441,134,390.441779
0.278629,119,391.092491
0.087677,139,391.805025
0.166179,215,392.814374
0.141702,125,393.480178
0.062543,76,394.114514
0.0,23,394.520822
0.124123,84,395.062004
0.000375,43,395.426786
0.017162,27,395.760546
0.0,21,396.057219
0.182513,76,396.542632
0.0,20,396.822267
0.038861,300,398.078507
0.239123,417,399.741416
0.0,27,400.097534
0.0,18,400.402619
0.0,22,400.693108
0.005238,25,400.996559
0.0,22,401.328618
0.0,24,401.63721
0.02791,68,402.266039
0.030966,109,402.928122
0.420734,122,403.590673
0.412641,530,405.845173
0.0,18,406.13654
0.0,22,406.425933
0.344627,332,407.808891
0.337637,422,409.475319
0.003942,20,409.768367
0.820299,230,411.66971
0.031553,27,411.996354
0.062577,115,412.684827
0.0,21,412.986959
0.235152,105,413.718444
0.014104,251,414.946917
0.147458,443,416.694041
0.340939,146,417.403318
0.087873,199,418.29586
0.558434,516,420.271738
0.205485,178,421.095307
0.554582,713,423.799266
0.0,18,424.073886
0.447179,423,425.787935
0.108979,244,427.101602
0.001766,21,427.466877
0.130365,257,428.653258
0.3487,161,429.497273
0.01131,21,429.867282
0.0,21,430.184812
0.050138,32,430.554498
0.418049,555,433.711489
0.23393,268,434.878288
0.016168,126,435.554468
0.0,19,435.848922
0.252455,308,437.35312
0.083848,636,439.986217
0.10155,31,440.343017
0.0,21,440.649099
0.021894,102,441.247555
0.210004,267,442.423639
0.0,19,442.713207
0.009551,20,442.994809
0.059261,255,444.162505
0.118389,227,445.384823
0.654538,435,447.166796
0.311719,254,448.258745
0.0,19,448.551983
0.253932,116,449.25668
0.176084,342,450.831276
0.078792,311,452.977996
0.169986,101,453.539663
0.0,20,453.818847
0.0,20,454.122511
0.0,23,454.410972
0.495502,129,455.091276
0.157072,478,457.115359
0.139079,194,457.998664
0.114665,110,458.586903
0.520698,425,460.292772
0.745237,244,461.338465
0.063627,22,461.643379
0.206793,171,462.439434
0.226442,77,462.925301
0.389544,211,463.956804
0.345979,369,465.621321
0.311504,191,466.580645
0.235113,290,467.981471
0.490712,81,468.490348
0.174248,453,470.332787
0.913307,547,473.356307
0.739912,761,476.430099
0.267894,116,477.086743
0.23649,514,479.075899
0.152666,83,479.602857
0.04168,64,480.076771
0.471686,391,481.657552
0.041301,211,482.607805
0.284994,153,483.351846
0.798966,299,484.594717
0.377194,123,485.328845
0.145598,136,486.012849
0.031486,261,487.131126
0.00035,22,487.420779
0.439666,170,488.231049
0.441048,299,489.472206
0.03852,110,490.076449
0.315272,309,492.216713
0.064375,124,492.855164
0.159658,667,495.376166
0.222239,237,496.402311
0.197022,82,496.906396
0.273649,202,497.808667
0.021379,20,498.093837
0.268738,362,499.877535
0.117395,218,501.13141
0.016211,20,501.552602
0.0,19,501.847541
0.0,18,502.172804
0.594311,341,503.836303
0.0,23,504.19788
0.087018,216,505.30513
0.003515,23,505.651776
0.007157,25,505.999319
0.940395,411,508.0344
0.023607,47,508.617616
0.198907,139,509.705261
0.005415,22,510.113904
0.175389,268,511.596031
0.065719,110,512.314988
0.008368,23,512.666051
1.105629,483,517.095316
0.714377,529,519.659493
0.109192,247,521.430557
0.549118,318,523.189334
0.02979,91,523.866517
0.086227,232,525.304516
0.758375,478,527.643365
0.01916,20,527.952547
0.627956,380,529.869741
0.937413,259,531.047176
0.087374,275,532.374199
0.010891,267,533.654102
0.191769,150,534.429783
0.0,22,534.740859
0.858367,446,536.758417
0.302693,250,538.238808
1.765569,685,542.495957
0.333247,142,543.346625
0.202835,151,544.221988
0.785318,466,546.496531
0.828632,343,548.231244
0.114242,171,549.190431
0.574554,149,550.068475
0.0,24,550.428975
0.307364,245,551.737297
0.53367,277,553.191761
0.052018,23,553.546116
0.407461,592,556.316083
0.380472,242,557.634336
1.215453,398,559.633994
0.162689,153,560.566701
0.273118,127,562.325273
