#{"t_start": 1702768662.751023, "env_id": "None"}
r,l,t
0.806712,312,1.297151
1.573041,237,2.165294
0.698339,235,3.040733
1.299454,322,4.243415
2.003902,281,5.261902
4.769762,426,6.704994
22.386393,1001,9.786576
2.460115,503,11.451283
29.280647,1001,15.281726
1.746889,264,16.239825
32.751578,1001,19.346737
2.119102,540,21.097519
30.100801,1001,24.166895
1.367728,356,25.398359
26.31777,1001,29.246446
0.774693,295,30.29343
4.352829,535,32.074467
5.37911,720,34.363812
1.628734,294,35.415086
0.233749,112,35.931373
1.763479,595,37.927634
1.893083,331,39.100813
0.893023,303,40.155438
2.446837,559,41.93871
1.242387,634,44.741011
0.648789,421,46.128235
7.553357,700,48.311787
7.06183,1001,51.355113
0.739512,104,51.854851
34.473261,1001,54.909522
0.955054,568,57.528909
0.370637,204,58.316977
1.954738,585,60.178742
0.961315,140,60.779495
18.616886,1001,63.833848
0.875763,314,64.937402
0.561368,409,66.310108
10.007992,1001,69.345402
1.960935,406,71.498815
29.204273,1001,74.562633
3.28498,708,76.791239
1.738324,494,78.398541
0.735824,1001,81.434661
1.359027,347,82.621737
1.887856,956,86.362667
27.830041,1001,89.438033
30.064451,1001,92.498402
32.93453,1001,95.566919
1.247848,357,96.786022
2.984065,332,98.794221
2.107261,1001,101.868356
0.812644,291,102.961926
0.807373,516,104.655223
1.857002,249,105.574284
2.791822,740,107.888821
0.44546,191,108.645937
0.561613,179,109.36476
0.602601,827,112.704424
36.058242,1001,115.780123
30.165871,1001,118.840141
20.63193,1001,121.917619
0.606254,568,123.731315
0.821379,510,126.11026
2.01968,1001,129.179495
1.251031,822,131.732359
0.220598,112,132.249981
33.041382,1001,135.329858
1.41465,310,136.422233
0.890255,229,137.277387
30.031514,1001,141.08514
0.520674,223,141.929372
0.500302,268,142.904614
1.434043,411,144.279356
0.588354,248,145.192777
0.682877,148,145.814029
0.098154,113,146.347495
0.820679,288,147.376956
21.902498,1001,150.447147
30.859161,1001,154.354083
29.310179,1001,157.428156
4.653414,411,158.805567
33.862408,1001,161.878037
34.79045,1001,164.948312
0.17833,531,166.665441
3.206032,393,168.812173
0.597098,402,170.166894
17.69378,877,172.886251
33.800386,1001,175.954699
35.797065,1001,179.01447
0.615834,679,181.992609
2.614563,545,183.744074
0.634648,260,184.688167
2.413978,492,186.295728
1.162341,462,187.81091
1.559489,928,190.652204
0.684015,203,191.430619
1.417903,244,192.324792
2.334838,1001,196.196051
32.482859,1001,199.269896
27.032359,1001,202.332505
3.620434,425,203.752248
0.292146,225,204.605466
0.951028,314,205.712269
0.003109,290,206.756193
2.550446,274,207.74364
32.436946,1001,211.623758
28.060414,1001,214.685908
32.757672,1001,217.74091
2.804534,391,219.052703
1.380833,155,219.700447
34.653885,1001,223.565506
1.705363,472,225.111832
1.129023,242,226.001882
36.471409,1001,229.069181
0.756674,493,230.6837
1.070783,196,231.439783
26.382414,1001,234.504462
2.427093,285,235.520929
1.074823,249,236.43194
26.934233,1001,240.345584
1.811597,326,241.468906
1.106831,312,242.555539
3.554205,1001,245.615008
1.088024,517,247.286422
32.66205,1001,251.105908
1.546523,494,252.71615
0.526907,154,253.363819
2.91148,1001,256.413776
0.503697,635,258.430571
1.287995,291,259.462027
0.519446,294,260.500973
2.339834,367,261.748876
1.774089,407,263.112909
2.205171,455,265.444308
2.393233,814,267.97318
1.063747,207,268.762522
0.574041,740,271.064229
0.911109,219,271.896821
2.433373,568,273.785655
0.902604,607,275.714309
0.686253,379,276.997921
31.263572,1001,280.913582
34.660429,1001,283.989538
1.952512,592,285.892432
1.490257,341,287.077378
1.954149,741,289.395841
22.596487,1001,293.214742
1.343002,1001,296.268919
2.139645,440,297.726931
1.342443,512,299.387378
0.502823,270,300.357395
0.806103,164,301.030066
0.679781,234,301.896164
33.300133,1001,304.974584
1.293699,344,306.161816
29.894958,1001,310.033741
3.207332,315,311.131583
31.668105,1001,314.193117
1.32092,200,314.964414
1.262878,574,316.810624
35.690274,1001,319.875688
17.81583,1001,323.789509
0.7097,189,324.526395
28.262048,1001,327.590561
2.923491,278,328.583031
30.831007,1001,331.650705
34.810533,1001,335.547619
1.10864,243,336.441423
4.339578,1001,339.485616
3.888713,626,341.474523
30.760054,1001,344.537527
33.368931,1001,348.359549
33.17692,1001,351.432278
1.980436,329,352.564304
0.665057,250,353.472777
35.092164,1001,356.530038
0.705351,170,357.220192
30.190685,1001,360.289893
0.625287,288,362.155375
32.514144,1001,365.221727
1.195307,210,366.022708
1.393351,151,366.649675
33.053877,1001,369.72399
1.577668,365,370.956652
2.887986,258,371.894295
30.435465,1001,374.960428
2.523649,670,377.919179
33.908843,1001,380.997161
35.702866,1001,384.07412
37.04526,1001,387.293713
0.755693,163,387.998305
32.222202,1001,391.84587
5.270473,720,394.472276
36.126828,1001,397.680854
37.042364,1001,400.768152
3.967081,612,402.728385
36.683699,1001,406.956677
35.322494,1001,410.38593
34.85949,1001,413.699107
1.451919,192,414.49193
1.472368,1001,417.684161
37.137846,1001,421.682147
35.255354,1001,424.882227
1.76886,360,426.138474
1.384611,498,427.777637
0.711125,231,428.707712
3.057212,345,430.027602
