#{"t_start": 1702764023.240313, "env_id": "None"}
r,l,t
1.060113,278,1.206037
3.621273,961,4.283393
3.037777,208,5.097428
6.164522,382,6.413259
0.294098,553,8.217784
2.155638,255,9.170235
2.965169,725,11.494612
2.884789,651,13.594276
2.48975,375,15.642175
8.378131,641,17.666169
1.880264,914,20.451904
5.158433,893,23.183539
8.431701,1001,26.200627
1.571216,441,28.37814
2.224035,414,29.748799
1.189749,383,31.041202
2.91577,398,32.378135
3.103551,311,33.465884
0.697826,492,35.096382
6.136412,1001,38.170864
0.381767,1001,41.206304
4.078142,605,43.861462
5.174144,671,45.963373
10.774123,1001,48.999993
1.802484,201,49.766021
0.329173,324,50.883422
6.972959,1001,53.9232
3.309284,469,56.234059
2.092326,632,58.239266
1.703925,1001,61.2913
4.100699,1001,64.330742
5.416848,809,66.84151
4.716813,399,68.162833
5.701686,1001,72.039839
1.95227,574,73.843474
3.59548,684,76.011199
2.235607,485,77.581181
5.275323,681,79.712388
0.306729,376,80.99696
0.288673,440,83.175523
7.116594,1001,86.211608
0.315382,551,87.959425
2.550108,568,89.768121
7.408596,1001,92.798043
14.627024,949,96.436926
8.206873,1001,99.479422
12.241824,1001,102.578104
3.610521,1001,105.688511
9.254007,612,107.63807
3.003827,1001,111.662926
20.987553,1001,114.979864
3.90717,980,118.207273
1.984438,1001,121.529863
3.640383,409,123.050064
11.460966,1001,127.436486
5.13528,583,129.452931
3.912614,304,130.64343
5.512359,1001,134.054316
2.029678,414,135.608084
11.376925,1001,139.96671
9.465071,619,142.292293
2.581525,817,145.236582
0.657238,223,146.177322
4.008863,870,149.182558
0.730265,360,150.526891
2.178773,174,151.291022
4.092443,261,152.361102
2.430787,499,154.180886
8.289347,1001,158.188328
1.513886,331,159.346953
5.312723,791,161.827643
3.544975,225,162.675739
5.128231,808,165.19384
7.753067,1001,168.269191
3.934802,894,171.801714
6.937644,1001,174.87525
1.419835,526,176.583685
5.985706,699,178.792434
0.163252,660,180.901611
4.098461,517,183.432725
2.664804,235,184.309529
8.874982,567,186.136719
7.245714,911,188.95881
1.771454,1001,192.019952
4.700903,570,193.853293
5.357405,446,195.339729
0.54665,150,195.97149
9.616097,738,199.050742
1.372677,925,201.911803
0.454015,303,202.968919
7.862921,543,204.743105
1.370455,443,206.216169
3.532729,347,207.425976
4.050194,771,209.846674
21.622188,1001,213.802756
12.931,1001,216.880931
4.745783,1001,219.936685
5.629179,489,221.543823
9.039726,1001,225.464473
3.976419,1001,228.533304
3.531725,584,230.416423
6.757214,1001,233.514822
21.50073,1001,236.587432
14.835235,813,239.903855
1.211012,281,240.90827
2.040348,449,242.395468
8.597687,1001,245.470242
5.970612,1001,248.535377
8.190561,1001,252.345619
4.405464,831,254.935913
9.982379,1001,258.017461
2.033844,436,259.471628
1.797688,458,260.985422
2.322305,597,262.899783
4.115949,1001,266.728399
6.236379,585,268.608626
5.12503,842,271.217477
1.594338,241,272.109943
1.286327,571,273.948155
1.985884,290,274.983516
4.378465,1001,278.051767
9.133061,1001,281.855358
6.902482,1001,284.93599
1.905384,327,286.077839
13.200488,1001,289.141995
0.2193,1001,293.122586
4.231269,286,294.146056
7.133291,977,297.137815
7.453219,1001,300.206055
2.154972,507,301.846851
7.307413,538,303.584117
1.501988,594,305.485337
9.53525,1001,309.339627
8.819919,870,312.02774
0.924843,533,313.759219
5.667299,707,315.99033
13.361346,1001,319.066043
9.024958,1001,322.960149
13.01187,1001,326.051665
1.844809,1001,329.118864
0.465286,238,330.004388
14.049571,1001,333.773408
3.647444,1001,336.841518
4.884721,878,339.543752
10.944285,1001,342.610294
9.158833,616,344.577192
1.251459,361,345.816959
2.473446,278,347.660705
8.894412,450,349.14806
5.980028,968,352.107167
8.710611,548,353.882995
8.188884,604,355.812156
4.073658,539,357.548093
17.925046,1001,361.351395
3.756044,950,364.278383
7.97412,1001,367.350011
12.74903,1001,370.425749
3.430125,1001,373.501733
0.009818,455,375.765783
7.675998,1001,378.843976
13.97418,1001,381.917217
9.543881,1001,384.99202
6.166447,1001,388.903958
0.058306,220,389.734054
6.667325,379,391.028136
0.221268,274,392.014976
13.979654,1001,395.094728
4.17073,382,396.39587
5.676074,457,397.907475
0.452903,880,400.622368
3.759181,222,401.459612
4.913943,442,403.684443
10.261764,1001,406.785075
5.36249,1001,409.883668
1.244818,462,411.40421
7.121609,649,413.463223
5.264006,460,414.982719
5.991377,1001,418.8532
8.480563,1001,421.921256
1.145227,430,423.346873
6.118062,1001,426.39755
3.639004,443,427.864849
4.253654,1001,431.75303
8.35517,1001,434.81885
22.278688,939,437.693553
3.764898,754,440.049941
6.650192,365,441.291796
5.905231,635,444.152095
13.681844,836,446.7385
5.834005,975,449.729877
8.420129,1001,452.780709
0.783221,401,454.122313
10.1326,1001,458.024546
7.035412,1001,461.109761
5.132119,1001,464.194827
6.921495,838,466.797648
0.56284,505,468.450961
4.473902,376,470.573993
0.545728,600,472.497409
4.544407,1001,475.566356
18.521341,1001,478.633739
12.325329,844,481.258995
23.765158,1001,485.155313
24.608708,1001,488.219794
1.318088,674,490.354551
2.053801,210,491.151777
5.537306,732,493.448992
10.301121,821,495.989274
0.011619,682,498.976936
9.462182,1001,502.037207
7.646692,1001,505.086304
3.18345,1001,508.179264
7.239819,1001,512.065096
1.317597,521,513.748709
14.464635,1001,516.818844
7.298714,571,518.646141
2.785613,1001,521.707618
11.545699,619,523.676437
5.466092,1001,527.57813
7.082413,794,530.051779
2.35433,318,531.164775
4.828653,449,532.642659
14.655792,1001,535.713075
5.517014,999,539.592723
4.749376,716,541.842848
0.428392,238,542.716321
1.878172,601,544.624173
6.44457,509,546.273616
4.348729,1001,549.338918
10.113461,500,550.966894
1.674165,391,553.112464
7.951631,844,555.729086
9.499643,828,558.284724
16.256333,1001,561.342766
7.851464,533,563.068875
1.680131,561,564.873945
4.223487,1001,568.755815
6.778158,678,570.895291
2.271731,437,572.341811
7.885891,515,574.018892
6.923629,1001,577.092582
3.028447,1001,580.915241
3.536251,306,581.9945
10.685633,1001,585.055658
6.365465,930,587.921841
15.913767,940,590.819028
4.226524,523,593.368459
11.237056,833,595.958759
8.375657,1001,599.021418
5.397776,738,601.344707
6.162121,356,602.564595
6.785407,716,604.803418
7.370039,540,607.331568
5.516405,797,609.815197
4.785644,924,612.648276
17.10235,1001,615.722785
16.628911,1001,618.794637
12.4721,896,622.312256
15.461442,1001,625.39884
5.125351,446,626.87142
6.024058,340,628.05649
7.348388,1001,631.103184
10.820035,561,632.910554
3.355024,842,636.284023
4.087811,1001,639.348352
20.674481,1001,642.412223
18.049522,1001,645.471179
10.005965,1001,649.284761
15.390578,1001,652.36522
8.008112,1001,655.412243
11.215306,897,658.175142
14.248013,674,661.163965
4.586742,463,662.692145
25.91933,1001,665.749093
10.202299,1001,668.820289
13.833389,1001,671.875904
1.815238,313,672.971422
1.555718,221,674.667305
9.977721,1001,677.871146
9.268682,1001,681.025834
0.144017,697,683.2859
3.018625,983,686.320767
9.99369,448,688.805867
17.101157,1001,691.964528
2.023063,598,693.8775
5.060326,708,696.154795
5.096703,395,697.504286
26.278353,1001,700.899092
0.70364,244,701.841849
8.481721,1001,705.796312
6.71717,635,707.994657
9.4239,900,711.014915
8.734556,1001,714.404881
6.699355,1001,718.843302
7.201861,1001,722.230538
5.848924,598,724.315815
4.256896,506,726.125453
6.03828,1001,729.545103
6.837634,1001,733.990223
11.576577,717,736.420417
10.616645,602,738.554502
1.669664,416,740.094579
8.249174,852,743.01357
27.387682,1001,746.178358
2.24001,671,749.028551
8.53531,331,750.178834
4.092657,1001,753.30741
11.907734,627,755.372174
4.636069,629,757.41807
5.964591,1001,761.260006
13.037669,1001,764.328759
12.684451,792,766.823774
2.411971,371,768.087379
6.458511,404,769.442037
17.093364,1001,772.524218
4.122362,387,773.826236
5.442217,416,775.959497
