#{"t_start": 1704671203.383619, "env_id": "None"}
r,l,t
0.0,19,0.44227
0.0,21,0.737561
0.0,18,1.010495
0.0,20,1.290774
0.0,19,1.658634
0.0,18,1.968388
0.0,18,2.258417
0.0,18,2.572591
0.241139,327,3.949764
0.0,21,4.234205
0.0,19,4.506103
0.0,24,4.798573
0.0,24,5.123645
0.0,18,5.415514
0.0,29,5.744393
0.0,20,6.021371
0.0,20,6.355175
0.0,272,7.613421
0.0,21,7.978763
0.0,24,8.381407
0.0,24,8.715229
0.0,181,9.577248
0.0,18,9.866187
0.666078,471,11.83741
0.00627,144,12.622035
0.014134,448,14.461599
0.0,18,15.02237
0.0,20,15.38818
0.0,22,15.741915
0.0,22,16.049478
0.016468,76,16.823337
0.0,219,18.191526
0.0,21,18.56684
0.063815,87,19.187548
0.0,29,19.551834
0.0,19,19.840368
0.939309,524,22.160856
0.0,19,22.470305
0.0,18,22.778339
0.0,17,23.089413
0.0,25,23.446495
0.0,21,23.809516
0.0,104,24.565584
0.0,22,24.884356
0.0,23,25.198918
0.0,26,25.512967
0.0,21,25.803104
0.233651,535,28.976825
0.0,21,29.291065
0.0,21,29.597267
0.117588,87,30.14365
0.0,20,30.432723
0.0,19,30.720382
0.0,18,31.01587
0.0,19,31.344585
0.0,18,31.652544
0.0,20,31.977923
0.0,21,32.304511
0.0,23,32.62015
0.006351,78,33.114718
0.0,120,33.78682
0.0,390,35.42337
0.0,25,35.738851
0.0,20,36.03351
0.0,21,36.325155
0.0,18,36.610839
1.017409,97,37.166801
0.0,25,37.482328
0.334549,155,38.243541
0.0,19,38.555021
0.0,21,38.85603
0.0,19,39.165262
0.0,21,39.465282
0.005087,191,40.390285
0.0,22,40.689104
0.0,20,40.97948
0.0,20,41.272782
0.0,22,41.574564
0.564197,347,43.236052
0.0,21,43.582002
0.0,83,44.115624
0.0,19,44.420177
0.0,66,44.95816
0.0,17,45.271028
2.843141,148,46.045271
0.0,19,46.342744
0.0,19,46.635603
0.08629,92,47.255927
0.0,20,47.586722
0.0,18,47.897372
0.0,20,48.188446
0.0,21,48.489339
0.0,18,48.781081
0.0,136,49.49509
0.0,21,49.79146
0.0,23,50.095085
0.0,19,50.399459
0.003317,165,51.209774
0.0,31,51.567944
0.0,21,51.924405
0.0,22,52.272445
0.0,21,52.600528
0.0,20,52.935265
0.0,24,53.28553
0.0,22,53.611297
0.0,20,53.914641
0.0,21,54.204311
0.0,17,54.486852
0.0,17,54.763638
0.0,21,55.069796
0.0,82,55.588608
0.072767,132,56.284254
0.0,19,56.57345
0.0,296,57.863711
0.0,18,58.236361
0.0,20,58.560085
