#{"t_start": 1704702787.544579, "env_id": "None"}
r,l,t
12.316939,65,0.581442
1.458096,21,0.876809
0.096997,19,1.149371
0.03019,18,1.462532
0.717839,20,1.766854
0.077249,21,2.079829
2.143269,26,2.426741
17.980649,79,2.959201
0.127131,19,3.256152
0.344838,18,3.546624
25.268997,81,4.050327
0.047145,18,4.335009
0.328717,21,4.629443
1.539278,24,4.920542
0.491111,20,5.190102
44.181102,134,5.870996
109.288119,311,7.17442
0.859783,22,7.451766
0.038418,20,7.716494
6.231423,76,8.172726
0.150718,21,8.44772
0.189337,21,8.723917
0.289651,21,8.993942
0.071065,22,9.275392
0.150444,19,9.542372
56.878258,214,10.468403
0.0,18,10.731034
0.044979,21,11.001225
0.0,19,11.264504
35.355192,120,11.869417
68.622838,344,13.250832
0.0,24,13.556354
0.694402,142,14.307144
0.229209,19,14.661825
1.399034,24,15.007695
