#{"t_start": 1704668431.9891021, "env_id": "None"}
r,l,t
0.044768,27,0.457265
0.025414,24,0.750103
0.013739,19,1.024582
0.025284,21,1.35604
0.017092,19,1.646907
0.01644,22,1.940888
0.351046,410,3.781603
0.009902,19,4.125429
0.011287,19,4.441616
0.025797,19,4.758254
0.02241,21,5.082035
0.014496,20,5.398568
0.028984,22,5.699496
0.013285,19,5.979091
0.012957,20,6.273737
0.048471,62,6.703679
0.021342,20,6.991859
0.027231,23,7.53967
0.025774,22,7.971089
0.011748,19,8.379854
0.025545,21,8.6847
0.007267,18,8.957697
0.00852,19,9.308962
0.39467,190,10.508052
0.028055,21,10.790473
0.030992,22,11.103741
0.023123,23,11.428652
0.008328,19,11.754893
0.024564,21,12.048591
0.013329,19,12.392936
0.01504,19,12.705095
0.026356,22,13.041352
0.012418,19,13.3543
0.020103,22,13.684894
0.017698,21,14.003068
0.018773,20,14.288553
0.014056,20,14.562756
0.008091,17,14.826653
0.018322,21,15.109525
0.020564,20,15.40488
0.538154,251,16.513562
0.031571,24,16.803664
0.020859,22,17.087016
0.251762,168,17.851219
0.015,18,18.118334
0.02479,20,18.390218
0.020172,21,18.666137
0.009067,18,18.930637
0.024097,21,19.223152
0.02621,23,19.524287
0.01667,19,19.794804
0.593407,244,20.871583
0.012678,19,21.15077
0.013902,20,21.43112
0.147936,178,22.288789
0.019653,19,22.563681
0.768109,315,23.943123
0.014081,19,24.266574
0.014472,19,24.552019
0.347182,337,26.018584
0.016763,21,26.313799
0.030543,26,26.61479
0.023377,20,26.893782
0.242901,477,28.872779
0.016493,20,29.179672
0.019589,21,29.471592
0.02642,20,29.772854
0.027495,23,30.06907
0.091135,73,30.522105
0.321107,309,33.246523
0.024236,21,33.612548
0.023092,21,33.921123
0.018779,19,34.212603
0.035483,23,34.520373
0.020288,21,34.82801
0.022246,21,35.133069
0.01195,19,35.429678
0.016066,19,35.733602
0.011242,19,36.018855
0.012096,18,36.307314
0.024252,22,36.668318
0.021591,21,37.004475
0.026501,22,37.356677
0.012968,19,37.68709
0.026193,21,38.031515
0.016427,20,38.361771
0.020772,21,38.660349
0.017853,21,38.973358
0.027046,22,39.297513
0.027062,21,39.628495
0.03445,26,39.994352
0.032526,22,40.331537
0.020876,20,40.652175
0.012893,18,41.063699
0.01744,18,41.384202
0.032348,23,41.702207
0.020199,23,42.01865
0.023505,20,42.338162
0.015499,20,42.637259
0.286832,266,43.828952
0.007226,21,44.117738
0.026544,22,44.434411
0.012013,19,44.75625
0.0129,22,45.067593
0.01333,21,45.373674
0.018134,20,45.669658
0.021815,21,45.974285
0.022272,20,46.281189
0.276815,135,47.049386
0.012275,20,47.412126
0.021367,19,47.760015
0.01788,22,48.089141
0.865375,383,49.827951
0.019408,20,50.182156
0.021692,19,50.509788
0.015216,22,50.916477
0.325687,149,51.732039
0.020422,21,52.035885
0.015311,20,52.336242
0.018329,19,52.62548
0.090242,77,53.120968
0.280836,166,53.959104
0.019018,19,54.296447
0.064201,277,55.792328
0.114677,73,56.295988
0.022869,22,56.610149
0.016223,18,56.894476
0.023602,22,57.20523
0.023252,20,57.500996
0.016359,19,57.892635
0.770833,359,59.582781
0.020955,20,59.947743
0.016031,19,60.322667
0.014363,20,60.701834
0.009715,20,61.021043
0.021871,20,61.32515
0.005831,18,61.619591
0.024627,21,61.936928
0.013482,19,62.269572
0.029306,27,62.601109
0.011297,19,62.962207
0.252481,288,64.440534
0.009753,19,64.783641
0.032685,22,65.145144
0.132151,180,66.182051
0.017426,24,66.501778
0.012344,20,66.793808
0.018803,23,67.099141
0.515037,249,68.201428
0.009554,19,69.434157
0.022453,26,69.749484
0.011103,21,70.035713
0.014976,18,70.316361
0.015957,20,70.604172
0.671661,315,71.945236
0.006071,17,72.229367
0.027641,22,72.531192
0.011671,20,72.82883
0.013893,20,73.116476
0.66322,323,74.488363
0.014971,20,74.776867
0.020614,19,75.055105
0.024132,20,75.351884
0.021378,21,75.656935
0.118381,74,76.191294
0.009965,18,76.482993
0.025669,22,76.78613
0.023428,22,77.076701
0.20919,94,77.621873
0.027894,23,77.920628
0.022064,22,78.232109
0.022618,19,78.516629
0.009479,18,78.797761
0.01747,20,79.090297
0.014958,18,79.364322
0.01596,20,79.668975
0.027665,27,79.980393
0.014198,20,80.258852
0.129721,76,80.754152
0.019896,21,81.054109
0.014596,22,81.357156
0.352731,328,82.786714
0.033961,24,83.104988
0.419211,278,84.557295
0.223633,170,85.528151
0.02465,23,85.870545
0.018442,20,86.19311
0.524087,224,87.222331
0.022379,20,87.516719
0.058514,190,88.431691
0.010652,20,88.738375
0.024328,27,89.068443
0.121138,257,90.352955
0.019171,21,90.703229
0.018986,20,91.028277
