#{"t_start": 1704671219.6267369, "env_id": "None"}
r,l,t
1.616094,20,0.722826
1.874205,22,1.107559
1.985274,19,1.438495
2.50383,26,1.816246
10.214267,69,2.431079
2.307794,20,2.774739
1.604761,20,3.093694
2.090417,26,3.424124
2.026821,22,3.73638
1.594299,20,4.027603
1.743857,22,4.333649
1.526507,18,4.634181
1.191242,19,4.941216
1.895377,20,5.269438
22.085129,137,6.052025
1.772713,19,6.369715
1.114201,20,6.678747
1.677261,19,6.989016
2.283486,23,7.354941
1.623604,18,7.710259
12.167017,101,8.436153
1.929524,20,8.722603
1.472623,20,9.032344
1.886378,22,9.329153
14.005081,571,11.569931
1.351002,21,11.907374
1.995034,19,12.257508
1.781864,20,12.633373
20.408001,200,13.652555
2.244309,22,13.963916
2.739358,24,14.274565
1.367896,19,14.580592
19.218294,198,15.627279
1.623928,21,15.933052
2.154604,22,16.250605
2.30215,22,16.53853
1.943261,21,16.834571
1.788409,18,17.132858
1.716624,18,17.407031
1.903322,22,17.716125
2.401735,21,18.008957
1.320251,18,18.314734
1.745813,20,18.609084
1.902907,23,18.904739
1.776917,25,19.213854
2.033504,20,19.512714
2.458911,23,19.822005
9.137946,61,20.253412
1.494552,23,20.560063
2.093947,22,20.856005
2.924364,24,21.168045
1.923413,22,21.464854
1.415274,19,21.752525
46.720913,237,22.835415
1.497745,18,23.127308
1.681796,22,23.445926
1.809266,22,23.755458
2.049684,21,24.05423
2.293087,22,24.355722
2.197841,20,24.656119
1.594188,20,24.943864
2.202247,21,25.240889
1.178391,21,25.549935
1.676401,20,25.87266
2.289543,21,26.191195
2.205358,19,26.534865
1.743088,22,26.85728
1.885334,21,27.184234
0.981572,20,27.50694
0.941036,17,27.792882
1.379091,21,28.109697
1.680225,18,28.424228
16.1349,137,29.248089
1.837723,23,29.561648
2.246704,22,29.856957
2.92446,22,30.175959
27.504695,167,31.089412
12.419865,296,32.43436
1.257763,18,32.713757
1.815151,19,32.9988
2.002371,19,33.292884
1.481358,22,33.608724
2.342034,23,33.917251
1.800224,22,34.243994
2.262773,19,34.533289
25.253344,389,37.297328
1.19663,20,37.589198
1.566753,20,37.877548
2.101569,21,38.178607
2.085057,23,38.482527
1.01219,18,38.769905
67.800301,406,40.45756
2.359493,23,40.756654
3.213628,24,41.053737
2.147465,27,41.363509
1.711877,18,41.698317
42.44718,269,43.078228
1.77161,18,43.369351
