#{"t_start": 1704697239.526978, "env_id": "None"}
r,l,t
2.210401,21,0.483648
4.521953,26,0.809196
1.309193,19,1.101718
6.50415,24,1.401489
80.390875,166,2.188286
1.539638,19,2.468218
3.749526,25,2.760649
1.436613,20,3.034858
2.049954,22,3.313712
29.667041,121,3.932833
19.440699,219,4.887729
119.823309,274,6.057732
2.391419,19,6.336149
71.923522,234,7.438708
3.408784,24,7.730996
1.752572,19,7.997366
2.964828,20,8.272508
2.215224,21,8.552816
2.342301,24,8.836146
6.516442,23,9.211719
2.821618,21,9.511931
4.156138,21,9.813495
40.921977,156,10.687646
3.296676,20,10.979655
5.754005,25,11.286402
39.415435,77,11.784753
1.79817,21,12.067598
56.072619,237,13.158768
24.884962,83,13.728255
123.013718,217,14.875406
3.74861,20,15.210386
25.969268,93,15.78025
1.106404,20,16.070012
1.307686,18,16.347717
1.875059,20,16.638795
2.214315,19,16.9439
4.191451,21,17.263074
0.975315,18,17.59818
5.100367,22,17.92291
26.242788,71,18.414697
33.941435,83,18.932079
165.115984,345,20.347129
1.980336,20,20.618093
1.98746,20,20.886826
2.542789,19,21.152175
6.294028,22,21.433738
1.889285,22,21.708076
93.6746,274,22.81774
2.60785,21,23.090655
1.14795,17,23.349335
45.052505,100,23.89239
4.978523,21,24.18571
23.992431,170,24.983662
3.538537,23,25.265819
3.755301,21,25.729437
2.812704,18,26.105861
1.49555,19,26.431077
1.906402,20,26.813853
1.615866,18,27.136584
3.430737,20,27.478321
75.051443,157,28.305333
6.16105,28,28.642957
1.534193,18,28.939114
2.811306,22,29.236577
19.457046,70,30.761702
57.950027,233,31.981774
1.586613,17,32.323255
11.715432,75,32.844781
5.966315,21,33.13646
1.783229,24,33.456936
3.671131,20,33.775034
25.642237,92,34.361429
4.726472,26,34.68005
1.773203,19,34.954399
1.813337,18,35.232163
0.952711,20,35.513423
3.868071,20,35.7963
3.606656,20,36.07661
12.269472,65,36.520512
36.24173,91,37.081661
1.316975,19,37.401691
40.91308,356,39.076766
1.319186,22,39.367144
171.643714,657,42.159201
26.965334,73,42.629751
3.574393,26,42.940515
2.117237,19,43.232826
3.350344,21,43.525855
2.662664,20,43.807616
4.096705,22,44.103854
2.20434,21,44.387535
4.158245,24,44.688489
86.637278,194,45.680869
5.065099,21,45.986067
2.455612,21,46.283815
36.880641,352,47.726123
4.117891,25,48.036035
29.753872,148,48.893715
2.163115,23,49.24827
5.324689,21,49.56185
4.137705,20,49.840818
65.727273,161,50.633887
2.810618,21,50.915908
2.282958,20,51.19267
1.533514,19,51.47375
7.612291,26,51.803223
0.989975,19,52.100332
89.527593,168,52.923138
0.74347,18,53.199999
73.28876,209,54.147473
1.275683,17,54.420791
1.683997,21,54.716967
1.49037,19,55.032783
1.749933,19,55.342424
105.398832,192,56.298799
2.251179,20,56.600768
51.182285,100,57.18003
43.846587,113,57.835963
4.256929,21,58.16543
2.454008,21,58.476388
2.306709,21,59.688184
3.403064,20,59.967512
62.20537,409,61.628948
1.636631,19,61.998038
68.680248,146,62.829171
26.949433,96,63.457673
82.577957,222,64.482953
42.730978,100,65.056362
1.339859,18,65.3603
4.242242,20,65.709616
3.620241,22,66.042581
5.321396,21,66.356315
3.02112,19,66.658605
2.688524,23,66.955451
3.721307,19,67.231831
1.728843,20,67.516997
0.884583,23,67.813049
3.46639,20,68.094864
2.155948,19,68.370595
4.921953,20,68.658478
66.27303,134,69.368309
49.245725,296,70.651489
1.574502,20,70.97053
1.68898,27,71.313402
2.586214,21,71.629111
46.254877,108,72.275746
30.16854,78,72.770976
23.865346,74,73.252568
5.278044,22,73.557775
2.565994,20,73.853559
2.73892,23,74.159546
0.980704,17,74.443036
5.682036,23,74.734618
115.25298,166,75.526246
2.654472,19,75.811714
19.761807,114,76.420091
2.559036,21,76.734938
3.518056,20,77.033543
2.005871,22,77.322077
66.204823,147,78.142399
35.708778,180,79.176243
31.634209,64,79.630946
46.223198,84,80.139065
1.581759,22,80.427569
5.212317,22,80.74344
129.86321,212,81.717436
3.754414,22,82.013689
88.533515,389,83.60668
1.808851,18,83.882852
69.103972,217,84.8969
46.320707,78,85.448326
2.99728,21,85.757123
37.320556,67,86.244714
1.280957,19,86.547498
2.490721,21,86.836648
23.632969,61,88.215252
6.644579,53,88.619169
3.680117,21,88.906989
24.588809,49,89.298094
1.231723,21,89.600933
1.591405,20,89.89531
2.363835,22,90.188377
1.670743,20,90.474112
1.664732,19,90.763425
57.4961,148,91.57619
1.504647,19,91.878544
1.320134,18,92.154217
67.048635,205,93.176519
1.433475,21,93.499414
204.272236,524,95.610629
2.768276,21,95.907847
2.991632,21,96.199854
2.707767,23,96.494945
2.007696,20,96.777181
1.094193,22,97.070394
88.62392,250,98.185069
3.556378,21,98.485159
1.657716,19,98.786895
110.798436,263,100.02581
40.514489,61,100.489659
6.082623,22,100.79095
54.212576,158,101.565082
62.077567,118,102.19006
153.449195,286,103.401174
4.275643,22,103.697254
2.686248,20,103.984291
0.638415,21,104.265367
32.601545,136,104.951763
3.075765,22,105.24006
1.903156,21,105.532054
59.693754,106,106.131341
37.04321,157,106.913244
74.676928,120,107.547271
1.033678,19,107.830521
111.260215,209,108.770147
2.302023,23,109.063197
77.835048,137,109.747884
7.452113,30,110.067477
31.997082,226,111.07436
1.741237,25,111.370318
29.711644,145,112.084252
2.106156,21,112.370639
4.579873,25,112.675558
2.886375,21,112.959243
2.654831,20,113.251779
103.426683,300,115.544976
4.034978,21,115.85704
5.626377,27,116.178527
2.015328,20,116.470429
3.96874,23,116.80043
2.331371,19,117.10624
110.961282,220,118.102483
134.97388,229,119.131071
23.741811,92,119.663345
81.895901,216,120.632043
1.709425,19,120.907532
47.08238,103,121.528899
3.746725,24,121.826595
4.195375,23,122.13094
71.010346,122,122.779324
2.878736,22,123.068362
42.329108,167,123.887225
1.722049,20,124.178133
3.685695,21,124.47185
4.220697,23,124.792581
2.465735,22,125.085504
3.626781,20,125.367733
2.581171,20,125.654863
3.735653,21,125.99695
2.828419,21,126.317394
2.035774,20,126.638978
43.375166,108,127.271784
21.134108,71,127.760359
31.249947,108,128.344694
1.00106,20,128.627331
87.717879,147,129.365095
5.161524,24,129.666986
50.295819,100,130.231794
54.976305,843,133.407983
206.030582,434,135.270634
78.185457,135,135.970167
2.807803,22,136.267242
2.282482,20,136.552107
3.142029,23,136.848358
36.249856,72,137.31016
3.165009,19,137.593542
121.296467,258,139.664669
3.249864,21,139.945802
64.116161,131,140.639101
49.819547,76,141.178433
35.953697,84,141.804532
2.260873,20,142.122204
29.76913,74,142.647321
2.933137,18,142.997003
3.09998,22,143.324753
4.268712,25,143.637774
29.884756,124,144.292617
56.316293,207,145.251425
63.058863,127,145.915795
562.875167,989,149.612419
99.510242,320,150.970387
82.546456,131,151.698609
64.644249,111,152.358712
22.842834,163,153.224958
110.25819,486,155.141082
5.089197,25,155.445931
187.043554,514,157.597532
161.369385,442,160.522093
92.669703,450,162.32708
1.247077,18,162.634413
2.417162,22,162.931256
55.371253,281,164.284459
2.97505,23,164.621912
1.311875,21,164.939934
48.405131,113,165.609581
83.076016,186,166.480557
5.616933,26,166.785531
1.421928,18,167.064652
208.043981,569,169.272135
135.314065,250,170.356291
1.950803,22,170.650938
43.972936,93,171.19491
1.66744,22,171.507393
83.873632,297,172.845886
3.683427,19,173.136374
36.435477,103,173.72348
192.780029,324,175.082982
52.029563,126,175.741906
115.824812,264,176.890578
308.951946,514,178.916689
2.336238,19,179.203159
120.792435,701,183.156668
145.1508,295,184.480764
1.394538,20,184.769804
40.00821,70,185.240531
82.984742,277,186.545766
128.764271,218,187.579502
136.167308,213,188.56191
106.848687,159,189.330768
136.614341,561,191.572924
93.320801,722,194.314027
89.947347,151,195.15972
42.813833,128,195.877948
61.13028,165,196.70514
11.577175,66,197.192693
0.770209,20,197.496307
7.740904,71,198.041596
70.000138,128,198.71154
2.038324,20,198.990662
168.228063,276,200.187833
37.233409,72,201.505882
8.881824,29,201.832492
51.257392,112,202.437461
106.882449,564,204.62559
155.206763,310,205.959655
32.363589,69,206.47794
32.669912,150,207.226983
2.644116,21,207.507727
65.538855,404,209.126579
54.709342,159,209.907335
0.795153,22,210.208602
45.78224,216,211.217871
153.805958,281,212.457871
1.210633,19,212.753098
57.693464,84,213.253095
87.583886,518,215.292441
82.22442,134,215.978299
150.678517,905,219.570483
1.491546,24,219.885865
211.445492,592,223.246133
13.251585,169,224.092966
149.285299,263,225.350633
146.666959,292,226.675998
133.730314,183,227.530607
58.742837,148,228.265668
2.448974,23,228.580891
23.173514,59,229.012243
61.022874,178,229.919467
109.839913,224,231.112967
75.315304,291,232.408072
314.544199,510,234.398286
37.216006,79,234.890159
225.834341,329,236.269669
159.009212,399,237.871585
42.799062,87,238.385071
78.912086,159,239.15625
73.43872,148,239.949238
72.277307,102,241.526712
194.534177,924,245.052965
41.993924,110,245.732344
65.048195,143,246.535307
247.794,855,249.939538
135.716331,372,251.592697
53.565225,94,252.164809
46.333188,459,254.083359
3.636739,24,254.384523
17.659341,51,254.77986
69.662853,232,255.791287
71.342033,113,256.395972
1.513275,18,256.669917
38.127557,70,257.125826
96.844242,207,258.046211
89.02603,184,258.899669
242.131869,468,262.445746
92.461543,146,263.174592
150.154899,189,264.053808
138.91791,547,266.208429
190.559852,968,269.981299
98.955827,846,273.232991
67.357721,730,275.995171
391.906988,625,279.20471
183.732317,289,280.441694
172.880733,294,281.694453
110.899333,177,282.525456
254.165083,296,283.771426
109.303838,559,285.94454
87.40281,116,286.569824
36.06674,60,286.990331
90.718157,158,287.759629
90.993442,352,289.226574
126.439993,250,290.319901
113.320446,439,292.091541
132.902787,407,293.813343
72.78096,237,294.880017
15.828709,61,295.31024
79.858009,704,299.110742
74.325567,693,302.026158
262.881016,419,303.856363
104.887882,176,304.698116
28.620311,81,305.196262
219.75094,458,307.079493
191.65894,607,309.473037
188.036602,921,313.060172
86.861767,1001,317.94003
165.873964,472,319.811794
110.229996,243,320.940963
97.370214,201,321.848274
149.103146,882,325.343446
140.913709,218,326.474464
134.338621,264,327.647262
70.437304,118,328.33092
226.818062,354,329.959477
183.565738,705,333.633547
191.543752,806,336.800173
108.499761,387,338.37729
72.018452,838,341.505478
56.640872,115,342.127866
224.316738,428,343.839924
251.387572,586,346.087782
190.780202,958,350.678212
212.184704,295,351.924073
86.411223,113,352.526106
2.782984,27,352.842329
208.363118,340,354.230428
180.698782,531,356.290858
21.517715,83,356.79594
293.812588,818,359.836367
126.438635,244,360.89715
152.889405,274,362.087184
142.498361,492,364.03401
160.685136,520,366.068373
122.365441,1001,371.091183
121.659584,932,374.58329
228.623423,762,377.436043
215.736102,363,378.912227
119.846885,225,379.90426
81.05585,1001,385.130193
159.479956,752,387.97567
227.319478,330,389.513987
141.592886,826,392.624657
126.763446,214,393.594479
213.395652,630,396.033357
208.55912,551,398.288799
226.527004,709,400.956011
144.842157,320,403.247324
174.829656,1001,407.095523
63.793257,136,407.787549
123.569322,386,409.461374
166.073739,304,410.730691
169.450181,312,412.021832
244.716528,626,414.406901
116.784407,628,416.784042
194.066656,277,417.969383
92.855852,267,420.014635
182.27459,344,421.567197
198.120245,617,423.937072
134.128874,404,425.550732
168.063436,214,426.5127
2.874419,22,426.799107
168.689665,1001,430.499899
161.25853,889,433.813268
247.744187,1001,438.421573
244.071354,1001,442.102644
269.016802,1001,445.776858
129.879146,620,448.343393
258.050099,1001,453.066003
125.106737,1001,456.884535
179.300219,1001,460.563896
2.273935,22,460.858056
93.430426,128,461.520729
171.122101,241,462.581358
98.067235,1001,466.464316
127.324203,1001,471.201572
8.740868,30,471.542056
1.056677,20,471.819655
164.968499,429,473.549583
163.860436,257,474.670098
168.350899,285,475.895825
98.079927,1001,479.733711
181.334019,268,480.887849
132.604945,1001,484.663906
110.634954,146,485.468857
250.968342,406,487.94209
223.038307,634,490.439662
153.698796,1001,494.144383
151.310594,334,495.548483
113.502263,1001,499.818354
156.002504,1001,503.53607
36.577317,589,507.027443
172.582558,684,509.644693
185.115765,375,511.365202
126.796307,864,514.636002
153.184391,1001,518.332803
103.021132,1001,523.089818
184.736288,1001,526.854083
141.728018,1001,530.558663
146.456353,1001,534.296461
190.52704,1001,538.838613
160.148413,1001,542.637585
140.348569,599,544.938602
186.451547,1001,548.837514
122.069683,1001,552.531697
160.358871,1001,557.749623
146.228162,1001,561.651186
249.85451,1001,565.514392
137.87703,722,568.306241
156.314531,460,570.331472
148.583256,178,572.622957
84.119366,306,574.023807
105.445327,215,574.989808
235.307383,680,577.600079
129.980396,1001,581.321671
256.722985,774,584.243048
833.449029,1001,588.010273
51.77806,1001,592.906564
253.17219,1001,596.602928
189.485191,960,600.142355
237.390961,1001,603.867279
156.126895,1001,608.444818
264.2175,1001,612.127179
128.052933,815,615.210449
140.90599,1001,618.905345
151.506116,193,619.79525
179.086557,1001,624.835117
172.36795,1001,628.626014
162.438229,1001,632.336955
129.242793,502,634.585514
143.865232,153,635.374107
304.935305,325,636.736362
201.594111,474,639.612468
188.858785,569,641.925708
223.322984,1001,645.753727
268.821471,844,648.940792
150.901237,1001,652.725934
147.268396,295,654.013778
107.730934,124,654.681507
205.854809,1001,659.404529
118.047201,151,660.136828
284.206341,629,662.712697
69.423039,156,663.471691
239.623537,1001,667.23911
110.88876,296,668.578126
149.69458,1001,672.2876
209.117119,824,676.289311
160.670616,836,679.421725
217.985789,467,681.270912
208.166723,862,684.539811
165.473577,281,685.761177
165.608246,1001,690.527295
262.744165,477,692.450051
80.591922,1001,696.343485
243.287428,1001,700.089273
31.255772,63,700.566197
68.274447,117,701.217196
122.919414,288,702.44443
34.681984,134,703.131714
93.433474,1001,707.717917
268.147417,423,709.395446
148.62964,670,712.272115
199.545895,1001,716.025764
253.839898,801,719.034535
328.289216,356,720.489319
125.522454,737,724.766664
269.90219,1001,728.603193
76.930178,1001,732.532055
234.308373,406,734.298681
89.373045,555,736.516078
122.88932,517,738.589783
85.880011,111,739.198287
168.562309,1001,743.892475
107.504278,437,745.933826
234.723445,330,747.42048
163.491172,309,748.716495
151.302557,304,750.033681
254.691491,590,752.438375
75.949214,89,753.018455
211.418095,628,755.493436
290.355695,373,757.035762
161.093654,1001,761.66764
79.167083,133,762.42914
190.510245,842,765.615174
154.29665,1001,769.299878
147.21759,781,772.226341
107.475398,524,774.284179
180.904451,700,777.701495
128.367846,198,778.695025
110.622422,246,779.756633
191.415743,201,780.663317
40.463314,61,781.08596
119.081164,186,781.978712
154.194035,545,784.105335
240.184651,569,786.325238
169.086609,287,787.530051
111.687954,724,790.248764
149.904038,1001,794.784499
182.401999,364,796.344861
182.069027,305,797.617786
106.536633,400,799.211313
367.506002,370,800.710823
341.516666,749,803.523757
164.357554,612,805.876825
238.403466,606,808.189265
150.008509,665,811.996027
199.573974,578,814.453501
140.366282,1001,818.465934
140.477488,190,819.347362
214.744877,1001,823.103932
215.750146,1001,826.796384
223.373459,228,828.718291
303.180711,271,829.943954
79.859917,892,833.587012
203.097916,714,836.582503
270.540828,341,838.081184
136.742656,1001,841.97962
272.121593,421,843.680712
120.77104,486,846.755511
162.217368,172,847.583385
60.313137,308,849.126694
229.388328,371,850.652038
127.72585,661,853.173599
87.667149,140,853.900474
113.799942,127,854.55981
138.976301,225,855.555459
214.107387,231,856.598976
290.50185,677,859.322068
136.138752,432,861.094307
88.004287,334,862.672506
191.176951,433,865.259267
68.44709,332,866.645107
242.880279,837,869.807959
104.33102,154,870.555786
185.742506,202,871.489443
123.289324,282,872.697899
99.493601,321,874.049167
58.108719,70,874.506364
536.671216,471,876.364009
38.783148,63,876.811543
76.626374,553,878.962225
55.787986,144,879.760936
322.158694,497,882.577562
97.419986,623,885.281786
69.037409,106,885.865882
154.836918,306,887.16852
128.878095,518,889.18661
241.394166,238,890.239347
282.022725,292,891.471247
98.28136,209,892.413977
145.967228,716,895.139344
265.288025,266,896.300586
213.85431,588,898.651333
341.645949,307,900.852295
142.042669,360,902.329113
203.347355,235,903.37177
185.122952,384,904.919526
59.256002,420,906.610995
79.590548,435,908.336408
94.649286,332,909.721652
334.648401,408,911.363472
141.049591,333,912.738796
95.957538,102,913.306535
118.652009,312,914.692869
67.380877,740,918.261348
59.227888,402,919.920576
71.387463,423,921.608885
206.327006,442,923.382859
249.013611,626,925.986671
79.169594,302,927.263195
116.123841,234,928.303985
89.865352,231,929.454164
84.96066,517,931.614486
211.913819,211,932.566484
75.532613,167,933.363865
191.632326,179,934.210185
245.730637,219,935.194162
68.682336,385,937.817486
285.94063,325,939.170444
147.159887,323,940.492235
165.580428,181,941.330717
67.339565,139,942.025505
118.359497,745,944.831492
327.365277,348,946.2483
116.057576,419,948.024441
5.633641,23,948.334228
99.015252,598,950.600764
93.506993,132,951.264651
264.299912,565,954.235213
107.458983,125,954.881166
37.981284,57,955.327878
443.724577,404,956.961953
277.065654,361,958.425163
199.160736,482,960.32707
49.493785,178,961.171575
94.163306,428,962.886473
99.676921,258,964.08527
6.386176,24,964.412052
285.097543,443,966.20009
258.809044,898,969.707002
75.114288,369,971.223221
152.030748,937,975.671422
56.543112,249,976.747488
132.559198,423,978.441289
54.982281,258,979.551237
73.542391,127,980.20113
268.545931,450,982.061859
59.266627,186,982.927924
98.904126,227,983.924902
261.458532,859,987.136625
69.336952,508,989.882047
54.842642,472,991.769514
154.027249,369,993.290271
275.361309,381,994.825357
353.666414,308,996.119025
239.259542,458,998.055562
251.283487,208,999.231011
89.84532,499,1001.205005
106.71911,663,1003.728082
52.726015,388,1005.289985
114.739768,506,1008.155081
261.355114,360,1009.643152
61.371187,402,1011.290165
57.114717,293,1012.523842
91.378222,104,1013.114268
131.344777,146,1013.91834
139.741742,116,1014.584523
101.503408,740,1017.387322
272.567817,271,1018.547693
165.684729,173,1019.355696
126.04099,250,1020.456817
142.09203,162,1021.24578
88.895854,376,1022.77872
195.072832,398,1024.371938
155.25206,386,1026.965743
81.071824,238,1027.998483
117.148008,215,1028.958206
53.406521,59,1029.38154
123.864611,424,1031.160942
60.965703,332,1032.525985
314.511966,675,1035.082038
107.957573,265,1036.24741
89.881879,269,1037.389855
128.99842,476,1039.253972
173.674458,246,1040.31785
127.994897,804,1044.238759
141.214785,226,1045.251928
111.922272,636,1047.81991
284.900766,614,1050.15679
195.309734,672,1052.712284
88.622613,354,1054.151478
546.675978,455,1055.942584
176.826169,625,1058.319672
144.249919,429,1061.095817
386.533231,323,1062.424082
127.956127,322,1063.865944
190.44859,274,1065.027199
188.175647,156,1065.793895
223.760149,213,1066.74744
134.961101,567,1068.920427
75.650551,187,1069.775436
218.0778,306,1071.047801
71.45082,289,1072.271246
81.573821,186,1073.126108
420.128965,341,1074.51167
155.876493,514,1076.499354
368.185306,745,1080.269306
107.158037,381,1081.812793
95.984772,1001,1085.569698
364.196017,542,1087.658329
180.034217,540,1089.764503
88.341177,435,1091.486401
134.35447,500,1093.441855
59.383412,485,1096.236926
683.29183,587,1098.743479
367.156625,344,1100.153888
203.267565,248,1101.245294
416.142641,376,1102.773273
227.961536,294,1104.007787
58.583664,193,1104.893055
308.311212,825,1107.992204
414.954568,932,1111.467373
456.439118,424,1114.14883
90.087413,127,1114.798391
38.516262,323,1116.143771
74.920416,432,1117.889655
71.42518,1001,1121.77677
54.451377,122,1122.426613
245.425014,1001,1126.174809
163.814177,372,1127.664638
193.962769,205,1128.595749
235.023782,333,1130.952958
413.636225,777,1133.891491
58.096536,523,1135.9635
68.79295,755,1138.799523
353.75784,538,1140.871697
29.589859,525,1142.915007
131.750363,573,1145.123703
189.774422,651,1148.550646
43.39719,666,1151.130778
140.105079,578,1153.347204
376.915152,376,1154.877706
203.310212,585,1157.126478
88.830267,266,1158.26888
89.082859,550,1160.406748
182.348078,1001,1165.048141
432.702943,498,1166.990595
236.989112,457,1168.786479
404.543993,1001,1172.468986
330.03083,566,1174.647191
66.500665,467,1176.479494
223.013848,245,1177.544305
72.475532,363,1179.019965
57.049863,492,1181.841854
512.161478,565,1184.014191
54.585707,396,1185.612645
34.549893,116,1186.22612
353.896186,550,1188.356535
273.25784,583,1190.599127
292.678806,418,1192.264664
61.754534,232,1193.28636
157.593514,348,1194.698162
95.535332,398,1196.310402
88.012386,336,1198.601017
39.763221,905,1201.963731
74.558462,140,1202.676443
541.592477,1001,1206.389071
401.272295,564,1208.561907
109.643446,808,1211.572925
166.744102,175,1212.404257
77.071485,341,1214.984246
453.258716,706,1217.650491
247.360382,224,1218.656172
323.388422,580,1221.02648
328.328698,354,1222.49457
377.925244,343,1223.906053
8.095812,26,1224.208729
248.468671,232,1225.224058
105.590898,1001,1228.913693
88.121858,456,1230.82694
52.453803,353,1233.298161
74.767497,101,1233.897402
95.468023,1001,1237.593404
51.5481,422,1239.271858
68.365122,366,1240.810876
567.238244,564,1243.102684
308.357661,446,1244.866745
74.34983,93,1245.406362
339.264205,732,1248.249962
206.624337,758,1251.973749
73.514686,309,1253.251782
70.076965,282,1254.435966
265.052326,240,1255.481765
86.613822,511,1257.464891
115.482071,653,1259.940596
229.005178,210,1260.885531
317.980896,545,1262.992982
110.431036,384,1264.621764
76.398489,231,1265.630018
102.129169,603,1268.791587
188.646375,169,1269.5813
227.778494,255,1270.672526
260.831857,912,1274.051368
162.404466,187,1274.910211
77.102459,108,1275.498464
53.147435,512,1277.503961
85.845893,632,1279.921697
41.654449,551,1282.17174
883.274253,1001,1286.731593
79.397733,204,1287.650727
183.760839,468,1289.48963
92.517199,112,1290.105608
83.607163,898,1293.429277
299.883129,1001,1297.155644
175.226935,487,1299.155124
145.905473,494,1301.840719
270.608073,438,1303.572594
421.677497,1001,1307.287363
287.164623,701,1309.938362
191.497483,470,1311.780811
210.419534,684,1314.528607
50.306567,567,1317.533073
619.409002,1001,1321.224365
231.589854,1001,1324.909498
69.426485,1001,1328.590014
417.811712,1001,1332.37565
450.916071,642,1335.625437
242.706953,552,1337.792525
265.291551,801,1340.797464
128.820798,1001,1344.491097
182.69641,552,1346.616538
96.102728,902,1351.350336
236.873488,631,1353.778199
87.319639,453,1355.571565
215.571919,567,1357.752783
405.628287,1001,1361.439821
313.378923,650,1364.088717
202.57096,1001,1368.570241
222.905541,232,1369.596555
57.451005,1001,1373.274254
73.706482,927,1376.685826
54.652078,1001,1380.495155
205.148527,195,1381.389644
73.177795,1001,1385.941115
66.430795,1001,1389.643257
103.380897,810,1392.673209
340.578352,768,1395.56259
372.236619,1001,1400.356624
71.540364,802,1403.349423
