#{"t_start": 1704668789.296138, "env_id": "None"}
r,l,t
0.0,20,0.529037
0.022112,124,1.25157
0.0,20,1.570029
0.000228,120,2.228128
0.0,23,2.542361
0.0,20,2.833987
0.000786,20,3.123854
0.000653,21,3.444548
7e-05,20,3.746488
0.002881,19,4.066874
0.0,19,4.373588
0.000484,19,4.696725
0.0,20,5.067002
0.0,20,5.477385
0.001009,21,5.837231
0.002778,23,6.180055
0.101638,538,9.079221
0.00165,19,9.512717
0.000516,20,10.089017
0.0,18,10.562519
5.2e-05,20,10.889539
0.0,19,11.201871
0.000105,19,11.504911
0.001519,23,11.807158
0.000641,19,12.100329
0.0,22,12.410289
0.0,18,12.801323
0.0,69,13.793321
0.36516,573,16.679689
0.000144,20,17.01556
0.0,19,17.338097
0.000762,20,17.634349
0.0,18,17.947147
0.0,18,18.232704
0.0,20,18.541936
0.003081,19,18.841879
0.002733,23,19.169507
0.002615,80,19.683148
0.002485,19,19.994223
0.0,17,20.311053
0.0,20,20.653248
0.001897,20,20.951494
0.098141,467,22.959837
0.001693,23,23.274734
0.000147,19,23.575798
0.063006,150,24.354491
0.0,20,24.652531
0.004571,20,24.945465
0.0,19,25.259877
0.000959,18,25.580576
0.003886,19,25.890761
0.02964,76,26.414593
0.002199,21,26.732778
0.0,20,27.028115
0.004416,23,27.345506
0.0,19,27.650309
0.003649,164,28.465187
0.0,18,28.734249
0.004137,19,29.015261
0.092316,294,30.279758
0.0,20,30.587318
5.2e-05,20,30.892846
0.237385,247,32.141978
0.001063,21,32.444689
0.000455,21,32.758579
0.015608,174,34.565965
0.0,18,34.863731
0.000265,18,35.162955
0.16368,163,36.030213
0.003624,22,36.383255
0.001497,19,36.71237
0.003617,21,37.045699
4.2e-05,21,37.362296
0.0,20,37.66703
0.006175,24,37.977287
0.000284,19,38.272404
0.0,23,38.583262
0.001585,19,38.876414
0.0,22,39.166697
0.064716,265,40.294952
0.006895,22,40.581175
0.000969,20,40.859308
0.001027,21,41.156266
0.003904,21,41.457821
0.000517,19,41.751491
0.051515,138,42.476924
0.008309,191,43.361305
0.0,18,43.625664
0.000316,146,44.337692
0.0,19,44.632585
0.000251,20,44.925487
0.000631,19,45.216709
0.013758,100,45.80547
0.007015,23,46.111976
0.002558,25,46.422053
0.007847,75,46.903984
0.000184,26,47.224255
0.000622,17,47.511825
0.00352,23,47.811828
0.0,18,48.096374
0.0,19,48.385156
0.039377,155,49.154721
0.002646,25,49.466044
0.0,22,49.772502
0.000204,23,50.076987
0.0,17,50.357986
0.004474,22,50.656241
7.3e-05,24,50.960272
0.001806,19,51.241282
0.000534,24,51.536805
0.004861,444,53.333729
0.003535,20,53.613397
0.009202,57,54.04982
0.0,22,54.369529
0.000173,52,54.795334
0.002072,20,55.113606
0.00121,19,55.436768
0.0,22,55.7594
0.000961,246,56.874297
0.000309,19,57.154725
0.007158,20,57.453486
0.000157,19,57.737104
0.000264,22,58.040817
0.029339,174,59.065467
0.0,23,59.390503
9.8e-05,20,59.697191
0.002674,19,59.981397
0.0,19,60.27457
0.000534,26,60.586942
0.001354,20,60.873486
0.0,22,61.161024
0.002099,22,61.447375
0.002113,22,61.734195
6.5e-05,19,62.015372
0.000376,20,62.30453
0.004487,28,62.625493
0.002361,20,62.919437
0.0,20,63.222619
0.023735,183,64.09129
0.0,23,64.407595
0.00119,23,64.732321
0.0,21,65.026155
0.009876,22,65.32231
0.0,20,65.613211
0.010702,21,65.912038
0.006137,24,66.22027
0.007951,21,66.511213
0.016801,107,67.106302
0.002914,19,67.385326
0.0,25,67.704507
0.000493,18,67.998611
0.00033,24,68.308853
0.003955,22,68.611178
0.006569,58,70.16497
0.0,18,70.480613
0.004274,23,70.78246
0.0,22,71.067054
2.3e-05,24,71.356771
0.001926,22,71.640757
0.001521,21,71.935063
0.0,21,72.218746
0.000355,201,73.147803
0.001133,352,74.694962
0.073962,182,75.556661
0.0,18,75.843933
0.001412,20,76.123323
0.000935,20,76.413734
0.00091,19,76.696098
0.002547,19,76.983162
0.007115,135,77.721394
0.0,21,78.024598
0.0,22,78.319502
0.003844,23,78.644548
0.003408,23,78.970911
0.008241,22,79.275788
0.00067,24,79.597735
0.002718,23,79.89891
0.008353,24,80.232043
0.0,21,80.531444
0.001278,19,80.818916
0.0,18,81.085837
0.005174,66,81.522922
0.000217,261,82.669775
0.0,23,82.975551
0.0,275,84.197891
0.0025,24,84.494383
0.003134,19,84.804663
2e-05,21,85.104446
0.0,22,85.394723
0.000312,19,85.671338
0.0,20,85.955382
0.000775,24,86.277629
0.006558,25,86.655993
0.005594,21,87.008494
0.001823,23,87.362705
0.002277,26,87.72114
0.001939,22,88.036189
0.023939,120,88.68101
0.0,22,88.987061
0.000818,19,89.285249
0.043124,89,89.962775
0.0,19,90.285674
0.045306,257,91.495846
0.001318,20,91.815718
0.00085,24,92.160316
4.7e-05,22,92.503298
0.008099,20,92.859583
0.02586,144,93.64592
0.002649,22,93.991762
0.000481,94,94.580765
0.0,23,94.886939
0.151666,469,96.848284
0.0,18,97.13149
0.002847,20,97.414879
0.000102,18,97.686865
0.000126,23,98.009274
0.0,22,98.306497
0.085058,221,99.451261
0.000764,20,99.769357
0.00161,20,100.104931
0.002158,23,100.40436
0.000598,22,100.701112
0.004344,21,100.984685
0.000519,21,101.282196
0.0,20,101.558283
0.001576,21,102.752976
0.003155,68,103.22605
0.003781,20,103.571628
0.054652,110,104.235376
0.000644,20,104.527429
0.0,27,104.843346
0.005538,23,105.147635
0.000267,21,105.447733
0.00079,18,105.735746
0.006706,22,106.046625
0.001511,21,106.352045
0.005262,21,106.654213
0.002137,21,106.956163
0.00208,21,107.301932
0.001761,20,107.592278
0.000251,19,107.895401
0.0,20,108.197735
0.0,18,108.542708
9.1e-05,19,108.942309
0.004659,22,109.293484
0.010032,344,110.821999
0.000847,21,111.155144
0.0,23,111.534189
0.044257,564,113.985169
0.000426,19,114.304249
0.002306,19,114.623833
0.000546,22,114.94342
0.010194,22,115.231615
0.001057,20,115.529617
0.020236,171,116.366345
0.011378,343,117.818274
0.000716,20,118.097475
0.000463,21,118.38127
0.0,20,118.765192
0.003771,24,119.092923
0.000713,28,119.43915
0.000532,22,119.742149
0.01055,173,120.549643
0.00113,22,120.848435
0.0,20,121.136957
0.004003,19,121.447785
0.011397,187,122.337689
0.003776,21,122.626362
0.000426,23,122.93325
0.000402,18,123.222065
0.0,19,123.500183
0.020271,99,124.064262
0.005795,23,124.379113
0.0,23,124.675461
0.0,21,124.983178
0.000861,25,125.301126
0.004837,19,125.593251
0.0,20,125.890713
0.001101,20,126.188743
0.001756,25,126.521664
0.007107,22,126.831129
0.002435,20,127.113861
0.000276,566,129.477505
0.001883,25,129.780825
0.0,18,130.072743
0.0,22,130.377646
0.034285,144,131.104371
0.001545,21,131.408712
0.00508,25,131.720334
0.001255,20,132.017312
0.0,355,134.375796
0.0,22,134.682798
0.0,21,134.970772
0.000782,22,135.278372
0.290486,452,137.079963
0.0,20,137.371065
0.0,18,137.669974
0.001303,25,137.978295
0.000655,22,138.269362
0.0,24,138.56576
0.000523,83,139.09879
0.0,21,139.39637
0.000775,21,139.693951
0.0,22,139.995139
0.058973,365,141.537011
0.000125,19,141.821995
0.0,23,142.113417
0.003502,21,142.407621
0.0,20,142.685523
0.000633,24,142.977045
0.000621,85,143.485588
0.003955,93,144.057545
0.002033,25,144.373164
0.003,28,144.694688
0.001423,19,144.987114
0.004201,19,145.273912
0.000519,24,145.5937
0.002235,288,146.929169
0.00296,26,147.234602
0.002614,22,147.527426
0.011823,24,147.854641
0.001961,20,148.155296
0.004163,23,148.48137
0.011245,123,149.162562
