#{"t_start": 1704703368.323659, "env_id": "None"}
r,l,t
0.569567,19,0.55877
25.308293,256,1.794094
0.319741,23,2.094373
0.0,19,2.382931
0.471174,19,2.672872
0.776463,20,2.983246
7.432883,69,3.459254
9.306269,144,4.198591
0.0,20,4.496727
0.45591,21,4.797674
0.016395,21,5.112334
0.134085,19,5.433602
17.647531,161,6.305839
0.0,21,6.620762
0.0,19,6.9262
0.147542,20,7.253437
0.902106,24,7.605931
0.0,25,7.937686
0.267316,26,8.248974
0.122629,19,8.526517
2.688108,430,10.248167
0.110579,21,10.549075
0.773102,22,10.852337
0.022144,20,11.153218
0.0,20,11.509899
3.84578,188,12.565629
0.02534,20,12.880538
20.517324,174,13.747505
0.0,17,14.065725
0.0,19,14.371527
0.0,19,14.689624
0.912035,23,15.004163
0.061035,21,15.28476
0.198283,21,15.602283
0.231253,21,15.948212
14.361583,286,17.27797
0.0,25,17.584771
0.012635,24,17.876832
0.182223,22,18.185668
6.665815,110,18.852826
0.041123,21,19.182881
0.375088,19,19.470777
3.535489,79,19.954793
0.473742,21,20.250824
0.0,20,20.537059
0.0,23,20.837281
0.01834,22,21.131033
0.699638,60,21.601823
0.149821,20,21.933854
0.022645,19,22.255247
0.035304,23,22.57716
0.390388,19,22.897983
0.0,18,23.179539
0.0,21,23.475896
0.38553,20,23.768801
0.0,136,24.478837
3.271844,225,25.498957
0.376354,18,25.779911
0.0,20,26.065957
0.610061,24,26.364825
0.0,22,26.660581
0.0,18,26.936977
0.0,20,27.217327
0.0,21,27.500194
0.21738,21,27.787618
1.61294,26,28.086242
1.451412,260,29.233799
0.792497,18,29.512457
0.046546,20,29.796013
0.828604,24,30.114969
0.523495,19,30.434083
0.100969,20,30.753718
10.181638,147,31.556906
0.756408,143,32.268945
0.0,20,32.564975
0.0,19,33.696618
0.004707,22,34.001854
0.134372,22,34.290869
35.161114,390,35.861748
0.852867,24,36.164292
1.968601,268,37.313161
0.618354,21,37.642053
4.633756,134,38.469932
1.726615,26,38.824446
0.389088,22,39.114598
0.709336,24,39.406331
0.2059,65,39.852229
0.082834,19,40.223061
0.655407,25,40.59719
0.049648,20,40.921878
0.001889,22,41.230323
0.471049,18,41.516606
0.0,25,41.842831
14.933814,124,42.533021
0.052004,18,42.812944
0.631143,19,43.097768
0.241719,22,43.402412
0.0,21,43.683609
0.107854,26,43.984409
0.58639,29,44.308878
0.016861,22,44.601172
0.494561,21,44.882151
0.855337,24,45.188085
0.0,19,45.471762
5.522072,152,46.242229
0.475216,22,46.570148
0.062081,18,46.881222
1.966103,253,48.034423
0.246467,21,48.316054
0.031292,20,48.596493
0.015033,25,48.924659
0.480604,21,49.234865
0.330181,18,49.527399
0.0,21,49.824524
0.700898,24,50.134335
0.0,23,50.459822
0.0,20,50.766823
0.188704,18,51.047313
0.801429,20,51.339053
0.0,21,51.62128
0.0,24,51.912376
0.0,24,52.20682
1.481516,24,52.500723
0.0,18,52.787902
0.085401,23,53.105281
0.0,22,53.408034
0.038661,17,53.683379
0.081614,184,54.572502
0.109168,18,54.902161
0.309426,25,55.266889
11.591695,303,56.621576
0.19627,20,56.92488
0.365257,20,57.2111
0.0,20,57.48739
0.179557,18,57.754959
0.601237,22,58.049954
0.060314,20,58.349855
0.0,21,58.644903
0.131168,25,58.948568
0.0,24,59.26316
0.070068,20,59.563625
0.013544,20,59.844967
0.224948,21,60.149543
1.097895,24,60.441681
0.326781,18,60.712311
0.0,22,61.005355
0.539247,22,61.294931
0.440966,20,61.580989
17.892642,298,62.845032
0.30366,20,63.137789
0.275933,21,63.421525
0.1234,122,64.074533
0.012741,18,64.357611
0.061997,21,64.664129
0.0,20,64.954776
0.160684,28,65.277163
0.19088,22,65.584926
0.0,19,65.862931
0.032608,20,66.166202
4.224664,131,66.844862
0.539339,18,67.121496
0.422222,18,67.405421
0.395552,19,67.682846
22.85748,173,69.311433
9.999874,177,70.155821
0.902126,23,70.449818
0.0384,21,70.737166
0.881892,19,71.023837
0.05012,22,71.336887
0.458289,18,71.652269
0.649284,25,72.030009
0.0,20,72.388051
0.027315,23,72.841313
0.021108,22,73.193815
0.123968,21,73.494017
13.931925,190,74.398149
4.330191,65,74.873924
22.926359,241,76.015519
0.0,20,76.303315
0.01019,19,76.583041
0.0,22,76.873786
0.0,20,77.16367
0.004498,65,77.614121
0.003155,21,77.892354
0.0,20,78.169662
0.437886,21,78.467025
0.774917,22,78.761921
2.787744,249,79.858235
0.421817,28,80.171515
0.0,19,80.456692
0.013072,21,80.749447
0.006376,19,81.025408
0.006511,19,81.30974
0.164307,18,81.589139
0.017751,20,81.867945
8.835101,116,82.488784
14.527978,130,83.169341
0.943763,22,83.462227
0.244548,23,83.759168
0.086163,22,84.050421
0.576454,21,84.357638
0.268142,19,84.634697
0.191795,20,84.919891
0.592632,282,86.151096
0.042517,23,86.448481
27.640964,259,87.601655
0.318937,21,87.892981
0.75076,17,88.178381
0.016623,19,88.457177
0.262478,18,88.745115
1.91265,116,89.365839
0.0,19,89.644289
0.25474,25,90.006823
0.237274,26,90.36508
0.304386,21,90.695941
0.021219,19,90.998019
0.428168,28,91.3272
0.086959,19,91.604989
0.0,21,91.883681
0.507479,22,92.176889
0.004176,19,92.470088
5.695422,79,92.965218
0.228573,22,93.259756
0.152866,21,93.547766
0.0,20,93.830168
0.440665,551,95.975412
0.0,19,96.261889
9.033429,111,96.92281
0.012727,30,97.301257
0.003373,22,97.627526
0.042711,19,97.957253
20.432341,269,99.925685
0.06474,18,100.239547
0.003305,22,100.542068
0.616487,21,100.845316
0.129617,230,101.946341
0.0,20,102.283781
0.001986,18,102.623662
0.091645,21,102.92195
0.00535,21,103.22463
1.442373,29,103.541521
0.000185,323,105.126891
0.090486,23,105.431082
16.145651,168,106.229208
0.413328,21,106.520903
0.079447,23,106.853144
0.419206,22,107.173411
0.318706,19,107.469654
0.021198,418,109.17406
0.392178,21,109.468677
0.642418,20,109.756884
0.029767,20,110.048352
0.217881,17,110.31388
0.368633,22,110.601885
0.0,26,110.928992
0.0,21,111.263411
47.035528,371,112.918959
11.992709,180,113.802814
0.0,21,114.098529
0.392028,20,114.42532
13.908853,448,116.425055
15.996282,255,117.592651
0.05296,18,117.877008
0.079584,19,118.169958
0.051636,21,118.458524
0.013359,17,118.737278
0.297324,19,119.035206
0.013204,23,119.342183
0.0,19,119.616067
0.468948,18,119.890437
0.086262,21,120.193743
15.848411,128,120.858878
0.312803,20,121.147292
0.336078,22,121.448464
0.030038,19,121.734089
0.579448,18,122.04974
0.019204,20,122.373142
0.719103,19,122.691182
0.0,19,122.990296
5.44087,114,123.620122
0.445038,18,123.891431
0.015691,21,124.188852
0.245095,20,124.471024
0.011174,24,124.77617
0.490212,18,125.071857
0.0,19,125.377666
0.0,22,125.702854
0.122067,19,126.010402
1.175232,106,126.667829
5.924667,224,127.86701
0.220246,21,128.202657
0.032463,20,128.670969
1.447435,23,129.008152
0.164011,20,129.307162
0.237631,21,129.622458
0.37837,21,129.918409
2.362553,80,131.403775
0.023455,22,131.716531
0.42577,21,132.028957
0.0,19,132.372111
0.0,21,132.722487
0.353032,23,133.052058
0.078033,19,133.364563
0.086388,18,133.650281
0.140544,24,133.969068
2.616483,416,135.735482
0.755884,22,136.05521
1.176885,24,136.382737
0.200263,21,136.709649
0.071409,20,137.01416
51.518619,486,139.058691
0.675566,227,140.166108
0.0,21,140.458534
0.655207,20,140.760536
0.119019,21,141.078076
13.404252,180,141.956077
0.119383,19,142.24959
24.740626,185,143.145177
0.0,21,143.461835
0.023156,22,143.76297
0.0586,23,144.089984
0.045717,23,144.421451
6.44262,77,144.935854
2.372105,123,145.590227
0.544451,20,145.88151
0.31055,21,146.172631
0.092705,17,146.471222
0.0,19,146.752662
0.25758,18,147.032673
0.779853,23,147.35272
0.18623,21,147.649627
9.244159,122,148.294116
17.034951,237,149.370143
0.527568,20,149.660908
0.282005,21,149.940659
0.309454,23,150.234383
0.618198,20,150.518218
0.568347,21,150.807925
0.0,22,151.092501
5.424234,229,152.102329
0.0,19,152.378684
0.818683,20,152.668371
0.294084,23,152.971441
8.647646,82,153.495237
0.268474,22,153.787488
1.007035,325,155.15243
5.765829,270,156.319089
17.180645,168,157.130299
17.311155,131,157.801447
0.085238,22,158.915315
0.0,20,159.224156
0.234334,21,159.513135
2.739453,223,160.533917
0.980922,97,161.111579
0.592479,23,161.417596
1.258466,24,161.762107
0.492573,23,162.106305
0.256167,21,162.416873
0.559327,20,162.698879
0.188106,24,162.991086
0.38214,19,163.269583
0.158134,22,163.572465
4.956778,81,164.068144
0.706899,22,164.354258
2.028506,69,164.804664
0.014127,120,165.439831
0.0,24,165.739368
0.0,18,166.011943
0.0,21,166.298204
0.970755,26,166.60046
0.567388,20,166.885042
0.772694,21,167.180009
0.018513,20,167.45947
0.0,22,167.748141
0.015819,21,168.037421
0.527005,21,168.321835
0.399054,25,168.622137
0.480678,22,168.915654
0.344082,21,169.222016
0.211658,20,169.536924
0.0,20,169.844761
46.332328,474,171.757787
0.387089,24,172.070591
0.119031,20,172.374459
8.267301,234,173.416685
0.022143,22,173.720482
12.745478,162,174.528458
3.61784,327,175.909552
6.86251,85,176.429561
0.078093,22,176.728814
0.4103,20,177.032934
67.747198,403,178.81687
0.172343,21,179.135551
0.116662,19,179.442883
0.017543,20,179.744843
0.0,18,180.025986
0.085274,20,180.316096
0.112713,17,180.611549
2.019174,339,182.046882
0.000112,19,182.340368
6.873494,813,186.76104
0.645529,25,187.072687
0.0,22,187.361226
0.069923,20,187.6453
19.637869,165,188.544757
0.121195,18,188.825292
0.004606,23,189.11862
0.0,19,189.398559
0.0,22,189.711516
2.037117,313,191.080011
2.944791,261,192.232946
0.011426,20,192.535253
4.280943,162,193.437419
2.764653,81,194.002291
4.446625,200,194.917188
0.335448,21,195.224319
0.457282,23,195.523312
0.0,19,195.816863
0.0,19,196.098344
0.0,27,196.411301
0.663658,22,196.703484
4.391383,647,199.222707
31.105402,562,201.441779
1.23029,171,202.377926
32.7386,217,203.387428
0.13014,27,203.708702
0.0,22,204.003632
1.186675,23,204.336532
14.437325,228,205.350633
0.737063,19,205.636596
34.639187,527,207.942693
1.208054,464,210.623676
0.0,22,210.933338
0.0,19,211.211549
0.225781,19,211.494913
0.025812,20,211.794875
0.042451,134,212.59202
16.631647,214,213.599746
0.086566,20,213.88526
0.138296,18,214.162751
0.016322,29,214.472865
37.819622,409,216.157294
12.959702,111,216.826061
0.372777,20,217.141774
0.0,21,217.477624
0.969957,25,217.794508
13.993606,329,219.210349
8.427365,96,219.767232
0.0,19,220.049588
0.115664,21,220.33396
0.046029,24,220.629114
0.0,20,220.907745
10.759896,734,223.959693
9.339725,219,224.9969
21.468688,209,226.32796
0.006853,22,226.685817
0.729788,20,226.994958
0.109659,20,227.311288
3.974323,136,228.14488
7.983737,375,229.70831
0.180401,18,229.979649
5.794267,73,230.459014
0.059502,21,230.742658
5.443418,177,231.583299
0.0,22,231.880234
0.00136,170,233.53936
2.988275,88,234.067975
0.081217,20,234.378644
2.241009,59,234.814589
0.080852,18,235.092046
0.079824,19,235.372424
0.0,19,235.65142
0.685149,85,236.167466
7.90907,271,237.355083
0.174083,23,237.651654
27.733133,305,239.006547
3.720601,200,239.982392
0.016993,21,240.269561
60.107378,600,242.602338
2.34055,277,243.81174
68.262423,569,246.015473
0.0,20,246.300621
5.732766,207,247.25047
0.80377,24,247.557256
49.831135,450,249.365252
14.449308,614,251.77653
0.012541,23,252.072429
0.369949,23,252.380516
5.948785,452,254.995698
16.917659,212,255.95577
3.782511,123,256.605111
21.987097,237,257.651108
0.683737,21,257.936768
0.569275,19,258.21877
0.947866,20,258.516032
1.404699,179,259.359074
15.457135,351,260.818765
86.099,627,263.282239
10.492711,363,264.920817
0.0,20,265.20827
1.655454,388,266.797841
0.0,26,267.113023
19.817463,154,267.90207
1.26182,25,268.255778
51.393857,560,270.575618
15.163083,262,271.792153
38.578996,600,275.609931
0.729128,21,275.90054
0.532649,461,277.752901
1.155649,27,278.068483
0.028352,20,278.359102
37.620284,409,280.043692
2.872775,223,281.04869
28.54274,293,282.486841
10.977896,110,283.103872
6.136413,309,284.424038
6.503656,110,285.038256
5.38774,86,285.558417
0.0,21,285.847357
0.457093,280,287.054249
6.180424,155,287.812363
4.343296,145,288.650089
24.436549,871,292.213296
0.695739,81,293.576114
0.0,22,293.870926
0.047369,20,294.161139
0.011056,24,294.465849
0.496485,132,295.157777
6.891825,113,295.776572
21.095967,438,297.553672
0.283069,109,298.207573
0.0,21,298.552693
21.389051,124,299.255142
24.423441,168,300.10039
5.194752,434,301.849253
6.976051,239,302.921049
0.529034,70,303.393382
0.219905,20,303.683632
19.94044,154,304.450232
0.894993,72,304.926985
