#{"t_start": 1704702956.7374232, "env_id": "None"}
r,l,t
0.0,126,0.951217
0.0,74,1.429441
0.0,19,1.706767
0.0,19,1.981665
0.0,20,2.293829
0.0,394,3.948541
0.0,24,4.236719
0.0,92,4.773314
0.0,19,5.052281
0.0,21,5.333607
0.040338,236,6.337587
0.0,19,6.612347
0.0,21,6.889685
0.0,21,7.200343
0.0,20,7.520045
0.0,21,7.864826
0.0,20,8.168771
0.0,85,8.726146
0.0,20,9.005278
0.0,20,9.287085
0.0,19,9.559607
0.0,24,9.8537
0.0,19,10.140062
0.0,19,10.451384
0.0,20,10.776992
0.0,22,11.098944
0.0,25,11.442724
0.0,20,11.74258
0.0,18,12.031206
0.0,20,12.32741
0.0,19,12.691926
0.0,23,12.996557
0.0,25,13.305155
0.0,19,13.582897
0.0,19,13.857112
0.0,22,14.150327
0.0,21,14.460204
0.0,21,14.748197
0.0,19,15.018082
0.0,66,15.470022
0.0,21,15.767394
0.0,19,16.047294
0.023094,249,17.110058
0.0,19,17.383403
0.0,23,17.683592
0.0,20,17.990126
0.2355,219,19.183145
0.0,21,19.464834
0.017967,100,20.142537
0.0,18,20.435355
0.0,73,20.916136
0.0,18,21.203311
0.0,20,21.590775
0.0,25,21.946016
0.0,69,22.400678
0.0,201,23.402876
0.0,20,23.698817
0.0,22,23.997273
0.0,23,24.407784
0.0,25,24.795255
0.0,21,25.122263
0.0,23,25.54244
0.0,22,26.262476
0.0,19,26.702574
0.0,20,27.106103
0.0,20,27.446767
0.041886,276,28.696814
0.0,19,28.983959
0.0,20,29.398673
0.001275,23,29.724459
0.0,21,30.032458
0.0,18,30.298026
0.0,18,30.573405
0.0,22,30.860063
0.0,21,31.158695
0.0,22,31.464859
0.033592,138,32.160569
0.0,19,32.449748
0.0,19,32.736736
0.0,25,33.038722
0.0,23,33.337397
0.0,19,33.618092
0.0,19,33.8922
0.0,20,34.186773
0.0,20,34.498957
0.0,21,34.778877
0.0,21,35.058726
0.029665,195,36.120896
0.0,19,37.667676
0.0,19,37.979506
0.0,22,38.275706
0.0,21,38.566189
0.0,20,38.869584
0.0,20,39.164767
0.014031,278,40.325556
0.0,19,40.714232
0.0,23,41.090847
0.0,77,41.629501
0.0,21,41.972907
0.0,24,42.33391
0.0,19,42.66844
0.028681,225,43.922177
0.0,23,44.212133
0.0,21,44.512552
0.0,20,44.786095
0.0,21,45.155024
0.0,20,45.454747
0.0,18,45.74594
0.0,19,46.04159
0.0,19,46.356701
0.0,21,46.651062
0.0,17,46.922285
0.0,18,47.194906
0.0,182,48.036893
0.0,20,48.307429
0.0,19,48.579688
0.0,19,48.852641
0.055485,367,50.376029
0.011095,263,51.566303
0.0,19,51.865553
0.088436,347,53.408541
0.0,18,53.765242
0.0,23,54.129384
0.0,21,54.442946
0.0,20,54.774315
0.0,21,55.22067
0.0,17,55.547755
0.0,20,55.84895
0.0,20,56.141523
0.002436,630,58.917963
0.0,74,59.415105
0.0,21,59.713931
0.0,71,60.160668
0.0,18,60.468542
0.0,22,60.761566
0.0,101,61.343608
0.0,27,61.665224
0.0,20,61.935574
0.0,21,62.20462
0.0,121,62.848645
0.0,21,63.129481
0.0,17,63.409811
0.0,23,63.69572
0.0,23,63.974812
0.0,18,64.239853
0.0,17,64.507782
0.0,19,64.790085
0.0,21,65.094385
0.0,19,65.377559
0.0,22,65.657502
0.025808,155,66.386179
0.0,18,66.651584
0.0,27,66.945051
0.0,19,67.213723
0.0,20,67.48742
0.0,20,67.759525
0.0,18,68.022063
0.0,24,68.319195
0.0,26,68.637161
0.0,20,68.924491
0.0,23,69.920337
0.0,22,70.220107
0.0,171,71.407211
0.0,20,71.710649
0.0,91,72.345678
0.0,22,72.700853
0.0,20,72.998069
0.0,23,73.293947
0.0,69,73.740484
0.0,17,74.004595
0.0,17,74.279343
0.0,21,74.554703
0.0,18,74.828234
0.0,24,75.142832
0.0,19,75.416467
0.0,91,75.944243
0.0,20,76.232171
0.0,23,76.521359
0.0,20,76.79171
0.0,19,77.059013
0.0,19,77.331895
0.0,21,77.605961
0.0,21,77.880084
0.0,20,78.15073
0.0,19,78.42286
0.0,20,78.69936
0.0,18,78.965454
0.0,23,79.261575
0.0,22,79.546193
0.0,22,79.82417
0.0,157,80.565905
0.0,21,80.847313
0.0,23,81.155068
0.0,22,81.467146
0.0,20,81.76659
0.0,19,82.034171
0.0,23,82.327222
0.0,20,82.604346
0.0,22,82.887896
0.000961,143,83.576712
0.135209,64,84.000039
0.0,20,84.276015
0.0,19,84.541112
0.0,20,84.806804
0.0,19,85.097149
0.0,21,85.378376
0.0,19,85.644986
0.0,22,85.970639
0.0,20,86.293481
0.0,18,86.592448
0.0,20,86.88782
0.0,19,87.169441
0.0,20,87.482874
0.005682,498,89.448786
0.0,20,89.724628
0.0,25,90.013723
0.0,19,90.283706
0.0,21,90.577193
0.0,20,90.852811
0.0,18,91.125026
0.0,21,91.423234
0.0,22,91.714781
0.0,21,92.009296
0.0,18,92.284698
0.0,69,92.72313
0.0,19,92.992185
0.0,18,93.255572
0.001778,259,94.362286
0.0,19,94.66317
0.0,20,94.995693
0.0,18,95.376578
0.048861,140,96.153477
0.0,19,96.425284
0.081054,98,96.995665
0.0,19,97.285513
0.0,18,97.593942
0.0,21,97.908964
0.0,22,98.214937
0.0,23,98.522789
0.0,21,98.802383
0.0,19,99.081662
0.0,17,99.367949
0.0,18,99.643969
0.0,18,99.930659
0.0,21,100.260011
0.0,18,100.534211
