#{"t_start": 1704884785.507193, "env_id": "None"}
r,l,t
0.083504,20,0.514405
0.0,18,0.83101
2.086742,196,1.78594
0.029918,20,2.075474
0.02686,19,2.362083
0.043462,19,2.682404
0.025937,22,3.015985
0.02115,20,3.339576
0.063469,19,3.668073
0.021554,20,3.986601
0.139958,22,4.310118
0.047991,22,4.633041
0.018596,19,4.945874
0.0,20,5.251487
0.045842,21,5.593332
1.654642,399,7.363662
0.020526,19,7.764187
0.071851,19,8.196714
0.04903,20,8.552292
0.322117,116,9.559354
0.024938,20,10.061492
0.0,21,10.648961
0.224245,21,11.2627
0.0,18,11.828595
0.033097,20,12.267892
0.132864,23,12.696433
0.11085,28,13.121607
0.786903,59,13.613993
0.329828,110,14.518456
0.096842,21,14.869907
0.174809,26,15.287617
0.064479,22,15.660354
0.069844,22,16.021456
0.026316,20,16.375581
0.936341,155,17.266979
0.028776,19,17.56749
0.109234,22,17.876896
0.038989,18,18.188584
0.112991,21,18.487887
0.0,19,18.785796
0.971833,157,19.566239
0.083621,21,19.875459
0.0,21,20.178649
0.039988,19,20.484426
0.14262,24,20.801215
0.057447,21,21.116492
0.134089,21,21.411921
0.046297,23,21.720914
0.1713,22,22.033843
0.078039,22,22.3346
0.079352,19,22.66555
0.071554,21,22.978665
0.156947,26,23.303592
0.018682,20,23.605847
0.196426,22,24.016579
0.0,21,24.450691
0.256794,30,24.801699
0.015284,24,25.121379
0.085186,20,25.43015
0.02094,18,25.70709
0.011582,18,25.995527
0.058087,19,26.274634
0.020255,21,26.565573
0.017664,17,26.881416
0.152189,23,27.184894
4.437012,282,28.404951
0.15578,24,28.704582
0.212555,76,29.184572
0.0,20,29.467168
0.10434,20,29.820248
0.016263,21,30.144008
0.882352,296,31.638679
0.104508,21,31.952605
0.220092,71,32.473289
0.0,20,32.782752
0.144353,19,33.134954
0.008097,19,33.443546
0.051106,21,33.746926
0.053281,20,34.035085
0.075059,20,34.336503
1.096352,114,35.022577
0.372256,122,35.799907
0.086166,25,36.14874
0.035247,22,36.533494
2.851536,286,37.886724
0.042699,21,38.206192
0.035246,21,38.53583
0.148517,26,38.867589
0.375194,155,41.36832
0.035647,19,41.690152
0.964661,59,42.22104
0.049463,19,42.537406
0.475569,115,43.237745
0.194072,22,43.534665
0.02473,18,43.82608
0.06673,23,44.126753
0.140504,24,44.430099
0.087717,22,44.718133
0.122784,24,45.020061
0.215288,93,45.555992
0.071207,21,45.854838
0.1278,21,46.187477
0.789112,130,46.92969
0.00919,20,47.296588
0.028089,20,47.65401
0.14562,129,48.509502
0.032845,18,48.875874
0.052088,20,49.239199
0.0,19,49.536335
0.071835,22,49.853699
0.052844,18,50.14816
0.045005,19,50.445608
0.976845,202,51.440323
0.052051,20,51.759751
0.0,19,52.044897
0.112882,24,52.353164
0.060913,21,52.658547
0.012796,20,52.949
