#{"t_start": 1704852842.752612, "env_id": "None"}
r,l,t
1.511862,18,0.477682
1.832882,21,0.784443
1.638232,22,1.175652
1.400971,18,1.525393
1.903801,24,1.844069
2.643994,23,2.154909
2.317323,24,2.501115
1.852452,21,2.810106
24.64047,245,3.994559
1.642541,20,4.313906
1.513925,19,4.609305
1.807252,21,4.903352
1.658914,19,5.181727
2.026812,23,5.474205
1.506868,18,5.768561
2.086605,21,6.090387
1.745041,21,6.460547
1.805552,20,6.926787
2.214663,21,7.291544
17.524856,225,8.394665
32.480355,427,10.170747
1.801063,20,10.46397
1.998406,21,10.760642
11.746672,123,11.414785
1.611152,20,11.715483
1.509281,18,11.991524
2.447948,28,12.306121
1.71084,22,12.602324
1.891739,21,12.940165
1.475374,18,13.241627
1.733751,20,13.558783
44.464884,365,15.279564
13.039885,196,16.190936
1.80188,20,16.501103
1.80022,19,16.851659
2.192005,21,17.169999
1.452246,19,17.474885
14.097421,107,18.068954
1.767385,22,18.363862
1.761881,20,18.681974
2.281089,23,19.009229
1.613207,20,19.3115
1.427284,19,19.649975
17.083914,164,20.488493
1.783137,22,20.807149
2.211508,23,21.15825
1.414484,18,21.4835
1.561351,19,21.830769
1.471671,20,22.245922
1.666991,18,22.530684
2.199966,22,22.83967
1.485958,20,23.146582
1.555191,20,23.44685
1.925362,23,23.783673
1.613365,19,24.090732
1.599788,21,24.411541
2.258589,22,24.720433
1.879688,19,25.013205
8.464491,72,25.482106
1.904752,19,25.757628
2.563488,22,26.052341
14.413888,119,26.680721
2.211742,22,26.988521
9.443211,75,27.46948
1.977108,22,27.759422
39.009833,342,29.164329
2.693608,29,29.475667
2.123183,21,29.7604
2.31969,24,30.064829
1.79172,21,30.346882
1.449097,19,30.619236
2.211411,24,30.913696
2.200142,23,31.205772
14.663069,159,31.986769
1.682914,19,32.296099
1.51496,20,32.612497
7.359242,79,33.109022
1.987077,20,33.392174
1.360042,17,33.659281
2.077208,22,33.944859
1.816082,20,34.229334
2.546382,24,35.348903
33.06786,275,36.506197
1.719953,18,36.781554
1.613292,19,37.058278
1.757792,21,37.342509
1.665772,20,37.621279
1.934696,21,37.902944
1.50539,19,38.180292
7.896898,86,38.693698
1.596046,21,38.988974
53.864589,413,40.638312
1.563836,18,40.910113
1.879238,23,41.199425
1.613382,19,41.475991
1.609288,21,41.757298
1.711482,19,42.034992
1.672765,20,42.324124
52.049982,426,44.01164
1.556513,19,44.292633
1.948273,24,44.587934
2.317629,23,44.874985
2.151409,21,45.157437
1.859528,24,45.450284
5.437548,43,45.812463
5.708456,64,46.246598
1.782259,20,46.522645
1.470411,19,46.79626
1.682054,18,47.074724
46.480979,330,48.473895
1.680283,19,48.783326
1.629873,18,49.082794
1.61758,20,49.365734
1.916107,21,49.648032
1.618329,19,49.923726
2.066618,21,50.214823
1.977854,22,50.50909
1.53786,18,50.784395
1.578617,20,51.066622
1.409771,21,51.354269
2.339605,23,51.647264
15.713253,283,52.842718
1.820902,20,53.122157
2.124981,22,53.409724
12.380569,94,53.948662
2.126993,21,54.232528
2.211794,21,54.523839
5.764538,71,54.990072
1.762029,20,55.267925
1.854172,21,55.555193
2.162524,23,55.846975
20.072107,162,56.625223
32.766867,346,58.04391
36.959142,273,59.192409
8.030746,68,59.639431
2.42654,24,59.933432
16.703852,252,61.024826
1.778992,21,61.30636
1.480926,18,61.579091
1.966646,20,61.861163
1.445052,19,62.918851
3.20038,29,63.230581
11.399647,146,63.948033
20.526416,165,64.801608
58.614319,393,66.417711
1.542062,19,66.700246
17.824231,261,67.823158
2.184924,21,68.127521
2.01193,20,68.41938
2.017915,22,68.716661
1.944244,21,69.008282
29.705921,278,70.211746
20.187876,283,71.430384
2.053868,23,71.726898
57.677376,554,73.927251
2.234637,22,74.223442
26.807051,243,75.295044
14.256116,130,75.955251
31.882686,299,77.294039
1.765006,19,77.608441
1.891513,22,77.960109
1.449726,18,78.258532
1.983631,21,78.549762
14.907765,129,79.225993
7.824218,72,79.6974
1.472792,19,79.993849
8.444215,73,80.476316
10.514393,94,81.017673
2.478424,22,81.35208
1.761244,22,81.704169
1.565926,18,82.008554
1.593576,20,82.29509
1.829586,20,82.588966
22.289931,185,83.466536
1.899251,21,83.755049
34.110609,500,86.651175
7.028214,59,87.078404
1.576099,18,87.35423
1.351675,19,87.632205
29.574033,800,90.854658
2.128239,22,91.179325
10.338627,148,92.005525
1.727633,18,92.336304
25.382269,192,93.289429
25.15789,166,94.126191
1.848418,23,94.453975
1.952805,23,94.78444
2.076352,23,95.114655
16.483943,265,96.332701
28.533152,493,98.31412
2.022448,21,98.633227
1.730566,21,98.961589
2.055573,22,99.28523
74.017067,603,101.671529
2.443974,25,102.003838
1.720743,19,102.340214
43.924461,337,103.837935
2.451792,23,104.128951
2.112647,23,104.425521
2.639151,25,104.733978
39.230675,293,106.013601
2.099361,21,106.311181
14.669842,172,107.124488
1.849659,18,107.410168
1.916313,21,107.716826
3.05758,30,108.038011
23.365663,259,110.433169
6.335267,68,110.901855
1.520522,19,111.192931
2.28773,23,111.498848
13.552337,172,112.336451
26.944207,278,113.554651
35.047677,495,115.616781
29.146829,260,116.969818
40.79156,320,118.408375
30.444494,253,119.524287
43.590588,313,120.822736
2.034144,22,121.133793
18.079856,157,121.927534
13.624758,139,122.651336
1.614806,18,122.941322
1.484049,20,123.221265
32.302506,282,124.426503
10.987516,81,124.929964
19.841298,187,125.826667
1.805016,20,126.120754
1.802049,20,126.41296
4.710596,197,127.315504
1.358096,21,127.606604
15.785723,119,128.245525
16.629974,175,129.092946
1.539124,19,129.379129
53.687536,501,132.155664
1.684986,21,132.484256
2.161107,21,132.807336
39.721803,323,134.167132
5.072642,47,134.552634
1.526874,21,134.841597
1.727092,21,135.128746
1.680789,21,135.424457
10.971483,886,138.784643
33.244836,277,139.968331
36.060889,508,142.006668
1.928104,22,142.299928
56.157296,722,145.355917
103.899673,801,148.467386
2.302154,24,148.773496
2.472888,26,149.125076
38.411039,525,152.371555
17.024639,138,153.085967
1.75566,20,153.377094
39.444741,308,154.746584
1.539625,22,155.06174
8.867404,97,155.657448
29.668709,1001,159.423189
1.931175,22,159.720364
80.350209,697,162.464958
44.610314,455,164.377754
51.542879,434,166.277915
7.215823,90,166.870919
2.06692,20,167.186638
2.35349,25,167.505169
34.66093,242,168.593199
80.944208,1001,173.12831
19.845193,291,174.351132
7.131324,77,174.854045
16.759401,1001,178.699966
1.664299,22,179.000192
14.003856,1001,182.768006
33.317563,655,185.93701
1.587474,18,186.219427
2.34783,22,186.51627
1.837754,22,186.832481
36.047061,1001,191.736467
66.698135,577,194.050941
16.946233,177,194.873695
59.200071,1001,198.700745
1.995309,24,199.014117
55.931184,823,202.288055
1.427874,19,202.574897
30.050372,903,206.740883
58.119957,1001,210.504287
75.574598,553,212.681889
52.254829,374,214.193283
57.98648,974,217.964056
2.253637,21,218.252654
40.307672,706,220.968941
41.474286,1001,225.57428
21.306065,652,228.34344
34.55269,1001,232.243878
7.476526,56,232.665386
62.685188,1001,236.847579
21.975567,268,238.051638
1.732429,19,238.333527
30.530293,1001,243.137713
36.06758,437,245.060591
27.940621,521,247.156407
26.469518,1001,251.097085
57.176196,748,254.037478
55.409261,1001,258.722238
47.0664,1001,262.696785
40.708474,1001,266.708125
51.511187,1001,270.665999
57.772824,639,273.164049
48.265964,990,277.703808
96.558978,925,281.242811
121.936478,937,284.778502
45.916253,1001,288.557127
16.913074,146,289.304589
46.956356,1001,293.866782
36.424688,1001,297.593514
42.116591,1001,301.467748
41.712715,1001,305.363252
47.714148,1001,310.161096
50.836615,1001,313.901336
55.014006,1001,317.74978
31.256871,1001,321.62172
1.852804,22,321.921354
94.079033,1001,326.912235
19.354823,1001,330.838784
78.245559,1001,334.599867
63.305583,660,337.209112
34.692803,1001,341.706287
56.943307,1001,345.468769
45.021525,1001,349.227926
42.345055,1001,353.12107
40.29724,1001,357.647455
41.023714,1001,361.429829
40.088625,1001,365.159474
1.888026,21,365.442732
41.340224,1001,369.363914
1.928209,24,369.681331
26.731221,1001,374.234264
38.519128,1001,377.986773
90.947173,1001,381.752677
38.652952,1001,385.621076
55.866337,1001,390.470884
28.864056,1001,394.248278
17.797571,1001,398.001093
17.739235,1001,401.897204
1.758299,23,402.193191
141.851549,1001,405.925589
30.542055,1001,410.434967
48.374813,1001,414.2226
50.581962,1001,418.10257
31.125457,1001,421.818508
65.028193,1001,426.461734
35.445721,1001,430.447085
22.656374,395,432.096465
21.904823,576,434.46261
119.026092,1001,438.198213
68.828075,1001,442.724645
25.897511,1001,446.477992
23.724515,1001,450.319065
31.062486,1001,454.090874
13.096028,1001,458.659997
93.401704,1001,462.401281
61.7574,1001,466.289696
110.553883,1001,470.033584
149.803178,1001,474.524878
86.321358,816,477.628876
29.049605,791,480.613416
42.755974,1001,484.416549
44.468386,1001,488.94402
35.531607,1001,492.65362
48.442651,1001,496.355335
60.603232,993,500.19598
32.50894,1001,504.745087
64.61843,1001,508.64754
22.567947,1001,512.432449
33.658595,1001,516.265347
29.579594,1001,519.996951
14.102037,1001,524.527605
109.661133,1001,528.252119
143.024653,1001,532.120594
86.323603,1001,535.870587
23.523261,1001,540.366863
72.476994,1001,544.200165
74.855159,1001,548.055486
