#{"t_start": 1704889371.187198, "env_id": "None"}
r,l,t
0.700337,236,1.230786
0.0,21,1.5079
0.055672,18,1.775306
0.0,21,2.095475
0.045603,21,2.413738
0.240907,23,2.735915
0.083726,22,3.021717
0.754723,183,3.867361
0.059209,20,4.146767
0.04175,21,4.424067
0.027189,23,4.703156
0.035416,21,4.981652
0.134479,19,5.255222
0.988216,185,6.090255
0.038283,20,6.360265
0.0,18,6.632787
0.0,21,6.921224
0.051341,20,7.210752
2.120536,501,9.198725
0.525836,81,9.744431
0.075848,20,10.035144
0.188447,21,10.336944
0.0,18,10.614205
0.481247,119,11.240434
0.067676,18,11.509877
0.064277,22,11.794482
0.051567,21,12.071093
0.14069,21,12.379434
0.38262,162,13.300583
0.083423,25,13.616696
0.0,22,13.923447
0.026867,22,14.20957
0.061488,19,14.489333
0.119256,21,14.777019
0.042135,20,15.070418
0.076628,20,15.36694
1.371382,301,16.7648
0.124686,27,17.082788
0.060307,19,17.372338
0.0,20,17.856398
0.070515,19,18.210556
0.0,17,18.52777
0.432474,102,19.164128
1.267844,197,20.09663
0.0,20,20.385978
0.049521,23,20.703174
0.639207,120,21.411914
0.058573,19,21.730446
2.284928,434,23.707533
1.495737,281,25.069636
0.013829,19,25.353574
0.117721,21,25.644427
0.154402,21,25.930686
0.026464,22,26.223207
0.040209,23,26.520086
0.100772,22,26.818934
0.050155,21,27.103641
0.078112,20,27.389352
0.051309,20,27.676085
0.28595,96,28.224489
0.111024,20,28.508665
0.115601,22,28.80414
0.05355,22,29.097807
0.032045,19,29.38447
0.066611,23,29.680629
0.018336,18,29.959455
0.142759,29,31.381866
0.0,21,31.713598
0.0,20,32.049044
0.055952,22,32.360362
0.167431,18,32.641451
0.017284,23,32.941104
0.149685,24,33.241748
0.702325,120,33.886882
0.043706,21,34.178488
0.0,19,34.462246
3.663262,744,37.294562
0.150722,22,37.592399
0.047595,20,37.886817
0.06845,20,38.189205
0.386428,121,38.946857
0.0,18,39.241748
0.142394,23,39.549861
0.137807,23,39.841477
0.027963,20,40.118782
0.080498,22,40.406899
0.123512,21,40.690219
0.0,18,40.967859
0.043415,20,41.246951
0.015289,20,41.538275
0.0,20,41.826345
0.02737,18,42.100012
0.013198,20,42.389667
0.025537,23,42.684695
0.028809,23,42.976752
0.011909,19,43.25587
0.016901,21,43.542521
0.415839,128,44.205948
0.0,21,44.495605
0.0,27,44.805958
0.0,19,45.089431
0.04227,20,45.375094
0.040743,20,45.660822
0.03003,18,45.937294
0.086637,24,46.231313
0.099977,22,46.518451
0.061566,19,46.799171
0.114869,22,47.094896
0.047276,19,47.381527
0.0,22,47.683895
0.150863,79,48.184796
0.055446,20,48.471192
0.009029,19,48.764257
0.052769,21,49.056343
0.0,18,49.376441
0.167289,20,49.701938
0.097457,21,50.009192
0.791662,253,51.184592
0.0424,20,51.480827
0.056393,20,51.794586
0.071039,20,52.09679
0.082946,22,52.396343
0.657087,150,53.232726
0.090977,22,53.587971
0.025293,20,53.972154
0.0,17,54.269008
0.085347,22,54.573434
0.983794,246,55.668112
0.037431,20,55.960409
0.045995,17,56.239194
0.173903,20,56.528386
0.0,18,56.810625
0.06741,22,57.104824
0.063608,21,57.395536
0.018199,22,57.686743
0.0,20,57.969928
0.098234,21,58.261257
0.075972,18,58.548363
0.0,18,58.831542
0.092053,20,59.121934
1.420566,477,61.185028
0.040164,20,61.473456
0.0,19,61.762303
0.048489,18,62.055975
0.069038,19,62.341483
0.496738,76,62.843645
