#{"t_start": 1704894204.8579898, "env_id": "None"}
r,l,t
0.047276,22,0.491227
0.317524,72,0.999537
0.0,18,1.29167
0.0,20,1.596956
0.040594,19,1.881919
1.576638,188,2.768402
0.047327,22,3.060993
0.010033,20,3.358777
0.0,19,3.638347
0.052307,22,3.933568
0.10636,21,4.317111
1.148195,316,5.84457
0.0,20,6.135147
0.0,18,6.427444
0.067919,22,6.744892
0.06563,21,7.072642
0.068491,20,7.404612
0.046482,18,7.70647
0.055062,20,8.018523
0.110665,23,8.329695
0.052088,22,8.634759
0.026331,22,8.935088
0.132115,23,9.230855
0.04095,21,9.513948
0.126699,70,10.025397
0.0,20,10.332658
0.077841,23,10.662244
0.458398,145,11.43532
0.096821,20,11.730881
0.15595,21,12.030489
0.048956,22,12.325919
0.065563,22,12.629448
0.035746,19,12.921143
0.044811,22,13.236648
0.139662,20,13.526867
1.042718,247,14.700015
1.376878,329,16.363611
0.249585,76,16.85234
0.0,19,17.137961
0.722783,639,19.960737
0.267628,23,20.291266
1.34817,271,21.506993
0.028558,17,21.790958
0.891787,340,23.231054
0.034676,20,23.535927
0.071106,20,23.835606
0.086799,23,24.157501
0.107126,93,24.72918
0.149211,26,25.039975
0.370358,148,25.851873
0.031073,24,26.23852
0.018286,22,26.549567
0.0,17,26.928649
0.097091,27,27.28241
0.71186,183,28.151535
0.044403,20,28.444664
0.084224,25,28.754053
0.0,20,29.042293
0.177013,21,29.332022
0.020707,20,29.617983
0.877258,176,31.245307
0.062626,23,31.544507
0.363586,75,32.067067
0.135801,67,32.577274
0.020624,19,32.881498
0.0,19,33.175562
0.064802,20,33.473031
0.030042,19,33.754787
0.336813,115,34.379622
0.0,22,34.66493
0.000594,21,34.950807
0.055885,19,35.258478
0.107158,18,35.553397
0.141509,21,35.837377
0.107833,24,36.135312
0.128661,20,36.433148
0.097648,20,36.722887
0.032055,23,37.021241
0.0,21,37.312417
0.0,19,37.597881
0.02173,19,37.883225
0.303154,140,38.617434
0.019655,22,38.921518
0.074042,20,39.213145
0.737003,121,39.857298
0.263332,22,40.150192
0.137967,20,40.429459
0.734707,145,41.148983
0.146216,21,41.446926
1.41277,338,42.856243
0.088119,20,43.153515
0.511838,191,44.29729
1.558623,255,45.541907
0.072603,18,45.867465
0.0,19,46.165993
0.037507,20,46.46149
0.0,21,46.764524
0.632498,164,47.575965
0.120334,27,47.888945
0.0,20,48.183571
0.822395,202,49.177437
0.176362,24,49.488879
0.098058,23,49.793863
0.015416,21,50.093996
0.0,21,50.398069
0.191277,23,50.708333
0.099251,18,50.99163
0.095604,20,51.284478
0.0,18,51.57591
0.051027,21,51.86834
0.050691,24,52.181818
0.038361,18,52.474942
0.068211,24,52.786484
0.057119,21,53.091444
0.033797,21,53.392473
0.098129,20,53.683993
0.018009,18,53.968718
0.0,19,54.252697
0.024677,19,54.542613
0.0,22,54.839283
0.022372,23,55.143434
0.0,21,55.453528
0.288359,71,55.943456
0.006312,19,56.235103
0.0,21,56.53992
1.042644,429,58.477514
0.062209,23,58.835372
0.202041,83,59.34023
0.037584,53,59.743863
0.02674,21,60.037837
0.07902,22,60.360992
0.05702,20,60.661171
0.0,22,60.961574
0.089477,24,61.280361
0.025102,21,61.568212
0.096048,21,61.856683
0.31741,90,62.385714
0.030111,22,62.679031
0.585197,168,64.347838
0.070513,19,64.630834
0.0,20,64.92388
1.35471,265,66.120833
0.139069,24,66.434059
0.253284,140,67.221215
0.547239,67,67.717968
0.0,20,68.012437
0.261437,24,68.318419
0.162976,20,68.6565
0.021056,20,68.978836
0.051689,19,69.265629
0.0,19,69.610328
0.088858,21,69.960032
0.027778,19,70.259763
0.045502,23,70.559577
0.117626,21,70.862859
0.033074,20,71.160367
0.064783,20,71.461846
0.065556,22,71.786775
6.509396,1001,75.875266
0.359054,25,76.205343
0.17374,58,76.670137
0.145022,24,76.985506
0.047428,19,77.286223
0.184076,22,77.585154
0.354707,115,78.386355
0.005509,19,78.778263
0.116679,21,79.126377
0.052375,22,79.468537
0.121244,19,79.958257
0.014302,19,80.372334
0.037848,22,80.691069
0.245868,99,81.405307
0.031251,20,81.849738
0.151497,25,82.195705
0.0,21,82.546764
0.0,20,82.882425
0.007448,20,83.216889
0.019237,19,83.572626
2.957087,459,85.700553
0.045644,23,86.074507
0.065532,21,86.383077
0.026201,22,86.740536
0.054086,22,87.127151
0.041799,25,87.660024
0.0,18,88.088844
0.025463,20,88.403037
0.056053,21,88.736156
0.048158,20,89.054129
0.399048,73,89.665304
0.046744,19,89.96787
0.06106,20,90.254922
0.048545,20,90.645445
0.052353,25,91.010606
0.0,19,91.323596
0.0,18,91.620424
0.0,19,91.951356
0.0,18,92.398105
0.060843,22,92.803107
0.022654,18,93.108556
0.02804,24,93.418225
0.164864,112,94.080162
0.263532,142,94.823206
0.034241,19,95.289069
0.052651,19,95.662333
1.433035,364,97.392837
0.088493,19,97.78347
0.100992,20,99.909869
0.69644,348,101.456167
0.0,19,101.759334
0.676057,137,102.483751
0.372381,72,102.973067
0.03272,19,103.275619
0.0,19,103.560386
0.07976,20,103.873314
0.0,19,104.202272
0.0,19,104.53133
0.044864,23,104.850873
0.055031,22,105.178525
0.0,19,105.513282
0.020607,21,105.861017
0.047722,19,106.165565
0.0,21,106.492125
0.042194,18,106.774889
0.049061,21,107.069248
0.046312,22,107.378601
0.062743,21,107.693305
0.069052,20,107.990811
0.065959,19,108.304916
0.057285,21,108.61744
0.073966,23,108.930013
0.048932,20,109.244993
0.0,19,109.54199
0.097563,21,109.845563
0.038857,25,110.149878
0.03636,19,110.433475
1.524066,205,111.36785
0.0,18,111.654591
0.0,21,111.943499
0.0,19,112.224909
0.408048,143,112.96016
0.066412,23,113.262578
0.175718,28,113.574307
0.018406,20,113.856679
0.0646,21,114.141048
0.072041,19,114.41898
4.143275,893,117.99948
0.055579,22,118.297829
0.079023,20,118.589318
0.0,20,118.8725
0.029406,21,119.166803
0.131578,25,119.480159
0.46986,130,120.157792
0.103977,21,120.459286
0.049805,20,120.738631
0.364582,187,121.600962
0.274165,21,121.890608
0.214303,26,122.193168
1.641184,325,123.547051
0.052239,24,123.843552
0.034443,21,124.129592
0.078794,21,124.423162
0.011175,21,124.712066
0.210745,62,125.147726
0.0,21,125.450312
3.308997,1001,130.073563
0.073782,19,130.358505
0.022921,20,130.639642
0.126929,22,130.930719
1.664822,385,132.500825
1.473514,464,134.576214
0.042177,19,134.86503
0.055373,19,135.143619
2.024074,799,138.178875
0.293221,121,138.82819
0.149304,29,139.145378
0.054041,21,139.43284
0.116014,18,139.704283
0.042949,19,139.986396
0.241341,151,140.73864
0.0,21,141.038249
0.044846,22,141.327729
0.041464,20,141.611092
0.14219,22,141.899888
0.413647,101,142.465709
0.140809,20,142.755047
0.879221,156,143.540053
0.037747,22,143.840758
0.135502,20,144.137775
0.096505,23,144.450453
0.037092,23,144.747499
0.191559,23,145.048874
0.061221,21,145.356919
0.008667,21,145.659342
0.02009,20,145.971623
1.325148,281,147.40458
0.030387,20,147.742578
0.030915,20,148.045279
0.933451,266,149.537213
0.106124,21,149.874947
1.281812,133,150.582201
0.185641,22,150.929048
0.062168,25,151.347903
1.155874,403,155.525251
0.0,19,155.928345
0.035591,20,156.294779
0.066294,20,156.609608
0.013037,18,156.930626
0.315775,91,157.645123
0.129466,21,157.965467
1.599447,413,159.68633
0.143433,21,159.994506
0.207715,91,160.538165
0.128243,25,160.843684
0.079539,19,161.124101
0.018099,25,161.423286
0.075699,22,161.724075
2.701866,292,163.010171
0.0,19,163.290722
0.058312,18,163.577487
0.0,20,163.882753
1.894481,393,165.569758
0.221298,144,166.321565
0.070092,21,166.622314
4.782965,1001,170.493286
0.152518,22,170.796715
0.056378,22,171.116033
2.634453,884,174.944867
0.13083,21,175.249488
1.036188,323,178.208443
0.036244,22,178.531337
0.079504,19,178.844184
0.171286,22,179.290894
3.115459,534,182.203369
0.959025,278,183.657982
4.564547,1001,187.556427
0.034096,23,187.857923
0.219191,71,188.328226
0.0,19,188.610697
2.4359,443,190.394277
0.084493,22,190.684258
0.07563,23,190.976819
0.0,19,191.254061
0.149119,22,191.543762
0.069468,20,191.827103
0.082115,22,192.117454
0.038447,22,192.406297
1.050746,280,193.599093
0.013438,22,193.917056
0.070877,22,194.2554
0.070342,22,194.586232
0.298171,119,195.221255
0.047524,20,195.504739
0.0,20,195.788999
0.352181,129,196.453425
2.563962,577,198.699147
0.029081,22,199.011121
0.103893,22,199.300368
0.060843,22,199.591647
0.01834,23,199.879202
0.0,19,200.152923
2.325302,607,203.307023
3.185974,727,206.140102
0.040874,19,206.415929
0.062005,20,206.713388
2.751693,580,209.061318
0.017133,20,209.359841
0.104591,21,209.648774
0.142893,22,209.93858
0.0,21,210.224052
0.179027,26,210.532378
