#{"t_start": 1704889389.169803, "env_id": "None"}
r,l,t
0.067561,19,0.524158
0.03246,21,0.840064
0.089322,23,1.158103
0.067443,20,1.45543
0.025296,18,1.740964
1.232711,131,2.424379
0.000388,19,2.727472
0.049414,19,3.028909
0.063249,19,3.333649
0.313728,83,3.894304
0.114759,22,4.230345
0.04606,21,4.535004
0.115697,22,4.878224
3.846149,137,5.620733
0.068572,22,5.923441
0.0,19,6.213425
4.584077,622,8.708591
0.0,18,8.982939
0.0,22,9.265142
0.064655,22,9.556214
0.068186,19,9.828848
0.233422,24,10.115253
0.061823,21,10.394816
0.181239,27,10.709328
0.043682,20,10.998604
0.0,19,11.280793
0.061169,18,11.550276
0.17027,20,11.831573
6.814143,516,14.16253
0.895901,144,14.899419
0.046607,20,15.182501
0.0,22,15.471381
0.089758,21,15.757617
0.01141,19,16.03379
0.126546,26,16.337672
0.020023,28,16.653936
0.000575,21,16.938568
0.395123,85,17.440049
0.046418,19,17.717024
0.0,18,17.983728
0.0,19,18.253876
0.061312,19,18.522529
0.114151,21,18.800865
0.0,20,19.075035
0.0,18,19.343777
0.0,20,19.628843
0.048784,21,19.92189
0.056374,20,20.233114
0.032974,22,20.554859
0.0,20,20.888106
0.020597,19,21.187928
0.590271,161,21.972323
0.0,19,22.248878
0.010411,21,22.530537
0.0,20,22.804015
2.029035,93,23.331063
0.103874,22,23.613648
0.091923,20,23.890703
0.048192,19,24.163202
5.445179,545,26.275083
0.039536,22,26.56825
0.038601,20,26.854243
0.0,17,27.130226
0.0,23,27.430533
0.074306,18,27.706141
4.513979,172,28.511955
0.064804,20,28.788493
0.047498,21,29.09313
0.047398,22,29.38911
0.265112,25,29.697789
0.19825,44,30.066257
2.01265,68,30.518806
2.359262,471,33.27811
0.028892,21,33.566773
0.073437,20,33.867339
0.169934,23,34.181024
0.0,21,34.474974
0.0,23,34.7891
0.142965,22,35.122859
3.279056,167,36.110679
0.0,19,36.417432
0.038911,20,36.717886
0.028709,20,37.001882
0.003052,18,37.284585
0.029245,20,37.578637
0.143584,21,37.865521
0.046751,18,38.140519
0.0,19,38.420801
0.021434,19,38.69687
0.0,21,38.983933
0.0,18,39.256112
2.100758,199,40.16596
0.0,17,40.434666
0.362949,69,40.893222
0.0,18,41.171254
2.968701,74,41.675094
0.071367,19,41.983174
0.172541,22,42.306192
0.057346,19,42.607904
0.037132,20,42.908718
0.129487,20,43.186159
1.506887,274,44.366578
0.045546,21,44.671174
0.087036,23,44.963214
0.081881,24,45.258134
0.092532,22,45.542502
0.052389,19,45.825211
0.123891,21,46.114134
0.0,20,46.407648
0.054913,19,46.726451
0.097315,19,47.047751
0.098622,20,47.338509
0.030285,18,47.618133
0.053985,19,47.899253
0.04935,20,48.187922
0.19957,21,48.484184
0.079455,20,48.773074
0.01861,20,49.067351
0.007599,19,49.351164
0.05131,19,49.633163
0.0,19,49.911644
0.052022,22,50.211451
0.015689,20,50.494948
0.086926,21,50.788543
0.02218,23,51.080165
0.0,20,51.359497
0.07218,25,51.663953
2.71036,366,53.157784
9.462073,310,54.457439
0.125625,24,54.763683
0.203994,74,55.230584
0.025416,21,55.519946
0.045626,23,55.815954
0.035185,21,56.114526
0.030369,20,56.402241
0.023931,20,56.688608
0.01367,19,56.969294
0.05343,19,57.250003
0.027135,21,57.53927
0.120926,21,57.827533
1.458472,189,58.703519
0.072213,20,58.986365
0.019947,19,59.269455
0.0,20,59.549416
0.138715,21,59.831684
0.050399,20,60.119217
0.080342,20,60.413904
0.149748,24,60.710852
0.022827,18,60.988075
0.178123,24,61.290302
0.040715,19,61.573176
0.127395,23,61.867915
0.10379,23,62.162718
0.04652,23,62.451945
0.067325,20,62.732675
1.504856,127,63.396547
6.26382,496,66.20839
0.094398,21,66.494281
0.05554,24,66.789044
0.0,19,67.0675
0.0,18,67.341581
0.276519,24,67.644466
0.057865,21,67.931217
0.036522,18,68.214488
2.117788,205,69.148432
4.145086,454,71.057492
0.085433,21,71.345527
0.117035,21,71.630947
0.172653,20,71.909665
9.200686,249,72.999833
8.300231,411,74.643608
0.090468,23,74.934078
0.062937,20,75.258793
2.743599,493,77.209009
0.05644,25,77.514684
0.097156,20,77.798218
0.054704,21,78.08593
0.002253,19,78.360116
0.081191,21,78.644363
0.073533,22,78.934089
0.174362,23,79.230511
4.659033,187,80.094197
0.097263,21,80.39086
0.497926,109,80.998838
0.127618,21,81.284607
0.005338,21,81.568369
0.080842,19,81.843967
0.122011,23,82.132182
0.14841,26,82.431293
0.057253,22,82.722745
0.135676,27,83.043723
0.097514,25,83.35143
0.074019,21,83.637072
1.535183,75,84.112856
