#{"t_start": 1704894187.489555, "env_id": "None"}
r,l,t
0.012752,19,0.502013
0.013976,21,0.786541
0.012697,20,1.091803
2.742246,225,2.120662
0.17578,24,2.416499
2.406293,365,4.015546
0.0,20,4.304626
0.0,19,4.607402
0.0,19,4.872634
0.183481,22,5.153877
0.0,19,5.419988
0.186013,20,5.69849
0.0,19,5.96985
0.0,21,6.265448
0.206514,21,6.580343
0.05973,22,6.913797
0.08648,21,7.236465
0.0,18,7.550011
0.040699,19,7.845816
0.038657,24,8.142623
0.144384,21,8.428062
0.053801,22,8.717416
0.545645,110,9.370565
0.0,22,9.688951
0.018697,22,9.996372
0.713036,204,10.998174
6.353409,249,12.097271
0.03856,20,12.378231
0.0,19,12.659669
0.314578,73,13.114173
0.0,17,13.374108
0.047397,21,13.660875
0.007293,19,13.944395
0.127201,19,14.230378
0.072279,19,14.509033
0.038914,21,14.786097
4.271871,198,15.659496
0.020809,18,15.968691
0.08544,22,16.402017
0.052161,19,16.704189
0.060551,20,16.997436
0.0,24,17.309433
0.022543,19,17.608998
2.191315,363,19.211556
2.341469,124,19.868887
2.338244,96,20.416316
3.754392,151,21.177331
2.172206,126,21.992788
0.236009,22,22.320273
2.037144,216,23.401576
0.273241,99,23.990302
0.028275,21,24.323517
0.120325,22,24.651447
0.110537,18,24.954506
0.267683,22,25.266067
0.787122,97,25.860649
0.0,20,26.141217
0.061238,17,26.427045
0.51036,74,26.916426
0.029533,21,27.221309
0.118361,22,27.536404
0.021177,19,27.855297
0.111977,22,28.169003
0.296907,22,28.462283
0.348039,22,28.778723
0.083123,21,29.070891
0.165737,72,29.562045
0.06337,19,29.85582
0.052165,20,30.162114
0.045842,20,30.465244
0.352222,114,31.112675
0.09674,20,31.398229
0.0,19,31.697465
0.252519,28,33.509217
1.188916,123,34.171593
0.0,20,34.460041
0.081638,26,34.784995
0.01491,18,35.093353
0.0,17,35.470373
5.012949,208,36.474029
0.08372,19,36.790197
0.005186,21,37.104996
0.146794,21,37.434723
0.080306,18,37.746027
0.114517,21,38.051581
0.0,20,38.342201
0.094682,22,38.629808
0.052658,18,38.914274
2.840758,109,39.515497
0.006614,19,39.789042
0.189718,27,40.091707
1.211022,372,41.715615
0.014382,20,42.025309
0.04274,23,42.32667
0.153006,28,42.643312
0.128875,20,42.954893
0.116246,22,43.281544
0.072653,21,43.646268
0.151792,22,43.965332
0.06243,20,44.370999
0.021403,23,44.701309
0.1622,20,44.998291
4.554978,301,46.286444
0.201644,25,46.58651
0.148666,19,46.86014
0.075207,19,47.135675
2.705088,243,48.292549
0.04128,17,48.565293
3.997273,128,49.258389
2.067135,114,49.955032
0.070162,20,50.274328
2.235867,500,52.292457
0.0,20,52.613974
2.055881,128,53.292894
0.008441,21,53.574776
0.067718,20,53.861139
0.084406,20,54.158632
0.064864,20,54.451253
0.043897,20,54.743369
0.47236,33,55.086964
0.09768,19,55.369511
0.019863,20,55.651741
0.052469,22,55.970752
0.134626,24,56.282318
0.086711,18,56.559875
0.051895,23,56.850532
0.061263,20,57.129462
0.0,22,57.42658
1.740979,289,58.661027
0.062477,21,58.952965
0.044091,21,59.230892
3.88517,303,60.525548
0.065122,19,60.978751
12.669247,874,65.498273
0.026813,19,65.813318
0.370599,22,66.130082
3.310854,318,67.53192
0.0,18,67.8266
0.087065,22,68.126528
1.278978,56,68.550558
1.58399,178,69.437993
0.3602,27,69.757803
0.032248,22,70.071718
0.0,26,70.394943
0.361688,79,70.908753
6.689774,314,72.289728
0.040088,25,72.606788
0.040362,17,72.890353
0.099464,23,73.206602
0.92415,143,73.977092
5.600143,171,74.888601
0.146912,19,75.194727
0.75296,71,75.702285
0.854853,122,76.430123
0.035418,23,76.723651
2.834614,378,78.363619
4.098023,245,79.475661
0.132169,21,79.764106
0.630394,116,80.386934
0.055763,20,80.666889
0.092046,20,80.990083
0.179834,20,81.318526
5.077068,164,82.164998
0.034943,21,82.449663
0.025505,19,82.747229
7.05381,266,83.965605
0.144084,22,84.284233
0.166979,21,84.601624
2.730644,461,87.461305
0.0,19,87.74938
0.097208,22,88.053367
3.662538,157,88.854559
0.082973,24,89.209611
0.03972,21,89.53109
0.0,20,89.845368
0.559946,65,90.358031
0.074223,24,90.68433
0.174897,21,90.986568
0.060944,17,91.306276
1.578646,282,92.573223
0.241945,25,92.890826
5.266021,192,93.861346
0.06375,20,94.17281
0.0,19,94.476929
0.000267,21,94.7643
2.198807,173,95.846254
0.071121,23,96.242883
0.0,18,96.583371
