#{"t_start": 1704902593.196811, "env_id": "None"}
r,l,t
0.326559,33,0.558117
0.587137,72,1.053172
0.0,19,1.333643
0.050846,20,1.620896
0.080731,20,1.921091
0.018407,20,2.202708
0.0,21,2.483646
0.088708,21,2.771068
0.075054,18,3.058087
0.012225,19,3.325081
0.047922,18,3.618691
0.061373,21,3.930424
0.0,19,4.215507
0.060989,21,4.493483
0.068761,20,4.80634
0.036353,20,5.078964
0.0,20,5.349113
1.283042,241,6.38591
0.02573,22,6.67673
0.08417,22,6.989301
0.050478,18,7.277325
0.0,18,7.56851
0.156039,20,7.872923
0.139414,29,8.221433
0.022737,19,8.495034
0.060693,19,8.760926
0.084977,23,9.048261
1.68544,489,11.135086
0.043327,20,11.427126
0.042122,21,11.708853
0.0133,22,11.988935
0.052473,20,12.273653
1.268606,153,13.106298
0.058462,20,13.398278
0.058606,20,13.695661
0.0,18,13.961648
0.054162,22,14.23881
0.052723,21,14.515469
0.013778,21,14.789363
0.063045,24,15.07314
1.100561,71,15.537349
0.133967,20,15.84703
0.054249,21,16.147733
0.135192,64,16.600399
0.193717,24,16.915987
1.226877,252,18.261538
0.035598,18,18.750678
0.155255,21,19.077219
0.112044,24,19.4042
0.0,21,19.771579
0.090824,21,20.073288
0.042066,19,20.350291
0.039816,20,20.620662
0.09214,19,20.900369
0.084201,18,21.187684
1.12353,312,22.541162
0.060882,20,22.84943
0.034486,19,23.161966
0.214871,86,23.728048
0.174995,23,24.05855
0.073697,24,24.389781
0.1732,22,24.701807
0.097834,20,24.998933
0.113934,21,25.298092
0.041522,22,25.606548
0.012711,21,25.913228
0.041629,19,26.195049
0.028628,22,26.514961
0.246675,134,27.227646
0.018576,20,27.524054
0.271719,74,27.998611
0.057062,19,28.315933
2.128711,498,30.578545
0.0,20,30.950832
0.559224,220,31.993522
0.080249,25,32.330863
0.119373,21,32.626171
0.070537,22,32.916848
0.103298,19,33.212194
0.009045,21,33.538394
0.024074,19,33.819804
0.09822,22,34.921269
0.0,22,35.210193
0.0,19,35.506453
0.05566,17,35.782004
0.034594,21,36.070133
0.05324,21,36.358535
0.052943,22,36.660723
0.480156,79,37.168654
5.724763,239,38.27714
0.0,23,38.683443
4.67693,801,41.90011
0.05603,21,42.224298
0.905293,71,42.68812
0.135374,22,42.979807
0.062217,22,43.282208
0.032075,25,43.611239
0.070169,21,43.924422
0.0,18,44.215274
0.100392,22,44.504913
0.0,21,44.787968
1.614132,469,46.643791
0.078168,22,46.944219
0.259471,97,47.496172
0.0,18,47.77702
1.839773,331,49.148238
0.107277,25,49.446724
0.014243,19,49.726632
0.0,18,50.009673
0.054738,20,50.290822
0.846727,240,51.361365
0.081465,22,51.638599
1.788989,352,53.089626
0.112441,24,53.402485
2.536905,145,54.14407
0.030294,19,54.415092
6.574518,354,55.842208
0.063223,20,56.111571
0.060908,23,56.406014
0.086056,19,56.827504
1.728393,259,58.043238
0.0,22,58.365093
0.070648,23,58.740103
0.041266,20,59.052019
0.232391,88,60.519773
0.083106,21,60.800669
0.025427,20,61.075212
0.063682,24,61.362812
3.658418,257,62.472054
0.13187,21,62.776677
0.019367,19,63.082376
0.963413,172,63.944226
1.834243,344,65.551333
0.151971,21,65.835928
3.118273,653,68.452665
0.076127,20,68.730648
0.054538,21,69.021437
0.059823,20,69.304782
0.078161,21,69.590463
0.03354,20,69.87848
0.124657,24,70.171938
0.083667,23,70.4624
0.047676,19,70.738453
0.11377,21,71.022492
0.24887,61,71.482862
0.164504,24,71.838276
0.006177,20,72.143036
2.202883,218,73.224048
0.071944,23,73.594439
0.498408,204,74.662506
1.315869,227,75.905525
0.0,20,76.20986
0.069005,27,76.527726
0.255348,25,76.849491
0.036072,19,77.129122
0.0,19,77.404973
0.066191,19,77.693468
0.729954,291,78.948678
0.0,23,79.240417
0.434441,131,79.923165
0.024746,19,80.257705
0.098342,27,80.797364
1.623312,239,81.981446
0.143493,20,82.304354
0.049388,20,82.594462
0.0,20,82.891596
0.091014,19,83.18097
0.0,20,83.473027
0.028678,18,83.76712
0.075823,23,84.077061
0.023075,18,84.37051
0.029971,20,84.663972
0.0,20,84.970089
0.0,19,85.261332
0.0,21,85.554897
0.12257,19,85.878215
0.030697,19,86.194177
1.459083,388,89.090051
0.053571,21,89.385006
1.395071,275,90.649629
0.25095,106,91.28779
0.857075,160,92.164651
1.805342,596,94.674565
1.63702,794,97.755055
0.028825,19,98.04631
0.103854,21,98.332891
0.049572,22,98.619637
0.030792,19,98.905851
0.009549,20,99.196126
0.24747,93,99.809383
0.029904,20,100.140059
0.004824,21,100.50691
0.827502,286,101.776765
0.0,20,102.062729
0.150998,21,102.349912
0.0,20,102.62885
0.849992,272,103.79862
0.013372,19,104.074344
0.063904,20,104.356232
0.596151,72,104.830937
3.622808,391,106.443089
0.330853,25,106.760264
0.210245,23,107.061826
0.051316,22,107.356903
1.384519,166,108.166533
0.021488,22,108.455842
0.0,20,108.74213
0.438646,178,109.59299
0.048796,19,109.874495
0.020499,22,110.171429
5.125585,164,111.141829
0.182617,23,111.48054
0.617839,196,113.318388
0.133415,22,113.60637
0.112519,21,113.901726
0.096249,21,114.193895
0.013756,26,114.498793
1.030956,282,115.789623
0.513934,75,116.343821
0.0,20,116.647636
0.2921,83,117.16481
3.036829,400,118.783208
0.524433,75,119.276734
0.04724,19,119.555422
0.079255,20,119.838765
0.141802,22,120.150242
0.057373,18,120.432992
0.089985,21,120.730207
0.154809,51,121.127241
0.098993,21,121.413892
0.157766,25,121.714052
0.045147,20,121.998288
0.037196,25,122.305122
5.470318,405,123.960904
0.0,21,124.247696
0.074864,21,124.531556
0.07452,19,124.814708
0.377858,124,125.472719
0.055897,23,125.793272
0.064229,21,126.106603
0.031199,20,126.403454
0.950296,215,127.372557
0.730228,99,127.93453
0.125782,21,128.215285
0.070247,22,128.499276
0.180891,22,128.800803
2.871213,748,131.646263
0.030506,22,131.940076
0.0,20,132.221732
0.702171,146,132.945378
0.053752,20,133.223313
0.018365,18,133.502092
0.114193,20,133.792997
2.768141,721,137.354841
0.0,21,137.653044
0.015955,22,137.981252
0.110573,22,138.310671
0.051965,19,138.606626
0.094367,24,138.903833
1.789342,921,142.41445
3.187824,133,143.097389
0.107615,21,143.377555
1.331517,142,144.083322
0.72773,87,144.599648
0.068431,20,144.877983
0.092313,82,145.389847
0.05734,24,145.688291
0.058203,19,145.972148
0.188675,20,146.257619
1.060649,343,147.68324
0.351355,31,148.006489
0.277896,194,148.912554
0.1819,135,149.597546
0.084478,22,149.901053
0.03975,21,150.199939
3.748201,646,152.690392
0.010307,23,152.984178
3.593221,749,155.846521
0.080871,24,156.150166
5.106847,272,157.333594
3.548595,498,160.097805
0.090261,23,160.385195
1.464632,457,162.255794
0.205148,22,162.550283
0.14848,24,162.85034
0.053385,21,163.141091
1.018076,238,164.196385
1.554745,644,166.742115
0.174258,22,167.037724
2.658121,288,168.281521
0.11135,22,168.574157
0.01837,18,168.865092
1.309011,355,170.564246
1.960624,253,171.769248
0.098851,22,172.067644
1.660386,372,173.608222
2.067094,339,175.035484
0.25159,22,175.331125
0.584854,124,176.047276
0.455435,177,176.950811
0.07161,22,177.248806
0.056433,23,177.543237
0.735484,286,179.580977
3.243409,950,183.193601
0.086045,23,183.509239
1.057993,205,184.567976
1.194145,100,185.429526
0.346943,116,186.071561
0.053262,23,186.376646
2.267259,481,188.332065
0.077621,23,188.627397
2.172223,94,189.175142
3.324019,727,191.978941
1.635445,454,193.826859
0.113925,23,194.127941
0.0,20,194.41348
1.066188,190,195.432669
0.257035,24,195.791526
0.111122,21,196.107248
1.944971,644,199.741104
0.051134,22,200.046111
0.116655,20,200.344378
2.629612,321,201.71261
2.002608,359,203.257526
0.508938,139,204.035137
3.7634,652,206.659887
1.730399,387,208.244902
4.844257,563,210.465913
0.119961,18,210.767786
0.194832,23,211.061888
2.134733,509,213.081165
1.595795,458,214.931809
0.729556,192,215.82978
0.032811,24,216.134411
0.06074,22,216.425056
0.400051,125,217.078932
0.092043,20,217.359363
1.664621,295,219.390574
0.165766,24,219.699627
0.046357,23,219.998064
11.830176,938,223.616679
3.021236,1001,227.667796
2.946894,660,230.223244
3.363328,625,232.728257
2.056446,376,234.288893
0.047624,19,234.561758
4.397644,904,238.752925
0.10001,20,239.039408
