#{"t_start": 1704905891.751755, "env_id": "None"}
r,l,t
0.511874,99,0.782947
0.026295,19,1.072558
0.128009,20,1.372305
0.037132,23,1.668605
0.049335,21,1.96493
0.171521,20,2.266954
0.013183,21,2.566424
0.955943,214,3.685764
0.060948,19,4.010849
0.065788,21,4.318216
0.217649,120,4.978116
0.126331,19,5.270938
0.040851,25,5.586601
0.026168,18,5.879917
0.067561,22,6.190922
0.000466,19,6.484397
0.097055,21,6.782911
0.05085,19,7.070583
0.12675,83,7.595459
0.0,18,7.982053
0.037163,19,8.670975
0.189172,21,9.083956
0.0,21,9.409578
0.056721,18,9.720124
0.122805,26,10.036829
0.006408,20,10.33928
0.102782,22,10.657721
0.017033,20,11.286224
0.0,18,11.593296
0.074059,21,11.965386
0.05063,21,12.42515
0.048291,19,12.73865
0.0,20,13.029787
1.247864,284,14.256437
0.001954,19,14.541348
0.04134,20,14.82723
0.137531,25,15.131466
0.090234,25,15.440325
0.075629,25,15.771882
0.026544,21,16.113551
0.075207,21,16.433608
0.0,20,16.72525
0.053445,20,17.016046
0.033142,20,17.308335
0.03826,20,17.689798
0.88071,133,18.4001
0.0,19,18.698636
0.944446,182,19.562343
0.11117,19,19.843582
0.102835,19,20.119287
0.044627,21,20.425909
0.039073,18,20.763526
0.0,19,21.066424
0.154381,21,21.359054
0.0,19,21.639007
0.059699,20,21.915214
2.175851,404,23.550512
0.032718,20,23.826607
0.01862,22,24.109907
0.10029,19,24.380668
0.055209,21,24.664927
0.538146,213,25.619779
0.056658,19,25.903943
0.105374,21,26.188677
0.166568,24,26.491295
0.110613,24,26.791733
0.084729,23,27.082802
0.0,20,27.364415
0.078716,20,27.651728
0.785504,238,28.713795
0.0,21,29.007612
0.029016,22,29.297072
0.061552,22,29.58698
0.119996,22,29.884972
0.02566,20,30.169881
0.0,19,30.451597
0.142744,22,30.746404
0.055203,26,31.045524
0.30969,89,31.590906
0.082775,18,31.865074
0.023351,18,32.152546
0.093235,20,32.438752
0.044114,19,32.71271
0.093655,23,33.002271
0.05648,21,33.28362
0.11427,22,33.572133
0.004235,18,33.8479
0.02445,21,34.133107
0.0,19,34.409084
0.055862,20,34.689065
0.060709,22,34.978666
0.105089,20,35.260439
0.076335,26,35.563356
0.0,24,35.866376
0.019713,22,36.161078
0.062089,19,36.444745
0.051671,21,36.736726
0.12286,21,37.027759
0.0,20,37.322382
0.018741,21,37.612763
0.0,18,37.895269
0.093455,21,38.186974
0.0,19,38.466994
0.169952,20,38.751287
0.326076,22,39.04734
0.085739,24,39.351697
0.455085,84,40.751282
0.086705,19,41.034433
0.0,18,41.309277
0.793745,187,42.184382
0.272948,116,42.81313
0.060377,21,43.101878
0.0,20,43.384348
0.049326,18,43.662881
0.035956,22,43.959139
1.730232,362,45.465108
0.0,19,45.74492
0.030483,18,46.02379
1.851038,406,47.70013
0.052023,18,47.9839
0.0,19,48.276807
0.191163,24,48.572985
0.024553,20,48.855242
0.069293,19,49.133661
0.29983,126,49.790723
