#{"t_start": 1704905876.3764338, "env_id": "None"}
r,l,t
0.153715,21,0.467696
1.280498,268,1.627869
0.6197,152,2.383172
0.02789,19,2.665985
0.095675,19,2.950425
0.025833,22,3.233348
0.051187,18,3.511156
0.0,18,3.785153
0.107974,19,4.066583
0.099616,22,4.358674
0.162972,21,4.690271
0.018173,19,4.981155
0.044933,21,5.278361
0.000128,19,5.573227
0.06297,20,5.870529
0.128024,20,6.165372
0.0,20,6.462947
1.279183,318,7.872829
1.234039,327,9.278167
1.011591,214,10.309175
0.022057,20,10.586326
0.836655,147,11.292289
0.046193,21,11.573395
0.018234,18,11.852325
0.05815,24,12.159133
0.653092,156,12.91708
0.0,18,13.184267
0.029998,19,13.452687
0.009977,18,13.723291
0.39054,123,14.635084
0.045927,22,14.96309
0.133224,25,15.31328
0.821428,176,16.225478
0.95719,259,17.382651
1.407736,352,19.039452
0.0,21,19.358909
0.0,20,19.66669
0.321787,27,19.992031
0.267904,107,20.58943
0.184652,25,20.904196
0.160551,22,21.217111
0.111016,24,21.522543
0.057878,18,21.80978
0.067748,20,22.10034
0.681843,103,22.694014
0.048579,18,22.981932
0.0,21,23.374715
0.417105,126,24.590771
0.0,18,24.92391
0.155957,22,25.236804
0.043122,23,25.546831
0.0,21,25.866183
0.032053,20,26.209931
0.285908,68,26.96729
0.166493,18,27.297987
0.005883,19,27.780855
0.043994,22,28.10238
0.062462,19,28.391875
0.101039,21,28.693089
0.057885,19,28.973936
0.593278,226,29.989679
0.101147,22,30.280961
0.0,20,30.563923
0.098685,20,31.809829
0.604056,433,33.703496
0.016283,21,34.013172
0.220872,94,34.5588
0.046375,19,34.83845
0.0,20,35.121708
0.0,21,35.41391
0.12384,19,35.703532
0.027911,18,35.982355
0.856482,140,36.775543
0.05555,21,37.068566
0.02316,18,37.345037
0.059623,19,37.625817
0.002695,22,37.90992
2.104472,257,39.022536
0.054477,29,39.334885
0.044086,23,39.626251
0.047934,18,39.898984
0.201064,27,40.202559
0.028383,20,40.493341
0.058211,21,40.778081
0.054899,19,41.055733
0.02776,21,41.34411
0.052675,20,41.62784
0.206415,28,41.940955
0.0,20,42.22214
0.0,21,42.508395
0.020139,21,42.795507
0.175302,23,43.090368
0.002318,21,43.376373
0.119343,22,43.664564
0.092709,24,43.960463
1.267923,239,45.019281
0.079265,23,45.312232
0.041723,22,45.603491
0.036494,21,45.889329
0.051631,19,46.176863
0.07432,23,46.473149
0.646746,156,47.25466
0.035263,22,47.567408
0.054964,22,47.866516
0.109283,23,48.160983
0.091664,22,48.45472
0.022593,20,48.740786
0.127255,23,49.041001
