#{"t_start": 1704908370.1652758, "env_id": "None"}
r,l,t
0.150467,19,0.456863
0.182633,22,0.743008
0.0,19,1.032382
0.143971,22,1.339549
0.025466,22,1.652604
0.125317,77,2.236461
0.0,23,2.579608
0.140848,21,2.923381
0.083529,20,3.218029
0.054661,21,3.513705
0.495783,74,3.995431
0.204429,131,4.675663
0.0,25,4.988669
0.048759,101,5.655368
0.051281,19,6.058067
0.06865,28,6.426664
0.0,20,6.735435
0.141611,26,7.081152
0.037945,24,7.393844
0.057704,19,7.692507
0.032678,20,7.992058
0.067006,19,8.311611
0.0,20,8.608926
0.041492,19,8.89944
0.041397,19,9.203484
0.0,21,9.493687
0.051838,19,9.774348
0.398963,122,10.441851
0.0,21,10.763686
0.091598,20,11.092933
0.128556,19,11.389212
0.0,17,11.665143
1.872813,180,12.602831
0.061684,21,12.908774
0.114775,22,13.223126
0.0,20,13.544557
0.0,23,13.856987
3.296254,485,15.872409
0.070436,25,16.191495
0.0,19,16.471551
0.011509,18,16.771958
0.00977,23,17.085382
0.059706,19,17.369809
0.089629,17,17.661244
0.197226,27,17.972654
0.0,19,18.247812
0.20267,27,18.555281
1.094636,154,19.317387
0.712104,159,20.133514
0.262576,127,20.811877
0.081969,20,21.110999
0.076976,22,21.406596
0.026475,20,21.700449
0.056216,21,21.98347
1.067976,334,23.575049
0.04041,25,23.930348
0.210248,93,24.603599
0.02597,20,24.887385
0.096618,21,25.179854
0.050463,21,25.471012
0.025541,19,25.748276
0.034271,20,26.055012
0.058101,22,26.35576
1.955662,294,27.662854
0.620153,149,28.420925
0.063889,19,28.706227
0.083169,18,28.989617
0.227427,78,29.512754
0.064952,20,29.829311
0.04735,20,30.130675
0.051729,20,30.424794
0.0,18,30.711113
0.085002,22,31.019576
0.148571,22,31.330324
0.089011,23,31.648879
0.0,22,31.988073
0.038366,20,32.316287
0.17252,23,32.624516
0.048841,24,32.929513
0.046225,21,33.227481
0.040248,21,33.674012
0.869081,206,35.951078
1.561817,459,38.072881
0.041935,21,38.416679
0.067699,21,38.75788
0.042781,22,39.108801
0.0,20,39.449673
0.0,21,39.796935
0.061666,21,40.156012
1.115304,215,41.202887
0.111562,21,41.522006
1.237891,369,43.306038
0.050324,21,43.622567
0.118078,23,43.943145
0.0,19,44.231056
0.061408,22,44.548593
0.13383,18,44.838094
0.041779,21,45.123364
0.562974,116,45.870066
1.23386,331,47.492479
0.244498,60,47.940254
0.178514,24,48.256575
0.144191,21,48.547871
0.0,19,48.836054
0.093576,19,49.133953
0.124721,25,49.432799
0.0,20,49.714395
0.026372,18,49.997631
0.0,24,50.30372
0.101422,20,50.601921
0.044463,21,50.923652
0.081163,18,51.210892
0.156831,25,51.53378
0.070342,23,51.837394
0.093888,21,52.135784
0.072146,23,52.438023
0.059219,21,52.729255
0.461143,133,53.439586
0.0,21,53.726198
0.482114,166,54.670779
0.717929,210,56.034751
0.0,21,56.495552
0.0,18,56.887539
0.02706,20,57.195331
0.029238,24,57.514127
0.011123,24,57.831146
0.0,21,58.125878
0.047608,20,58.41907
0.449431,78,59.000853
1.082834,201,60.041774
0.044223,21,60.541687
0.144506,24,60.922771
0.145508,21,61.437029
0.563249,83,62.051476
0.0,17,62.33625
0.064731,22,62.650777
0.0,20,62.985813
0.126547,19,63.280428
0.008233,20,63.58935
0.081279,19,63.882097
0.0,21,64.191682
0.031034,21,64.48542
0.022835,21,64.816458
0.022409,22,65.121546
0.168587,26,65.465843
0.168572,26,65.784566
0.158164,24,66.103959
2.024415,491,68.101242
0.263101,68,69.352178
0.043672,21,69.642779
0.056066,19,69.933404
0.050271,21,70.233196
0.144043,21,70.533175
0.068515,23,70.83775
0.165564,25,71.167945
1.255572,429,72.96358
0.07038,21,73.276388
0.555093,207,74.35076
0.034751,19,74.664783
0.03572,18,74.944752
0.112799,31,75.269206
0.080001,62,75.69305
0.0,22,76.00476
0.936148,323,77.361149
0.202275,26,77.679272
0.056933,21,77.966219
0.0,22,78.269563
0.052874,22,78.601606
0.046822,20,78.920973
0.047269,19,79.221614
1.115604,228,80.292209
1.279686,328,81.714449
0.038664,17,81.994738
0.062184,20,82.321019
0.043809,21,82.621574
0.09219,19,82.914518
0.11775,21,83.222446
0.0,17,83.506039
0.0,19,83.790904
0.106774,22,84.094492
0.099003,23,84.397306
0.496741,214,85.395151
0.042016,21,85.746628
0.072778,19,86.032572
0.020618,19,86.329126
0.0,22,86.620626
0.017489,19,86.901601
0.399892,201,87.919001
0.100804,19,88.217622
0.504407,103,88.813061
0.161601,22,89.103553
0.076464,19,89.394354
0.599806,300,90.75159
0.039224,20,91.082386
0.155662,23,91.411534
0.0,19,91.704674
0.493687,112,92.348871
0.0,19,92.641474
0.011385,19,92.941014
0.132566,23,93.265898
1.303504,246,94.408964
0.045276,26,94.715987
0.045965,19,95.012693
0.52137,263,96.420579
0.050114,18,96.737076
0.03972,25,97.04492
0.044987,21,97.348851
1.973677,307,99.624319
0.016731,21,99.930838
0.043822,19,100.223222
1.007727,343,101.67892
1.031403,432,103.424332
1.042899,202,104.383459
0.114965,21,104.674213
0.499111,183,105.555014
0.071983,17,105.834797
1.249873,248,106.917211
0.167642,20,107.201856
0.0,20,107.502597
0.026676,19,107.799244
0.04871,20,108.085576
0.0,19,108.361671
0.284351,139,109.067655
0.065382,19,109.349638
0.065948,19,109.629242
0.089491,19,109.929365
0.040311,19,110.213809
0.0,21,110.503126
0.149466,23,110.808124
0.086859,20,111.099382
1.297436,384,112.698121
0.219564,73,113.280383
0.017552,21,113.613734
0.060062,20,113.970527
0.0,18,114.271033
0.043578,20,114.565611
0.032789,20,114.921383
0.009586,19,115.228252
0.06634,106,115.858871
0.071575,24,116.183664
0.038903,21,116.494998
0.0,20,116.788622
0.019143,22,117.109126
0.037551,19,117.403368
0.11447,24,117.714883
0.037239,22,118.047898
0.0,20,118.361567
0.064548,21,118.66253
0.132134,21,118.963084
0.114305,21,119.26604
0.062969,20,119.566241
0.648355,109,120.228687
0.0,21,120.533345
0.112193,20,120.824194
0.543028,212,121.848596
0.038204,20,122.147375
1.097779,294,123.433794
0.032922,19,123.725045
0.027293,22,124.025775
0.03519,18,124.306882
0.095649,77,124.789615
0.0,21,125.08209
0.100208,19,125.382
0.417239,63,125.84113
0.073213,19,126.125448
1.075841,283,128.570123
0.066926,17,128.850259
0.116056,25,129.169973
0.062491,20,129.497354
0.081653,21,129.796306
0.027874,18,130.076984
0.822152,113,130.727506
4.719386,783,133.952977
0.068539,21,134.258947
0.083615,21,134.571021
2.438064,414,136.31963
0.136912,21,136.629672
1.717445,264,137.853935
0.131411,23,138.156102
0.749514,140,138.899816
0.042167,23,139.202778
0.0,19,139.499336
0.075772,19,139.787923
1.598481,364,141.307195
0.102788,23,141.624394
