#{"t_start": 1704902674.994, "env_id": "None"}
r,l,t
1.952426,501,2.268382
0.173699,25,2.591878
0.0,20,2.882877
0.0,19,3.179252
0.32824,123,3.875143
0.011083,21,4.201986
0.049319,19,4.523315
0.0,19,4.824984
0.0,18,5.120642
0.061118,22,5.425627
0.025189,24,5.728742
0.040767,22,6.031918
0.051774,22,6.361929
0.058199,21,6.70888
0.671273,185,7.690652
0.085436,22,7.97987
0.030207,22,8.279082
0.018525,20,8.610318
0.955274,158,9.412247
0.0,20,9.728309
0.037253,20,10.051828
0.026888,20,10.348691
0.054822,19,10.667293
1.01121,235,11.809268
0.101054,18,12.095535
0.108082,21,12.375033
0.0,18,12.642794
0.039509,21,12.925695
0.467792,76,13.431926
0.039004,20,13.726784
0.0,19,14.017134
0.045695,19,14.293621
0.046756,18,14.570468
0.119963,22,14.869391
0.084083,20,15.160063
0.0,19,15.446246
0.386631,66,15.881339
0.146269,22,16.16874
1.004228,319,17.537256
0.0,21,17.86555
0.460669,73,18.418408
0.036976,19,18.763684
0.132887,19,19.08765
0.007052,19,19.364721
0.0,20,19.643044
1.914627,334,21.048945
2.140942,463,22.884338
0.12598,22,23.170081
0.089728,22,23.455635
0.272738,21,23.759199
0.148668,21,24.040665
0.042822,18,24.311827
0.073095,22,24.597482
0.038348,19,24.879136
0.023901,21,25.167543
0.339637,176,26.016181
0.023932,18,26.287924
0.787879,192,27.18039
0.02864,19,27.469865
0.0,19,27.745129
0.052705,20,28.029076
0.0,19,28.30748
0.10124,19,28.642983
2.596346,613,32.236415
0.039641,19,32.519862
1.752063,372,34.157988
0.046022,22,34.499932
1.559963,417,36.229241
0.10442,21,36.517767
0.457362,145,37.246305
0.078981,19,37.52945
0.153205,21,37.821671
0.011737,23,38.134654
0.334226,93,38.678201
0.0,23,38.985535
0.594479,229,40.007033
0.093657,21,40.291304
0.019733,20,40.570599
0.059937,20,40.848522
0.0,26,41.147313
0.056298,26,41.450051
0.118801,21,41.731443
0.015681,19,42.006764
0.061714,21,42.292441
0.031993,19,42.579826
0.0,23,42.871215
2.36759,661,45.50403
0.179026,21,45.790565
0.70248,224,46.804937
0.074806,21,47.101637
0.049043,22,47.383383
0.481385,160,48.156311
0.0,20,48.436066
0.093212,25,48.737935
0.039865,22,49.030676
0.892732,131,49.708633
0.03011,20,49.993257
0.03935,20,50.27148
