#{"t_start": 1704849668.897861, "env_id": "None"}
r,l,t
0.135886,23,0.563522
0.162487,18,0.855142
0.23554,20,1.13863
0.387001,24,1.44157
0.049408,19,1.71729
0.19961,22,2.016011
0.773854,76,2.484438
0.208561,21,2.766948
0.0,19,3.033304
0.103683,20,3.30964
0.410316,20,3.57878
0.104874,20,3.856334
0.339884,24,4.227015
0.808012,66,4.697413
3.772037,209,5.784251
12.277399,308,7.148947
5.801159,117,7.843947
0.388004,23,8.165597
0.266763,22,8.459699
2.551411,71,8.976885
0.193703,19,9.277709
0.309672,20,9.574132
0.231678,25,9.86333
0.453103,23,10.152068
0.094774,20,10.480125
0.084327,19,10.789164
0.284786,21,11.093606
0.143133,20,11.391971
0.232809,19,11.662114
5.098629,301,12.978057
0.039513,19,13.280638
0.104007,21,13.567391
11.051438,246,14.815192
3.626205,135,15.510507
5.413113,167,16.337052
0.186104,18,16.60259
3.786877,123,17.320439
0.107135,20,17.65394
0.064858,18,17.947148
0.431184,23,18.272046
0.06611,19,18.577483
0.3119,26,18.9069
0.237241,20,19.199414
0.824478,28,19.511497
0.09917,19,19.790966
0.194095,22,20.078804
0.219565,18,20.353497
0.109826,22,20.652634
0.136397,23,20.96817
0.180464,22,21.286873
0.85334,29,21.626256
7.675718,193,22.502361
0.11727,21,22.783466
1.008115,142,23.472506
0.396141,21,23.747547
0.058765,21,24.026818
0.218887,21,24.299598
0.05744,18,24.560254
9.366248,263,25.68667
0.110142,19,25.958735
6.276545,211,26.872625
0.213987,21,27.14259
0.343844,21,27.422824
0.148511,19,27.69209
0.141844,21,27.967429
0.222348,20,28.2392
0.269732,22,28.518028
7.061773,168,29.280391
0.126962,18,29.542779
4.976342,108,30.124855
0.468353,22,30.409644
6.200317,365,32.681008
0.282215,23,32.966325
0.079606,19,33.238835
0.491562,22,33.515717
7.009907,210,34.43997
0.199846,20,34.708486
1.743805,67,35.137411
0.383155,23,35.419292
0.515278,22,35.697921
0.120494,19,35.962527
0.185464,21,36.237435
0.084322,20,36.534479
0.149272,18,36.829256
0.53261,23,37.126298
6.956487,168,37.919116
0.276094,20,38.198938
0.33676,22,38.49688
0.333584,27,38.799504
2.992543,129,39.438519
0.054049,19,39.709552
5.694112,163,40.480087
2.756955,62,40.93902
1.816979,82,41.473936
0.094795,21,41.753815
0.371985,23,42.03013
0.211592,21,42.361791
0.018304,19,42.674818
0.049215,21,42.981808
0.17995,19,43.277225
0.033773,20,43.640903
0.323013,21,43.929332
6.080285,228,44.922311
0.235887,22,45.21092
0.160426,21,45.502314
0.257737,20,45.78069
0.092483,18,46.048628
0.206879,20,46.331129
3.280935,124,47.030178
0.140168,20,47.30894
0.361206,23,47.608838
2.630204,360,49.054394
0.295222,21,49.331744
0.229156,22,49.624854
0.106798,18,49.914383
0.072961,19,50.20918
0.104137,21,50.539965
2.682856,72,51.055145
0.229256,21,51.353345
0.192575,20,51.655066
0.12726,19,51.92304
0.329946,21,52.219521
0.133218,18,52.512052
0.281791,21,52.797325
0.304321,20,53.072116
0.146026,20,53.343934
0.462237,24,53.639218
0.23859,24,53.931188
7.363494,632,56.277291
0.524158,22,56.554497
0.240349,21,56.8364
0.150823,22,57.113944
0.075206,20,57.388526
0.184463,20,57.661198
0.183482,19,57.939923
0.356405,22,58.226534
0.184917,20,58.50589
4.45057,315,59.788315
0.113317,21,60.104411
0.018893,18,60.396
0.150938,18,60.670996
0.169734,27,61.806903
0.019746,17,62.104721
0.497585,24,62.396946
0.136993,22,62.67938
0.498248,23,62.972811
5.638671,160,63.740038
0.105055,19,64.025481
0.556588,23,64.358196
0.402383,26,64.685637
0.321025,23,64.980936
0.12063,19,65.264855
2.377636,105,65.83242
0.189197,20,66.108525
0.101016,21,66.388933
0.070235,22,66.685325
0.497537,22,66.967149
2.884012,105,67.533574
0.338142,21,67.82862
0.031406,20,68.1136
0.107304,20,68.400454
0.0,19,68.679107
6.562109,195,69.616668
0.149403,18,69.89385
0.158868,24,70.192006
0.114283,22,70.482931
0.611642,22,70.774539
4.891969,128,71.433294
0.157581,21,71.773373
0.066471,19,72.13618
0.087515,20,72.423173
0.21633,22,72.705569
0.364382,23,72.986818
0.226704,19,73.265466
0.112523,19,73.531438
2.428843,136,74.392645
2.010468,160,75.275493
2.629177,58,75.831368
0.090635,23,76.178924
1.132577,90,76.773827
0.287088,20,77.080274
0.86035,89,77.662379
0.20502,22,77.967532
0.859017,25,78.332401
3.855448,153,79.178954
0.226327,27,79.572244
0.150673,20,79.921452
0.340598,18,80.235293
0.341631,19,80.58554
0.046206,20,80.891909
0.126299,21,81.407217
2.458258,129,82.434835
0.101446,19,82.767136
0.222366,24,83.115634
1.628349,232,84.267438
0.387428,22,84.561088
0.061637,18,84.841541
0.231547,21,85.131896
0.345893,22,85.428862
0.088824,20,85.719437
0.384963,21,86.010809
0.202878,22,86.313699
0.069978,19,86.605609
7.670323,201,87.592068
0.148284,18,87.8683
2.435273,208,89.052399
3.161251,98,89.646999
0.20053,23,89.947527
0.034264,19,90.258978
0.253687,20,90.545471
0.144958,20,90.831402
0.118906,22,91.120721
1.330902,70,91.585721
0.234758,21,91.888069
0.26023,21,92.208119
5.882012,131,92.943258
1.401249,144,93.6693
19.333817,522,96.917635
0.454597,31,97.288373
0.090214,19,97.575766
0.183725,16,97.852152
2.311058,63,98.294714
0.191579,23,98.600857
0.25971,20,98.885891
3.249914,278,100.070823
5.970032,439,101.819116
0.028067,19,102.109223
5.834968,141,102.834292
2.300269,71,103.333362
0.049151,21,103.631393
0.355567,20,103.917874
0.773691,122,104.576398
7.007928,252,105.80153
0.116402,21,106.150223
5.555558,172,106.972966
2.139949,129,107.637643
7.277109,356,109.224503
19.919735,442,111.310327
6.898681,149,112.090075
0.183285,22,112.393008
0.775152,28,112.716249
2.013598,232,113.817127
0.281049,25,114.137413
0.128715,21,114.436999
0.380482,24,114.754505
0.15871,21,115.058793
0.128031,18,115.353757
0.300353,21,115.647476
0.270857,21,115.951174
0.49451,22,116.248616
0.070805,20,116.555395
2.384372,330,118.050775
0.294763,21,118.370782
0.195877,22,118.684603
3.488901,91,119.27047
0.515833,32,119.666249
0.14494,18,119.985542
3.310107,70,120.536093
0.237829,22,120.864206
0.404991,21,121.99417
0.12536,19,122.291266
3.533509,199,123.218957
5.184147,104,123.803898
0.074673,21,124.098448
1.825728,61,124.534816
0.412342,23,124.838532
0.194265,20,125.126676
0.132563,18,125.411201
3.444812,125,126.145707
4.550184,128,126.886851
6.042246,169,127.73592
0.211476,20,128.03286
0.255718,22,128.331293
7.759516,211,129.304012
0.216177,20,129.593682
0.125038,20,129.884127
3.691811,137,130.599171
5.438444,140,131.365922
0.226548,20,131.675442
20.557906,620,134.34076
4.23223,160,135.125918
0.057393,19,135.429159
2.829054,115,136.067515
0.23098,22,136.372908
0.087165,20,136.661974
1.420716,64,137.119924
2.853931,68,137.575484
2.377153,240,138.752483
0.334146,23,139.097256
0.142802,20,139.432896
0.187039,20,139.781883
0.299361,20,140.08509
1.994944,187,141.009437
0.130539,20,141.319126
7.161144,213,142.310742
0.322201,20,142.602999
12.49762,242,143.69635
15.335984,390,145.446393
0.134492,22,145.775929
4.532047,122,147.130443
0.337944,25,147.420785
0.240516,20,147.689993
0.108683,20,147.969831
2.308715,178,148.855524
5.054779,132,149.521615
1.127832,124,150.138164
0.310589,23,150.419289
10.653496,307,151.670329
5.379685,124,152.285827
0.359438,26,152.577391
13.905363,246,153.637774
0.154827,21,153.91803
0.089841,22,154.199287
12.045903,207,155.107207
1.579458,137,155.790775
3.987065,83,156.269591
0.529582,25,156.555663
0.237195,21,156.828705
0.051293,21,157.103311
0.038957,24,157.39949
0.405714,21,157.68524
1.579288,49,158.069331
0.214537,24,158.362587
0.113874,23,158.646154
0.207695,21,158.919252
0.165194,21,159.209608
0.122228,18,159.599962
0.062379,20,159.950531
0.194265,19,160.253108
3.005683,72,160.779327
2.783983,227,161.948061
2.627023,88,162.493924
0.505101,22,162.776615
0.07527,20,163.064031
1.462948,80,163.58194
2.055415,77,164.065929
8.247065,244,165.277618
6.091458,109,165.96864
2.973351,148,166.74298
3.045865,57,167.161965
0.154731,21,167.458356
0.49978,24,167.757666
3.423613,61,168.171343
0.204473,20,168.454216
2.083933,168,169.220912
7.152708,131,169.866838
7.936156,114,170.458024
0.363959,23,170.763181
0.194838,20,171.120115
0.083671,19,171.432204
15.222776,650,174.809527
7.887571,293,176.100637
0.218904,19,176.415011
2.434125,152,177.194091
2.78013,417,179.111778
0.039375,18,179.392638
2.476786,157,180.158787
0.343121,23,180.468446
0.346272,19,180.738849
0.269444,20,181.015076
0.552277,23,181.314749
1.892856,163,182.097324
0.273081,20,182.386687
2.342283,99,183.029098
0.656071,26,183.340262
0.276154,25,183.639628
2.011639,66,184.114374
11.059122,366,185.705664
0.156027,20,185.988254
0.283298,20,186.263757
15.276432,330,187.622797
0.886089,65,188.072926
8.724187,254,189.185351
0.178338,22,189.47219
0.741424,79,189.945684
0.327062,22,190.2258
0.311095,22,190.510032
9.703083,219,191.519122
0.349336,23,191.802952
0.265584,22,192.107791
17.578797,346,193.525657
11.234793,520,196.210667
9.426314,201,197.105078
6.243109,231,198.089619
7.714804,229,199.063582
0.267269,22,199.348729
10.158749,238,200.445344
6.733596,373,201.999007
8.072621,315,203.459557
13.789307,354,204.905802
0.262172,21,205.212814
1.789337,57,205.631305
8.151854,498,207.590936
1.863791,128,208.31688
12.331215,808,211.550219
2.804778,61,211.967684
7.219708,380,213.473189
3.710737,390,215.86415
10.734777,563,217.972383
7.280955,146,218.666673
4.232435,448,220.377722
12.909213,284,221.539408
2.09194,93,222.060163
13.280234,346,223.429454
0.243732,20,223.698829
0.042463,21,223.975416
1.835419,100,224.516349
9.902717,178,225.318083
4.766866,126,225.955687
4.463749,110,226.531776
0.126512,21,226.810991
12.686656,306,228.037844
0.828166,73,228.488721
1.178263,46,228.85035
3.622188,139,229.522923
2.651212,164,230.283579
0.210942,22,230.560256
11.74106,317,231.828554
0.367628,23,232.111043
32.097928,725,235.656428
16.646792,397,237.189997
