#{"t_start": 1704854669.228755, "env_id": "None"}
r,l,t
0.132368,19,0.46355
16.642377,254,1.577068
0.870711,23,1.874936
0.735924,20,2.166189
0.29337,21,2.468998
0.596256,23,2.777787
0.29086,18,3.056952
0.18508,21,3.365613
0.137302,18,3.677618
0.364545,21,3.987572
15.815707,424,5.921326
0.374514,21,6.236675
0.177268,18,6.575189
9.275879,122,7.33419
0.280604,23,7.66014
0.381576,24,7.97656
0.178584,18,8.281428
0.390031,24,8.587098
0.138232,19,8.873781
0.574032,23,9.17912
0.299133,18,9.453602
24.436641,261,10.5677
0.750251,23,10.864211
0.387915,19,11.143148
4.915484,71,11.607017
0.277829,18,11.884061
0.475843,24,12.18413
0.982257,70,12.645556
7.847403,110,13.24459
0.473867,21,13.533259
0.15972,20,13.841462
6.2336,118,14.566216
0.850776,24,14.885371
0.069135,18,15.177458
8.256779,144,15.899144
12.91923,233,16.925843
0.583814,21,17.212353
0.247694,20,17.498894
0.142161,19,17.779714
0.294678,19,18.068677
0.184061,19,18.346827
0.45582,20,18.632085
16.428224,413,20.325312
0.225062,19,20.618664
0.688562,19,20.927374
0.254864,20,21.226484
0.086031,20,21.522202
2.396063,78,22.058255
5.747955,121,22.756009
0.120191,20,23.064337
0.501297,25,23.367258
0.460995,19,23.688033
0.114798,23,24.043111
0.185758,18,24.353318
0.093351,18,24.634114
0.198502,19,24.920088
0.207973,23,25.220068
0.862058,19,25.502193
10.143121,538,27.736634
0.479729,22,28.037316
0.209053,20,28.319692
0.788882,25,28.636868
0.293382,21,28.973934
0.40395,21,29.319132
0.240067,18,29.707709
0.252747,19,30.01762
0.293934,20,30.31595
0.33929,19,30.608628
0.679495,24,30.923055
0.156472,20,32.087724
31.574855,362,33.606758
0.168395,19,33.905484
0.706677,21,34.212657
0.975285,22,34.520494
0.111635,21,34.813369
4.251476,69,35.297156
0.510626,21,35.627546
0.380112,21,35.972094
7.400239,146,36.738009
0.465284,20,37.043492
0.394277,19,37.343633
0.318766,21,37.638803
0.280584,20,37.937142
0.180232,20,38.233996
0.061177,18,38.522512
0.096514,19,38.810982
0.18251,19,39.10405
0.549325,22,39.399471
3.615541,69,39.879451
2.033123,63,40.343551
0.056611,22,40.63929
0.156218,23,40.952102
0.234285,20,41.279145
0.172081,22,41.639067
0.593829,22,41.954774
0.467244,23,42.258628
0.080178,19,42.54842
1.186616,24,42.854627
0.37414,21,43.142363
0.427682,21,43.443122
16.087179,181,44.368583
0.700571,23,44.6784
0.292408,19,44.973218
0.503097,22,45.280063
0.100251,18,45.571655
0.298502,19,45.879175
0.465109,25,46.253647
0.319264,24,46.598789
0.736714,21,46.947149
0.104414,20,47.259551
0.468857,22,47.601044
0.179602,21,47.944963
0.266583,19,48.269507
0.433192,20,48.604368
27.077521,470,50.77503
0.637846,22,51.301494
31.533719,327,52.853418
20.317113,224,54.225202
29.407935,356,55.827342
0.692677,21,56.129556
0.219291,23,56.475368
0.324483,19,56.88843
0.220879,20,57.21884
0.264571,21,57.564818
0.447005,20,57.885961
3.176318,61,58.483951
17.119948,220,59.513262
0.217909,21,59.815778
4.735812,67,60.321157
0.403354,22,60.659857
8.656191,436,62.855601
10.523668,155,64.956711
5.683953,112,65.725334
0.146009,19,66.078407
3.930026,69,66.639534
0.169506,20,67.009745
9.930263,139,67.893455
0.481024,19,68.247199
0.063268,19,68.611297
0.698925,25,68.998783
23.524039,248,70.397547
22.959234,315,72.094148
17.725994,222,73.366672
0.383373,19,73.737702
3.295389,108,74.521546
0.395507,18,74.895248
0.52246,20,75.290767
0.122621,23,75.764028
38.845428,601,78.861079
0.492396,22,79.247508
3.105595,151,80.240135
0.235686,20,80.7282
10.186137,127,81.924332
0.313145,20,82.418869
5.492607,77,83.214249
1.20101,76,83.936373
0.388346,23,84.350287
0.111014,21,84.707896
0.32962,21,85.097137
0.09349,19,85.476567
0.384523,23,85.86319
0.513623,21,86.23162
0.025028,21,86.607235
0.288916,20,86.992452
5.309742,435,89.327872
2.743312,69,89.989255
16.684923,186,91.346411
0.314248,20,91.866077
0.138581,19,92.367449
10.555933,408,94.798157
4.449376,201,97.367013
0.122002,19,97.738213
0.677772,25,98.150458
0.364124,19,98.543388
1.062533,27,98.985961
17.433163,201,100.221627
33.339335,380,102.330816
23.753291,639,106.027435
5.088698,92,106.722818
31.772691,461,108.820124
16.585511,688,111.850143
20.711209,235,113.094505
23.889497,430,114.993718
2.266674,87,115.557713
0.164598,20,115.867851
0.442828,21,116.180608
0.188402,19,116.485931
0.555557,19,116.792265
0.115052,18,117.093877
0.502271,23,117.415429
0.752331,23,117.739023
0.28201,18,118.048846
0.608951,22,118.369879
27.580565,284,119.754277
0.472219,21,120.09484
0.722357,22,120.439096
0.216538,18,120.746288
0.113232,20,121.059764
15.028566,227,122.159437
1.353305,26,123.326819
0.646607,24,123.66311
3.551873,68,124.161336
0.343541,20,124.484302
0.891093,27,124.861324
0.088864,23,125.228225
0.359373,23,125.575552
0.2579,21,125.88747
0.211553,19,126.190732
0.299818,24,126.512572
14.87475,459,128.460943
5.18686,72,128.958278
0.272862,21,129.276323
7.734802,97,129.870008
5.983084,711,133.026123
18.11375,259,134.266801
7.861105,99,134.860256
32.075916,485,136.857327
0.368854,22,137.157891
0.301833,20,137.452262
0.364245,21,137.756826
0.252924,21,138.061851
0.048467,20,138.371039
12.076037,189,139.306989
9.972318,184,140.200437
0.536447,21,140.520639
0.181276,19,140.823464
0.199203,23,141.136523
0.278491,18,141.43157
30.47016,1001,145.675549
0.299188,21,145.961713
16.665468,301,148.093664
7.589572,196,149.060997
34.373289,402,150.751449
27.207995,498,152.72469
20.126391,294,153.967229
32.815728,327,155.344145
0.031821,20,155.619319
0.393638,22,155.930706
3.673757,111,156.543916
30.836829,264,157.719125
20.419657,224,158.748033
46.326442,1001,162.730395
0.895957,22,163.023426
0.478389,22,163.322026
0.057841,18,163.618558
15.538439,166,164.482331
0.125222,20,164.780295
20.097979,420,167.843381
23.084543,1001,171.544544
0.252351,22,171.849358
0.27236,19,172.144269
23.892267,1001,176.299799
0.384428,20,176.602934
0.423125,19,176.90764
5.790052,230,178.071056
0.316211,22,178.383538
16.899314,238,179.468833
46.477916,824,182.987031
9.273431,99,183.567486
25.961998,294,184.854056
3.732819,109,185.485454
16.839644,205,187.608015
13.615875,1001,191.952809
11.398256,237,193.092589
20.335534,224,194.175838
4.303408,48,194.586568
19.922511,1001,199.124349
0.424199,21,199.45092
12.581819,144,200.325473
36.536153,354,201.900858
0.299095,20,202.192837
26.688969,271,203.400717
0.094854,20,203.703875
55.504366,568,205.955223
10.274088,581,209.875666
21.124361,852,213.206567
0.269703,21,213.590848
14.814843,133,214.308219
5.420531,69,214.77587
47.093183,1001,218.624478
24.137441,1001,222.676269
33.139573,817,227.388308
21.348068,215,228.466033
25.053555,1001,232.431747
9.658596,232,233.512663
42.062022,748,236.488352
62.746626,664,239.169929
19.853144,171,240.07054
0.264279,23,240.373492
17.587362,256,241.580178
9.5737,178,242.44539
66.290628,1001,247.091597
17.421702,1001,250.941818
14.173391,233,252.001927
15.265271,145,252.752816
20.179624,222,253.779048
0.30011,19,254.070729
0.24534,21,254.36521
21.726464,211,255.315429
15.195644,1001,259.172445
38.622935,1001,264.056768
53.193976,479,266.107024
15.832485,178,266.955474
15.363052,1001,270.725248
1.585242,70,271.199312
54.270997,790,274.236559
23.03145,903,277.65053
0.189805,19,277.934001
111.088122,1001,282.701107
45.417617,409,284.392009
16.051257,176,285.276033
26.19245,1001,289.815261
