#{"t_start": 1704908560.146571, "env_id": "None"}
r,l,t
0.204072,21,0.483037
0.282705,21,0.785812
0.361418,23,1.099662
0.444085,27,1.422427
4.977219,198,2.422662
0.158894,22,2.734197
0.155035,19,3.037317
0.116799,19,3.324375
0.2411,22,3.637652
9.108952,299,5.076734
0.075592,20,5.385255
2.761443,247,6.517883
0.735403,339,8.059408
0.27017,22,8.405443
0.214213,19,8.697214
0.049585,19,9.00049
0.107296,19,9.302287
0.247484,19,9.632807
0.193736,24,9.955954
0.086097,22,10.265082
0.032116,19,10.559648
0.19321,26,10.890891
9.990181,283,12.340436
0.14712,20,12.637971
0.085814,20,12.930749
0.071848,23,13.247146
0.180992,21,13.558698
0.430341,27,13.883932
2.61791,68,14.343823
0.143193,19,14.631695
0.060145,19,14.915
0.123734,18,15.204643
0.08937,19,15.489063
8.72679,200,16.507164
0.477575,195,17.528982
0.121175,22,17.823467
3.613881,111,18.440562
0.222342,21,18.740012
0.192072,22,19.037294
3.265207,159,19.838702
0.066919,19,20.144085
0.225187,19,20.436164
0.036041,20,20.741468
0.137357,18,21.044728
0.071587,22,21.368377
0.023333,22,21.698744
1.340618,67,22.146548
6.445864,268,23.324144
3.388348,71,23.980599
0.45862,23,24.301362
0.166729,21,24.642051
0.050247,20,24.958722
0.243584,20,25.330847
5.151481,107,26.190345
0.148824,19,26.476361
0.080461,21,26.773553
0.511863,27,27.097018
0.16226,22,27.390765
0.079727,19,27.750492
2.388169,242,29.057703
0.036447,20,29.41972
0.053054,18,29.802472
6.736407,141,30.672579
0.078681,23,31.028844
0.056142,19,31.374373
0.116027,19,31.697363
0.098009,22,32.049545
0.135513,20,32.38968
9.962498,284,35.400241
0.051375,20,35.76312
0.07733,20,36.127235
0.332168,24,36.500512
5.967785,442,38.798074
0.333933,26,39.188168
0.255062,21,39.556218
0.092279,19,39.920885
0.238068,22,40.289165
0.160061,19,40.638689
2.598808,71,41.230254
3.237302,198,42.356083
0.058174,19,42.705137
0.245952,25,43.08339
0.053851,18,43.423188
0.152608,20,43.766687
0.032957,19,44.11378
0.070777,18,44.455809
0.062614,24,44.839364
0.164998,19,45.176401
0.091101,20,45.508192
0.075429,20,45.857151
0.29712,21,46.215118
0.083074,18,46.557856
0.239301,22,46.91956
0.113276,21,47.273918
12.598656,482,49.760707
0.025623,18,50.108803
3.482128,115,50.904706
0.094155,20,51.280787
0.133621,21,51.657244
0.132472,20,52.05746
0.107221,23,52.475536
4.565971,215,53.681611
0.193197,19,53.986237
0.135147,26,54.380249
1.625881,64,54.860241
0.070713,21,55.149908
0.183697,22,55.460379
0.124264,18,55.754676
0.100172,20,56.050017
0.086585,20,56.332893
0.136639,20,56.61233
0.354383,23,56.901634
0.073498,25,57.200481
0.054608,20,57.479383
2.591425,89,58.042905
0.48515,23,58.381548
0.786266,66,58.84868
0.26497,22,59.135492
0.045446,20,59.411414
0.120173,23,59.701784
0.445907,23,59.99642
0.039632,19,60.289642
0.420342,22,60.593816
0.142418,20,60.890489
0.143582,22,61.195314
0.107574,20,61.491805
0.751732,104,62.097716
0.066776,18,62.379672
0.121533,19,62.662268
0.10124,21,62.978454
0.046003,20,63.263556
0.182749,23,63.565052
0.159434,20,63.85668
0.313742,23,64.161996
0.186954,23,64.492784
0.0608,21,64.83473
0.087969,20,65.12542
0.11921,21,65.413731
8.326686,309,66.729126
0.093051,18,67.013366
0.058217,21,67.314004
0.138846,22,67.609475
0.188028,23,67.909743
0.157517,19,68.195043
0.023578,18,68.479758
6.782155,210,69.439664
0.052979,20,69.722223
0.091402,19,70.001061
0.048332,21,70.285717
0.048643,20,70.561815
0.076098,22,70.843927
0.020912,22,72.00304
0.066459,19,72.270685
0.172405,21,72.552425
2.88119,82,73.058272
7.690061,174,73.882811
0.341421,24,74.191935
0.110775,20,74.480148
0.186136,23,74.781528
0.075729,20,75.068145
0.085745,21,75.357988
0.208788,23,75.654255
0.093893,21,75.946155
0.161968,18,76.223275
0.043861,23,76.515102
0.167872,19,76.794294
1.638859,45,77.169873
0.153027,24,77.467093
0.08551,19,77.747635
6.491276,149,78.561422
13.269938,286,79.810221
0.330886,23,80.104177
0.545246,28,80.416746
0.286693,22,80.70528
0.452396,23,81.001894
11.625518,593,83.325406
0.104849,19,83.594025
0.112951,21,83.875388
0.138774,21,84.162953
0.536321,31,84.477281
0.144462,21,84.75926
0.180013,23,85.051554
0.217254,18,85.323473
0.037354,18,85.599995
0.073196,22,85.890124
0.163522,21,86.17958
0.32241,20,86.459078
0.10565,21,86.740639
0.323554,20,87.020211
0.145742,22,87.300244
6.928016,558,89.467208
0.037319,20,89.752139
0.104969,18,90.027271
0.176827,25,90.325357
0.153965,23,90.615859
0.069275,19,90.897606
0.148892,21,91.185826
11.0354,311,92.497883
3.920066,170,93.307363
0.036934,18,93.574841
0.233648,20,93.849696
0.273926,24,94.149389
1.814063,263,95.28436
1.3932,68,95.726032
0.266227,22,96.032922
1.024454,99,96.669753
0.286994,21,96.950195
0.181089,20,97.24127
0.303995,23,97.534134
0.116916,22,97.826314
4.34395,158,98.595192
2.64144,72,99.058065
0.059407,22,99.344915
0.254662,21,99.632598
0.469296,25,100.88624
4.489309,99,101.449557
0.105431,20,101.731464
8.290004,150,102.468904
0.088956,21,102.755882
6.507304,120,103.384474
3.502367,135,104.069218
1.834479,127,104.726611
1.208392,71,105.193304
0.026113,21,105.478799
0.252154,23,105.774218
0.27665,24,106.06514
0.019764,19,106.337615
0.44242,238,107.381308
0.101819,20,107.654697
0.103161,20,107.928484
0.241587,19,108.201077
9.652343,248,109.281524
0.219923,24,109.583525
0.184962,22,109.886261
2.250003,69,110.340125
7.810548,305,111.628448
2.664202,73,112.096365
0.028386,24,112.389001
0.344169,25,112.679865
0.082369,19,112.951034
0.594468,160,113.720846
0.186149,22,114.004366
0.083688,18,114.29593
0.024443,20,114.617086
0.203556,25,114.948786
1.850865,66,115.395181
7.967029,291,116.625245
0.17391,21,116.909209
5.964548,282,118.11277
5.27012,177,118.943807
0.042117,19,119.222465
0.122502,19,119.499626
0.213704,18,119.777303
17.368721,352,121.228424
0.252529,21,121.515395
0.053703,20,121.795347
7.805557,219,122.783703
0.169911,23,123.085673
