#{"t_start": 1704910622.539464, "env_id": "None"}
r,l,t
0.477163,140,0.887843
5.371094,157,1.710058
0.174358,20,2.006076
0.098477,21,2.304128
0.083221,21,2.600066
2.241282,165,3.422074
0.034195,19,3.699323
0.195642,22,3.982976
0.130158,20,4.266946
0.143517,23,4.5719
0.110286,20,4.855069
0.214114,19,5.142631
7.404364,264,6.295444
0.081998,20,6.57842
0.112538,22,6.877288
0.20151,20,7.164734
0.083979,17,7.442712
0.186112,20,7.735186
0.039659,18,8.008341
0.141595,20,8.29995
0.085172,21,8.58699
0.446681,21,8.878198
0.129463,22,9.174957
0.077556,20,9.467429
0.038826,20,9.760206
0.149077,18,10.048584
5.120542,144,10.764221
0.018277,20,11.057809
0.158472,20,11.350822
0.141489,20,11.641914
5.382339,166,12.438477
2.583462,84,12.951849
12.364322,356,14.631841
0.178967,25,14.968622
0.096724,24,15.285143
0.050954,23,15.585443
11.23363,308,16.887102
0.10439,19,17.171161
2.34319,237,18.235879
0.048282,24,18.538696
14.464336,385,20.093254
1.063651,74,20.562591
0.102554,19,20.847609
0.17234,20,21.129434
0.043443,22,21.426704
0.383014,23,21.7192
0.074293,21,22.01241
0.137534,23,22.307413
3.409277,120,22.941228
0.039946,20,23.228917
2.651854,249,24.310349
0.081806,19,24.584931
0.08096,24,24.875947
1.778004,147,25.605049
5.203564,102,26.172677
0.278417,23,26.468123
0.912511,79,26.958258
0.066165,19,27.242417
0.037916,19,27.531111
0.136421,27,27.841501
0.164428,23,28.988961
0.097195,22,29.280384
0.01886,23,29.569268
4.366821,230,30.580544
0.0707,22,30.86968
0.1148,19,31.1429
0.02425,19,31.43444
0.020083,24,31.766789
2.467522,528,33.877968
0.1176,20,34.155223
0.095185,19,34.429735
0.17248,21,34.713135
0.096476,18,34.983206
5.589807,190,35.866247
4.276129,136,36.558414
0.122477,21,36.848046
2.570755,193,37.743864
9.372485,314,39.067728
1.445815,48,39.443462
0.104476,20,39.727605
0.564449,24,40.022157
0.378715,23,40.317378
0.095665,19,40.606023
0.24138,23,40.903954
0.188627,21,41.190753
0.019501,17,41.464359
0.083458,19,41.742655
0.10831,21,42.027582
2.942745,292,43.25416
0.299548,23,43.544664
0.272962,23,43.837281
0.166952,22,44.133048
0.060746,21,44.425958
0.152517,21,44.712472
0.142978,19,44.986693
0.11067,21,45.269273
1.089143,218,46.241208
0.256176,20,46.51977
0.021623,19,46.802347
0.089758,18,47.074685
0.057737,19,47.353728
0.701536,65,47.833181
0.452153,55,48.272563
0.110328,23,48.610596
0.046031,22,48.939503
0.134507,19,49.229537
7.322099,154,49.990556
0.093199,18,50.270862
0.129542,19,50.558993
12.009902,243,51.624604
0.034762,18,51.906868
4.795871,122,52.549394
0.042492,19,52.82773
0.181248,21,53.113285
0.160692,194,54.005823
0.163969,22,54.296602
0.066861,19,54.568618
0.100167,21,54.850977
0.182021,19,55.124511
0.045232,19,55.398711
0.105802,20,55.678198
0.920032,80,56.178539
0.192553,25,56.483351
0.297451,21,56.768528
8.482178,169,58.503037
0.122711,20,58.786677
0.081074,20,59.06987
0.127595,20,59.348901
0.187753,22,59.635301
0.152145,20,59.918398
6.301086,160,60.693255
0.138737,23,60.98651
7.72323,322,62.329296
0.194171,21,62.619038
5.508203,169,63.417715
0.074255,20,63.70384
0.128322,21,63.983596
0.578107,116,64.599163
0.055339,22,64.88875
0.093885,18,65.167081
4.502017,128,65.904773
0.112342,19,66.219991
0.164823,19,66.516814
0.113109,21,66.80087
0.358209,29,67.113179
12.366108,316,68.431532
0.165081,21,68.718456
0.398464,23,69.01
5.256156,153,69.760463
0.298274,20,70.040291
0.236676,21,70.335276
0.155645,20,70.62314
0.079042,19,70.935137
0.107055,20,71.250217
4.281023,249,72.348457
0.120773,21,72.635837
0.082389,22,72.925786
1.678709,70,73.388281
0.274229,22,73.682334
0.381622,26,73.997832
0.205522,20,74.274422
0.150215,19,74.546356
1.851381,88,75.080644
0.070635,18,75.359701
0.297646,21,75.651071
1.368636,275,76.833171
0.047008,21,77.123917
0.17655,20,77.408227
0.073356,19,77.693762
0.143799,19,77.980576
0.057527,18,78.257488
0.21579,25,78.560957
0.251518,22,78.857117
0.085027,19,79.142369
2.217485,83,79.648449
0.045853,21,79.941222
0.134966,18,80.240411
0.05266,18,80.511486
0.202993,18,80.78154
0.051995,18,81.051693
0.238657,25,81.350257
5.899874,179,82.185227
0.098757,20,82.478364
0.119748,18,82.758581
1.221213,80,83.297475
0.227922,22,83.625093
0.28251,23,83.956051
0.084898,22,84.242173
0.04496,19,84.525009
1.547171,60,84.952829
0.150761,21,85.235422
0.133106,19,85.515979
0.51438,24,85.813083
0.196897,19,86.092381
0.183458,16,86.355778
3.04567,167,87.154696
0.178797,20,87.440052
0.290663,22,87.726448
0.16614,20,88.006794
0.661826,24,88.30114
0.242965,21,88.590333
0.071554,20,88.870832
0.189311,21,89.160025
5.523371,140,90.688527
0.125083,18,90.965021
0.375119,20,91.251468
3.217417,81,91.752311
0.043382,22,92.041537
2.844516,417,93.733084
0.118164,20,94.009964
0.893154,25,94.315324
0.049845,19,94.596558
0.092783,19,94.879993
0.074905,22,95.175613
0.068126,19,95.456784
0.034347,21,95.738966
0.161287,27,96.04371
0.112532,18,96.320823
0.03364,20,96.613627
0.241061,23,96.91075
0.063859,20,97.197786
0.100508,20,97.480858
8.0881,332,98.849816
0.139613,21,99.131116
0.037049,19,99.406172
0.29611,21,99.688264
0.270328,20,99.965208
9.41917,308,101.305597
0.089019,23,101.648969
0.223496,134,102.352802
0.179935,21,102.636611
0.020599,18,102.906243
8.900418,219,103.884136
0.114254,21,104.173257
2.88764,114,104.788046
0.214354,23,105.076339
0.355177,22,105.362441
0.472686,22,105.648164
0.216781,23,105.939145
0.178882,20,106.219311
1.263243,36,106.556718
0.146594,19,106.834565
0.187337,20,107.116168
1.308973,106,107.696604
0.190462,19,107.980137
2.557057,600,110.315799
0.219416,23,110.604622
0.229895,23,110.894507
0.214801,20,111.176129
0.097277,18,111.453924
0.159986,20,111.739689
2.82107,73,112.211539
9.23624,251,113.297871
3.424636,314,114.609363
0.152566,22,114.906657
0.033564,20,115.189902
0.097106,20,115.467163
1.207096,63,115.894651
0.360696,23,116.198314
3.938483,235,118.172925
0.1084,22,118.496881
0.135965,20,118.81705
9.059739,188,119.764457
0.211331,17,120.038762
0.120076,25,120.346039
2.271634,119,120.984899
2.294718,82,121.493174
0.062077,19,121.776395
1.997487,629,124.231369
0.17745,22,124.523259
0.711722,31,124.848667
12.444987,273,126.012402
0.159905,20,126.294436
0.226167,20,126.584224
0.23849,20,126.867802
1.035399,504,128.835522
0.221242,22,129.129801
0.065095,23,129.42324
3.646084,153,130.172543
0.202624,22,130.477997
0.21761,22,130.777617
0.12613,21,131.065535
0.084311,18,131.345261
0.250718,24,131.682094
4.311117,120,132.327327
0.176237,20,132.605662
0.060906,21,132.886877
0.28549,24,133.180353
9.190125,211,134.121945
0.075878,20,134.412575
0.113479,20,134.698171
0.151283,24,135.003336
0.35455,22,135.290559
0.189245,20,135.608783
0.036557,18,135.929939
4.452287,185,136.842894
3.429209,204,137.777053
0.293769,21,138.063465
0.062668,20,138.348614
0.221323,22,138.638821
0.183521,22,138.928916
0.070566,21,139.218942
0.170942,22,139.507899
0.103936,20,139.798564
0.419067,84,140.301648
0.194758,22,140.594772
0.35192,25,140.90351
0.076234,22,141.199394
0.224253,22,141.496008
0.138775,21,141.7996
3.188631,78,142.287872
3.048613,66,142.729208
0.245201,25,143.031784
0.295051,22,143.326976
0.50749,25,143.626293
0.228983,21,143.922887
0.021696,22,144.214408
1.107033,77,144.705127
0.160338,21,144.989395
0.154043,19,145.271367
4.235577,191,147.118361
0.214765,19,147.404331
0.148957,23,147.69846
0.167574,19,147.97978
0.140155,20,148.259435
0.096162,26,148.559702
0.178729,22,148.841245
0.369012,25,149.133626
2.492944,63,149.568149
0.229022,22,149.852366
7.760468,153,150.599118
16.32608,308,151.893514
0.039768,23,152.189858
0.67191,175,153.063713
0.561818,26,153.420903
0.493786,23,153.765488
0.17056,20,154.052125
0.086175,23,154.349861
0.46144,25,154.651377
0.038478,18,154.934133
0.133651,23,155.234237
0.096562,19,155.514691
0.256135,22,155.810725
0.860151,390,157.384743
0.193555,21,157.661968
0.03747,21,157.940562
6.074064,418,159.601314
5.994233,129,160.264402
0.096368,24,160.567819
1.603583,64,161.006876
2.479032,217,161.977386
1.986846,122,162.619968
0.535432,24,162.92102
0.054204,23,163.217115
5.230107,111,163.819004
12.159819,489,165.748615
3.197484,87,166.270844
0.150793,22,166.559513
0.408909,24,166.861057
0.054129,20,167.140944
4.205568,284,168.344132
0.041519,20,168.628696
0.159027,24,168.929351
0.028161,21,169.212474
0.048932,19,169.488662
0.089085,22,169.775947
