#{"t_start": 1702726322.6022077, "env_id": "None"}
r,l,t
5.437732,1001,10.140654
0.155973,1001,20.663653
0.164039,1001,30.259093
0.178356,1001,40.035581
9.087313,1001,51.864121
9.548012,1001,61.107242
0.134634,1001,70.382702
17.507604,1001,79.693502
11.208789,1001,91.560014
0.039281,1001,100.734599
0.125275,1001,109.908596
0.0,1001,119.095489
0.036094,1001,130.99274
0.100556,1001,140.250979
0.258746,1001,149.475024
0.166924,1001,158.66826
0.010031,1001,170.813751
9.345541,1001,180.022475
15.324276,1001,189.214639
0.682694,1001,198.406132
2.826543,1001,210.401353
0.418788,1001,219.609737
18.009437,1001,228.917824
6.047843,1001,238.342873
0.080754,1001,250.256721
5.651585,1001,259.505169
16.748256,1001,268.744411
10.698482,1001,278.549823
3.841833,1001,291.535131
6.015919,449,296.260716
0.090401,1001,305.872975
0.10614,1001,315.126077
5.160015,1001,324.333151
2.022681,1001,336.558021
13.298618,1001,345.745306
0.233552,1001,354.95068
0.137183,1001,364.250971
1.777801,1001,376.428651
25.214488,1001,385.653122
0.059414,1001,394.82932
0.167318,1001,404.036253
0.228073,1001,416.245257
0.009048,1001,425.49685
0.163332,1001,434.842709
0.017028,1001,444.190271
0.000661,1001,456.446187
0.210025,1001,465.651251
0.165011,1001,474.918488
0.141922,1001,484.18723
0.17817,1001,496.347125
0.0,1001,505.551467
0.138728,1001,514.740243
0.231646,1001,523.991803
13.078646,1001,536.13809
0.151924,1001,545.344785
0.005975,1001,554.533718
0.854347,1001,563.738858
24.743002,1001,575.931835
8.46586,1001,585.215376
0.146294,1001,594.560365
0.012388,1001,604.237766
0.046705,1001,616.994056
0.095547,1001,626.245588
0.940361,1001,635.543852
3.786687,1001,644.733744
0.001545,1001,653.938471
0.166137,1001,666.143573
0.125047,1001,675.441798
3.003632,532,680.614388
8.235893,509,685.584043
0.146935,1001,694.804241
0.128873,1001,707.089047
1.685015,1001,716.26275
2.197931,1001,725.451778
18.26288,1001,734.703349
0.236401,1001,746.845973
0.263773,1001,756.363687
0.966126,1001,765.739813
12.089634,1001,774.96041
13.456887,1001,787.213449
14.130842,1001,796.683802
0.051614,1001,805.998313
6.556759,1001,815.313127
0.039271,1001,827.549861
5.330548,1001,836.8484
0.194897,1001,846.083866
16.11432,1001,855.288419
7.087646,1001,867.525574
28.482256,1001,876.855866
0.165185,1001,886.07584
0.147086,1001,895.280353
0.175679,1001,907.548323
1.725178,1001,916.783922
0.174937,1001,926.004336
0.014083,1001,935.224387
5.275395,1001,947.430079
3.493569,1001,956.650413
0.078797,1001,965.90185
0.169803,1001,975.247049
0.157012,1001,987.562155
0.131488,1001,996.797603
0.003734,1001,1006.01764
0.170901,1001,1015.268796
8.93182,1001,1027.460372
0.0,1001,1036.680677
1.58255,267,1039.493709
0.161911,1001,1048.744974
0.000673,1001,1057.99639
20.331749,1001,1070.264574
5.595876,1001,1079.547182
14.497103,1001,1088.814216
0.152318,1001,1098.049977
6.336703,1001,1110.632053
0.142042,1001,1119.852287
0.321868,1001,1129.103535
0.053813,1001,1138.667725
0.158308,1001,1150.904927
5.337083,1001,1160.156448
1.190822,268,1162.969311
19.349042,1001,1172.189382
19.42018,1001,1181.503555
0.190936,1001,1193.802622
2.661381,1001,1203.210488
0.019991,1001,1212.462538
11.281602,1001,1221.713935
0.257682,1001,1234.013244
0.309192,1001,1243.374069
14.202467,1001,1252.626059
4.292459,1001,1261.89363
0.29323,1001,1274.364414
7.649502,1001,1283.74076
0.129188,1001,1292.960771
0.120566,1001,1302.180833
0.244551,1001,1314.416789
0.530132,1001,1323.637173
0.28668,1001,1332.888387
0.101094,1001,1342.171078
0.1882,1001,1351.469617
14.791056,1001,1363.721516
1.45949,1001,1372.941545
14.147314,1001,1382.161577
11.080449,1001,1391.366078
2.908044,1001,1403.58807
0.16281,1001,1412.808579
1.007544,1001,1422.0287
18.319991,1001,1431.295956
14.630421,1001,1443.580519
0.27856,1001,1452.769231
11.510509,1001,1462.020909
6.628589,1001,1471.256467
0.160834,1001,1483.49275
0.140678,1001,1492.712827
0.27107,1001,1501.932806
0.153155,1001,1511.154165
15.121165,1001,1523.406496
0.155811,1001,1532.642284
0.412575,1001,1541.846885
0.18381,1001,1551.035705
0.633044,1001,1563.242275
0.194126,1001,1572.462144
5.6e-05,1001,1581.838899
16.260293,1001,1591.059117
22.490161,1001,1603.342009
16.574689,1001,1612.594531
6.744778,1001,1621.81455
0.095172,1001,1631.037758
2.775604,1001,1643.33698
3.795296,1001,1652.525862
20.122818,1001,1661.792811
6.793417,1001,1671.013074
8.316702,1001,1683.171679
0.775238,1001,1692.360792
6.935831,472,1696.970818
0.091863,1001,1706.190915
0.185163,1001,1715.489304
6.867622,702,1725.006126
6.708793,1001,1734.194943
9.959407,1001,1743.415032
6.502446,958,1752.244608
0.201281,1001,1764.497198
0.005445,1001,1773.701616
0.733755,1001,1782.906188
1.663385,320,1786.172152
20.662526,1001,1795.407887
25.396221,1001,1808.618464
3.414749,1001,1819.213891
0.216869,1001,1829.809152
0.189058,1001,1839.560525
10.987387,1001,1851.828246
21.691583,1001,1861.049031
12.035014,1001,1870.316393
0.183184,1001,1879.536653
11.372636,1001,1891.774052
9.747842,1001,1900.978963
10.651645,1001,1910.183465
0.1774,1001,1919.403748
1.400999,1001,1931.641019
1.266369,1001,1940.955065
0.234694,1001,1950.191164
21.131946,1001,1959.442734
0.244297,1001,1971.742429
7.584629,1001,1980.962503
0.212542,1001,1990.198339
6.677383,435,1994.464598
0.168289,1001,2003.716046
0.191518,1001,2015.921948
13.009489,1001,2025.159626
1.744938,997,2034.317061
3.616873,1001,2043.616457
3.640741,368,2047.385469
11.857454,1001,2059.622941
1.63215,452,2064.02982
0.184749,1001,2073.234361
0.924931,1001,2082.45474
0.000308,1001,2094.710028
0.152287,1001,2103.930152
0.159765,1001,2113.168376
0.082211,1001,2122.388615
0.001162,1001,2131.64082
1.499511,408,2138.659737
9.038164,1001,2147.867132
0.00185,1001,2157.353888
1.749707,904,2165.901469
1.575329,1001,2178.405103
0.0,1001,2187.800027
0.174242,1001,2197.146311
11.794476,1001,2206.429352
15.432526,1001,2218.808939
0.658505,1001,2228.044579
10.359399,1001,2237.482957
8.479443,1001,2247.032192
5.172832,1001,2256.362959
15.648943,1001,2268.693829
0.150387,1001,2278.086532
16.854472,1001,2287.447923
0.474866,1001,2296.763209
0.126971,1001,2309.187566
5.702481,1001,2318.501973
13.131943,1001,2327.817568
0.064545,1001,2337.069024
0.186053,1001,2349.35268
0.21401,1001,2358.62034
0.423527,1001,2367.919566
5.014629,539,2373.155969
0.220783,1001,2385.581167
1.537478,965,2394.85076
0.2665,1001,2404.22798
0.415969,1001,2413.559013
1.6072,964,2425.656004
6.88064,1001,2435.018229
19.44106,1001,2444.427966
0.173422,1001,2454.367809
0.205886,1001,2463.651348
0.77334,1001,2476.169201
0.215292,1001,2485.515383
0.21988,1001,2495.002002
19.758041,838,2502.863051
0.177194,1001,2515.224981
0.850709,1001,2524.633274
26.243775,1001,2533.900743
2.31492,621,2539.839
0.305367,1001,2552.280622
0.187653,1001,2561.547503
9.991813,1001,2570.877525
0.795961,293,2573.909276
0.138329,1001,2583.255085
16.579018,984,2595.571247
2.800112,921,2604.11932
8.00346,1001,2613.434244
1.238807,1001,2622.779873
0.20604,1001,2635.064268
0.88142,1001,2644.363247
1.561353,244,2646.988434
0.11669,1001,2656.365292
4.331468,274,2659.256801
9.463109,869,2667.430263
0.00852,1001,2679.793002
1.18906,704,2686.481828
13.693218,293,2689.529352
3.699864,408,2693.623437
0.631347,1001,2702.937452
0.233137,1001,2712.298633
7.869048,433,2719.581897
1.576062,1001,2728.91185
3.884937,504,2733.850546
2.103524,1001,2743.211873
3.961756,800,2750.760543
0.589925,1001,2763.138419
22.379556,481,2767.842404
2.002453,219,2770.248981
2.509334,258,2772.983926
4.912806,917,2781.704961
7.759081,1001,2791.099438
12.555016,1001,2803.337228
4.809166,472,2807.994549
12.529022,1001,2817.308997
0.385027,1001,2826.607956
11.736437,431,2830.875271
5.533382,553,2836.252386
11.504107,1001,2848.645401
21.535,710,2855.505682
0.163568,1001,2864.852049
1.770689,168,2866.805633
11.238254,523,2871.884509
10.540615,1001,2881.230868
0.181373,1001,2893.562251
2.890101,956,2902.657108
2.824131,373,2906.393217
1.213301,931,2915.801034
0.221615,1001,2928.116709
0.625017,225,2930.585782
8.364845,1001,2939.932515
11.289633,1001,2949.261798
39.85486,1001,2958.607597
1.487736,924,2970.298035
4.83325,904,2978.721918
0.913,251,2981.440842
8.944973,1001,2990.786689
5.786269,599,2996.522147
6.870023,1001,3005.837852
3.457554,896,3017.340565
16.312233,386,3021.279025
3.185652,801,3028.828419
13.018617,1001,3038.127822
0.356617,1001,3047.52277
1.719909,511,3055.493013
37.285231,696,3062.103941
3.758613,464,3066.667113
0.200579,1001,3076.043904
10.653495,321,3079.341768
10.063745,1001,3088.657165
2.436699,384,3095.564315
1.565722,766,3102.86275
0.052744,1001,3112.130337
15.558207,1001,3121.460506
1.633394,418,3125.571015
0.18689,1001,3137.902981
7.041142,997,3147.283901
1.263063,1001,3156.614188
4.563929,1001,3165.900077
3.433273,494,3170.761241
1.316999,762,3180.997003
0.193311,1001,3190.342462
3.266707,297,3193.437475
0.12039,1001,3203.034052
1.784946,790,3210.583514
5.448802,675,3220.075067
17.886782,1001,3229.437487
1.873538,705,3236.126044
4.520693,285,3239.111002
15.175759,914,3247.643849
3.281655,398,3251.691476
5.093191,357,3255.410713
0.196798,1001,3267.631144
6.541378,779,3274.929126
15.834976,539,3280.180199
1.833459,694,3286.915238
0.229659,1001,3296.33876
1.4906,563,3304.82589
4.218018,465,3309.373703
0.631469,175,3311.374053
16.760692,890,3319.609962
3.010052,944,3328.330386
0.311477,1001,3337.644513
2.623441,578,3346.115402
2.119959,302,3349.289057
5.873049,400,3353.258432
1.174723,431,3357.47823
14.05354,667,3363.760569
2.805878,191,3365.885915
9.701237,395,3369.80824
1.542123,479,3374.512225
6.447858,633,3380.497753
6.900358,737,3390.421676
2.643815,355,3393.9848
6.476605,483,3398.657359
2.93719,418,3402.767615
1.683646,255,3405.471555
3.330936,309,3408.753194
7.039632,413,3412.877019
21.181772,741,3419.986048
9.494659,684,3426.574536
7.643832,571,3435.790962
4.150936,366,3439.821909
4.150328,378,3444.030299
2.099437,291,3447.281484
18.792977,801,3455.724642
1.855998,251,3458.647109
0.413476,630,3464.885842
1.585661,190,3467.286921
4.31969,496,3472.422052
2.081984,829,3483.736726
12.798689,1001,3493.764316
4.533553,1000,3503.767142
4.827835,585,3509.894971
4.052263,184,3512.099504
2.536938,269,3514.974948
1.35807,278,3517.897106
6.365333,212,3520.256843
4.085704,559,3528.7519
6.07675,736,3535.774763
3.542307,375,3539.65062
0.140517,1001,3549.254801
1.937482,542,3554.505543
3.310475,477,3559.226553
5.144209,611,3568.041368
1.205025,910,3576.574989
4.983742,490,3581.356781
3.354449,250,3584.029233
5.204787,1001,3593.358681
0.435454,593,3599.125173
7.261833,316,3602.375803
3.435098,383,3606.220039
3.306894,442,3613.612139
1.87063,188,3615.737414
5.423254,444,3620.113063
3.220584,283,3623.097956
3.223851,380,3626.910916
1.861847,274,3629.787007
2.171374,386,3633.646808
4.901314,566,3639.100657
2.91047,228,3641.616781
8.345424,498,3646.58612
2.375095,265,3649.477501
12.362443,388,3656.40166
0.93212,686,3663.02647
10.735413,550,3668.325399
3.423004,244,3671.013379
7.180675,427,3675.436116
1.610342,253,3678.139591
7.277114,702,3684.797368
2.378609,168,3686.750803
2.577904,199,3688.969868
0.705734,374,3692.720554
4.263967,442,3700.082432
1.769438,135,3701.738988
3.98431,270,3704.583098
2.754388,176,3706.599069
3.493442,399,3710.631538
3.563861,317,3713.882177
3.829206,360,3717.53878
4.198295,525,3722.586278
13.153338,949,3731.462796
1.802582,594,3737.151044
28.363726,555,3745.449912
2.091825,296,3748.528427
5.660078,277,3751.451146
3.05838,1001,3760.936817
1.741948,325,3764.265745
17.381422,1001,3773.579851
1.66708,1001,3785.911423
7.735217,400,3789.912079
2.982202,260,3792.662445
3.264956,224,3795.11591
