#{"t_start": 1704663589.1774342, "env_id": "None"}
r,l,t
0.0,22,0.514705
0.0,20,0.833501
0.0,149,1.705162
0.0,19,2.030592
0.0,18,2.342562
0.0,20,2.659397
0.0,20,2.976296
0.0,21,3.300222
0.0,19,3.615702
0.0,20,3.916818
0.0,21,4.239058
0.0,20,4.630183
0.0,18,4.965638
0.0,19,5.311854
0.0,20,5.651853
0.0,71,6.174767
0.0,18,6.456609
0.0,20,6.746057
0.0,66,7.247614
0.0,20,7.632078
0.0,21,8.060761
0.0,20,8.429757
0.0,19,8.798394
0.0,19,9.095434
0.0,21,9.405087
0.0,18,9.721589
0.060885,270,11.066766
0.0,21,11.368967
0.0,21,11.667539
0.0,20,12.011083
0.0,23,12.381739
0.0,24,12.736181
0.0,21,13.056662
0.0,131,13.916265
0.0,421,16.170104
0.0,19,16.473885
0.0,22,16.791577
0.0,24,17.165236
0.0,20,17.552966
0.0,20,17.947994
0.0,18,18.276187
0.0,21,18.621645
0.0,21,18.940453
0.0,19,19.257091
0.0,23,19.552817
0.0,98,20.109282
0.0,287,21.407661
0.0,21,21.715448
0.0,18,22.012089
0.0,19,22.313259
0.0,20,22.627195
0.0,23,22.965549
0.0,19,23.275398
0.0,24,23.609563
0.0,21,23.898193
0.0,23,24.192048
0.0,20,24.496445
0.0,20,24.805731
0.0,455,26.663871
0.626549,279,27.865417
0.0,20,28.153392
0.0,21,28.444116
0.0,22,28.730369
0.0,21,29.024784
0.0,199,30.255722
0.0,20,30.619408
0.0,20,30.925787
0.0,23,31.229393
0.0,19,31.524175
0.0,472,33.548724
0.0,363,36.177374
0.0,22,36.46987
0.0,21,36.779942
0.0,23,37.096927
0.0,20,37.392994
0.0,19,37.684668
0.0,20,37.987924
0.0,20,38.277044
0.0,20,38.564417
0.0,22,38.862939
0.0,248,39.963029
0.0,19,40.239891
0.0,132,40.923598
0.0,19,41.201623
0.0,19,41.480875
0.0,22,41.769367
0.0,20,42.059715
0.0,19,42.35856
0.0,234,43.4269
0.0,21,43.747569
0.0,19,44.066727
0.0,19,44.402799
0.0,18,44.711252
0.0,22,45.02991
0.0,22,45.339143
0.0,19,45.618607
0.0,21,45.942459
0.0,478,47.978696
0.0,20,48.311319
0.0,19,48.62881
0.0,18,48.933652
0.0,111,49.592692
0.0,119,50.248643
0.0,19,50.538518
0.0,20,50.844513
0.0,21,51.155096
0.0,20,51.451116
0.0,18,51.745302
0.0,18,52.056012
0.0,20,52.345557
0.0,21,52.667173
0.0,72,53.225933
0.0,83,53.737453
0.0,22,54.039463
0.0,19,54.32642
0.0,19,54.604331
0.0,18,54.885589
0.0,22,55.174914
0.0,20,55.468246
0.0,21,55.796884
0.0,23,56.120939
0.0,26,56.506381
0.0,99,57.118449
0.0,74,57.604038
0.0,22,57.917634
0.186415,429,59.698926
0.0,23,60.027266
0.0,189,61.074852
0.0,28,61.508624
0.0,21,61.840094
0.0,20,62.129768
0.0,22,62.434172
0.0,124,63.208789
0.0,27,63.544381
0.0,114,64.184261
0.0,20,64.483708
0.0,23,64.797868
0.0,24,65.112974
0.0,20,65.401016
0.0,24,65.707191
0.0,63,66.150307
0.0,28,66.468188
0.0,276,69.318804
0.0,370,70.991562
0.0,20,71.301702
0.0,21,71.611623
0.0,18,71.899714
0.0,19,72.203039
0.0,21,72.552519
0.0,113,73.313125
0.0,19,73.614686
0.0,24,73.957658
0.0,19,74.288118
0.0,134,75.040389
0.0,20,75.327275
0.0,19,75.617763
0.0,23,75.919135
0.0,21,76.279063
0.0,21,76.611117
0.0,21,76.919898
0.0,20,77.217959
0.0,20,77.540626
0.0,19,77.869461
0.0,172,78.834924
0.0,23,79.181582
0.0,19,79.65409
0.0,28,80.046041
0.0,20,80.431018
0.0,20,80.754515
0.0,115,81.395438
0.0,26,81.713982
0.0,19,82.006352
0.0,21,82.32161
0.0,63,82.776881
0.0,21,83.061948
0.0,20,83.347522
0.0,72,83.841464
0.0,25,84.167687
0.0,21,84.506037
0.0,20,84.843548
0.0,23,85.170781
0.0,22,85.49827
0.0,19,85.795891
0.0,24,86.105742
0.0,21,86.401035
0.0,18,86.687752
0.0,18,86.97092
0.0,20,87.259095
0.0,20,87.559351
0.0,22,87.851635
0.0,25,88.164752
0.0,19,88.438119
0.0,197,89.349129
0.0,19,89.630831
0.0,21,89.927531
0.0,20,90.217001
0.0,21,90.511185
0.0,88,91.037431
0.0,314,92.911258
0.0,22,93.396085
0.0,25,93.911284
0.0,18,94.342733
0.0,19,94.666012
0.0,66,95.125974
0.105757,392,96.73834
0.0,23,97.04419
0.0,25,97.347394
0.0,71,97.819683
0.0,18,98.102574
0.0,20,98.40219
0.0,18,98.679469
0.0,21,98.995969
0.0,23,99.291996
0.0,19,99.644791
0.0,19,99.942026
0.0,26,100.25899
0.0,19,100.546056
0.0,21,100.843023
0.0,20,101.12898
0.0,18,101.404981
0.136268,279,102.645691
0.0,94,104.242389
0.0,213,105.388856
0.0,20,105.708286
0.0,18,106.024648
0.0,18,106.316733
0.0,22,106.622253
0.0,100,107.260075
0.0,21,107.718238
0.0,24,108.112081
0.0,18,108.488989
0.0,22,108.840145
0.0,21,109.158613
0.0,18,109.438041
0.0,18,109.725605
0.0,23,110.032217
0.0,21,110.337029
0.0,20,110.63042
0.0,21,110.922487
0.0,23,111.214169
0.0,19,111.500211
0.0,20,111.793526
0.0,19,112.108936
0.0,21,112.457682
0.0,21,112.791682
0.0,28,113.121143
0.0,73,113.589601
0.0,22,113.87988
0.0,173,114.717464
0.0,23,115.022638
0.0,18,115.303377
0.0,21,115.594179
0.0,23,115.896978
0.0,17,116.204833
0.0,21,116.514566
0.0,23,116.852237
0.0,20,117.155102
0.0,22,117.461869
0.0,22,117.758748
0.0,19,118.049148
0.0,22,118.342972
0.0,466,120.223433
0.0,74,120.712537
0.0,18,121.007035
0.0,18,121.322268
0.0,18,121.627297
0.0,19,121.943761
0.0,20,122.258534
0.0,369,123.862633
0.0,20,124.180956
0.0,23,124.492805
0.0,20,124.803572
0.0,19,125.097145
0.160107,302,126.739086
0.0,20,127.07124
0.0,21,127.369325
0.0,17,127.655412
0.0,19,127.953637
0.0,21,128.24518
0.0,119,128.90761
0.413717,292,130.182129
0.0,503,132.619477
0.0,21,132.950916
0.0,20,133.26248
0.0,23,133.576966
0.0,20,133.90515
0.0,19,134.239992
0.0,22,134.5424
0.0,23,134.857393
0.0,20,135.170624
0.0,19,135.473695
0.0,19,135.766134
0.0,23,136.07257
0.0,69,136.532046
0.0,294,138.716937
0.096576,284,139.995459
0.0,20,140.304321
0.0,19,140.607859
0.0,18,140.898151
0.0,22,141.24293
0.0,21,141.55569
0.0,20,141.86332
0.0,20,142.236022
0.0,28,142.717639
0.0,24,143.116628
0.0,26,143.490946
0.0,17,143.818725
0.0,21,144.125493
0.0,18,144.410128
0.0,20,144.702648
0.0,20,145.033005
0.0,22,145.326192
0.0,19,145.654334
0.0,21,145.94611
0.0,20,146.238062
0.0,18,146.521454
0.0,18,146.827431
0.0,22,147.160645
0.0,20,147.460528
0.0,19,147.797111
0.0,20,148.113466
0.0,19,148.415612
0.0,19,148.713536
0.0,71,149.269797
0.0,18,149.573917
0.0,19,149.900786
0.0,22,150.225493
0.0,19,150.541795
0.0,420,152.322585
0.0,323,153.81347
0.0,24,154.125752
0.0,19,154.40552
0.0,19,154.686081
0.0,20,154.985662
0.0,21,155.277333
0.0,24,155.598995
0.0,19,155.937784
0.0,150,156.764905
0.0,200,157.690399
0.0,21,158.016833
0.0,20,158.364128
0.0,21,158.656956
0.0,20,158.956616
0.0,20,159.256567
0.0,17,159.543424
0.0,20,159.834062
0.0,22,160.132501
0.0,21,160.425925
0.0,20,160.717
0.0,193,161.593839
0.0,21,161.893048
0.0,19,162.186124
0.0,20,162.476784
0.0,23,162.783224
0.0,18,163.072811
0.0,28,163.39484
0.0,22,163.687763
0.0,16,163.9617
0.0,21,164.251244
0.0,20,164.537718
