#{"t_start": 1704653259.1621141, "env_id": "None"}
r,l,t
0.0,24,0.524453
0.0,21,0.805671
0.0,24,1.109184
0.0,20,1.394746
0.004948,21,1.686208
0.0,18,1.949137
5.764424,315,3.255139
0.0,20,3.559108
0.0,20,3.866989
0.0,19,4.151796
0.762039,446,5.960479
0.0,23,6.295037
0.0,21,6.634412
0.0,200,7.617372
0.0,21,7.907078
0.0,18,8.187932
6.090976,358,9.752768
0.795782,883,13.122629
0.0,23,13.424807
0.0,20,13.689437
0.0,21,13.973994
0.0,23,14.255334
0.080336,243,15.283912
0.0,23,15.574034
0.0,21,15.864326
0.0,18,16.173106
0.0,21,16.567511
0.0,19,16.894356
0.0,18,17.224617
0.0,19,17.504267
3.048897,102,18.083746
0.0,23,18.38444
0.0,20,18.666504
0.0,154,19.403022
0.09868,150,20.160197
0.0,25,20.452294
0.029894,316,21.722706
0.0,19,21.982747
0.0,20,22.258637
0.0,21,22.533801
0.0,20,22.809374
0.0,21,23.08786
0.0,20,23.372613
0.0,22,23.644099
0.0,20,23.909605
0.0,19,24.171217
0.0,21,24.444654
3.526654,398,26.943405
0.0,71,27.40476
0.3783,507,29.339911
0.0,18,29.60318
0.0,23,29.882497
0.0,21,30.159666
0.0,18,30.419604
0.0,20,30.713854
0.0,23,31.006049
0.0,18,31.275995
0.0,21,31.549869
0.052872,191,32.404241
0.0,20,32.68673
0.0,19,32.959025
0.0,25,33.246219
0.042291,520,35.208484
0.0,21,35.476923
0.009684,432,37.145394
0.0,19,37.423805
0.0,20,37.707328
0.0,19,37.970737
0.0,19,38.250392
0.0,71,38.703962
0.0,20,38.985534
0.0,20,39.268105
0.0,20,39.536198
0.0,207,40.508096
0.001704,26,40.839395
0.0,21,41.148238
0.0,19,41.426928
0.0,21,41.707667
0.0,27,42.008165
0.0,21,42.294568
0.0,18,42.57649
0.0,20,42.871868
0.0,19,43.16772
0.0,17,43.441409
1.495177,143,44.155571
0.0,19,44.470415
0.0,26,44.808719
0.0,20,45.160363
0.0,19,45.487356
0.0,23,45.791796
0.0,17,46.073636
0.0,20,46.405867
0.0,18,46.685059
0.0,23,46.962799
0.380509,68,47.393876
0.0,20,47.666465
0.0,23,47.959099
0.0,21,48.24709
0.0,18,48.523712
0.0,17,48.785288
0.0,18,49.043593
0.0,18,49.317134
0.0,20,49.585758
0.0,26,49.874077
0.0,20,50.147707
0.0,19,50.422351
0.0,20,50.689091
0.0,19,50.950375
0.0,22,51.22561
0.0037,20,51.517836
0.0,19,51.820753
0.0,19,52.137592
0.0,19,52.43526
0.0,18,52.727093
0.0,25,53.019143
0.0,21,53.288221
0.0,266,54.381147
0.0,17,54.642312
0.0,19,54.906485
0.0,22,55.178039
0.232302,392,57.4368
0.0,23,57.714586
0.0,21,57.981888
0.0,22,58.270354
0.0,117,58.890707
0.0,21,59.186632
0.0,62,59.655226
0.001332,70,60.126033
0.009822,19,60.407206
0.0,22,60.702954
0.0,27,61.011557
0.797185,178,61.835188
0.00225,395,63.367781
0.0,21,63.646579
0.0,18,63.910516
0.0,332,65.23804
0.0,19,65.509192
1.953835,236,66.513238
0.0,20,66.787667
0.0,18,67.045869
0.0,24,67.331387
0.0,19,67.595826
0.0,19,67.873704
0.0,18,68.154528
0.0,21,68.453536
0.0,18,68.752636
0.0,21,69.04253
0.0,21,69.342587
0.0,19,69.612475
0.0,19,69.884594
0.0,22,70.163199
0.0,18,70.43125
0.0,20,70.699597
0.0,21,70.976264
0.0,18,71.243538
0.0,73,71.688598
0.0,19,71.953173
0.0,630,74.302322
0.0,19,74.570606
0.0,157,75.32602
0.0,27,75.621093
0.0,19,75.899109
0.278043,180,76.713639
0.117495,23,77.004196
0.0,20,77.277796
0.0,18,77.544835
0.0,21,77.823223
0.0,21,78.097045
0.0,20,78.375398
0.0,24,78.662843
0.0,19,78.93084
0.0,23,79.207368
0.001089,25,79.488927
0.0,19,79.749203
0.0,19,80.016909
0.0,20,80.299397
0.0,21,80.587773
1.807841,103,81.140252
0.32941,122,81.766526
0.0,20,82.032045
0.0,21,82.306997
0.0,20,82.579416
0.0,19,82.843526
0.0,19,83.120322
0.00102,172,84.816201
0.0,19,85.102993
0.0,19,85.374727
0.0,21,85.655614
0.0,20,85.939858
0.0,115,86.548195
0.00307,193,87.418411
0.0,20,87.701058
0.129869,490,89.536061
0.0,26,89.842933
0.0,22,90.125921
0.0,19,90.396487
0.0,24,90.674298
0.0,72,91.122628
0.0,19,91.398097
0.0,22,91.687756
0.0,18,91.947854
0.0,22,92.23064
0.0,18,92.488556
0.0,22,92.762563
0.0,20,93.030865
0.0,22,93.32082
0.0,20,93.5878
0.0,19,93.853516
0.0,18,94.126652
0.0,18,94.397202
0.0,18,94.672253
0.051664,20,94.947723
0.003534,22,95.249798
0.0,21,95.556496
0.0,20,95.844848
0.0,21,96.13329
0.0,21,96.445812
0.0,20,96.743686
0.0,19,97.048292
0.0,21,97.440288
0.0,18,97.725307
0.0,23,98.024057
0.0,19,98.315978
0.0,20,98.619242
0.0,22,98.931624
0.0,20,99.214766
0.0,26,99.534462
0.217498,130,100.213666
0.0,20,100.513445
0.0,20,100.818695
0.0,18,101.102358
0.033963,217,102.048624
0.005135,132,102.687584
0.0,19,102.951389
0.0,18,103.216559
0.1054,24,103.502142
0.0,19,103.765048
0.0,22,104.037861
0.0,19,104.299796
0.0,17,104.554733
0.0,19,104.826871
0.0,22,105.112373
0.475336,221,106.06205
0.0,18,106.344059
0.0,19,106.622364
0.0,18,106.885222
0.0,22,107.156985
0.0,21,107.426577
0.0,19,107.703528
0.0,24,107.9941
0.039032,20,108.266898
0.0,20,108.544397
0.0,167,109.309774
2.188548,205,110.192661
0.0,21,110.463951
0.0,23,110.740003
0.015521,69,111.170329
0.0,19,111.433546
0.0,20,111.705145
0.0,21,111.980737
0.0,19,112.247199
0.0,23,112.529699
0.0,24,112.816314
0.0,25,113.103049
0.0,21,113.37621
0.0,26,113.667734
0.0,20,113.944443
0.0,20,114.215582
0.216096,78,114.6756
0.0,21,114.945473
0.273172,353,116.323479
0.0,21,116.60071
0.0,19,116.873601
0.0,18,117.141955
0.0,21,117.424579
0.0,21,117.700743
0.0,19,117.972119
0.0,20,119.009056
0.015713,527,121.0236
0.0,133,121.675425
0.0,78,122.155695
0.0,17,122.411877
0.0,18,122.67028
0.0,22,122.940978
0.0,23,123.216224
0.0,21,123.487005
0.0,22,123.76493
0.0,17,124.018981
0.0,24,124.298431
0.0,18,124.557756
0.0,23,124.834839
0.0,20,125.100295
0.0,20,125.368102
0.0,28,125.660805
0.0,25,125.952598
0.0,22,126.227589
0.0,128,126.86779
0.0,18,127.15453
0.0,68,127.588734
9.184331,558,129.669318
0.0,21,129.953429
0.0,18,130.223453
0.0,19,130.50989
0.0,19,130.780604
0.0,20,131.047694
0.0,21,131.334389
0.0,20,131.607197
0.0,20,131.885195
0.0,18,132.145545
0.0,18,132.418914
0.0,75,132.872871
0.0,23,133.151469
0.0,20,133.433646
0.0,20,133.701834
0.0,20,133.97199
0.0,22,134.251552
0.0,21,134.522351
0.0,20,134.795416
0.0,230,135.786926
0.0,22,136.060802
0.0,19,136.340246
0.0,24,136.637862
0.0,18,136.907317
0.0,21,137.177779
5.798153,190,138.016402
0.048718,30,138.328718
0.0,19,138.591571
0.0,21,138.865291
0.0,24,139.146047
0.0,26,139.433133
0.028871,155,140.153767
0.0,22,140.434099
0.0,18,140.692781
0.0,21,140.963398
0.0,23,141.242767
0.0,169,142.012817
1.532486,414,143.606208
0.0,21,143.887828
3.309149,507,146.713805
0.0,28,147.005492
0.0,442,148.693163
0.0,23,148.970268
0.0,23,149.248272
0.0,28,149.548619
0.0,20,149.817171
0.0,22,150.089492
0.0,20,150.356603
0.018341,582,152.516056
0.075372,262,153.606162
0.0,21,153.883092
0.0,127,154.50937
0.0,21,154.77725
0.0,21,155.067437
0.0,22,155.350729
0.0,19,155.61645
0.0,18,155.877018
0.0,19,156.138984
0.0,23,156.416842
0.0,22,156.690281
0.0,19,156.957059
0.0,68,157.387322
0.0,22,157.675626
0.0,20,157.956773
0.0,24,158.241656
0.0,19,158.514747
0.005109,26,158.808359
0.0,24,159.103212
0.0,21,159.38242
0.0,25,159.679218
0.0,21,159.953951
0.0,26,160.245893
8.300728,539,162.272262
0.258031,152,163.041333
0.0,75,163.570792
0.0,45,163.935461
0.0,19,164.212591
0.0,20,164.491502
0.0,70,164.942361
0.0,18,165.20555
0.0,19,165.4776
3.45344,303,166.719161
0.0,19,166.998422
0.0,21,167.282631
0.0,18,167.54757
0.0,17,167.811539
0.0,20,168.080965
0.0,20,168.353673
0.0,21,168.636162
0.0,23,168.917072
0.0,19,169.190363
0.0,19,169.470184
0.0,21,169.744169
0.0,21,170.024882
0.0,23,170.306075
0.0,19,170.57336
0.042748,575,173.571367
0.004027,21,173.850411
0.0,18,174.135583
0.0,21,174.418848
1.434917,346,175.827364
0.0,17,176.099749
0.0,24,176.40019
0.065012,181,177.232594
0.0,18,177.504814
0.0,19,177.779878
0.0,22,178.078749
0.0,18,178.367179
0.0,21,178.651993
0.0,23,178.945579
0.0,20,179.233652
0.0,23,179.520322
0.0,20,179.791072
0.026433,110,180.359576
0.0,81,180.838092
0.0,19,181.113601
2.123039,414,182.770137
0.0,21,183.046876
0.0,17,183.306117
0.0,18,183.57107
0.0,20,183.838594
0.0,21,184.113286
0.0,20,184.377486
0.0,21,184.64849
0.0,21,184.92844
0.0,20,185.194304
0.0,20,185.473833
0.0,22,185.747281
0.0,20,186.012262
0.0,121,186.632818
0.0,19,186.903117
0.03605,58,187.314623
